	WT1	RUNX1
BA2832	4.42301685254278	7.55189787670547
BA2308	5.74861209266001	7.4382687261571
BA2413	5.71138116672011	7.57003408038875
BA2701	4.0672793038812	6.83843057067482
BA2634	3.4336264767336	7.17761745050204
BA2677	3.09979908032792	7.16795764916514
BA2937	1.39174765918177	7.01983909137586
BA2600	3.30695131155452	7.53197491812839
BA2019	3.40886684712213	7.08227901596389
BA2412	0.282808392042098	6.15187477635529
BA2334	5.38151536241943	7.92699657991781
BA2050	5.04032746317028	8.20213208675208
BA3230	-1.21505154279673	7.56567805381962
BA2953	2.61162716808333	7.79093203959201
BA2481	2.61955658601987	7.40510623344956
BA2731	-0.387302959250216	6.17379906817959
BA2294	4.4462798870641	7.62205873798526
BA2418	5.79950973684786	8.5529001392332
BA2816	1.00727712946517	7.64636707538027
BA2656	1.56426458726311	7.64255001400601
BA2814	-2.47214238978326	6.62033484572762
BA2631	3.92905779716509	7.78123623973778
BA2023	-4.79464204484053	7.36910502551481
BA2375	3.92287499831834	7.95452812467512
BA2485	5.7175568767915	9.12011695971816
BA2455	-2.78034077718535	6.33092888167036
BA2025	1.76917277909169	5.70757619671164
BA2636	-3.29429542282984	7.60876718089275
BA2325	0.896118049614534	6.69807753006718
BA2169	5.97158629049038	7.07180826529373
BA2156	3.04704895342493	6.54978276410253
BA2511	3.55468554456962	6.52072194410879
BA2939	5.15740286046687	7.85486380528094
BA2168	5.643896541446	8.02685700006077
BA2505	3.83524914634314	6.93954050250455
BA2860	-1.19258977282178	6.26429986711095
BA2707	-1.26036729993896	8.33337930026134
BA2871	-0.399277296625941	6.24864350807345
BA2655	1.33464381417527	6.47279065497325
BA2227	5.05720665133944	8.08518191159815
BA2125	4.20135659440007	7.67493502317828
BA2523	5.39780333094655	8.16644533071452
BA2603	4.06201254185105	7.52776715607633
BA2808	4.89343215555138	7.8894951557827
BA2282	-1.41890702362989	5.9389872636167
BA2482	4.36127695713154	8.42559982560594
BA2812	-1.50022208785386	6.79581543973709
BA2822	3.80773072741873	7.91267481802265
BA2594	0.507602595468108	6.62843695703125
BA2747	5.04409921416931	8.62242404966029
BA2561	-5.29146950758079	8.58191208164573
BA2567	-3.85126035696575	5.31326361994662
BA2906	1.60231574737047	6.70639038824238
BA2956	4.14366264706437	7.57003408038875
BA2474	4.47099076274074	7.94466831928416
BA2737	-4.30318114320644	7.52879493976561
BA2110	2.0116554134637	6.84719227215285
BA2992	4.61150443110127	8.06884590575294
BA2220	4.86534712878217	7.60876718089275
BA2772	4.92736106288858	8.03550248502968
BA2935	3.66845105159953	7.26238233832031
BA2260	3.58742662131399	7.81686981561798
BA2676	1.70326872127497	7.29162764738793
BA2948	2.96409346879	6.31251579014812
BA2524	5.84150393894181	7.6685963483501
BA2811	5.683055970914	9.0307417478067
BA2540	-3.54072073336428	6.20872841683922
BA2928	-4.04278359661597	6.74268846032395
BA2302	3.76902108983222	7.28800386009291
BA2595	5.98011491063707	7.4262875873266
BA2792	4.16205900590607	7.46679247570854
BA2651	4.95506412387923	7.59930957213068
BA2619	4.58691244592694	7.5098325342709
BA3013	4.09676624641316	7.94466831928416
BA2405	2.7380162918585	7.79800939146032
BA2735	4.27308792912525	7.74951233053604
BA2856	4.14600944932061	6.69192414230504
BA2377	-3.73132773416127	7.60044547310861
BA2499	3.56956667884493	7.80094268898657
BA2463	0.234841923860152	8.61880009680474
BA3023	5.08080248801388	8.07789379739417
BA2095	5.66319728629148	8.85577669200061
BA2901	1.87236961151542	7.34547705030654
BA2275	2.95951917174378	7.80817251236376
BA2387	5.85107379352105	8.43037965011906
BA2962	2.81275421711373	8.00271116464237
BA2195	4.70980361858599	7.53093612416627
BA2688	4.16358431723126	6.27332825884915
BA2787	-4.16221322156868	5.82191269814631
BA2420	3.94179623964938	8.79635277497105
BA2756	5.4113491881704	7.3875616099495
BA2122	-1.6782559541387	7.27378385953679
BA2053	5.6154952630376	8.23886821722062
BA2080	4.62926177132124	6.46633469347968
BA2081	3.53338878205588	8.83048212173684
BA2354	1.42234206716286	6.98553956904008
BA3273	0.919835106636856	4.90986474335253
BA2893	4.73904359343724	8.69824500910271
BA2044	3.57238938006016	8.37180321609369
BA2489	-1.97374829109098	7.10534081557561
BA2309	3.41508060163647	7.31758513982701
BA2720	4.01157335883524	6.23576326993081
BA2908	3.715145145311	7.69790613813162
BA2054	2.44926156327769	7.42090370210596
BA2872	-3.36366404396703	6.4108151402329
BA2526	5.67432622931416	7.32779530563549
BA2041	4.90986474335253	7.68775219309565
BA2464	5.40147695209821	8.04060780611373
BA2902	5.28073246291878	8.36494157515656
BA2541	4.01070643303874	6.79640967556144
BA2143	2.54544196723504	7.40707286933197
BA2094	-5.26179066275894	8.24926512843891
BA2769	2.5287380218477	6.96352997566574
BA2843	4.08320598972476	1.29229534870093
BA2592	5.6144197194819	7.59808663804993
BA2497	-4.2593293039235	7.35957852119331
BA2718	3.85471716317187	6.84657434431718
BA2575	3.18055040086097	7.07486831392374
BA2096	3.5589954761134	7.48594354331146
BA2593	3.05037898922433	8.74389874448259
BA2791	5.71798453197329	8.54249270039127
BA2620	1.51028957469975	7.11216085325929
BA2629	3.80689635661131	8.3156761580726
BA2870	2.10589181824348	8.28526081080175
BA2423	-3.2138968635892	6.69080762366511
BA2682	3.98571420800687	7.75780436658957
BA2276	-2.26970788857989	7.56321071069528
BA2348	1.35850244646445	6.2114515075537
BA2709	3.43199360390782	7.54085820588458
BA2789	5.19197507986882	8.67821802831458
BA2694	5.04514940290603	8.34681429629083
BA2538	2.14795123434684	7.89563066633541
BA2583	0.521473783310622	8.80867768640892
BA2415	-5.52091327378807	6.04734642903678
BA2722	4.37013695316732	8.33784249776874
BA2806	6.00261866586335	8.94761722776196
BA2221	-4.44520274654728	6.1921407741856
BA3025	5.54282665462534	6.29315264064962
BA2514	-0.467690122476436	7.03986452617139
BA2520	2.02174840979331	8.3311533449718
BA2441	-0.2940815573697	6.73745939965324
BA2153	2.22782247296683	8.06706072393759
BA2479	1.82959006870799	5.70908891657494
BA2281	5.49981147623839	8.68391306436784
BA2657	0.0966736139010029	7.77846043065093
BA2932	4.90950444103544	8.3156761580726
BA2123	4.53626577730074	8.0760787079227
BA2844	2.58314249436544	6.30418081628279
BA2660	3.26012105846324	7.95104961478815
BA2836	5.49691431965408	7.61949698331246
BA3027	-2.10431960916538	5.78731556681433
BA2714	4.23933489780631	7.93658206656699
BA2139	-0.83667589124871	6.4489544024993
BA2251	3.43509567116173	6.1556592421586
BA2952	-0.14370738490567	7.40406179513594
BA2440	-1.09216466114694	7.04775148018528
BA2036	5.19556313505125	9.25517667754352
BA2828	3.62141192551751	7.22543117773692
BA2292	1.49556026112022	6.80845562026412
BA2410	4.88291011197608	8.52190108216259
BA2051	4.44117628286088	7.1956195388029
BA2532	4.33752896301929	7.01060112681321
BA2986	2.59481330964079	7.5075244144456
BA2494	4.5237112413054	7.25790347094091
BA2515	-1.82157211250373	6.48803668934059
BA2748	3.05203364858804	6.5808607051832
BA2970	1.19828391483052	6.1821095995856
BA2622	-2.24528625370186	8.03722226484621
BA2839	4.44843050304205	8.91090509269608
BA2052	-0.586590827897	7.98386019261508
BA3011	4.97596941537187	7.42313394469991
BA2868	4.4281166894281	6.46333894051768
BA2510	-4.54627919628903	4.1972207613263
BA2065	4.95747206659002	8.39027400222105
BA2691	-2.08150014081258	7.49358396361658
BA2374	4.30351985382614	7.02480711295981
BA2804	1.03724504422622	6.75251712721233
BA2670	1.59446420714529	7.57604503702852
BA2675	5.40039592941304	8.07426638068647
BA2589	5.03186421268284	7.26585264294213
BA2031	-4.59957033850824	7.6112304020112
BA2198	3.21214927956067	8.99211218550823
BA2066	0.244476133616038	7.23036606098158
BA2344	4.61432758787758	7.53734841909383
BA2459	0.745008053589273	8.28924318234402
BA2229	6.86407290374975	7.33073792117204
BA2559	0.907573624801598	7.76200686781066
BA2093	6.05912302323741	9.37793858616158
BA2000	4.36978016763227	7.77161485169371
BA2425	0.946050220237291	7.53511002571526
BA2905	2.29057658536721	7.41889646736553
BA2304	-3.78517780161679	6.41128456721012
BA2976	2.20713040749132	7.3212161814573
BA2386	5.64166399423883	8.33337930026134
BA2035	4.83096192899042	8.6306614688285
BA2760	2.43961255695851	6.77834045992494
BA2201	2.54413689826714	7.50539293842063
BA2355	5.15956280499738	7.33250978911574
BA2113	3.84650283387536	7.87430709609213
BA2155	1.81349408147165	6.8911840063889
BA2955	1.1015901745641	7.15876570695721
BA2502	3.04645928221156	7.21053357648558
BA2322	4.78539668733183	8.30691336971867
BA2376	-0.543214915721396	6.52836297577895
BA2020	4.72354417544082	7.44544500262934
BA2226	3.32603631681627	7.86519796261888
BA2200	5.48468121276611	9.16398396797258
BA2121	1.79218942654284	7.67751428719864
BA2944	3.68217215988785	7.84127876561754
BA2033	2.10138671423736	6.83661488155882
BA2867	4.75868055542246	7.90342171341614
BA2089	-1.24729776016019	6.3811905938473
BA2224	-0.358388935779956	7.80392510487274
BA2046	5.42125052108752	8.3513230443853
BA2972	2.25161428597338	6.64684027167279
BA2978	-1.51459060193487	6.59622051144561
BA2829	4.26475082518245	8.5529001392332
BA2851	1.81871140983335	7.33339060020607
BA2587	4.31365852693905	8.5529001392332
BA2461	-4.90207415836154	6.3423350524195
BA2695	1.27466171665187	7.02978091514104
BA2623	4.65939127413171	8.62242404966029
BA2024	2.5287380218477	6.81394894542996
BA2426	4.4916443156522	7.66015357873811
BA2271	0.480333759445609	8.23267071257109
BA3004	6.02896726775605	8.7629529869435
BA2579	0.923898419999858	6.18294422218273
BA3010	-1.15112312778785	7.51413414557592
BA2662	2.80849620548243	7.3212161814573
BA2674	2.97848915233881	8.48158973981744
BA2280	5.3789226513503	9.08862153045619
BA2512	-0.245480641116488	6.90877033903166
BA2658	-4.09430858942349	5.53130217583918
BA2394	0.434869386245465	8.89449191470128
BA2950	3.5116313094685	7.80094268898657
BA2981	4.71085683477021	8.1336646480907
BA2934	-4.1350893046353	5.4943411471575
BA2539	-5.23207573552585	6.38171333036269
BA2249	4.98372592715582	8.27456876079558
BA2034	4.6274902964939	7.878761730409
BA2109	-2.19345672998365	6.62086223855277
BA2242	5.67202091636779	8.21020338316209
BA2277	4.31178419876392	8.14898150925669
BA2727	3.80075983876638	6.82309107200081
BA2132	4.59116887928136	7.631611105114
BA2618	0.340080738646224	7.41308925427417
BA2521	4.66009956525948	8.40194775982719
BA2846	5.1273934607462	8.58457840504288
BA2885	-2.88217442288734	7.05570452227078
BA2639	5.10037153191854	8.7629529869435
BA2775	4.47902169597731	7.98898804212453
BA2402	3.78046913292847	7.68895709467278
BA2097	-2.80619697770706	7.66735491479546
BA2786	3.31782552417921	6.07058706634591
BA2399	5.14082982502073	8.92415796681604
BA2850	4.61292317521801	8.89776108628452
BA2174	1.60136191099771	7.24904224136933
BA2004	0.338252851402753	6.70141361221983
BA3001	5.67239321044761	8.50160207030541
BA2311	0.585076282677859	5.77033121359801
BA2483	4.43932284602221	8.46125654532408
BA3040	3.145024554735	7.28800386009291
BA2837	3.5970577193442	7.20544727648903
BA2724	3.05833632772676	6.84900595542396
BA2911	3.95847739460523	7.6954634086272
BA2256	5.70411525165464	7.88342196520891
BA2821	4.8980399466675	7.89717932578411
BA2233	5.03856627298611	8.23061160269424
BA2744	5.21184609169853	8.27456876079558
BA2880	-3.78517780161679	6.38738832095137
BA2621	-3.36366404396703	6.68242645093915
BA3002	4.23280074999323	8.21405263917023
BA2501	5.21291531865443	8.19611264417946
BA2993	4.13049769125671	8.06147774301482
BA2301	1.62175301006191	6.6441169206914
BA2852	1.20185386100513	6.54204262926234
BA2133	2.28415307068272	5.38803577864658
BA2866	3.04760276272772	7.64895583047878
BA2212	-2.04413465499093	7.04918884608735
BA2685	4.89626395355883	7.15078589361001
BA2273	5.38659608185088	7.87430709609213
BA2477	5.04032746317028	7.94936162159169
BA2659	2.43004147850229	7.52196174027097
BA2124	4.7551991824947	8.25109369476589
BA2363	0.0598717889754852	7.72127626045477
BA2369	4.49091605473907	7.12664090320603
BA2534	5.72213373131707	7.66369633945432
BA2400	5.14860760321253	8.12230223339654
BA2762	5.99191122538936	8.0044307958278
BA2312	4.46591200459637	7.23636521102564
BA2813	4.66362563596561	8.71562351354988
BA2211	5.88486366591165	9.1314039045803
BA2171	5.13837383282281	8.70690950167434
BA2746	1.81007217009569	6.76777472760262
BA2798	5.19978192962276	8.0301567645062
BA2809	3.05605087787581	8.2874098816496
BA2288	1.17134115218982	6.56942061445838
BA2801	-0.445016850886156	6.40688318423783
BA3030	2.96013126473532	6.8958209414819
BA2588	4.33865898893468	7.74666982029682
BA2296	2.07551474804364	6.68242645093915
BA2300	2.67316258429304	7.42090370210596
BA2903	-1.92600863140393	5.70452449404762
BA2473	3.22280615930821	7.19903013947942
BA2545	-3.89656899425599	6.40549948389557
BA2840	5.9610279397687	7.37002936753922
BA2528	0.886017027727296	8.41846114844672
BA2646	5.95076318092024	8.12607789280928
BA3407	-1.9002011047749	6.81145766315316
BA2240	4.64626652070706	8.38331776349613
BA2926	1.87236961151542	6.8791208631907
BA2272	3.41089377515077	6.91521402329812
BA2306	-0.678720436366109	7.25527706310904
BA2765	1.08462446930952	7.17197273809379
BA2904	5.13368956327964	8.04414638908848
BA2883	4.26019711740886	7.68529642962647
BA2726	-3.06313442854582	6.53298741802549
BA2234	-4.24541320330485	6.48902852435197
BA2022	5.61175957380568	8.7214605815193
BA2228	0.045431040067311	6.87718695252014
BA2037	4.86953629253026	7.76884228347361
BA2184	0.818865101075557	6.85025853686514
BA3009	2.08727891982769	7.72809482559201
BA2842	-3.50410379627379	6.54204262926234
BA2442	4.12413716528858	7.97720455656684
BA2882	0.401247901583782	6.12991458455326
BA2758	-1.87134236175322	6.93954050250455
BA2705	5.3981837734462	8.51425498508966
BA2663	-4.54627919628903	6.13505858445244
BA2570	5.78002501253586	7.40305574053771
BA2764	-3.2626742370293	6.36086030376613
BA2209	3.40232320404657	5.2557008751781
BA2989	7.22379610574448	8.91420804405317
BA2855	-2.3713037003904	7.08671523409321
BA2261	3.49157457610035	7.06094242567649
BA2721	1.84264214892674	7.95104961478815
BA2930	-5.01843058152471	7.05213628356552
BA2728	1.96116361160545	7.07845414922519
BA2715	3.87438735330881	8.27031665707811
BA2469	2.78634530060665	6.43146976668751
BA2269	-1.04532144447794	6.72932018001604
BA2098	1.42445356632705	7.45053981568106
BA2778	-0.502629849930007	7.28268371584317
BA2951	3.35747250812773	8.81177412986094
BA2163	-0.186674284721414	7.47212920454885
BA2379	-0.628608654772086	6.96912043899967
BA2817	-1.24729776016019	2.99842729770843
BA3153	3.89787249471578	5.62607242115432
BA2820	2.72686185532426	8.04242466385173
BA2723	3.58414339703454	6.11928256232472
BA2704	4.89978807487584	9.07761127342397
BA2088	1.71822473873366	5.98220791058853
BA2116	2.20786647422011	6.76359470107912
BA2584	4.15661160010825	6.72183111998027
BA3079	3.2890601366061	6.87718695252014
BA2417	-4.23106940660728	8.17232215906216
BA2361	-2.68981786198312	6.56065461359229
BA2450	4.65477615366599	8.57394218930808
BA2492	1.49232098276003	6.17598273714894
BA2552	5.97812067314416	8.25135474465914
BA2472	1.2450550586815	7.70582137825133
BA2994	5.4417363654644	8.904319577833
BA2047	4.38521059006741	7.37002936753922
BA2101	2.83461003267086	7.07770710445007
BA2082	0.922533427167959	6.68127929274665
BA2879	5.38079659978033	7.30768711424343
BA2577	3.94226157127552	6.62413100331839
BA2456	-4.81543989176866	6.57560815980456
BA2175	4.23018449932999	7.30948834304819
BA2824	4.63953342719534	9.22687989289351
BA2507	5.39347949789235	8.60067902691643
BA2563	4.65156349192333	8.93417001363455
BA2244	4.05362124684688	7.50539293842063
BA2470	0.136800381557917	8.27031665707811
BA2984	4.41056176363704	8.46185834013681
BA2414	4.40032348503011	8.26607857536642
BA2697	-4.08215496684175	5.85542200416075
BA2079	-5.04280924140603	5.88526249443146
BA2999	1.03724504422622	8.87824586229709
BA2644	-1.73745106536545	6.6795007159625
BA2011	-2.25024161031404	6.00051445317703
BA2217	4.2155795317414	6.39408540771364
BA2454	3.75932554703006	8.69249597847146
BA2776	5.5235514118888	9.44528028465592
BA2218	5.88879613535989	7.59694470359064
BA2135	2.15347373817709	7.68134464101013
BA2914	3.07081282165681	7.07251029744415
BA2500	5.52174962133348	8.5117153749805
BA2830	5.02518880255228	7.71088637463883
BA2406	2.21611595199145	6.74612605168156
BA3108	4.92175101940742	8.36266215228094
BA2924	5.41099569804948	7.64778904816974
BA2303	1.7013068862714	6.94294359338222
BA2160	5.18090832776529	8.30473182450184
BA2038	-2.77402372187259	6.98756290986723
BA2602	-3.25498441404272	6.98419090856441
BA2964	-3.57040228180244	7.1158850415745
BA2898	-4.54627919628903	6.69750566900229
BA3003	-3.58001398400949	6.52889213798317
BA2111	-5.89901264481663	6.8867637487898
BA2827	-5.32182883491996	6.732801148639
BA2912	-5.48456512973844	6.37975842200095
BA2437	-5.29146950758079	6.78618260321054
BA2283	-4.73260581696559	6.46528423305325
BA2057	-4.67457207325032	6.51205995717627
BA2633	-3.62823581497859	6.82908216215166
BA3034	-4.92494998809084	6.61380571566026
BA2607	-4.81543989176866	6.59094704308975
BA2761	-4.51188171220191	6.48462547088391
BA2795	-5.32182883491996	6.58028734101557
BA2182	-5.29146950758079	6.6952290990594
BA2152	-3.76376692929786	6.59569193185131
BA2381	-1.20566862139212	8.32449794408229
BA2931	-5.06940152020186	6.84162430439576
BA2040	-4.39675812570909	6.47228949068298
BA2590	5.01358911563759	8.70112769787832
BA3195	2.60775035053937	8.60337970015667
BA2516	-1.91775460540489	7.54191215313676
BA2353	5.10386434450347	8.23267071257109
BA3036	4.65227257820413	7.44839655086442
BA2971	0.426179251835628	7.38361760058351
BA3410	1.69643229602706	7.42928783450574
BA3118	5.00103650264355	7.45275636284168
BA3206	2.02588669433336	7.32679901700122
BA3202	-2.28483384953305	6.06255807626612
BA3217	5.30422441487673	8.60337970015667
BA3405	2.00197026228675	7.67359575985668
BA3306	6.076080299653	7.96744532914178
BA3371	4.60901148734067	6.95150045701844
BA3413	-4.85765657835027	7.17595663951225
BA3411	2.50593451743868	6.81811142246577
BA3133	3.88164907830794	7.51630069461518
BA3164	4.72110255717993	8.32671267592458
BA3451	0.480333759445609	7.13359161213086
BA3286	2.45794339630419	7.57724219112205
BA3212	5.67621163724687	7.69023500088856
BA3103	5.42346427521642	8.00271116464237
BA3271	4.11545446015405	8.49406416345013
BA3152	2.50132753227187	6.71035314821396
BA3095	5.0076178177708	8.49657233882556
BA3192	6.45401948854285	8.70112769787832
BA3251	5.38622445069567	7.85205086731265
BA3362	-3.29429542282984	6.62413100331839
BA3400	6.56119717042577	8.13747585819058
BA3135	5.46114309064973	8.09619809378225
BA3408	-3.80664194981464	5.26602721557854
BA3187	4.68695768946558	7.73200199894925
BA3098	4.37709807675879	8.57925061313916
BA3435	4.40728719351658	8.31347995218337
BA3261	1.11579111852859	6.36467185423724
BA3203	4.39626829820345	6.71610247691018
BA3174	3.25577411362013	7.60395254604328
BA3317	4.64945091473465	8.73025810259064
BA3299	2.51471286851075	7.5075244144456
BA3221	-3.09952930713356	5.80067915322974
BA3347	-5.44980241668477	6.87589317842963
BA3235	0.802541542803928	6.86648111845466
BA3126	-0.874344282646842	6.89511146582289
BA3380	5.61175957380568	7.73071674907066
BA3089	5.83331901871842	8.2960419873451
BA3109	4.21713539157627	7.06166102601644
BA3114	2.8212344806284	6.5435898741168
BA3418	5.55401941905853	6.8602531678363
BA3245	1.46705136474485	7.2456266527422
BA3085	2.81214553611961	7.5725144548201
BA3128	6.30235584618443	8.14705635633251
BA3423	6.85394237356265	8.25764420926654
BA3173	3.78183665697138	6.97383568837724
BA3171	4.91582389660128	7.36724009431295
BA3277	5.54319628882121	8.18020169656618
BA3210	4.31139818183838	7.54295367203655
BA3157	4.58834815635997	8.92083445647999
BA3433	6.59094704308975	8.44724078411408
BA3322	0.655067770643772	6.43046914091516
BA3374	-3.79587739203727	6.44227342376241
BA3450	5.18903133216933	7.94145634611773
BA3167	-3.44128537526743	7.30768711424343
BA3269	5.74901581721608	7.33529770605395
BA3110	1.59633049420931	7.27982858914582
BA3156	0.761761134838423	6.32868471625961
BA3226	4.87132809398228	8.77804587995587
BA3421	3.06916845509247	7.03474280183588
BA3232	4.96757627610674	8.35358316301659
BA3289	2.35005000227063	6.92559422045597
BA3430	1.06072552834851	6.39027254472215
BA3145	6.59418114772064	7.77015373984418
BA3399	2.22263895371536	6.76002445528346
BA3449	3.88759266109837	7.70197141870837
BA3384	4.30874915362319	8.0301567645062
BA3427	-4.1482821722357	7.18556384102574
BA3163	-1.02180568349746	5.74129207216541
BA3158	4.15189910009998	7.65513327960109
BA3436	6.17945197942918	8.84307877151568
BA3154	5.9610279397687	6.40549948389557
BA3162	4.77101825718542	8.25554427681065
BA3352	5.61931055876377	8.61607464234973
BA3084	2.2972229754926	7.00146186913291
BA3149	3.98490830991574	8.17428733914348
BA3169	0.442049233640373	6.91326402535282
BA3180	5.93293802015649	8.61968837224666
BA3255	5.24829517363935	8.2409408040855
BA3438	2.0372110076916	7.72809482559201
BA3345	-2.41345187456505	6.04484767922597
BA3403	-2.26970788857989	6.73865750312275
BA3431	3.6308400704352	6.71095851013656
BA3181	-1.07355268290721	7.55754763062472
BA3341	5.10560874455999	7.61949698331246
BA3191	3.89874814101412	7.63278489020753
BA3197	5.16179139260484	8.25764420926654
BA3448	5.55285643961997	7.76884228347361
BA3453	5.81201009033099	7.46894970580743
BA3406	4.05442369128834	7.83268389248944
BA3308	3.44707594335609	9.19120372633416
BA3186	5.14045385048919	7.58065740201547
BA3334	-2.63015443964561	7.29431703031285
BA3447	1.62856158488449	7.14687001357008
BA3116	-1.22174941388341	6.41947371786185
BA3280	6.34641294876492	8.5529001392332
BA3185	-1.12919609419543	6.25854276374572
BA3094	-4.71341683075557	6.2379984984627
BA3318	1.52871884395893	6.87212018212394
BA3216	5.30385008887993	8.0760787079227
BA3332	3.72423831936426	7.93502206043898
BA3214	2.864896220199	6.59838838471777
BA3099	4.73332796808207	8.79635277497105
BA3141	3.84781880682402	8.19611264417946
BA3373	4.01564420631153	7.42090370210596
BA3319	2.67193525140673	7.37299295258264
BA3328	5.15886081295599	7.97388709664949
BA3339	-1.03349390851114	5.72866766844001
BA3240	4.89307544639423	8.17822710034905
BA3142	2.76537822210362	9.10341841676742
BA3333	5.50571962151203	8.32449794408229
BA3381	1.6503374693223	7.30768711424343
BA3290	0.0926804615502324	7.12664090320603
BA3207	0.354427733094645	7.10693286579065
BA3296	-3.33738366633407	6.1842076331656
BA3305	-0.222304755975519	7.53093612416627
BA3434	2.47499683281725	8.49908497066643
BA3189	4.26475082518245	8.68106286594684
BA3264	6.12432253652151	8.41846114844672
BA3329	5.67621163724687	6.64579190444665
BA3417	-2.13185488071417	6.54307132156237
BA3367	-4.05654798305505	6.70309367478267
BA3225	1.04757167795659	7.07025966230358
BA3183	4.25188785363416	7.92699657991781
BA3222	-4.42855988318268	6.58940815390926
BA3139	5.43474590254893	8.70874486254081
BA3397	4.66469709693692	8.06884590575294
BA3311	3.33591126074654	7.08368088883067
BA3422	6.4204445396971	7.98898804212453
BA3228	3.61153028695549	8.3972661940189
BA3213	3.76410960196055	8.09251475928632
BA3270	2.30441317316503	7.18474506245045
BA3415	4.15267733940571	8.672544374331
BA3324	0.648604039309271	7.65148276489013
BA3194	2.31383516537733	6.92239609110895
BA3335	6.945568125872	8.6697155276332
BA3199	2.19973496912707	7.41600983782201
BA3326	-4.5290964030898	5.81007696621955
BA3285	5.32735211170593	8.42744390017979
BA3297	4.64092236598375	8.1981158996604
BA3227	5.76218019652153	8.99211218550823
BA3394	2.91539060930385	7.13831231065164
BA3412	-4.27362100180234	5.20189485084995
BA3293	5.9931420196416	9.22062772367926
BA3250	3.78709611871678	7.63755645913212
BA3177	5.00727174004895	8.54508752883457
BA3315	2.62419048702299	7.10534081557561
BA3182	3.94517715004268	7.62683244469809
BA3260	-1.72584860763551	6.00431982068801
