	WT1	RUNX1
BA2392	-0.949108598338083	8.22240857358487
BA2611	-1.34397869390183	8.24509615455004
BA2506	-2.05373083819241	8.23267071257109
BA2430	-1.22174941388341	8.27031665707811
BA2448	-1.15439319370764	8.26607857536642
BA2730	-2.31036330948229	8.27670009201677
BA2845	-1.14118673133773	8.32671267592458
BA2326	-1.31682085580989	8.31347995218337
BA2341	-1.33055940349561	8.35811493599106
BA2612	-1.36720517947145	8.31347995218337
BA2973	-1.51804371313603	8.32007964073217
BA2390	-1.50372570372901	8.29387857030758
BA3218	-1.3568562659869	8.31347995218337
BA3105	-1.72584860763551	8.24926512843891
BA3402	-1.11055379864118	8.27456876079558
BA3276	-1.72584860763551	8.25764420926654
BA2409	2.42527027407431	6.75831323775631
BA3037	5.89603275873882	7.64377441186557
BA2496	-1.85443649196731	7.0949820634578
BA2172	4.30240606521426	6.54875546973009
BA2865	5.13442321095142	8.40664550150058
BA2923	-4.41297117108437	7.4382687261571
BA2751	0.230814197880978	9.45155824142257
BA2480	5.43991302011835	9.25110414260315
BA2286	2.85220606273854	7.82833379039141
BA2922	5.65028439106862	8.52958832512444
BA2452	6.02615955253131	8.84624370479657
BA3379	4.06768255183074	7.11145591609312
BA2887	5.11638292117158	7.53303259081949
BA2712	-4.21691190609306	7.50436087643108
BA2068	5.2868395453686	8.0179995830141
BA2236	5.73442845067299	8.79022656584331
BA2104	-2.90198965929373	7.2245944685398
BA3124	3.08537081267169	7.10925539195399
BA3395	3.48569837262195	8.68106286594684
BA2921	1.83912500107504	8.14513423086413
BA2449	1.62272533517422	7.18474506245045
BA2003	5.76722856076773	8.13747585819058
BA2360	2.83094506139995	6.17338143773516
BA2802	3.47498947045849	7.51299557490928
BA2235	4.54878748959104	7.56436701911919
BA2858	-2.05373083819241	6.5181383405608
BA3038	3.84606667062873	7.39635430321553
BA3006	4.0102959705863	8.75098362594822
BA2245	-0.711977832459023	9.09600320401444
BA2667	3.12161168962479	7.40804987020109
BA2239	2.07076624330663	7.09710413510838
BA2782	2.60775035053937	6.67339810625054
BA2649	5.96386071356046	8.91751782379931
BA2488	6.0908744011171	8.48407580140491
BA2861	2.47226396684629	6.18992574647122
BA2909	2.23163840559511	6.91854859965898
BA2429	2.18540487795531	7.12040364606583
BA2653	4.87551304793432	7.68013043810275
BA2134	-1.26036729993896	7.06371663624663
BA2947	3.46604952680908	7.78123623973778
BA2032	6.35536228255588	7.95765939482996
BA2162	-3.00488579996363	6.37358566074055
BA2564	3.55179272966768	7.79663560293131
BA2597	6.14759404853347	7.63393532286626
BA3243	3.87740393249645	7.40609048790591
BA2106	5.57448750435834	8.13938594647296
BA2427	5.05220075930866	7.38560317769133
BA2841	1.39625212579059	6.04647904010288
BA2446	1.23682676475754	6.23342882640082
BA2645	6.46040057966304	6.61649602743193
BA2525	-2.45561174580429	5.30060514576655
BA2876	-1.03653723642118	6.16229657509821
BA2357	1.53598005102551	7.01847365520979
BA2546	-1.30656643508874	6.36695225743452
BA2742	0.69745683162882	7.41889646736553
BA2316	0.899094483682124	7.48163507084779
BA2421	1.33242763824809	7.48695721637732
BA2087	-2.74343030506397	6.85707363149716
BA2910	6.99719018449603	8.25344779136567
BA2148	6.9848366218031	7.50861653894833
BA2063	-0.311019673586418	5.38841032189554
BA2329	2.56729980684005	6.91733301258099
BA3178	-3.69977436376083	6.42280633283907
BA2072	3.92905779716509	8.00619097456886
BA3029	6.97250726431014	7.92364245319313
BA2733	4.79905769578442	7.3212161814573
BA2995	-1.33761435343488	9.09230819306279
BA2069	-5.52091327378807	6.86281064555051
BA2100	2.94360662853157	7.54191215313676
BA2681	-2.3713037003904	6.81883552060849
BA2248	5.35117907046834	7.92526519111295
