	IDH1	TP53
BA3013	6.23486418682469	7.35390839708449
BA2405	4.63387310843381	5.17133494272832
BA2735	6.01046707595227	4.91685437213902
BA2856	4.64521147205465	4.89451135230491
BA2377	4.72354417544082	6.1522898333018
BA2499	3.58175052756526	5.5722787954592
BA2463	7.01129464656936	5.50353774574014
BA3023	3.85081185407147	5.59326337181961
BA2095	6.09645228197541	7.28899814708616
BA2901	5.0241682886734	5.90353378741165
BA2275	6.14149524736616	5.9092894586333
BA2387	6.07906325231323	7.46363654414575
BA2962	7.45670028367566	7.25790347094091
BA2195	4.08320598972476	5.63436770223251
BA2688	3.23858596558685	5.56596083132182
BA2787	5.66936167999459	5.08010536468567
BA2420	5.91360220597683	7.47416545591404
BA2756	4.39589281624757	5.34186047637261
BA2122	3.22968112507528	4.6788765540465
BA2053	5.25892746258291	5.62530338833762
BA2080	4.29267969728308	5.36939086109841
BA2081	7.18078818168097	7.12814379144502
BA2354	6.26203648745747	6.91137383646976
BA3273	4.10948809536277	2.90245258168608
BA2893	5.61817308697624	7.04851156959908
BA2044	6.28823715765654	7.41702873174962
BA2489	3.22332800972844	5.07550246590364
BA2309	5.45489161608543	7.10380554442151
BA2720	3.85948948082755	5.55739491408236
BA2908	6.09727224274201	7.22867709025789
BA2054	6.44947039282618	5.68192875741287
BA2872	5.47433300541024	5.57710363902521
BA2526	3.54989691248403	5.85300580466056
BA2041	3.74848704611698	5.97482137009541
BA2464	6.04982213026608	6.87466227370096
BA2902	5.08617132532278	5.4000323249
BA2541	6.29556241973791	7.19482368325309
BA2143	5.1308809152012	6.22378350328208
BA2094	7.53511002571526	6.63707820351379
BA2769	4.72632902528561	5.11782405199582
BA2843	4.576912820314	4.89378286978426
BA2592	4.04795438154792	6.14235074085009
BA2497	7.27462693268534	6.42575430557831
BA2718	6.75597489483719	7.56567805381962
BA2575	7.35298985161002	6.39073862378253
BA2096	5.90476239808708	6.5435898741168
BA2593	7.86375133258917	6.6263105848456
BA2791	3.89144729146833	5.76878858309535
BA2620	7.07695814218809	6.67392482770239
BA2629	6.1725191860544	7.49256176412129
BA2870	7.69160326863138	7.74666982029682
BA2423	5.07164095305392	5.05998896160971
BA2682	5.90076617867574	6.06213168198286
BA2276	4.91022290966011	6.23256384367835
BA2348	4.81265842584299	4.57477973250303
BA2709	6.54150806703429	6.1833788007571
BA2789	5.91554817043997	7.34082017175962
BA2694	4.4543011664344	5.24967382044831
BA2538	4.37307759807115	5.06527754778608
BA2583	5.2008194787507	6.37732984108365
BA2415	6.07987511764245	6.30695343234241
BA2722	4.94450171912077	5.21996006204262
BA2806	6.08879387607679	6.08621852980205
BA2221	5.57935496877716	5.73973435709854
BA3025	5.87927912302444	7.49042755149826
BA2514	4.5993645555515	5.00447988229452
BA2520	4.59723676314568	5.86536301251181
BA2441	5.83369852515391	7.44839655086442
BA2153	4.98513676810276	6.10234706288177
BA2479	2.61422648503115	5.29451713018208
BA2281	5.98958134739074	6.87788091401863
BA2657	6.58623483162294	6.68181953854303
BA2932	7.48594354331146	7.70582137825133
BA2123	4.52334899104318	6.39599982532293
BA2844	5.43657703696705	6.35627429889414
BA2660	6.80545390529169	6.84098754890722
BA2836	4.62427313618414	4.58619939617121
BA3027	4.19644815920318	4.57370858506955
BA2714	7.14998539597838	6.82188197814107
BA2139	7.28622892412638	6.24185782368877
BA2251	6.17773554711095	7.82261702082019
BA2952	7.21378004978512	7.1445927897216
BA2440	5.27576605306409	2.38194954250065
BA2036	6.68593691853273	6.85895592875875
BA2828	6.34322095252985	5.93777047922961
BA2292	5.09390910729551	7.05721925341645
BA2410	4.9819516092596	4.87481382301932
BA2051	4.798374704262	3.74222249554182
BA2532	5.86821930876448	4.89906895806818
BA2986	6.7892246921242	6.92111028015582
BA2494	3.75076608161682	4.8850340180221
BA2515	4.05242084925905	5.15886081295599
BA2748	6.45455803457724	7.40707286933197
BA2970	4.23547754378357	5.24755295562951
BA2622	5.88961440143981	6.51970766408759
BA2839	5.32846021235263	4.57050598081279
BA2052	4.36867112545861	6.02245886806957
BA3011	4.83233699169056	5.49620333322403
BA2868	6.88867708372879	6.99309781087009
BA2510	4.67922683289374	6.43793151264448
BA2065	6.91069984449294	6.97592290315855
BA2691	6.43193622663115	6.06843510757967
BA2374	7.58991392876001	7.00642277827321
BA2804	5.2695794873648	6.34503333401511
BA2670	4.93263432505861	5.49867482524586
BA2675	7.41008797800013	7.10235206017353
BA2589	3.43461282312155	5.1329891862807
BA2031	6.82612058067876	7.10925539195399
BA2198	6.5550219238791	7.25440312060941
BA2066	6.1842076331656	7.26938021173089
BA2344	5.95439094102815	7.46260985261637
BA2459	5.73516831539579	5.71368801694621
BA2229	4.10073895515048	5.40590227988363
BA2559	5.07408997846094	5.6290939324601
BA2093	5.34151860321391	5.51092026987085
BA2000	7.95765939482996	7.17116786854616
BA2425	4.80920574953976	5.8584977958134
BA2905	3.14612847066654	5.49361387353109
BA2304	7.6112304020112	6.02328497818552
BA2976	6.03067265261494	6.4673102312229
BA2386	4.25981249131916	5.5268548517384
BA2035	5.46628439479905	7.1288906231397
BA2760	5.35302745757832	5.41465485346035
BA2201	7.15481965297646	7.07251029744415
BA2355	2.57374882661096	4.41532323585857
BA2113	6.24956354515351	6.94881589861991
BA2155	4.31592922692549	6.81026452482456
BA2955	6.58727608652663	6.52630500155159
BA2502	6.82247572050957	6.66232694076894
BA2322	5.6147813580075	6.32590234144832
BA2376	6.97110220501606	6.6601420957489
BA2020	5.92833030401015	7.56206988956539
BA2226	6.57772759538865	6.7421473941764
BA2200	6.44374763893835	7.31484141146978
BA2121	5.63513768849615	6.93827202821145
BA2944	4.64167507429005	7.40609048790591
BA2033	5.27249782330272	4.4255355439253
BA2867	3.686686945389	5.44461485443026
BA2089	6.66232694076894	6.37831338727117
BA2224	4.84073982458941	5.98876336939614
BA2046	4.41752853740495	5.08690717420201
BA2972	5.58233779466511	6.65295694076347
BA2978	5.90476239808708	6.1725191860544
BA2829	6.5851771545889	6.66836924971821
BA2851	6.52531304614774	6.6656439229699
BA2587	6.46680230521735	6.82430487390793
BA2461	4.97525881373139	5.94954564902513
BA2695	4.76744564892536	5.06034106840668
BA2623	5.17806224044823	7.2808607611199
BA2024	5.21467303087656	6.16739291737488
BA2426	5.06916581711999	5.90761820174496
BA2271	5.61291824722341	6.57195133441217
BA3004	5.9059700222253	7.27718305881569
BA2579	5.11604418341834	6.39599982532293
BA3010	5.43991302011835	6.40785243829132
BA2662	6.72757025712009	7.00423488076259
BA2674	4.64236314712384	6.61328782678973
BA2280	6.60421812247539	7.50002964161751
BA2512	7.07626127790368	6.36648969189247
BA2658	6.0515207109664	6.51657057172327
BA2394	6.19874995357892	6.12947427780454
BA2950	5.51054741525892	6.24055068924258
BA2981	4.82920315142492	3.91918119992111
BA2934	3.15379592329678	4.63280713637761
BA2539	5.69683059962592	6.03692689677874
BA2249	7.28989199463087	6.88614746987226
BA2034	5.90196356256727	7.18078818168097
BA2109	5.04550512990365	4.73402493935974
BA2242	4.49812951936181	6.34412105865143
BA2277	6.49454808629482	7.13198010911185
BA2727	5.04344198379719	7.19738153999511
BA2132	4.47573564141147	5.44826154156483
BA2618	6.51917819512762	6.62357481456438
BA2521	7.60876718089275	7.02624764830014
BA2846	5.10282218386209	6.09387139945137
BA2885	8.3695120975799	6.59569193185131
BA2639	6.32360812377741	7.29348678773891
BA2775	6.51657057172327	6.54456958822718
BA2402	4.97105541814246	5.83678289113702
BA2097	4.20135659440007	5.89165055148412
BA2786	6.43335604753767	6.6268478891503
BA2399	6.07775440645337	6.8791208631907
BA2850	5.43546904513176	5.81839607751016
BA2174	6.13208464272519	6.49504433110095
BA2004	5.26566945651455	6.59256890621003
BA3001	6.34691329698472	7.67233847579442
BA2311	5.8717903577196	5.98546472831244
BA2483	7.05570452227078	6.85025853686514
BA3040	5.54245080282141	7.4372988989966
BA2837	5.24035827892386	6.23620830247888
BA2724	5.6643875190661	4.95436820669726
BA2911	6.06121727575126	6.6639864599992
BA2256	6.20314139469901	6.45750445904916
BA2821	6.91793209354363	7.09853964665219
BA2233	4.79452735368346	5.47397012091034
BA2744	6.82008128976274	7.52657913903788
BA2880	5.0883096858926	5.89840678151491
BA2621	4.96162900206024	5.39605181278963
BA3002	7.49042755149826	6.79581543973709
BA2501	5.76686556527581	6.48066088985819
BA2993	5.56967790109069	5.57935496877716
BA2301	4.86287652588537	5.09007782361131
BA2852	2.47641329200189	4.49309800823268
BA2133	3.1582319317872	4.62677440639043
BA2866	5.37084951659886	6.72932018001604
BA2212	4.78927104224353	5.34471469248409
BA2685	3.97791568550573	6.06637986410425
BA2273	4.97353447958461	5.75263805334011
BA2477	6.59734342436169	7.25358458154246
BA2659	5.69757983119209	6.22243678568209
BA2124	4.78927104224353	7.5725144548201
BA2363	6.58673582096521	6.26429986711095
BA2369	4.24276500476702	5.0883096858926
BA2534	6.43983576769468	7.20308831152753
BA2400	6.50804753914762	6.90940702790402
BA2762	5.08403773679609	5.58914523241343
BA2312	5.91835525147628	5.95116187542659
BA2813	5.85936501205287	6.42812418967041
BA2211	6.53298741802549	7.49457772487061
BA2171	6.05611661620259	7.00146186913291
BA2746	6.80845562026412	5.85501990072082
BA2798	4.18830550628692	5.2557008751781
BA2809	5.03892605141629	6.47426873472503
BA2288	4.70912069685916	4.81163956900901
BA2801	4.6961161698671	4.20521607487653
BA3030	6.26927993913723	6.59519386649706
BA2588	5.36902005012398	6.60688950527526
BA2296	6.11380852099068	7.145353174227
BA2300	6.53199378857673	4.23895301881926
BA2903	4.16090429067131	3.22599710926517
BA2473	4.30837790148871	5.44754405856203
BA2545	6.06036727608855	6.56532526138634
BA2840	5.51015899119849	5.99152342299614
BA2528	5.79603390583248	6.84277692729058
BA2646	5.43474590254893	6.61380571566026
BA3407	3.81612780124423	5.19161041350932
BA2240	7.58879646153396	6.54504027868998
BA2926	6.29737759041703	7.05061628699762
BA2272	7.51732737025111	6.71095851013656
BA2306	5.95520312741494	6.69465878054587
BA2765	6.76656262392125	5.58306894890271
BA2904	6.22067774239525	6.44227342376241
BA2883	3.93840673561022	4.43894159347348
BA2726	8.89122942781574	6.04401665671066
BA2234	6.97176870633362	6.57305438035027
BA2022	6.70701242644057	7.02978091514104
BA2228	3.49799064045743	5.6834289695156
BA2037	6.27917243235478	7.61833712147791
BA2184	6.13418245991914	7.34177007998791
BA3009	5.36619555084966	6.28051995140614
BA2842	4.61468245344628	4.35426803475998
BA2442	7.79521409988635	6.36982886713941
BA2882	6.1556592421586	6.00134650129498
BA2758	5.82658327453077	6.03193635166747
BA2705	5.31976332499236	5.01042178805716
BA2663	4.59368397646332	4.59723676314568
BA2570	5.17593956338375	5.92793175730426
BA2764	4.81656126290881	6.17423728477739
BA2209	3.07362208775687	4.57620385088589
BA2989	3.71113954261245	5.61586637721502
BA2855	3.55318791593181	4.90535576746464
BA2261	4.47248648313274	3.09816416471119
BA2721	5.89765135115317	6.90623565218771
BA2930	6.7928687930301	6.38550593619779
BA2728	5.97772537420238	6.76656262392125
BA2715	2.69222768564293	4.54449196266661
BA2469	5.04768274106503	3.65217826413879
BA2269	4.44772389189131	4.41901213347142
BA2098	6.97450183109637	6.83151108322253
BA2778	7.01613705435711	6.40454724548096
BA2951	5.24328117345542	6.99377561399407
BA2163	5.11328125236518	7.5552619353094
BA2379	4.17369897600356	4.70101175635619
BA2817	3.22116841470907	4.56799936889978
BA3153	4.27041928872006	4.74113609559812
BA2820	7.11889170682512	7.01338554790523
BA2723	3.55417797609775	3.80561258862819
BA2704	5.97361430412984	7.36910502551481
BA2088	3.90594846339568	5.58306894890271
BA2116	3.45550886376031	3.65588909933936
BA2584	5.72791281354614	6.88364306076419
BA3079	5.57561187049385	4.25793262725042
BA2417	6.31720357778214	6.22157033382946
BA2361	4.20061838096406	4.25981249131916
BA2450	7.08974258985974	7.39734461578024
BA2492	6.50152491798344	4.23241801519581
BA2552	5.03783692041918	6.01215704616716
BA2472	4.06768255183074	5.49138177082753
BA2994	5.68192875741287	6.53744053114805
BA2047	7.53093612416627	6.60634523087502
BA2101	4.13397604746354	5.99436956978052
BA2082	4.30539842621614	5.05791386338245
BA2879	4.31740166637701	4.0915518275327
BA2577	6.38217571781426	7.47732145799094
BA2456	5.4921500734543	5.43733644220612
BA2175	4.79347559452987	4.04029489753007
BA2824	7.42202383501609	7.99573716734119
BA2507	4.69788797442376	6.68646890696546
BA2563	6.31632447129761	7.42825345365406
BA2244	6.99175546936536	7.01060112681321
BA2470	4.49704564233128	6.40785243829132
BA2984	4.98548688523347	6.40360502181603
BA2414	6.115497606055	7.55189787670547
BA2697	4.99665147897099	5.66167475958567
BA2079	5.8733548574054	5.34829013725005
BA2999	5.43185845277898	6.7478553015081
BA2644	5.72213373131707	6.82612058067876
BA2011	3.33268141494615	4.74322903691124
BA2217	6.01254264145456	7.74666982029682
BA2454	4.35980493218316	7.37198491161906
BA2776	6.83464418679852	8.25344779136567
BA2218	5.90885007986137	5.08617132532278
BA2135	3.53525438523798	6.02937141783307
BA2914	6.58888481686372	6.70250395591763
BA2500	6.13505858445244	6.00261866586335
BA2830	4.69647295762567	6.08237851607355
BA2406	6.52836297577895	3.88038335005271
BA3108	5.43621855884092	7.72127626045477
BA2924	5.90436368867117	5.05963791860408
BA2303	8.27031665707811	6.44374763893835
BA2160	6.00261866586335	7.44951411714195
BA2038	3.20723913331244	5.85300580466056
BA2602	3.27264514939603	5.39458251066191
BA2964	4.15738946871551	5.51731496751527
BA2898	5.92875292821339	6.69192414230504
BA3003	5.7225158734594	6.82734034498185
BA2111	5.82541777312417	6.84596201012783
BA2827	5.56256719374486	6.72640507458581
BA2912	5.17381001168529	6.61592394796106
BA2437	5.57601310486413	6.94358580230343
BA2283	5.93038956442244	6.91137383646976
BA2057	5.50092424285105	6.58727608652663
BA2633	5.57412698420844	6.9848366218031
BA3034	5.77144374108322	6.71554173603585
BA2607	5.81442547259646	6.64862107605335
BA2761	5.71331402808145	6.59999610931592
BA2795	5.86701172235977	6.79813530726845
BA2182	5.75491739673993	6.84162430439576
BA2152	5.98343537244457	6.79158437688518
BA2381	5.73095557356358	7.83130382680857
BA2931	5.57710363902521	6.63008743018599
BA2040	4.35354406259827	5.39533160012503
BA2590	5.57116929470375	7.0168789681798
BA3195	5.02654059802702	6.18294422218273
BA2516	5.99273740349983	6.98890006339199
BA2353	6.57871147435603	7.11216085325929
BA3036	5.5372259675426	6.44227342376241
BA2971	4.859362912485	4.61929846930604
BA3410	4.72146237134338	4.9477179907569
BA3118	5.37928711694374	5.09252726658566
BA3206	6.69750566900229	7.21621114040909
BA3202	4.30578132576709	6.21363363803942
BA3217	6.20920563257666	6.77775850085893
BA3405	6.89968682755392	6.90296785302656
BA3306	4.18905337629139	5.91637612602088
BA3371	4.43026354617328	4.72180716429242
BA3413	6.41603346705047	7.30313040589717
BA3411	6.04775659278267	6.86587981932563
BA3133	6.38171333036269	2.64661944832681
BA3164	8.22445433533228	7.05570452227078
BA3451	7.550843282623	6.45552187143232
BA3286	7.52533179189238	7.05362684769664
BA3212	5.68192875741287	7.40900238551148
BA3103	4.18132017858849	4.76744564892536
BA3271	7.59808663804993	6.801788717217
BA3152	7.1445927897216	6.37124794281337
BA3095	7.01543819204674	7.00355473079372
BA3192	6.08362235286883	6.00392077224602
BA3251	6.81629782268832	6.0786199138595
BA3362	7.53867754134672	6.85025853686514
BA3400	4.5085935471109	5.36867301215282
BA3135	4.33903266779967	5.35229119892718
BA3408	3.17079334153815	5.26850269480577
BA3187	5.68573255517546	6.05993013058661
BA3098	6.64018393293961	7.18320770184298
BA3435	6.22503632366675	6.60792383481337
BA3261	4.65440830398242	7.01472936087095
BA3203	4.18716058878723	1.68790567529799
BA3174	5.09637288827648	4.44043021773744
BA3317	6.62136909185019	7.4372988989966
BA3299	5.20686512079418	5.12980289788787
BA3221	6.35211013226828	6.08707291217101
BA3347	6.06168577538942	5.76798676791736
BA3235	7.3014086607396	5.77294291662078
BA3126	7.76884228347361	5.90157614057374
BA3380	6.09048118374774	5.39458251066191
BA3089	6.34412105865143	7.14144688839692
BA3109	4.16205900590607	4.1393823864995
BA3114	4.93122023310574	5.61668949030342
BA3418	4.20291883221202	5.61064071002875
BA3245	5.5239080872138	4.44117628286088
BA3085	5.32920195672699	6.47523792980687
BA3128	5.40443670689777	5.38876952657644
BA3423	4.69788797442376	5.33468449100155
BA3173	4.05042304398681	5.77571318535643
BA3171	5.6382097192845	4.9459530906601
BA3277	4.46447835591803	4.94911331401403
BA3210	4.05083600444237	4.53233174096288
BA3157	5.29839304298236	7.39540604135448
BA3433	3.74759218302818	4.88780360986739
BA3322	5.29307989811682	6.56014980461976
BA3374	6.57871147435603	6.83464418679852
BA3450	4.14520169098392	4.21481719565255
BA3167	5.24611528011748	6.13077087437702
BA3269	4.89092474484563	4.06243283557816
BA3110	5.57820476090366	5.89878476046271
BA3156	3.93670563044514	7.72809482559201
BA3226	6.06298925282901	7.24647814947882
BA3421	5.96666513140334	5.49361387353109
BA3232	7.46997411625783	7.26851020715081
BA3289	4.75027858706246	5.33938509366527
BA3430	4.69506440431895	5.35117907046834
BA3145	6.67231936736834	5.06527754778608
BA3399	4.01681712942243	4.65440830398242
BA3449	5.38186716708803	7.00642277827321
BA3384	7.22625304922136	7.13756401534747
BA3427	5.37014622702408	5.79678897670541
BA3163	7.16876088952225	6.00881830211778
BA3158	5.34691482072856	7.19312453230448
BA3436	6.55336509971083	7.51191595859432
BA3154	4.57869564199945	4.17448805896105
BA3162	5.29986206219824	5.2256777958467
BA3352	5.41245018586405	6.67002543512013
BA3084	7.0168789681798	7.29872623007905
BA3149	3.77745737706284	4.70453081211341
BA3169	6.88492067829042	4.86428104676734
BA3180	5.06562997256811	5.2381836725971
BA3255	7.59101188148724	6.94490055523594
BA3438	6.96490245805844	6.61867340597626
BA3345	5.1308809152012	5.13908038133443
BA3403	6.58888481686372	6.65017189848331
BA3431	5.06846235610609	4.44371751516999
BA3181	6.18251802139279	5.94996299067632
BA3341	4.26401053300844	3.94932461697197
BA3191	7.03335772337666	6.51708902749809
BA3197	6.65069612456278	7.19482368325309
BA3448	6.11039522609915	7.38257507273258
BA3453	4.29566916323682	5.0932101529727
BA3406	6.78802478417111	6.32868471625961
BA3308	5.38841032189554	7.05796014084047
BA3186	5.59508122551735	5.88287108041716
BA3334	5.57412698420844	5.40076226918126
BA3447	4.84704413896278	6.28190411591636
BA3116	4.66681816964876	5.21851473599856
BA3280	4.55238107332514	4.92485987316059
BA3185	5.04694903743101	4.91193698649749
BA3094	5.38984631837511	6.04192947928388
BA3318	4.06925036801479	4.35537320620163
BA3216	5.32485345914141	5.7725785925433
BA3332	4.59403374647175	5.99034044706391
BA3214	5.05963791860408	5.28038295813947
BA3099	8.19411260375688	7.19643196455649
BA3141	7.05213628356552	7.22786001580346
BA3373	5.9527582231115	7.41600983782201
BA3319	7.31758513982701	6.20186257831003
BA3328	6.1281715906941	6.40737616847402
BA3339	5.13729178336945	6.33324319286844
BA3240	6.14975362813735	6.90492530830845
BA3142	5.68535357501915	6.02819468374248
BA3333	4.93997522367398	5.96907627794874
BA3381	5.92676397459841	6.57305438035027
BA3290	5.51241676925768	5.78541513449237
BA3207	7.40108920011618	6.05196623929884
BA3296	6.14235074085009	5.45893049861312
BA3305	6.63537899034447	5.95806732051197
BA3434	5.42966375134891	6.56532526138634
BA3189	6.19606446047222	6.56478809528508
BA3264	5.72941496772039	6.59041781660964
BA3329	3.66471911557075	6.36982886713941
BA3417	6.30602484819544	6.3282334089858
BA3367	7.20800173217813	4.47211486954081
BA3225	7.56436701911919	5.73858169391831
BA3183	6.31585760088979	6.3548930381601
BA3222	5.45598777768521	7.11288822976142
BA3139	6.87718695252014	6.54456958822718
BA3397	6.86281064555051	5.68229960670136
BA3311	6.8576823032308	5.59212312780833
BA3422	4.32671639588567	5.38079659978033
BA3228	7.08297551023298	6.92898560318184
BA3213	5.72675571340994	6.1346163312472
BA3270	6.41897137635364	6.16092602046833
BA3415	7.06166102601644	3.13934917227227
BA3324	6.60476180009226	6.24100946664766
BA3194	6.51105136156458	7.32401244462143
BA3335	5.39495254612019	4.798374704262
BA3199	5.73442845067299	7.13671405241938
BA3326	7.94635895319707	6.30650779394135
BA3285	7.26503778677364	6.59468087653905
BA3297	6.59999610931592	7.07405167828484
BA3227	6.39926285688665	7.52657913903788
BA3394	5.98835302463094	6.49051077750921
BA3412	7.46474071975909	6.63170598568284
BA3293	8.19593305491973	7.60044547310861
BA3250	6.9766278154768	6.74097656792209
BA3177	7.22705513643141	6.8446685918264
BA3315	6.21410531502083	6.00051445317703
BA3182	6.6886775034689	6.75194526906574
BA3260	4.21672873374062	4.89661464748925
BA3369	6.66619952778557	6.76002445528346
BA3078	6.76957967246072	7.12266775163133
BA3386	8.12041880838799	7.1702959591528
BA3445	3.60216120874402	5.31432060422587
BA3452	5.47397012091034	4.62499001767521
BA3176	6.39832221441364	7.12422017929786
BA3258	7.09641299880345	6.29048213777498
BA3295	6.95685605328487	6.45945806358587
