	IDH1	TP53
BA2392	5.74395799798389	7.93187727167438
BA2611	5.75871811902643	8.01965582601105
BA2506	5.75871811902643	7.96260346447077
BA2430	5.80931856446972	7.94635895319707
BA2448	5.79121445090041	7.97556074370465
BA2730	5.8227080060065	7.95936662330483
BA2845	5.67963455085071	7.87430709609213
BA2326	5.67432622931416	7.85345354435312
BA2341	5.64918681238206	7.87732006412967
BA2612	5.59924503664906	7.87430709609213
BA2973	5.63166253168885	7.83554388846121
BA2390	5.6571193282783	7.85633367820174
BA3218	5.60116902965989	7.84275930534523
BA3105	5.68416732949988	7.86087718753597
BA3402	5.71798453197329	7.88037740793897
BA3276	5.7151540674209	7.90654028957083
BA2409	7.52082148621471	6.7240814115045
BA3037	5.44138513248386	4.29267969728308
BA2496	6.59256890621003	6.45599883472476
BA2172	4.82328175599878	6.55763968463611
BA2865	6.97794904447586	7.34082017175962
BA2923	8.2618544484033	6.41993290039897
BA2751	7.15246698865564	7.22625304922136
BA2480	7.35298985161002	7.08598210070988
BA2286	6.15608719552673	7.03335772337666
BA2922	6.60792383481337	7.58415033094325
BA2452	6.40688318423783	6.21802371577529
BA3379	5.94263228316548	7.1045805500083
BA2887	5.85144934754927	6.98275640527684
BA2712	7.45375064871774	5.93038956442244
BA2068	4.80607814010981	5.89521114196018
BA2236	6.90558799283489	7.24904224136933
BA2104	7.73732673360922	6.26429986711095
BA3124	4.22136650202706	6.49248354368901
BA3395	7.16547841878937	6.09600230844392
BA2921	4.79871964465787	5.26066257347525
BA2449	4.22750729569156	5.89918966262517
BA2003	5.20261254311813	5.09857876696561
BA2360	6.61867340597626	8.04765964150367
BA2802	4.3579546600223	5.98097884801574
BA2235	7.1956195388029	7.04704814373678
BA2858	5.32198845078755	6.16992972400798
BA3038	7.20973552997534	6.43046914091516
BA3006	6.49699294257919	7.35202275514424
BA2245	5.4241733124076	7.53093612416627
BA2667	6.49799553338119	7.16215175411855
BA2239	7.14764743423536	6.92833111291049
BA2782	6.64358377452482	6.1881494364125
BA2649	6.23214914518013	7.30861526987379
BA2488	6.35757561884313	6.28733698625511
BA2861	7.03549223810054	7.2179085684236
BA2909	6.34548467937847	6.00760401810435
BA2429	5.11958001435747	6.58673582096521
BA2653	4.90152753707883	6.64966424428309
BA2134	6.53396722315737	6.389795387917
BA2947	4.83268199793827	7.0549889553605
BA2032	5.82000063861969	5.6834289695156
BA2162	5.33028268437174	5.66661596956027
BA2564	6.85832315809809	6.33600766569699
BA2597	2.84361014461716	5.30025672574144
BA3243	5.4843036495526	6.79931174111644
BA2106	5.19270680337974	5.5849409277756
BA2427	3.18975730461156	4.58834815635997
BA2841	3.95599802451469	5.64578665380384
BA2446	6.55661288461065	7.02624764830014
BA2645	4.05123232495892	4.47755440955033
BA2525	3.65728472785622	5.33325727668396
BA2876	3.20185478187358	4.87307091837154
BA2357	3.69392175101973	5.73934974436077
BA2546	7.33073792117204	5.98097884801574
BA2742	9.09600320401444	6.87718695252014
BA2316	9.05942450247106	6.92303478434711
BA2421	5.60042800463674	5.73053658482108
BA2087	4.8688411127684	6.1821095995856
BA2910	6.13375733254388	6.65242333740906
BA2148	4.42623541625347	4.5255236296775
BA2063	2.864896220199	5.23357427325263
BA2329	6.84399982384708	6.76359470107912
BA3178	6.28908084563445	7.16876088952225
BA2072	6.78074983432615	6.8175184307766
BA3029	5.19342572013905	4.51543236159046
BA2733	4.2236378258506	5.01531695363561
BA2995	4.54341837856977	5.64653817010519
BA2069	6.95150045701844	7.49042755149826
BA2100	5.17381001168529	4.13049769125671
BA2681	5.34829013725005	6.47571845442986
BA2248	5.78304332339911	5.35925920402751
BA2832	5.24140893715519	6.54255345963774
BA2308	5.41063794413204	6.1346163312472
BA2413	5.39458251066191	5.4113491881704
BA2701	5.81524050486287	4.6377523259586
BA2634	4.90500171115938	5.89802625126527
BA2677	6.37500681410956	6.55027156269161
BA2937	6.43542748974206	6.88364306076419
BA2600	5.22500574588553	5.11328125236518
BA2019	5.31326361994662	6.63058753997147
BA2412	6.05611661620259	6.07479305709891
BA2334	5.71913182250031	5.69683059962592
BA2050	6.1842076331656	6.89902500194997
BA3230	5.34936654533728	6.6396645832219
BA2953	4.87201227243281	5.27249782330272
BA2481	4.1174274886939	6.14278190987981
BA2731	6.19120375825818	5.43769371500229
BA2294	5.51205399141146	7.27378385953679
BA2418	5.86536301251181	6.13331916927191
BA2816	4.97525881373139	6.35951832125277
BA2656	4.6932849776624	6.23081198982986
BA2814	7.64895583047878	6.732801148639
BA2631	6.47620808782314	7.21053357648558
BA2023	7.42928783450574	6.6639864599992
BA2375	5.84864920436747	7.07994856692804
BA2485	6.60051001058414	7.51413414557592
BA2455	6.61484329859941	6.16950493399515
BA2025	6.18727628290146	7.06736498172321
BA2636	2.95707573664305	5.63282770326011
BA2325	7.31937809888862	6.0844698592588
BA2169	4.2685172238636	5.15597615770657
BA2156	6.53347844553203	7.78123623973778
BA2511	3.63778681479032	5.1329891862807
BA2939	5.88920214405522	5.4256501409614
BA2168	6.03566200297907	6.17556084584677
BA2505	4.82328175599878	6.06427837502978
BA2860	5.15668163101419	6.30187774864901
BA2707	5.24611528011748	5.67887021391384
BA2871	5.56596083132182	3.82296440324922
BA2655	4.94485331976651	6.81265459274061
BA2227	4.77735183811143	6.51302546929391
BA2125	6.43000064848533	6.90814621424913
BA2523	6.26118056372206	6.94819581980106
BA2603	6.25896920678185	6.97110220501606
BA2808	5.30025672574144	0.227105256821812
BA2282	5.83716487793583	5.86057748465192
BA2482	6.93954050250455	6.56583781452914
BA2812	5.82934773365488	6.40314188601748
BA2822	7.20386734649371	6.13119942059496
BA2594	6.94945791531145	6.53249965977741
BA2747	5.23068767781653	6.91069984449294
BA2561	7.35863482899504	6.72062167573975
BA2567	3.40936163024976	4.61468245344628
BA2906	6.56583781452914	7.19145743010941
BA2956	4.93680420181051	4.65298561876012
BA2474	6.41993290039897	6.87788091401863
BA2737	7.00490622738367	5.1731127627033
BA2110	6.60579006500373	5.89165055148412
BA2992	5.29873886453286	6.00599295147661
BA2220	5.88005273032646	7.23974353995359
BA2772	4.20752353675978	5.69028030333394
BA2935	5.76293182295601	5.80651617633479
BA2260	6.30695343234241	6.26972531039322
BA2676	6.47376016789819	6.32546109149907
BA2948	4.45829690708788	4.29566916323682
BA2524	4.71338041148762	5.1674510313935
BA2811	5.95983280142242	6.82008128976274
BA2540	5.10108468850577	5.60231976530737
BA2928	6.62899851308068	7.62437772428186
BA2302	4.35980493218316	4.46338478207428
BA2595	4.7899749730526	5.64956635618765
BA2792	5.62043017440298	6.54042498941119
BA2651	4.51902825678144	5.03323587286023
BA2619	6.57921927462639	6.36467185423724
