	NPM1	ANKRD26
BA2000	528.2932619271585	0.095731647324464
BA2003	717.8183224076506	0.0829696955184203
BA2004	320.01547932986267	0.0836499467406544
BA2006	9.679478408126416	0.0359375526019772
BA2011	348.4981285240867	0.0396755267623824
BA2019	583.7827086691859	0.0811743854146624
BA2020	1236.507877965909	0.2720451311688179
BA2022	916.0964949426144	0.1461071024469072
BA2023	431.7839587624408	0.0470448150826813
BA2024	372.1842389270018	0.0727465166525798
BA2025	722.395881374441	0.0820670987279246
BA2031	803.0149785649028	0.122539418115502
BA2032	795.6408037215438	0.0746726685301137
BA2033	257.718883807176	0.0328929511327189
BA2034	810.0015144990998	0.1482441107527969
BA2035	899.358854303508	0.02639324868337
BA2036	778.587533687972	0.1495243619025295
BA2037	1902.128477513421	0.2101211986644937
BA2041	845.8378095871379	0.0443731716795331
BA2044	585.7529247149646	0.1194899024393719
BA2046	1115.1507214086078	0.0217731909593821
BA2047	676.9878108900025	0.1058020403754027
BA2050	742.1408316925888	0.0848298304389081
BA2051	484.6791957324424	0.0544991211021729
BA2052	1122.4581187120564	0.0638985940183989
BA2053	856.5360596182228	0.044761279014099
BA2054	797.1291493537034	0.0698854980532695
BA2055	43.55371897587268	0.0308071293502349
BA2063	583.6395872324669	0.0726650952894186
BA2065	1202.664762511015	0.1540382890545618
BA2066	819.6683643642182	0.2140376903736629
BA2068	590.7969803002536	0.0720056593306243
BA2069	668.3880927899144	0.1364638018106308
BA2072	443.6027357455251	0.1025491070551802
BA2079	148.52736696454153	0.0327016501612876
BA2080	828.9284153651536	0.0667630637824152
BA2081	596.8647857517421	0.09929241644032
BA2082	1003.8557661222746	0.080322707815004
BA2087	645.4585078280003	0.031818419892097
BA2088	647.6525682652436	0.0258208199268744
BA2089	803.116732804619	0.1719840442183655
BA2093	717.9466283105468	0.0923072527476057
BA2094	773.6307073311818	0.0509097204245458
BA2095	742.4000933575526	0.098014030691826
BA2096	843.435358552685	0.0669083123292865
BA2097	1869.086592927769	0.2880136001266145
BA2098	446.6952569238338	0.0564728483391839
BA2100	459.57170926115145	0.0226884868038239
BA2101	480.9915091065376	0.1302789888024038
BA2104	158.38864555593398	0.0423369528778347
BA2106	1086.0029372840947	0.0792454882643863
BA2109	352.7594132324559	0.0188309940160286
BA2110	227.9689532482417	0.0433041035770986
BA2113	618.1909565783855	0.2430163086121711
BA2116	203.9687913848749	0.0077332233085054
BA2121	828.9494792055228	0.0782442943996513
BA2122	309.0625568800445	0.0059470250262112
BA2123	1943.4570022489283	0.1136848376952894
BA2124	1305.25779886148	0.1931288736569787
BA2125	406.9357044659607	0.1644720147009132
BA2132	578.9355872081394	0.0776629153923836
BA2133	284.94185090038224	0.0401765132814494
BA2134	393.43453986171255	0.1161802068672607
BA2135	1084.5087100504388	0.0434618225053949
BA2139	173.6594297885683	0.0560207744228119
BA2143	307.1844443903837	0.0274570539042846
BA2148	255.3043494272261	0.01561806175848
BA2153	1331.0218556577304	0.1179660544193318
BA2155	621.3355935278439	0.0332657098691588
BA2156	1073.0524097266143	0.1126451138767699
BA2162	777.1502831973705	0.0697051172596975
BA2163	222.89718635289796	0.1851652216114061
BA2168	600.1522459008418	0.0561529021150575
BA2169	515.3014576082433	0.0721593507112641
BA2171	1060.0132072311694	0.2647719919523222
BA2172	1285.5666526108653	0.0564958233501456
BA2174	695.0197814809409	0.1448877389936504
BA2175	259.9379581461479	0.0419824743589307
BA2184	2459.967100585478	0.3340889968151219
BA2195	669.5415256707589	0.0379417987388647
BA2198	1047.4834367515962	0.1578216658023505
BA2200	1259.7528710461302	0.2508689159035044
BA2201	527.5463422425489	0.0384407595301598
BA2209	569.168974056234	0.066476034830164
BA2211	922.0441599225848	0.1734506065289369
BA2212	1006.7795485871216	0.097484644256485
BA2217	794.3959000794692	0.1428463970276982
BA2218	979.1264761510888	0.0612374874535718
BA2220	1087.3233925515065	0.0530958744181109
BA2221	462.1590218189288	0.0763985781024772
BA2224	449.9752633840964	0.052421077516285
BA2226	1559.633324170032	0.145327449498674
BA2227	1482.5946346789062	0.2153971559574195
BA2228	1001.3862794833952	0.0744926057996398
BA2229	738.7999339107024	0.0901648970844593
BA2233	704.8765433216022	0.085443414238726
BA2234	489.7659139514642	0.076779741510857
BA2235	813.1721123707271	0.0676980102337728
BA2236	603.8020683247107	0.1672875384913672
BA2239	411.5910683166015	0.0541100919487998
BA2240	744.2802145077496	0.2971600684324352
BA2242	509.0772584429415	0.1737829735947334
BA2244	627.8026202933338	0.0908351550745052
BA2245	756.6573811014342	0.1094421615411064
BA2248	678.3991706131033	0.0549316650351279
BA2249	657.7914731101705	0.1321840502685588
BA2251	754.9645452137293	0.0896082682742295
BA2256	1282.3701699887013	0.1032901225218553
BA2260	601.2404678635722	0.0463782661188716
BA2261	260.06442243630283	0.0434264715218046
BA2269	156.11579028744114	0.0180079748948012
BA2271	613.650309930424	0.2087672879734358
BA2272	590.9301324570083	0.1413671445833375
BA2273	643.2132071771085	0.0863319894020132
BA2275	363.8970945171562	0.1076230139299438
BA2276	696.4642064905366	0.0511840021789508
BA2277	941.8999230390806	0.1966654651824613
BA2280	1003.6094654686798	0.2305049838676431
BA2281	862.6606165307038	0.1491133273216093
BA2282	323.8101324218687	0.1168926656594126
BA2286	1327.2542607189002	0.1320440426680593
BA2288	454.9879360677273	0.0581374616037388
BA2292	1297.5291890343124	0.0914971072261928
BA2294	847.8341622688226	0.1366520501208923
BA2296	1323.2688825637783	0.1735343303840212
BA2300	937.6118692053608	0.2033799192721407
BA2301	487.466436665099	0.0480383823617595
BA2302	944.8934392870464	0.0471977680597172
BA2304	211.44701354763023	0.0432212340138654
BA2306	901.786427961314	0.0628654961027435
BA2308	863.2564754537051	0.1122484721072064
BA2309	699.7744213550873	0.1232330584275558
BA2311	410.0625952361645	0.0717670685733527
BA2312	594.399621006936	0.0954569270960155
BA2316	412.6156787816864	0.0532673014588623
BA2322	858.080363788471	0.1551498420090979
BA2325	219.69341172145727	0.0265435731145648
BA2329	511.997061796872	0.0549247842163688
BA2334	464.35318109278455	0.0791399195914612
BA2339	243.40496241424609	0.0217121232333996
BA2344	1338.8400557636896	0.1279410698874738
BA2347	363.8338714002281	0.0367310531984469
BA2348	163.47130967633814	0.003519204307079
BA2350	204.6322921444288	0.0089491454429231
BA2354	1407.5827175811046	0.0560238492025801
BA2355	860.7745633511192	0.046755101166505
BA2357	793.4590747498338	0.0505623691211864
BA2360	1029.0874538131768	0.1006868797274653
BA2361	512.3302610000163	0.0255708785530078
BA2363	344.37315787908767	0.0311602546979382
BA2369	935.9463449455876	0.040035765422189
BA2374	769.8035383317925	0.1636480272801026
BA2375	708.949695691897	0.1429621585061136
BA2376	217.837552447061	0.0746402682837129
BA2377	1620.696566978597	0.0932091390904482
BA2379	326.9421995923817	0.0219099196855649
BA2385	628.0703635992583	0.0128564141591821
BA2386	1105.0537048660103	0.128550755823059
BA2387	735.7457824756591	0.104734250660231
BA2394	656.9536912697255	0.1139824998499998
BA2399	863.6350532498634	0.1494375343017371
BA2400	2251.1756771923	0.2770835670662958
BA2402	1132.8083556874635	0.1591310590901412
BA2405	819.4816206555411	0.0656792984262622
BA2406	455.82191344869887	0.0609708062186819
BA2409	384.3329069019392	0.1053051788921999
BA2410	1750.142878574093	0.1295151221279692
BA2412	147.10920649053665	0.0464002990315951
BA2413	924.3690286900533	0.098004847354525
BA2414	1174.7778707298746	0.3249297985562776
BA2415	352.56962425058254	0.0741398373397872
BA2417	667.7037800050819	0.0353988650862985
BA2418	445.7194689069452	0.0691512968661197
BA2420	675.3308830557313	0.0796931304077031
BA2421	651.5041767354861	0.0519168827317935
BA2423	454.13566416365273	0.0781442284187416
BA2425	500.2002133778794	0.068659384530959
BA2426	661.9735664974564	0.0815271047500389
BA2427	539.9111996626607	0.0602014671794231
BA2429	600.1961675721845	0.1307677859686435
BA2440	864.1078835422782	0.1045993588245728
BA2441	425.5303468620424	0.1900776786429468
BA2442	878.4137108343198	0.1367121791541706
BA2446	509.50240199592383	0.0701879314292642
BA2449	1679.51772423058	0.0799560791405512
BA2450	609.4299564675608	0.1104196066150529
BA2452	1162.0438778550847	0.1188490958031465
BA2454	745.3580045356989	0.129080299076433
BA2455	390.7647405569341	0.0385047030042548
BA2456	397.9003733707434	0.0200782865512092
BA2459	1215.4964029582056	0.0343375206727972
BA2461	436.4138683457943	0.0950534213944904
BA2463	359.6115960903247	0.0364481333889509
BA2464	1015.2788934029636	0.0667384091774848
BA2469	387.8750166642339	0.0755456835743926
BA2470	457.57169279964535	0.0756810640912953
BA2472	447.3715749201252	0.0207277395908475
BA2473	894.9562600620617	0.0719542977678327
BA2474	575.5878617828162	0.0742293594375833
BA2477	1491.0319350730088	0.1519625117508503
BA2479	399.7088210155857	0.101125663840405
BA2480	478.9776202122426	0.0738019674720819
BA2481	351.52108940030377	0.0217145405689416
BA2482	805.4864506668396	0.1350795341610308
BA2483	685.8239964103647	0.1397199153277361
BA2485	622.211135514145	0.1378398933023148
BA2488	454.2514129053882	0.0672519789076938
BA2489	831.7894227390433	0.0287353841402554
BA2492	304.75228457592027	0.0248771136303785
BA2494	744.4210554014824	0.010461955818379
BA2496	350.10427595863274	0.0137243111493975
BA2497	459.164025176103	0.0431722102383695
BA2499	1215.8143966493133	0.0587280132382606
BA2500	514.1612743016699	0.088749107452825
BA2501	829.0114015472194	0.1239738077699115
BA2502	475.9212578590853	0.059557106723349
BA2505	917.3075047384268	0.0636415457980716
BA2507	549.1035245192646	0.12900452648963
BA2510	819.3453807176026	0.0216839556619956
BA2511	310.38045202376514	0.0406258492309232
BA2512	297.4810904058342	0.0952133355070604
BA2514	722.3955446623094	0.0803556589630221
BA2515	611.7897475091498	0.0359837221287077
BA2520	563.2975840780205	0.0784264421961398
BA2521	805.7008130956823	0.1693775922902065
BA2523	875.4790358260757	0.2313327878952609
BA2524	931.078368926948	0.063171318115365
BA2525	451.6653062218546	0.0834790476962339
BA2526	990.3383096222774	0.0444725170099215
BA2528	1094.8701903696135	0.2023643794430974
BA2532	503.22428308113984	0.0382115334484186
BA2534	848.5101283619045	0.2042733801285442
BA2538	628.4832761910941	0.1014170659427491
BA2539	539.9096717916279	0.0811043061244663
BA2540	589.9655471977597	0.0331806329385775
BA2541	727.72020609319	0.1019729351325194
BA2545	647.2364441660316	0.1463705067291181
BA2546	415.4442953177963	0.1109227368857518
BA2552	1511.0459870686627	0.1762190111638828
BA2559	917.200021186418	0.0838502968540673
BA2561	738.135338339361	0.0449153301617927
BA2563	884.8698027592621	0.1990026337357149
BA2564	628.5977134454555	0.090107676620842
BA2567	277.10499196656883	0.0777843114899785
BA2570	1042.4509403817774	0.0877376565394098
BA2575	261.6719320104662	0.0582231689704235
BA2577	1032.876321645394	0.196304701278205
BA2579	449.4176386199365	0.1234739554449296
BA2583	1188.087690821021	0.0942085327767785
BA2584	416.4702869762186	0.1187974183565976
BA2587	699.6269820572288	0.2344151425392358
BA2588	1026.9398317358373	0.087040641090312
BA2589	618.6410391832499	0.0133655371917645
BA2592	1865.1866485698224	0.1833257986723231
BA2593	30.008362985668484	0.0150460215470757
BA2594	471.0287942014413	0.1136076198389873
BA2595	727.4920774690906	0.0411758697768933
BA2597	290.60834830816805	0.0295704824410598
BA2600	1025.2452093908971	0.0663375819290422
BA2603	996.626896776356	0.0822063316564084
BA2618	1058.6337250847405	0.1842326720457313
BA2619	338.3126510809452	0.0461890832830994
BA2620	1012.9845355638809	0.1312437638819949
BA2621	567.4479645307254	0.0620098021830141
BA2622	923.4883389502478	0.1637770639066438
BA2623	1683.427266295269	0.3181734844944141
BA2629	580.2238365580586	0.1613761922943145
BA2631	1103.702527606135	0.129616361671543
BA2634	299.626886802143	0.0523416203839581
BA2636	794.771285538202	0.0242065007602284
BA2639	843.6370720413889	0.1418217818592967
BA2644	468.4459418954788	0.1189973354889309
BA2645	503.7044701503431	0.0198111104417501
BA2646	959.2048435967716	0.2011053650132279
BA2649	1079.3861986706456	0.0865531046850682
BA2651	610.7334201495321	0.0089174029213471
BA2653	479.0693402693308	0.0171862082962855
BA2655	3003.6905966687755	0.196344225470409
BA2656	514.2763095411862	0.0279373674675858
BA2657	669.203610686734	0.0612885299823111
BA2658	820.7877083772577	0.1011237769350444
BA2659	663.9202028035917	0.0607844578325144
BA2660	632.6777537477633	0.0777833115905941
BA2662	563.0684322375214	0.0893704394643279
BA2663	383.4983388421264	0.0554013062757426
BA2667	698.1010292441762	0.0937483551301308
BA2670	555.3930685787963	0.0251451662812089
BA2674	786.7028774874713	0.0559964765819862
BA2675	887.205862809971	0.119843905813962
BA2676	594.0487446493348	0.1404605055134352
BA2677	721.5664782648653	0.1134993727876606
BA2681	851.2115127826703	0.0612498142952443
BA2682	1025.0039654389466	0.1418443074555738
BA2685	1395.1228150743066	0.1673144834048794
BA2688	542.31391518405	0.0327565178843953
BA2691	699.0809335701197	0.1747150534678381
BA2694	604.2582632975992	0.0162849820090413
BA2695	228.02306189418147	0.0307011320305251
BA2697	162.71351757245495	0.0464786238912035
BA2701	403.2378313195695	0.0424323885486292
BA2704	770.3680937846327	0.1792736071008369
BA2705	821.8583313871455	0.0521359681573875
BA2707	1182.3407322531991	0.0824398385454266
BA2709	641.9214397735934	0.0323868735167536
BA2712	274.531070857458	0.0696220706937469
BA2714	1088.2035228974412	0.1526101609238658
BA2715	186.4053981792331	0.0105559848155265
BA2718	750.0273149040149	0.103616947177756
BA2720	333.3011297891089	0.0057517648317859
BA2721	902.9906278348118	0.1326703322696968
BA2722	345.73765495169664	0.0607004389529691
BA2723	562.7173060921087	0.0317319100810956
BA2724	491.17039401655336	0.0263529019099827
BA2726	143.18557004384326	0.071493569347419
BA2727	1172.2530557853138	0.107543219206656
BA2728	464.20429209577406	0.075765897371543
BA2731	364.9530811398174	0.0355051578338312
BA2733	513.9352604053477	0.0327326485038648
BA2735	799.3425756175093	0.0635548523609703
BA2737	263.86370775826185	0.0424417728807018
BA2742	574.2548448726058	0.1313105467235439
BA2744	386.50566353654784	0.0200296070132856
BA2746	423.074653154176	0.0625473131272191
BA2747	771.2897838190694	0.0521911589228564
BA2748	1668.7576324488991	0.18888162853791
BA2751	716.8933163852803	0.1384827457414379
BA2756	1069.0665183779606	0.0534407346767188
BA2758	371.7774084615926	0.1024752744750733
BA2760	688.0308768873967	0.0928884764474027
BA2762	747.3631063321386	0.0563559129718928
BA2764	506.734693475405	0.0960490553117994
BA2765	345.8721956783816	0.0765203224900109
BA2769	937.0731507376591	0.054191543401837
BA2772	918.2200368910728	0.0235350004420649
BA2775	894.5923074490343	0.1469726016829702
BA2776	787.9974145434297	0.2070017413801222
BA2778	251.36472120858272	0.0369179881046646
BA2782	410.5745676029993	0.1210369855386999
BA2786	1015.5002481065212	0.0923753772580629
BA2787	108.04856925455596	0.0210617512494751
BA2789	1616.955979143353	0.1740984222993783
BA2791	811.1306944917475	0.062778710050981
BA2792	604.0455384453203	0.037315008338574
BA2798	1645.4384054504071	0.0947166434683381
BA2801	551.8569786243695	0.0312833876693852
BA2802	233.2144021635122	0.0518389467685982
BA2804	664.8175138530737	0.0213616596643447
BA2806	839.1263056488103	0.0674791724831266
BA2808	469.0915221892452	0.0879006628968596
BA2809	929.151270211972	0.1037853513990289
BA2811	662.5363020267387	0.0924179034656874
BA2812	748.1997015520849	0.0900840821053302
