	JAK2	STAG2
BA2000	0.0291897060933032	0.045373231419743
BA2003	0.0107620455582242	0.0190274841437632
BA2004	0.0294214844431332	0.0769230769230769
BA2006	0.0139203193029816	0.0443974630021141
BA2011	0.0335611846244865	0.040169133192389
BA2019	0.0393401558768148	0.0617986664498292
BA2020	0.0552586288569599	0.0865181330297609
BA2022	0.0166194155703568	0.0530167506911693
BA2023	0.0349664877344926	0.0211416490486257
BA2024	0.0931528403048237	0.0845665961945031
BA2025	0.0219148565970259	0.0416327858188323
BA2031	0.0230474730125086	0.0066677508537973
BA2032	0.0043383673383503	0.0380549682875264
BA2033	0.0425502860219604	0.066352252398764
BA2034	0.0219667129974142	0.0110587087331273
BA2035	0.0136245081786248	0.0483005366726296
BA2036	0.0220219873273852	0.0395186209139697
BA2037	0.0256350593272467	0.0796877541063587
BA2041	0.0064258678310128	0.045373231419743
BA2044	0.0383455917733852	0.0426085542364612
BA2046	0.0164560492173315	0.0606602699625955
BA2047	0.0238842783036345	0.0476500243942104
BA2050	0.0068784764749781	0.0213042771182306
BA2051	0.0209268613270132	0.0489510489510489
BA2052	0.0127049249054168	0.0442348349325093
BA2053	0.0072361307627227	0.0393559928443649
BA2054	0.0360063394048935	0.0422832980972515
BA2055	0.0186053928733818	0.0203285087006017
BA2063	0.0064899006055396	0.0499268173686778
BA2065	0.0180103526950855	0.0434216945844852
BA2066	0.0899149394818183	0.0788746137583346
BA2068	0.0090487549497227	0.0367539437306879
BA2069	0.0310210754878587	0.0377297121483168
BA2072	0.0331869747403254	0.0289477963896568
BA2079	0.0556615707116759	0.0591966173361522
BA2080	0.010048926593874	0.0250447227191413
BA2081	0.0179463199205587	0.028785168320052
BA2082	0.0210880380688996	0.0456984875589526
BA2087	0.0171051354071549	0.0258578630671653
BA2088	0.0175080772618709	0.0616360383802244
BA2089	0.0934386646661809	0.0291104244592616
BA2093	0.0093214416442462	0.0352902911042445
BA2094	0.0262797662947923	0.0351276630346397
BA2095	0.0099848938193472	0.0396812489835745
BA2096	0.0102432145285932	0.024394210440722
BA2097	0.0313930957608807	0.0661896243291592
BA2098	0.028358508342899	0.0201658806309969
BA2100	0.0070727644096973	0.0308993332249146
BA2101	0.0310476178472747	0.0335013823385916
BA2104	0.0333712759120451	0.0203285087006017
BA2106	0.0102288485433157	0.0279720279720279
BA2109	0.019291969478316	0.0491136770206537
BA2110	0.0312009974373004	0.0291104244592616
BA2113	0.0361928301877522	0.0398438770531793
BA2116	0.0288408102501144	0.0713937225565132
BA2121	0.035127664476379	0.0546430313872174
BA2122	0.0072030195698898	0.0398438770531793
BA2123	0.0093401868518016	0.0494389331598633
BA2124	0.0166359711667732	0.0396812489835745
BA2125	0.0235310032381678	0.0546430313872174
BA2132	0.0246967308464833	0.0445600910717189
BA2133	0.0173203581605685	0.0455358594893478
BA2134	0.033025797998439	0.0255326069279557
BA2135	0.0175102668730099	0.0380549682875264
BA2139	0.042155141319105	0.031387217433729
BA2143	0.0205029846536029	0.0361034314522686
BA2148	0.0027034754896531	0.0273215156936087
BA2153	0.0259695891851581	0.0632623190762725
BA2155	0.0057955268487447	0.0278093999024231
BA2156	0.017247566941486	0.0526914945519596
BA2162	0.0380232382896124	0.0489510489510489
BA2163	0.0193560022528428	0.0496015612294682
BA2168	0.004288700549101	0.0139860139860139
BA2169	0.0092574088697195	0.033176126199382
BA2171	0.0213276135705903	0.057570336640104
BA2172	0.0071224311989466	0.0336640104081964
BA2174	0.0641771286464902	0.0616360383802244
BA2175	0.0384327489777453	0.0754594242966336
BA2184	0.046100553565739	0.0910717189786957
BA2195	0.015375289202237	0.0369165718002927
BA2198	0.0238036899326913	0.0556187998048463
BA2200	0.0329452096274958	0.0725321190437469
BA2201	0.0191307927364296	0.0304114490161001
BA2209	0.0151666352822403	0.0559440559440559
BA2211	0.0130603895820224	0.0442348349325093
BA2212	0.0137403973535398	0.019190112213368
BA2217	0.0226048511315429	0.0466742559765815
BA2218	0.0051155190772273	0.0292730525288664
BA2220	0.0148708241578835	0.0416327858188323
BA2221	0.0217327450364452	0.0297609367376809
BA2224	0.0198251664932245	0.0406570174012034
BA2226	0.0820319121404111	0.0993657505285412
BA2227	0.0266043093897041	0.0354529191738494
BA2228	0.0142592283831708	0.0852171084729224
BA2229	0.0152284784456281	0.0650512278419255
BA2233	0.0195127997724513	0.0252073507887461
BA2234	0.0418305982241933	0.0572450805008944
BA2235	0.0281873448380131	0.0476500243942104
BA2236	0.0201165983953034	0.0422832980972515
BA2239	0.0480081321089597	0.033176126199382
BA2240	0.0343858135414738	0.0757846804358432
BA2242	0.0376181068237575	0.0502520735078874
BA2244	0.0678410957540449	0.0578955927793137
BA2245	0.0282017108232905	0.0580582208489185
BA2248	0.0076534386027162	0.0187022280045535
BA2249	0.0297029295822125	0.063750203285087
BA2251	0.0264553090219562	0.0440722068629045
BA2256	0.0084968127272589	0.0286225402504472
BA2260	0.0280614689000985	0.0242315823711172
BA2261	0.0117687860357923	0.0413075296796227
BA2269	0.0083047144036786	0.0413075296796227
BA2271	0.0355946391056218	0.0774109611318913
BA2272	0.0604072591270201	0.0509025857863067
BA2273	0.0111528110388017	0.0322003577817531
BA2275	0.0760111757752531	0.1136770206537648
BA2276	0.0122501266503125	0.033176126199382
BA2277	0.0611138092579536	0.0725321190437469
BA2280	0.0548634841541046	0.0912343470483005
BA2281	0.0087716890329213	0.0359408033826638
BA2282	0.0339685057014803	0.0426085542364612
BA2286	0.0198042316745302	0.0536672629695885
BA2288	0.0087573230476439	0.0354529191738494
BA2292	0.0123163490359783	0.0400065051227841
BA2294	0.0173800117128174	0.0391933647747601
BA2296	0.0236612583983603	0.061961294519434
BA2300	0.0197136565405874	0.0894454382826475
BA2301	0.0242816126176288	0.0448853472109286
BA2302	0.0120392831191769	0.0378923402179216
BA2304	0.0215406467128649	0.0250447227191413
BA2306	0.0258459028583824	0.0469995121157911
BA2308	0.0177807639563944	0.031387217433729
BA2309	0.0385233241116881	0.0398438770531793
BA2311	0.0545730135447208	0.0343145226866157
BA2312	0.0343979899156123	0.0419580419580419
BA2316	0.0198704540601959	0.0307367051553098
BA2322	0.0429797702360924	0.050577329647097
BA2325	0.0199201208494452	0.023581070092698
BA2329	0.0277800237610192	0.0302488209464953
BA2334	0.0153234328018488	0.0221174174662546
BA2339	0.0117047532612655	0.0391933647747601
BA2344	0.0169108474724357	0.033176126199382
BA2347	0.0246558225017898	0.0538298910391933
BA2348	0.0121386166976754	0.017401203447715
BA2350	0.014195195608644	0.0234184420230931
BA2354	0.030289211315953	0.0603350138233859
BA2355	0.0117831520210698	0.0790372418279395
BA2357	0.0084990023383978	0.0222800455358594
BA2360	0.0199366764458616	0.0411449016100178
BA2361	0.0246305084608176	0.0365913156610831
BA2363	0.0187543932411296	0.017401203447715
BA2369	0.0211895612585372	0.0426085542364612
BA2374	0.0202799647483287	0.063750203285087
BA2375	0.0677174094272692	0.0609855261018051
BA2376	0.0595495190171999	0.0434216945844852
BA2377	0.0357733327366197	0.090746462839486
BA2379	0.0139037637065651	0.0629370629370629
BA2385	0.0076721838102715	0.0598471296145714
BA2386	0.0182874186118869	0.0591966173361522
BA2387	0.0250168947191172	0.0460237436981623
BA2394	0.0898608934702911	0.0660269962595544
BA2399	0.0134942530184323	0.0307367051553098
BA2400	0.050015044230679	0.0611481541714099
BA2402	0.0225904851462654	0.050577329647097
BA2405	0.0106296007868928	0.0169133192389006
BA2406	0.0232561269325053	0.0312245893641242
BA2409	0.0315399065174897	0.0452106033501382
BA2410	0.009761873914073	0.0346397788258253
BA2412	0.0336417729954297	0.0351276630346397
BA2413	0.0182995949860254	0.0304114490161001
BA2414	0.0316492268589878	0.0652138559115303
BA2415	0.0289810521733065	0.0365913156610831
BA2417	0.0139225089141205	0.0476500243942104
BA2418	0.0066367113621485	0.0178890876565295
BA2420	0.0236734347724988	0.0424459261668564
BA2421	0.0220903993241898	0.0609855261018051
BA2423	0.0442404522006286	0.023581070092698
BA2425	0.0294027392355779	0.0367539437306879
BA2426	0.0279830701402942	0.0305740770857049
BA2427	0.0075110070683851	0.0248820946495365
BA2429	0.0304007212685901	0.0583834769881281
BA2440	0.0204886186683255	0.040982273540413
BA2441	0.0454349117794991	0.094324280370792
BA2442	0.0188537268196282	0.0466742559765815
BA2446	0.0247420184134547	0.0367539437306879
BA2449	0.0087882446293378	0.0681411611644169
BA2450	0.0170079914397953	0.045373231419743
BA2452	0.0079139489231011	0.0390307367051553
BA2454	0.0403381379098271	0.0588713611969425
BA2455	0.0196286889473663	0.0213042771182306
BA2456	0.0088710226114199	0.038380224426736
BA2459	0.0030114629881484	0.0372418279395023
BA2461	0.0624197787894612	0.070743210278094
BA2463	0.0535178345963473	0.0388681086355504
BA2464	0.0085939566946185	0.0520409822735404
BA2469	0.0102928813178425	0.0630996910066677
BA2470	0.0146974710418586	0.042771182306066
BA2472	0.0131906447422149	0.0458611156285574
BA2473	0.0085155579348143	0.0565945682224751
BA2474	0.017216645359792	0.0320377297121483
BA2477	0.0304547672801173	0.0683037892340217
BA2479	0.0072008299587509	0.0260204911367702
BA2480	0.0186406936773536	0.040982273540413
BA2481	0.0088213558221706	0.0196779964221824
BA2482	0.036049437360726	0.0456984875589526
BA2483	0.0285449991257577	0.0515530980647259
BA2485	0.0147240134012746	0.0278093999024231
BA2488	0.0206807169919058	0.0590339892665474
BA2489	0.0087551334365049	0.0196779964221824
BA2492	0.0172828677454578	0.0535046348999837
BA2494	0.0114420533297416	0.0361034314522686
BA2496	0.019953232042278	0.0271588876240039
BA2497	0.0107002023948364	0.0294356805984712
BA2499	0.0122523162614515	0.0154496666124573
BA2500	0.0392861098652876	0.090746462839486
BA2501	0.0193725578492592	0.064563343633111
BA2502	0.0446908712334549	0.0494389331598633
BA2505	0.0205857626356851	0.0211416490486257
BA2507	0.0197092773183095	0.0308993332249146
BA2510	0.0104871692525618	0.0177264595869247
BA2511	0.0123969374069214	0.0175638315173198
BA2512	0.1004839254237671	0.070743210278094
BA2514	0.0096790959319908	0.0276467718328183
BA2515	0.0062150242998771	0.0297609367376809
BA2520	0.0129732323776624	0.0138233859164091
BA2521	0.0310232650989976	0.0606602699625955
BA2523	0.0134136646474891	0.0346397788258253
BA2524	0.0100511162050129	0.0299235648072857
BA2525	0.0054378725610001	0.0369165718002927
BA2526	0.021796777810972	0.0315498455033338
BA2528	0.023353270899865	0.0237436981623028
BA2532	0.0113305433771045	0.0647259717027158
BA2534	0.0229603158081486	0.0528541226215644
BA2538	0.0127502124723882	0.0219547893966498
BA2539	0.0474296475270798	0.061961294519434
BA2540	0.0170223574250728	0.0273215156936087
BA2541	0.0153896551875145	0.0356155472434542
BA2545	0.0400345296336096	0.0630996910066677
BA2546	0.0218133334073884	0.0403317612619938
BA2552	0.0181571634516944	0.049764189299073
BA2559	0.0111362554423852	0.0626118067978533
BA2561	0.0162286500897793	0.017401203447715
BA2563	0.0205648278169908	0.0413075296796227
BA2564	0.0340303488648682	0.0312245893641242
BA2567	0.0120558387155933	0.0359408033826638
BA2570	0.0101979269616218	0.0712310944869084
BA2575	0.0373288645328176	0.0294356805984712
BA2577	0.0193372570452874	0.0458611156285574
BA2579	0.0284975219476473	0.0572450805008944
BA2583	0.0209721488939846	0.0234184420230931
BA2584	0.0473921571119691	0.033176126199382
BA2587	0.0716749980480417	0.0671653927467881
BA2588	0.019407858653231	0.0484631647422345
BA2589	0.0069446988606438	0.0538298910391933
BA2592	0.0208728153154861	0.0483005366726296
BA2593	0.0070396532168645	0.0188648560741584
BA2594	0.0211995480215368	0.0404943893315986
BA2595	0.015145700463546	0.0308993332249146
BA2597	0.0116672628461548	0.0323629858513579
BA2600	0.0218630001966377	0.0292730525288664
BA2603	0.0283650771763159	0.0548056594568222
