	SMC1A	CBL
BA2000	0.7462069123289923	9.042644126724811
BA2003	0.0732785815434064	5.172451118714257
BA2004	0.3863072303795603	26.397456558513632
BA2006	0.0262961258180623	0.2775597215944521
BA2011	0.0723773414240564	10.39739286954303
BA2019	0.523339371811861	2.9332356620568487
BA2020	0.7269029971477832	16.031971744555168
BA2022	0.443322630006295	10.982335116201115
BA2023	0.2495570895047683	13.595149393206244
BA2024	0.287155169944375	50.44893489241544
BA2025	0.7480948467765653	20.959384514847557
BA2031	0.5121456086847467	12.937146078398
BA2032	0.1039793903154649	7.8221525310228035
BA2033	0.1632966835095074	9.017506283315631
BA2034	0.3037435369718935	14.57752442768244
BA2035	0.2139238826754796	11.145404232541518
BA2036	0.4182774010351495	9.584737243464286
BA2037	0.4109814903870589	13.16194562731469
BA2041	0.3631849950003453	2.305962484274798
BA2044	0.4350917369616048	14.096762304979828
BA2046	0.101481482767567	9.624383645759767
BA2047	0.4789123837285003	12.796346075945406
BA2050	0.3102335430687024	7.079443114097531
BA2051	0.1054519895597969	10.511669162830255
BA2052	0.1795116800701992	5.107642536585612
BA2053	0.079902067313681	7.222321545137492
BA2054	0.4074334016411099	12.01114379043066
BA2055	0.0326916807866485	0.4425617081459523
BA2063	0.1168140629305023	8.313044935404431
BA2065	0.390159335102721	10.41259137029753
BA2066	0.922025420781572	57.12784580418294
BA2068	0.155245402509188	4.4915824176669705
BA2069	0.5229027636462918	12.825323808366926
BA2072	0.4090721059199481	13.935004160509502
BA2079	0.1799575021313978	27.303743679678167
BA2080	0.1230857485084649	6.229220735606777
BA2081	0.4536414243684186	11.492191287247948
BA2082	0.1162295533206854	6.753891254870901
BA2087	0.1188928086940584	14.601526983731487
BA2088	0.2833929198271572	4.571627996343174
BA2089	0.7049345073865925	49.12873542436498
BA2093	0.2085745418008944	12.572726267444608
BA2094	0.3974949642017643	17.223595244356925
BA2095	0.4427808684462046	10.848311736218765
BA2096	0.4238488908780826	2.236285493649243
BA2097	0.2734491493902399	15.477626241643684
BA2098	0.4418320681385367	8.127967125444737
BA2100	0.0518182790007006	6.2617054658574105
BA2101	0.1482072923351178	11.171287645063163
BA2104	0.1650236484634113	15.91701751949816
BA2106	0.2404122878180016	5.606799514979807
BA2109	0.1385070484148851	9.560472490372206
BA2110	0.2190038677505027	9.469838089526323
BA2113	1.0902259540283143	51.876008412786405
BA2116	0.1669632966647874	17.851135269293863
BA2121	0.45416991707132	36.703474433044384
BA2122	0.0944624458861666	5.099888076141857
BA2123	0.3289941917044279	1.6290154359927176
BA2124	0.2576586418409293	8.591976551839926
BA2125	0.5549049624963852	11.843062855263057
BA2132	0.3380670016794452	12.13857476454282
BA2133	0.1189663302955098	8.10824388184725
BA2134	0.2258618878717793	10.322625018296296
BA2135	0.1666776882535282	10.12687274165399
BA2139	0.2703667211430057	13.92488578888143
BA2143	0.3534699019272844	7.0025989574377885
