#Boxplots d'expressions du gène IDH1 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 43.062, p-value = 0.00000
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        7.520821
BA2496       1        6.592569
BA3037       1        5.441385
BA2865       1        6.977949
BA2751       1        7.152467
BA2286       1        6.156087
BA2488       1        6.357576
BA3379       1        5.942632
BA2887       1        5.851449
BA2712       2        7.453751
BA2068       2        4.806078
BA2104       1        7.737327
BA3124       1        4.221367
BA2449       1        4.227507
BA2235       1        7.195620
BA3038       1        7.209736
BA3006       3        6.496993
BA2667       1        6.497996
BA2239       1        7.147647
BA2782       3        6.643584
BA2649       1        6.232149
BA2861       1        7.035492
BA2134       1        6.533967
BA2909       1        6.345485
BA2653       1        4.901528
BA2947       1        4.832682
BA2162       1        5.330283
BA2564       1        6.858323
BA2597       4        2.843610
BA3243       2        5.484304
BA2446       1        6.556613
BA2525       4        3.657285
BA2876       4        3.201855
BA2357       2        3.693922
BA2546       1        7.330738
BA2742       1        9.096003
BA2316       1        9.059425
BA2087       2        4.868841
BA2148       2        4.426235
BA3178       3        6.289081
BA2072       1        6.780750
BA2733       2        4.223638
BA2995       2        4.543418
BA2069       1        6.951500
BA2681       3        5.348290
BA2832       2        5.241409
BA2600       4        5.225006
BA3230       1        5.349367
BA2731       2        6.191204
BA2294       4        5.512054
BA2816       4        4.975259
BA2814       3        7.648956
BA2631       1        6.476208
BA2023       1        7.429288
BA2375       1        5.848649
BA2485       1        6.600510
BA2455       4        6.614843
BA2636       4        2.957076
BA2325       1        7.319378
BA2156       1        6.533478
BA2511       4        3.637787
BA2505       4        4.823282
BA2871       3        5.565961
BA2227       1        4.777352
BA2812       3        5.829348
BA2125       1        6.430001
BA2603       1        6.258969
BA2808       4        5.300257
BA2482       1        6.939541
BA2594       1        6.949458
BA2747       4        5.230688
BA2561       3        7.358635
BA2567       3        3.409362
BA2906       1        6.565838
BA2956       2        4.936804
BA2474       1        6.419933
BA2737       2        7.004906
BA2110       1        6.605790
BA2992       4        5.298739
BA2220       1        5.880053
BA2063       2        2.864896
BA2772       2        4.207524
BA2935       4        5.762932
BA2260       3        6.306953
BA2948       3        4.458297
BA3296       1        6.142351
BA2524       4        4.713380
BA2811       1        5.959833
BA2540       4        5.101085
BA2928       1        6.628999
BA2302       4        4.359805
BA2651       4        4.519028
BA2619       1        6.579219
BA3013       4        6.234864
BA2405       3        4.633873
BA2856       3        4.645211
BA2377       2        4.723544
BA2499       2        3.581751
BA3023       4        3.850812
BA2095       1        6.096452
BA2275       1        6.141495
BA2901       2        5.024168
BA2387       1        6.079063
BA2962       1        7.456700
BA2195       4        4.083206
BA2688       2        3.238586
BA2420       1        5.913602
BA2053       2        5.258927
BA2081       1        7.180788
BA2354       1        6.262036
