#Boxplots d'expressions du gène SMC1A en fonction de la feature priorMDS
#Résultat du test statistique Mann-Whitney : U = 8635.000, p-value = 0.02679
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2300       n        0.064681
BA2545       n        0.041138
BA2840       n        0.045462
BA2528       n        0.034086
BA2646       n        0.028608
BA3067       y        0.043622
BA2926       n        0.041751
BA2272       n        0.029739
BA2306       n        0.031918
BA2726       n        0.039546
BA2234       n        0.101956
BA2022       n        0.050997
BA2037       n        0.044452
BA2184       n        0.045101
BA3009       n        0.052207
BA2442       n        0.031910
BA2882       n        0.025135
BA2347       n        0.009184
BA2570       n        0.020890
BA2721       n        0.052535
BA2728       y        0.055871
BA2098       n        0.055467
BA2951       n        0.026290
BA2778       n        0.046712
BA3153       n        0.007555
BA2820       n        0.035573
BA2704       n        0.069788
BA2584       n        0.027596
BA3079       n        0.021650
BA2361       n        0.023084
BA2472       n        0.016977
BA2047       n        0.050501
BA2101       n        0.017769
BA2082       n        0.012244
BA2456       n        0.013212
BA2175       n        0.038365
BA2507       n        0.021602
BA2563       n        0.028331
BA2984       n        0.032632
BA2414       n        0.040835
BA2697       y        0.018260
BA2644       n        0.026845
BA2011       n        0.008890
BA2217       n        0.041796
BA2454       n        0.047066
BA2776       n        0.077155
BA2135       n        0.019089
BA2914       n        0.063206
BA2500       n        0.055641
BA3108       n        0.052630
BA2303       n        0.048407
BA2160       n        0.028886
BA2590       n        0.047164
BA3195       n        0.020605
BA3036       n        0.028514
BA2971       n        0.014675
BA3410       n        0.022896
BA3118       n        0.029070
BA3206       n        0.029537
BA3217       n        0.032006
BA3405       n        0.036045
BA3306       n        0.012487
BA3413       n        0.034528
BA3411       y        0.048295
BA3133       y        0.049062
BA3451       n        0.056704
BA3286       n        0.074846
BA3212       n        0.056595
BA3103       n        0.026255
BA3271       n        0.069672
BA3152       n        0.050732
BA3095       n        0.032031
BA3251       n        0.048096
BA3362       n        0.078958
BA3135       n        0.019385
BA3408       y        0.017606
BA3098       n        0.046929
BA3435       n        0.029428
BA3261       n        0.036465
BA3203       n        0.012028
BA3299       n        0.022327
BA3347       n        0.031858
BA3126       n        0.036110
BA3418       y        0.011052
BA3245       y        0.022869
BA3085       n        0.020450
BA3171       n        0.029833
BA3277       n        0.016839
BA3157       n        0.036077
BA3433       n        0.012995
BA3374       n        0.053928
BA3450       n        0.024467
BA3167       n        0.022065
BA3269       n        0.009157
BA3110       n        0.016702
BA3156       n        0.024973
BA3226       n        0.043408
BA3421       n        0.018190
BA3232       n        0.067128
BA3289       n        0.010051
BA3430       n        0.031180
BA3384       n        0.071305
BA3427       n        0.024545
BA3449       y        0.048423
BA3163       n        0.069338
BA3158       n        0.037836
BA3436       n        0.039023
BA3154       n        0.024439
BA3162       n        0.019751
BA3352       n        0.018885
BA3084       n        0.061115
BA3149       n        0.017556
BA3169       n        0.024586
BA3180       n        0.019112
BA3255       n        0.033342
BA3438       n        0.039966
BA3345       y        0.027186
BA3431       n        0.009227
BA3181       n        0.034445
BA3341       n        0.016141
BA3191       n        0.036679
BA3197       n        0.046447
BA3448       n        0.055206
BA3453       n        0.037788
BA3406       n        0.024604
BA3334       n        0.020676
BA3447       n        0.015549
BA3116       n        0.021557
BA3280       n        0.016910
BA3185       n        0.012308
BA3094       n        0.029293
BA3318       n        0.030728
