	RAD21	NF1
BA2000	9.381081344897805	142.75490360837196
BA2003	10.804738111151956	153.6363602362335
BA2004	13.335979114927524	186.3131826561012
BA2006	2.270388898058533	0.0
BA2011	4.533384234237969	72.85716052294515
BA2019	12.845973706067053	204.9947885795207
BA2020	10.474535979065164	274.7370236131756
BA2022	8.710936477994075	126.77737922849806
BA2023	10.766220668380647	57.57670274404444
BA2024	6.96521768918246	129.19307576825068
BA2025	10.505514139483594	135.04261049402936
BA2031	8.497243158696646	47.7445319683995
BA2032	6.366887987848954	215.03490271417868
BA2033	10.68218662349429	92.53923653042108
BA2034	6.3724050702506645	153.47329527828623
BA2035	9.09435826239406	124.98326638084282
BA2036	11.528528001706562	238.32690231687388
BA2037	12.161082044759937	298.2964495900539
BA2041	15.208390411040217	135.22863046072317
BA2044	11.425941509678632	82.04710015020497
BA2046	6.153405994615816	144.0633694963439
BA2047	7.212823003588878	123.2929360773152
BA2050	7.305722580287018	95.22651628154628
BA2051	10.076275553605024	90.68870047977845
BA2052	13.286222314454694	110.66973675190388
BA2053	7.685499593258364	129.04169527931813
BA2054	11.47302251367756	115.25580563960666
BA2055	0.8900090654720321	1.861283467889972
BA2063	10.446657944155708	56.62966505689601
BA2065	11.84997670061323	201.62135608839577
BA2066	8.783252326731535	124.09319568255268
BA2068	8.054864759728023	78.65829945488635
BA2069	11.861180142963963	57.54297490294547
BA2072	5.724137968839168	86.57166007727321
BA2079	5.054760892054986	61.12137145648837
BA2080	10.124380642568726	157.83351245834615
BA2081	4.620438733254882	109.72745843655122
BA2082	8.105587557245181	81.44008518006407
BA2087	6.064210598186296	39.44265347415752
BA2088	11.119498790097158	122.118312008315
BA2089	13.153433288445951	166.7588903652543
BA2093	13.89440940587197	120.06260334565768
BA2094	14.301152628574505	80.35342502132465
BA2095	9.161177992328549	125.72932620776494
BA2096	9.584242645222831	38.14635019971428
BA2097	16.873178231003937	274.9535971649002
BA2098	6.2107357582394345	26.433437712180453
BA2100	6.090356050041996	66.13538217435533
BA2101	6.636690901812592	72.0511876030681
BA2104	5.107654904717963	88.2053799306977
BA2106	5.7185547695433705	153.3726439647684
BA2109	7.887808449114563	115.04825583911432
BA2110	4.875980173627301	74.36471936282452
BA2113	9.1025554010968	223.4154468177113
BA2116	17.398189447644924	171.4319149038356
BA2121	5.12776073278341	72.40096351612218
BA2122	11.690318294638107	54.47294224439686
BA2123	17.55701446978709	190.53116384213277
BA2124	12.868529500425566	184.66017011723795
BA2125	12.876343621232197	25.534304216960667
BA2132	9.340554458045636	170.7127216635003
BA2133	6.955488449442417	80.18133477228218
BA2134	6.682310630032674	49.273239517076505
BA2135	6.849923340263783	15.131785600875178
BA2139	6.787244348233263	41.481996912376765
BA2143	13.400617340713	96.97194172507986
BA2148	5.204481045400393	89.68429975044664
BA2153	9.114530887927913	146.4827052853341
BA2155	5.233148408171361	71.92339924235235
BA2156	8.392648810880598	168.64129625232474
BA2162	9.1097160557551	147.29495642603302
BA2163	14.314580633635316	217.2043669052266
BA2168	6.647345389277667	130.512102414608
BA2169	8.745864067224826	178.1356567294738
BA2171	10.679439120860676	234.8583259532597
BA2172	13.50883390157314	185.11095536230036
BA2174	12.234477537030015	238.4854486070038
BA2175	21.02068584637091	31.956107621459708
BA2184	18.03765970365849	330.1887594161088
BA2195	9.349963706871057	94.9760301511449
BA2198	10.951500923300072	126.84489183593952
BA2200	8.66317838616753	253.9343726061422
BA2201	5.432057146746553	76.38543599082593
BA2209	10.51849185881264	207.73969039082704
BA2211	9.646568993096242	193.69321339903547
BA2212	12.173442452420591	150.1149855232797
BA2217	4.573645652451456	173.74162856094
BA2218	4.492958654425742	85.42607037036069
BA2220	11.27168233076358	105.89447496974996
BA2221	9.893553288678971	87.92724303286738
BA2224	9.397529949966035	99.58333873414824
BA2226	10.908716981211048	286.37231184395824
