	JAK2	SMC1A
BA2000	0.0291897060933032	0.7462069123289923
BA2003	0.0107620455582242	0.0732785815434064
BA2004	0.0294214844431332	0.3863072303795603
BA2006	0.0139203193029816	0.0262961258180623
BA2011	0.0335611846244865	0.0723773414240564
BA2019	0.0393401558768148	0.523339371811861
BA2020	0.0552586288569599	0.7269029971477832
BA2022	0.0166194155703568	0.443322630006295
BA2023	0.0349664877344926	0.2495570895047683
BA2024	0.0931528403048237	0.287155169944375
BA2025	0.0219148565970259	0.7480948467765653
BA2031	0.0230474730125086	0.5121456086847467
BA2032	0.0043383673383503	0.1039793903154649
BA2033	0.0425502860219604	0.1632966835095074
BA2034	0.0219667129974142	0.3037435369718935
BA2035	0.0136245081786248	0.2139238826754796
BA2036	0.0220219873273852	0.4182774010351495
BA2037	0.0256350593272467	0.4109814903870589
BA2041	0.0064258678310128	0.3631849950003453
BA2044	0.0383455917733852	0.4350917369616048
BA2046	0.0164560492173315	0.101481482767567
BA2047	0.0238842783036345	0.4789123837285003
BA2050	0.0068784764749781	0.3102335430687024
BA2051	0.0209268613270132	0.1054519895597969
BA2052	0.0127049249054168	0.1795116800701992
BA2053	0.0072361307627227	0.079902067313681
BA2054	0.0360063394048935	0.4074334016411099
BA2055	0.0186053928733818	0.0326916807866485
BA2063	0.0064899006055396	0.1168140629305023
BA2065	0.0180103526950855	0.390159335102721
BA2066	0.0899149394818183	0.922025420781572
BA2068	0.0090487549497227	0.155245402509188
BA2069	0.0310210754878587	0.5229027636462918
BA2072	0.0331869747403254	0.4090721059199481
BA2079	0.0556615707116759	0.1799575021313978
BA2080	0.010048926593874	0.1230857485084649
BA2081	0.0179463199205587	0.4536414243684186
BA2082	0.0210880380688996	0.1162295533206854
BA2087	0.0171051354071549	0.1188928086940584
BA2088	0.0175080772618709	0.2833929198271572
BA2089	0.0934386646661809	0.7049345073865925
BA2093	0.0093214416442462	0.2085745418008944
BA2094	0.0262797662947923	0.3974949642017643
BA2095	0.0099848938193472	0.4427808684462046
BA2096	0.0102432145285932	0.4238488908780826
BA2097	0.0313930957608807	0.2734491493902399
BA2098	0.028358508342899	0.4418320681385367
BA2100	0.0070727644096973	0.0518182790007006
BA2101	0.0310476178472747	0.1482072923351178
BA2104	0.0333712759120451	0.1650236484634113
BA2106	0.0102288485433157	0.2404122878180016
BA2109	0.019291969478316	0.1385070484148851
BA2110	0.0312009974373004	0.2190038677505027
BA2113	0.0361928301877522	1.0902259540283143
BA2116	0.0288408102501144	0.1669632966647874
BA2121	0.035127664476379	0.45416991707132
BA2122	0.0072030195698898	0.0944624458861666
BA2123	0.0093401868518016	0.3289941917044279
BA2124	0.0166359711667732	0.2576586418409293
BA2125	0.0235310032381678	0.5549049624963852
BA2132	0.0246967308464833	0.3380670016794452
BA2133	0.0173203581605685	0.1189663302955098
BA2134	0.033025797998439	0.2258618878717793
BA2135	0.0175102668730099	0.1666776882535282
BA2139	0.042155141319105	0.2703667211430057
BA2143	0.0205029846536029	0.3534699019272844
BA2148	0.0027034754896531	0.0623963321637688
BA2153	0.0259695891851581	0.1839683970834274
BA2155	0.0057955268487447	0.1287229446308692
BA2156	0.017247566941486	0.2915874160324228
BA2162	0.0380232382896124	0.2856224090238819
BA2163	0.0193560022528428	0.2476288848697591
BA2168	0.004288700549101	0.1133917410225406
BA2169	0.0092574088697195	0.099865340034379
BA2171	0.0213276135705903	0.6436778720960448
BA2172	0.0071224311989466	0.1984505562456519
BA2174	0.0641771286464902	0.5673116238211867
BA2175	0.0384327489777453	0.4777821913841399
BA2184	0.046100553565739	0.6443998756645007
BA2195	0.015375289202237	0.1729249365321939
BA2198	0.0238036899326913	0.3557294189419911
BA2200	0.0329452096274958	0.4409612405890968
BA2201	0.0191307927364296	0.2371180788800523
BA2209	0.0151666352822403	0.1240002416844831
BA2211	0.0130603895820224	0.4491274919108555
BA2212	0.0137403973535398	0.1901517308897795
BA2217	0.0226048511315429	0.3171809747929061
BA2218	0.0051155190772273	0.0622631388267454
BA2220	0.0148708241578835	0.3710972985476872
BA2221	0.0217327450364452	0.2464402599609664
BA2224	0.0198251664932245	0.1971415824224655
BA2226	0.0820319121404111	0.7868952677610815
BA2227	0.0266043093897041	0.2980568937860058
BA2228	0.0142592283831708	0.3839072162974903
BA2229	0.0152284784456281	0.1760641667933917
BA2233	0.0195127997724513	0.1546722445549899
BA2234	0.0418305982241933	0.9598569615118624
BA2235	0.0281873448380131	0.3506127985317646
BA2236	0.0201165983953034	0.2547194116470408
BA2239	0.0480081321089597	0.2535090743265992
BA2240	0.0343858135414738	0.4908167731068273
BA2242	0.0376181068237575	0.2420015861239549
BA2244	0.0678410957540449	0.3580150598976017
BA2245	0.0282017108232905	0.2985101118313956
BA2248	0.0076534386027162	0.0954803811134522
BA2249	0.0297029295822125	0.3795539904703852
BA2251	0.0264553090219562	0.1798147056189224
BA2256	0.0084968127272589	0.4246689381506453
BA2260	0.0280614689000985	0.1780099913415867
BA2261	0.0117687860357923	0.163637993041259
BA2269	0.0083047144036786	0.0381257500274562
BA2271	0.0355946391056218	0.4199710669654803
BA2272	0.0604072591270201	0.2600698008492104
BA2273	0.0111528110388017	0.1657232849119111
BA2275	0.0760111757752531	0.6891442021703473
BA2276	0.0122501266503125	0.2036555884723128
BA2277	0.0611138092579536	0.4281794974115492
BA2280	0.0548634841541046	0.5649937171690479
BA2281	0.0087716890329213	0.2568893475089915
BA2282	0.0339685057014803	0.2248100876554353
BA2286	0.0198042316745302	0.2828993825110299
BA2288	0.0087573230476439	0.1126104562125291
BA2292	0.0123163490359783	0.397235682464465
BA2294	0.0173800117128174	0.2616251015647491
BA2296	0.0236612583983603	0.3631820988029091
BA2300	0.0197136565405874	0.6125499806379009
BA2301	0.0242816126176288	0.1954328451951469
BA2302	0.0120392831191769	0.1006929967279396
BA2304	0.0215406467128649	0.3779940917641564
BA2306	0.0258459028583824	0.2708628105721385
BA2308	0.0177807639563944	0.1147444737003561
BA2309	0.0385233241116881	0.3259388177248745
BA2311	0.0545730135447208	0.3702552667702572
BA2312	0.0343979899156123	0.1776912291549271
BA2316	0.0198704540601959	0.2466830138254239
BA2322	0.0429797702360924	0.4965962069120556
BA2325	0.0199201208494452	0.2786110659952907
BA2329	0.0277800237610192	0.2418367021205663
BA2334	0.0153234328018488	0.1157587700932795
BA2339	0.0117047532612655	0.1333731385406656
BA2344	0.0169108474724357	0.3579604799758853
BA2347	0.0246558225017898	0.072188004292406
BA2348	0.0121386166976754	0.1092625283621437
BA2350	0.014195195608644	0.1186669020621158
BA2354	0.030289211315953	0.3239181940245378
BA2355	0.0117831520210698	0.1556839884206953
BA2357	0.0084990023383978	0.1962496472241806
BA2360	0.0199366764458616	0.3260919528996724
BA2361	0.0246305084608176	0.2176691980457763
BA2363	0.0187543932411296	0.0848651731019468
BA2369	0.0211895612585372	0.186279772257463
BA2374	0.0202799647483287	0.6926714774366002
BA2375	0.0677174094272692	0.3351568159397747
BA2376	0.0595495190171999	0.3156022665371982
BA2377	0.0357733327366197	0.5388125382276377
BA2379	0.0139037637065651	0.072004153479201
BA2385	0.0076721838102715	0.1148271054114098
BA2386	0.0182874186118869	0.1813473892149942
BA2387	0.0250168947191172	0.3246860534885605
BA2394	0.0898608934702911	0.2854004544670061
BA2399	0.0134942530184323	0.2153871654807925
BA2400	0.050015044230679	0.6390816294612727
BA2402	0.0225904851462654	0.3383098845773419
BA2405	0.0106296007868928	0.0942804089596048
BA2406	0.0232561269325053	0.2455983708575468
BA2409	0.0315399065174897	0.3967052557426072
BA2410	0.009761873914073	0.2140673638973415
BA2412	0.0336417729954297	0.2520991459870992
BA2413	0.0182995949860254	0.1104649841257031
BA2414	0.0316492268589878	0.4389419646422597
BA2415	0.0289810521733065	0.2186034456985994
BA2417	0.0139225089141205	0.1722880439023834
BA2418	0.0066367113621485	0.0957289155259468
BA2420	0.0236734347724988	0.2378650357073441
BA2421	0.0220903993241898	0.1116138168270386
BA2423	0.0442404522006286	0.1170840694562422
BA2425	0.0294027392355779	0.4026722048428054
BA2426	0.0279830701402942	0.1783209864042547
BA2427	0.0075110070683851	0.0812447405297825
BA2429	0.0304007212685901	0.2185211086455719
BA2440	0.0204886186683255	0.2487880973382376
BA2441	0.0454349117794991	0.3780613279333296
BA2442	0.0188537268196282	0.2711250618349438
BA2446	0.0247420184134547	0.7007455385303686
BA2449	0.0087882446293378	0.3145221648751091
BA2450	0.0170079914397953	0.2338310005546969
BA2452	0.0079139489231011	0.518737558469498
BA2454	0.0403381379098271	0.4100739873433509
BA2455	0.0196286889473663	0.1584734708862251
BA2456	0.0088710226114199	0.0936955432674145
BA2459	0.0030114629881484	0.1007335576054945
BA2461	0.0624197787894612	0.3559182958194719
BA2463	0.0535178345963473	0.1431545638750629
BA2464	0.0085939566946185	0.2721092279091613
BA2469	0.0102928813178425	0.0635194425077364
BA2470	0.0146974710418586	0.3237007392970828
BA2472	0.0131906447422149	0.1340409302019452
BA2473	0.0085155579348143	0.4307230041907692
BA2474	0.017216645359792	0.2830003263520365
BA2477	0.0304547672801173	0.6630495346238549
BA2479	0.0072008299587509	0.0920500508177846
BA2480	0.0186406936773536	0.1875311634928654
BA2481	0.0088213558221706	0.1300334748480292
BA2482	0.036049437360726	0.3207334979475773
BA2483	0.0285449991257577	0.5082802911813132
BA2485	0.0147240134012746	0.2358318776855999
BA2488	0.0206807169919058	0.2950977067253594
BA2489	0.0087551334365049	0.0916632268438471
BA2492	0.0172828677454578	0.1270852193336748
BA2494	0.0114420533297416	0.1362629587937615
BA2496	0.019953232042278	0.2534181130655416
BA2497	0.0107002023948364	0.3635030910318531
BA2499	0.0122523162614515	0.1196799548875576
BA2500	0.0392861098652876	0.5827457867044712
BA2501	0.0193725578492592	0.3711891358327866
BA2502	0.0446908712334549	0.4076236912501325
BA2505	0.0205857626356851	0.0949552061537248
BA2507	0.0197092773183095	0.1823516734126584
BA2510	0.0104871692525618	0.1301580329443905
BA2511	0.0123969374069214	0.0856985038464694
BA2512	0.1004839254237671	0.6527365252061104
BA2514	0.0096790959319908	0.1854558763243138
BA2515	0.0062150242998771	0.1080857803696251
BA2520	0.0129732323776624	0.0802909989896409
BA2521	0.0310232650989976	0.5150964693206499
BA2523	0.0134136646474891	0.404463952799906
BA2524	0.0100511162050129	0.1927645969407254
BA2525	0.0054378725610001	0.124397729022514
BA2526	0.021796777810972	0.0838814121222947
BA2528	0.023353270899865	0.3295012815973585
BA2532	0.0113305433771045	0.1436030537105733
BA2534	0.0229603158081486	0.2573786266451812
BA2538	0.0127502124723882	0.0867916561752736
BA2539	0.0474296475270798	0.4573028517422539
BA2540	0.0170223574250728	0.2459192862189476
BA2541	0.0153896551875145	0.231556581821275
BA2545	0.0400345296336096	0.3952241348763003
BA2546	0.0218133334073884	0.2944940248047345
BA2552	0.0181571634516944	0.3170711239895659
BA2559	0.0111362554423852	0.2156161256131744
BA2561	0.0162286500897793	0.1437519797318473
BA2563	0.0205648278169908	0.2338717752548273
BA2564	0.0340303488648682	0.417651241129595
BA2567	0.0120558387155933	0.0577308950534327
BA2570	0.0101979269616218	0.1642606718154451
BA2575	0.0373288645328176	0.3026674421302629
BA2577	0.0193372570452874	0.4706706174792704
BA2579	0.0284975219476473	0.2271293218926546
BA2583	0.0209721488939846	0.2603253668703825
BA2584	0.0473921571119691	0.2398261528967051
BA2587	0.0716749980480417	0.5397716972629386
BA2588	0.019407858653231	0.2256692909529387
BA2589	0.0069446988606438	0.0860593028691975
BA2592	0.0208728153154861	0.5177355851495687
BA2593	0.0070396532168645	0.0323512286962603
BA2594	0.0211995480215368	0.2869778197371034
BA2595	0.015145700463546	0.2164093359374393
BA2597	0.0116672628461548	0.0891098452101692
BA2600	0.0218630001966377	0.1981468570201742
BA2603	0.0283650771763159	0.1198453760126588
BA2618	0.0506619408093635	0.4328642260192508
BA2619	0.0154702435584577	0.2918653151903426
BA2620	0.038380892577357	0.2444462354704645
BA2621	0.0487565518772818	0.1817954920959613
BA2622	0.0370208770343223	0.2580779070113076
BA2623	0.0439655758949661	0.4564508125232316
BA2629	0.0286808618266718	0.2998754353359694
BA2631	0.024531174882319	0.2509905216204183
BA2634	0.0251471498793097	0.1330984108555486
BA2636	0.01655538279583	0.1408643820278768
BA2639	0.0366963339394105	0.6670455875304463
BA2644	0.0660494063857392	0.225636375315992
BA2645	0.0109750787004989	0.0356252484048635
BA2646	0.0175268224694263	0.2802327422707131
BA2649	0.0084968127272589	0.4334100500767252
BA2651	0.0050349307062841	0.0919617490094547
BA2653	0.0149514125288267	0.2569497039823936
BA2655	0.0338669825118428	0.7139990186126663
BA2656	0.0050824078843945	0.0794379106146092
BA2657	0.0235453692234453	0.3399398245536351
BA2658	0.0658132488136313	0.2547795764626844
BA2659	0.0366985235505495	0.2773546483240657
BA2660	0.0159394077988394	0.2662669615708654
BA2662	0.0473093791298869	0.7541105908967665
BA2663	0.0428870054910106	0.2105269389462351
BA2667	0.036568268390357	0.2897379056481712
BA2670	0.0162826961013065	0.1441389945777838
BA2674	0.0497435858545993	0.1891502859984321
BA2675	0.0133849326769341	0.2812962648255981
BA2676	0.0155673875258173	0.3139591697544396
BA2677	0.02744111468083	0.3192005612125122
BA2681	0.0118471847955965	0.3257687641974401
BA2682	0.016036551766199	0.2404484787137783
BA2685	0.0105059144601171	0.2767710412141184
BA2688	0.0126221469233346	0.1378438970917537
BA2691	0.0371367662092373	0.2612519547389361
BA2694	0.0147571245941075	0.0781985177930957
BA2695	0.0126927485312782	0.1118772304361062
BA2697	0.0496242787501016	0.1272866317467571
BA2701	0.0178966531313094	0.075030801935775
BA2704	0.0130581999708835	0.5101096719952736
BA2705	0.0229790610157039	0.07250727099176
BA2707	0.0315211613099343	0.3299179451714395
BA2709	0.022832250259095	0.2624298318660459
BA2712	0.0180765750807512	0.3282780888216553
BA2714	0.0320399923395653	0.3666596884672342
BA2715	0.004662910433262	0.1215179598953262
BA2718	0.0274929710812182	0.3195031966814316
BA2720	0.0246117632532622	0.172714685702737
BA2721	0.0345160687016663	0.5658885773232102
BA2722	0.024417475318543	0.5683806366482027
BA2723	0.0122832378431454	0.1416658454345932
BA2724	0.0122048390833411	0.1138061856296348
BA2726	0.0158610090390352	0.2946671354005249
BA2727	0.0205791938022682	0.2287099576110273
BA2728	0.0460409000134901	0.4610109878451265
BA2731	0.016036551766199	0.1128388234893852
BA2733	0.0115579425046566	0.1298815646864783
BA2735	0.0081557140359307	0.0392859887155894
BA2737	0.0276563374342435	0.1493001614811841
BA2742	0.0306987220040859	0.3734794718434932
BA2744	0.0043052561455174	0.0744951513444706
BA2746	0.0383709058143575	0.3682669813087594
BA2747	0.0112477653950224	0.1520008283814606
BA2748	0.0214247575379499	0.4001507939045263
BA2751	0.0363696012333598	0.2114876705902431
BA2756	0.0054544281574165	0.1626781184244019
BA2758	0.0311016638588019	0.1707386053845356
BA2760	0.0309879642950258	0.1983855161639982
BA2762	0.0122688718578679	0.2293845489041649
BA2764	0.0152472236531835	0.1741527316664854
BA2765	0.0534503838922378	0.3713933335783316
BA2769	0.0266043093897041	0.2928566970947246
BA2772	0.0086601790802842	0.0939717977027511
BA2775	0.027412382710275	0.2657065525606317
BA2776	0.0184298501462179	0.6202323265312046
BA2778	0.0292868500606629	0.3950466155049685
BA2782	0.0552111516788496	0.3151364876376854
BA2786	0.0182421310449155	0.968159896203139
BA2787	0.0446665184851778	0.1237204031601759
BA2789	0.0202115527515241	0.4444304317432463
BA2791	0.0081413480506532	0.1294959993090058
BA2792	0.0174915216654545	0.2638174116398242
BA2798	0.0240620106419373	0.1891722780391238
BA2801	0.0326725229329723	0.1727233439081975
BA2802	0.0265005965889276	0.2466507899910318
BA2804	0.010567757623505	0.3192413359268645
BA2806	0.0088213558221706	0.1656177386980943
BA2808	0.0091602649023599	0.1087470259095868
BA2809	0.0369877658414894	0.2507955480173753
BA2811	0.0126243365344736	0.2648906040050539
BA2812	0.0120083615374829	0.2655662582263247
BA2813	0.0059732591870475	0.1227267439754985
BA2814	0.0201309643805809	0.3794079495996934
BA2816	0.0285737310963126	0.2021488300093306
BA2817	0.0108757451220003	0.1552099153339106
BA2820	0.038238461043026	0.3379765105194388
BA2821	0.0344498463160006	0.782652127156746
BA2822	0.0108569999144449	0.2558496344351366
BA2824	0.0170885798107385	0.2754533870917638
BA2828	0.0281089460782088	0.1952904498377729
BA2829	0.0328293204525808	0.3195532759453021
BA2830	0.0217802222145556	0.1718429795070942
BA2832	0.0160531073626155	0.3137521751727
BA2836	0.0116838184425712	0.0802173969811732
BA2837	0.0267964077132844	0.1867291483354438
BA2839	0.0129135788254135	0.1176760361314943
BA2840	0.0420889189334393	0.4967137050448442
BA2841	0.0156457862856216	0.149363505648558
BA2842	0.0084018583710382	0.0675892630473825
BA2843	0.0152737660125995	0.0822233284174721
BA2844	0.0143232611576976	0.2062485016528522
BA2846	0.0228653614519279	0.2721005887148136
BA2850	0.0172000897633756	0.1411143548477597
BA2851	0.0602882190482711	0.4603940702363178
BA2852	0.0093236312553852	0.0624845270608109
BA2855	0.0084327799527321	0.1114542314095787
BA2856	0.0073973075046091	0.0307560840500244
BA2858	0.0137900641427891	0.3095446579129148
BA2860	0.0140958620301454	0.1946986444049878
BA2861	0.0173965673092338	0.3090760747124922
BA2865	0.0107620455582242	0.1972311935905225
BA2866	0.0173843909350953	0.3648559155919731
BA2867	0.020358363508133	0.1792362018550065
BA2868	0.0276354026155492	0.2185923193550665
BA2870	0.015517720736568	0.6474642443696771
BA2871	0.0323457902269216	0.3398126914079136
BA2872	0.0310563762918305	0.5199047987510077
BA2876	0.0092242976768866	0.0691027513962916
BA2879	0.0151335240894074	0.123026264091197
BA2880	0.0248247963955369	0.2936286769694492
BA2882	0.0496639587763513	0.2200827337382597
BA2883	0.0263294330840416	0.1215777539853818
BA2885	0.0470719932393352	0.5984346439385625
BA2887	0.0196905321107541	0.3096638251410523
BA2889	0.0	0.0001076658053402
BA2893	0.0085133683236753	0.2586648728839178
BA2901	0.0079161385342401	0.095791380115584
BA2902	0.0095819519646312	0.0873662600584626
BA2903	0.0467396529925629	0.0650529610230296
BA2904	0.0613290320113671	0.4219569275305653
BA2905	0.0149183013359939	0.1045441153905102
BA2906	0.0287039862565051	0.4971897346922827
BA2908	0.0252542806096689	0.0611374383902125
BA2909	0.0222019092768269	0.201534595189595
BA2910	0.0104728032672843	0.1894672457452929
BA2911	0.0297394587046281	0.336357097752188
BA2914	0.037982329944919	0.5363232893936329
BA2915	0.0086226886651735	0.0122077435825069
BA2921	0.0106317903980317	0.0897313683312705
BA2922	0.0090465653385838	0.2097623317620221
BA2923	0.0191451587217071	0.2306829587671649
BA2926	0.0218795557930541	0.362999296731501
BA2928	0.0193250806711489	0.7328396258288141
BA2930	0.0423659848502407	0.3071963314945891
BA2932	0.0118140736027637	0.2786937749881001
BA2934	0.0289148297876408	0.1578504431512775
BA2935	0.0227682174845683	0.17185325987033
BA2937	0.0232517477102275	0.314518025510182
BA2939	0.0136410637750412	0.1437941124181279
BA2944	0.0468280385153667	0.3967342110540126
BA2947	0.0125559245376689	0.1851984120131309
BA2948	0.0388378804436002	0.1419070836099069
BA2950	0.0478944325451836	0.3952168461749438
BA2951	0.0208087825409593	0.1898915620815846
BA2952	0.0363949152743321	0.6612416281257553
BA2953	0.0079945372940443	0.1163447989459352
BA2955	0.0412311788236191	0.2621571054143199
BA2956	0.0085939566946185	0.0790005400436854
BA2962	0.0146930918195807	0.3975818439543251
BA2970	0.0085133683236753	0.1957447087318102
BA2972	0.0466128157619531	0.3293166723324845
BA2976	0.0524811338297804	0.3096691926871527
BA2978	0.0782576633986631	0.4731509710057813
BA2981	0.0123329046323947	0.2502283314394685
BA2984	0.0274885918589403	0.2640348478557104
BA2986	0.0113283537659656	0.3485834631374355
BA2989	0.0117665964246533	0.1460676895533729
BA2992	0.0279355929621839	0.5380020415646402
BA2993	0.0111506214276627	0.11660752029557
BA2994	0.0105368360418111	0.2266451928978509
BA2995	0.0230618389977861	0.1204702808754435
BA2999	0.0433408424534197	0.3193007284760498
BA3001	0.0175577440511202	0.2917806783064339
BA3002	0.0349708669567705	0.5552582775494158
BA3004	0.0189718056056822	0.5126299537847396
BA3006	0.0150816676890192	0.2291427258091408
BA3008	0.0014240483175615	0.0022500543479822
BA3009	0.016557572406969	0.4115478530772973
BA3010	0.0333503410933508	0.250667233142732
BA3011	0.0044355113057099	0.0984475265843019
