	NPM1	KIT
BA2392	9.6874475749889	8.48407580140491
BA2611	9.60929418124753	8.46430959418229
BA2506	9.61949185438657	8.46185834013681
BA2430	9.61949185438657	8.48906113697349
BA2448	9.61438474364243	8.46676516104844
BA2730	9.62461563502098	8.46922505155083
BA2845	9.57909169555586	8.53990253916599
BA2326	9.58408544068247	8.52702131941912
BA2341	9.58909503454725	8.54768703664719
BA2612	9.55927298456459	8.50160207030541
BA2973	9.56915130536806	8.53215993801742
BA2390	9.55927298456459	8.49657233882556
BA3218	9.56420444046175	8.48906113697349
BA3105	9.53000194332933	8.45209623715645
BA3402	9.53484314535953	8.44966638628301
BA3276	9.51556606369543	8.40194775982719
BA2409	7.88494695067266	6.89778124838191
BA3037	9.1755941413251	5.49725940478877
BA2496	8.3156761580726	5.51241676925768
BA2172	9.2592593958878	4.37272792121348
BA2865	9.53484314535953	8.38563253120242
BA2923	6.98208266015901	-1.83754692529431
BA2751	9.13897207935234	2.3627073872351
BA2480	8.38563253120242	5.00103650264355
BA2286	9.51078302100883	8.5872495962732
BA2922	9.78674968596522	9.77539354132974
BA2452	9.33027676031699	9.0271917203024
BA3379	9.31328611186612	8.66689198102969
BA2887	9.06304565250042	8.0301567645062
BA2712	7.82549928808227	0.402949581289092
BA2068	8.67821802831458	6.7421473941764
BA2236	8.75995195431454	8.09435501163422
BA2104	6.91599118004167	0.598455727053896
BA3124	8.84307877151568	6.29048213777498
BA3395	8.58457840504288	6.84399982384708
BA2921	9.00605305286098	9.60422004710875
BA2449	9.52036350053221	6.87788091401863
BA2003	9.04501990946176	5.06527754778608
BA2360	9.4000752436972	7.94635895319707
BA2802	7.15633759792086	9.09230819306279
BA2235	8.83362186336888	8.0044307958278
BA2858	8.91420804405317	6.02698748997862
BA3038	7.73462168625585	7.71347289714959
BA3006	9.15245565249128	5.2871864159011
BA2245	9.0307417478067	9.85077214115986
BA2667	9.13720994130471	8.75396729152058
BA2239	8.17428733914348	5.0610421966443
BA2782	7.59101188148724	5.3063518272781
BA2649	9.2429894144776	6.45042558800672
BA2488	7.91111348596979	7.52428329559334
BA2861	9.11460476788528	7.79956921933088
BA2909	7.83704881770087	6.47866220517702
BA2429	8.66493693752935	6.57560815980456
BA2653	8.41556616709075	0.779913057719338
BA2134	8.30037965468589	6.16187946786899
BA2947	9.91920628125652	6.64131489127646
BA2032	9.3735473533766	6.53646349390772
BA2162	8.85577669200061	8.27031665707811
BA2564	8.74800571415782	6.76240903317338
BA2597	8.13547459853116	5.54658259376352
BA3243	8.84307877151568	7.38062061343463
BA2106	9.54945587390153	7.77713213848426
BA2427	8.91090509269608	5.71100608100859
BA2841	9.13342062895717	6.71667600372627
BA2446	8.33784249776874	2.69090003434147
BA2645	8.42798766039968	10.0958725482412
BA2525	8.34456564828853	4.05402094746754
BA2876	8.61151153389318	6.00881830211778
BA2357	8.95777690896205	5.46954197713849
BA2546	8.0301567645062	6.5518017021576
BA2742	7.87584460904621	3.1321279031107
BA2316	8.22855584188171	3.27431420538309
BA2421	8.28526081080175	1.76094876809065
BA2087	9.10147698629206	8.58375614592974
BA2910	9.22287720595147	7.45571345371651
BA2148	7.95609226155088	7.71472395965624
BA2063	8.34232080533324	2.4375086335962
BA2329	8.3972661940189	6.61117532741348
BA3178	8.76897254396233	6.71780036034788
BA2072	8.41135949860071	7.31397253852267
BA3029	8.78717245605116	6.52375465899181
BA2733	8.96458579397726	7.2371970090631
BA2995	8.45209623715645	5.70643173596218
BA2069	8.46185834013681	4.07958610816328
BA2100	8.70690950167434	5.76256437697443
BA2681	9.52517542791568	6.69356109841864
BA2248	9.19906475607931	5.93163668749835
BA2832	8.18813169577028	7.30411511402805
BA2308	9.48708042008341	7.60989112051761
BA2413	9.4045391740165	7.69420627031986
BA2701	8.7361512573159	6.3314194986068
BA2634	8.22240857358487	6.86903485569995
BA2677	8.79635277497105	6.69580577134555
BA2937	8.25344779136567	7.32489473499785
BA2600	9.2429894144776	5.59027419096801
BA2019	8.12986534537924	-0.780448523359928
BA2412	6.82309107200081	5.79950973684786
BA2334	8.94087956106744	4.93436696034119
BA2050	9.34744684153524	6.1180523945273
BA3230	8.78108213178214	6.93827202821145
BA2953	9.69817061599593	6.81086164089737
BA2481	8.58191208164573	5.46628439479905
BA2731	8.46185834013681	6.4137172012398
BA2294	9.25517667754352	8.904319577833
BA2418	9.1410080593907	5.42857060288721
BA2816	9.14863087419242	5.36072833704901
BA2656	8.93082572022568	3.65263152336696
BA2814	7.63755645913212	4.23701647161103
BA2631	9.3561004357089	7.37396310701658
BA2023	8.3311533449718	-0.425828695317915
BA2375	8.84941498844258	7.47830743039593
BA2485	8.78899864293157	7.17116786854616
BA2455	8.3156761580726	0.213349457050806
BA2025	8.56338303703764	5.99479766689368
BA2636	9.10713869224013	6.64186594668035
BA2325	7.29687122589928	4.27232629182903
BA2169	8.51934782702254	7.30411511402805
BA2156	9.48238177689826	8.99558616821901
BA2511	8.46430959418229	4.81690090080098
BA2939	9.41350421836705	7.64377441186557
BA2168	9.20300948929151	3.54447318338801
BA2505	9.09230819306279	6.69861654752334
BA2860	8.97485330936457	6.10105446354612
BA2707	9.12210512882866	4.47937233979517
BA2871	8.66689198102969	6.4442145827922
BA2655	9.36916799017741	6.1522898333018
BA2227	9.42251934116338	6.87084783224833
BA2125	7.76334677298606	7.24473994098098
BA2523	9.33455230246716	8.62516478231551
BA2603	8.99558616821901	6.26033254809805
BA2808	8.70112769787832	6.80486837491
BA2282	7.26503778677364	0.275450535390316
BA2482	9.04501990946176	8.51425498508966
BA2812	8.81487669872437	0.390163792184238
BA2822	7.14998539597838	6.64684027167279
BA2594	8.42798766039968	7.31665510949842
BA2747	9.35176787188011	6.53543485984192
BA2561	9.09970659968869	1.51130448384538
BA2567	7.54085820588458	1.72847085742469
BA2906	8.80250309714617	6.151452910791
BA2956	8.11104544817006	5.88606180557595
BA2474	9.08127310626888	7.37771038448057
BA2737	8.02685700006077	3.93165864889064
BA2110	7.71347289714959	3.98774117772589
BA2992	9.18338030789918	5.40957494113667
