	NPM1	KIT
BA2220	9.00955709168753	5.05504885396523
BA2772	9.42251934116338	5.93332587992066
BA2935	8.55029123602985	6.4108151402329
BA2260	8.75098362594822	4.5552347102947
BA2676	8.7361512573159	7.74536502725477
BA2948	7.55189787670547	7.64255001400601
BA2524	9.2592593958878	7.27555120012057
BA2811	8.83676787171411	5.21501701134356
BA2540	8.86857724833819	5.98011491063707
BA2928	8.7214605815193	6.05650405294687
BA2302	9.38234175781362	6.56685915377229
BA2595	9.09230819306279	7.36047250037276
BA2792	8.66689198102969	6.66177361256097
BA2651	9.17948259034573	6.88867708372879
BA2619	7.88191833711993	8.67821802831458
BA3013	9.54457000922792	5.69333061318898
BA2405	9.64008823387741	5.94473215258657
BA2735	9.08494318011795	5.40147695209821
BA2856	7.56206988956539	5.36476332195428
BA2377	8.74389874448259	6.32635613681556
BA2499	9.66095938066438	8.03722226484621
BA2463	8.4179334910987	-0.256578476181957
BA3023	9.17948259034573	5.91320591729895
BA2095	9.13342062895717	5.73627139725326
BA2901	8.51425498508966	4.75201016058728
BA2275	6.9401836518602	7.82833379039141
BA2387	8.68106286594684	8.6279105840654
BA2962	9.73079295605488	6.10621461216555
BA2195	8.69249597847146	6.92111028015582
BA2688	8.77262692606308	5.64352989350398
BA2787	6.35352478320916	3.13490199455068
BA2420	9.09970659968869	7.9003747386446
BA2756	9.56420444046175	6.19822146547957
BA2122	7.70840071464408	4.4543011664344
BA2053	9.16784487350203	7.50105244518025
BA2080	8.92748837970555	8.30255392241405
BA2081	9.00255657247606	8.48656626341456
BA2354	9.30238239860393	9.28155652487085
BA3273	7.24904224136933	0.651829022283505
BA2893	9.50601427714714	6.14672505812723
BA2044	8.43758065182973	7.70961368830257
BA2489	9.15628939970288	5.95233629524957
BA2309	9.05942450247106	7.13359161213086
BA2720	7.7605970351598	5.0932101529727
BA2908	9.83621907237271	7.7071077714624
BA2054	8.54508752883457	5.13193342655662
BA2872	8.00271116464237	6.41806054956223
BA2526	9.09600320401444	5.60348204059795
BA2041	9.02011485988608	6.14889515620208
BA2464	9.07395764638915	7.70197141870837
BA2902	8.82734862624236	5.85341733924409
BA2541	9.18338030789918	7.62080780455831
BA2143	7.22867709025789	7.12590219224429
BA2094	7.79956921933088	0.162179847700664
BA2769	8.904319577833	6.82369230677028
BA2843	8.88148184246882	7.68775219309565
BA2592	9.57909169555586	6.28328278970437
BA2497	8.09067732991193	-1.79323399416306
BA2718	8.61151153389318	7.99739906746641
BA2575	7.3614587281193	5.99724316529864
BA2096	9.4000752436972	6.21496669116308
BA2593	10.3090915070605	5.69295647546023
BA2791	9.14481502348153	6.3688389446517
BA2620	8.61695773628636	7.19985683529985
BA2629	9.4000752436972	5.91637612602088
BA2870	9.26745559419095	2.62348222679061
BA2423	7.73861349646242	2.36769406332286
BA2682	9.14863087419242	7.64895583047878
BA2276	8.91090509269608	5.42161592263156
BA2348	7.52987979374564	2.91773529558035
BA2709	8.81177412986094	6.00841658197255
BA2789	9.36480042798147	8.25344779136567
BA2694	8.92748837970555	6.30006188044534
BA2538	8.40429460371975	5.37928711694374
BA2583	9.44070228005406	7.81538872947805
BA2415	7.67493502317828	4.50065722085035
BA2722	7.0623479587219	7.10612705087253
BA2806	9.01306871894599	7.51084212363206
BA2221	7.99413751864958	4.19332061557143
BA3025	9.2389471182711	7.20800173217813
BA2514	8.62153057515291	5.86940153677441
BA2520	9.08127310626888	4.68486735962429
BA2441	7.40108920011618	7.72277870826456
BA2153	9.57909169555586	8.99906762077278
BA2479	8.22832881693221	3.64055833212888
BA2281	9.01658796485945	4.88780360986739
BA2657	8.33560901482561	4.35206524028425
BA2932	9.12210512882866	7.52657913903788
BA2123	9.57909169555586	6.19874995357892
BA2844	9.22687989289351	7.31484141146978
BA2660	9.06304565250042	5.87260128091849
BA2836	8.74800571415782	7.15078589361001
BA3027	7.63041516939983	2.43277955517649
BA2714	8.89122942781574	7.35673455123978
BA2139	6.80299244523417	1.49445405603774
BA2251	8.32671267592458	7.64135506224067
BA2952	8.16254296358662	4.05764463767079
BA2440	8.39493145233583	5.83560892628546
BA2036	8.75695672842528	5.0083041453619
BA2828	8.09804401257278	7.44544500262934
BA2292	8.98173476670244	5.99724316529864
BA2410	9.34313727945847	7.51527675972318
BA2051	7.46363654414575	5.25714318052804
BA2532	7.45571345371651	4.7790741086654
BA2986	8.95099667095566	8.01965582601105
BA2494	8.39027400222105	6.43793151264448
BA2515	8.66407371953991	6.68127929274665
BA2748	9.33883912107995	7.62437772428186
BA2970	8.8589671548512	5.98303645552473
BA2622	8.65006116973985	4.83724303208421
BA2839	8.72438748273975	7.48490734822992
BA2052	9.10713869224013	5.78192253760815
BA3011	8.50277388292747	3.98080879790434
BA2868	9.00255657247606	6.52324588492183
BA2510	9.01658796485945	6.50804753914762
BA2065	9.20696376307392	8.25974759702626
BA2691	8.11104544817006	1.42234206716286
BA2374	8.21222936163239	7.01983909137586
BA2804	8.8879736022598	5.98220791058853
BA2670	7.93824432889201	5.55778136463102
BA2675	9.08494318011795	7.92045916247849
BA2589	8.38563253120242	5.29733962996603
BA2031	8.87824586229709	4.36276075031951
BA2198	9.39118419839355	6.53495824677914
BA2066	8.28097335559112	5.94221717949707
BA2344	9.57411368730524	5.28107931681894
BA2459	9.38404554334867	5.17241204196236
BA2229	8.53473617000875	7.33250978911574
BA2559	8.68391306436784	4.47062750328023
BA2093	9.23491479941431	8.6697155276332
BA2000	8.08701091285537	7.94314055717551
BA2425	8.47600328572046	5.65372634921578
BA2905	9.22687989289351	7.50539293842063
BA2304	7.16215175411855	-0.736047992509252
BA2976	8.65285322774346	6.62737493861003
BA2386	9.09970659968869	6.41227021268222
BA2035	9.33455230246716	5.79487700443781
BA2760	8.29820901257083	5.5985184260425
BA2201	8.89776108628452	5.93777047922961
BA2355	8.59260663428802	4.98897342757444
BA2113	8.50026123971081	8.53327685252825
BA2155	8.99906762077278	7.62437772428186
BA2955	8.07971165578759	4.5391313162393
BA2502	8.05457002396872	5.85381815948029
BA2322	8.93082572022568	7.97894297933459
BA2376	6.97993778438247	3.16972930293428
BA2020	9.15245565249128	5.28216189346069
BA2226	8.81487669872437	5.88838394030345
BA2200	9.30065851731011	6.80486837491
BA2121	8.92748837970555	5.77488348222962
BA2944	9.90525526471174	6.94758145894243
BA2033	7.17761745050204	5.59251221721887
BA2867	8.66126072825912	8.57394218930808
BA2089	7.65513327960109	3.23189129338738
BA2224	8.38331776349613	8.09067732991193
BA2046	9.3217592552912	7.94314055717551
BA2972	9.160132157513	8.02685700006077
BA2978	7.85205086731265	4.44482165400227
BA2829	8.79635277497105	7.62320575204897
BA2851	8.5529001392332	8.58992566833602
BA2587	8.72438748273975	8.15284092667829
BA2461	7.94314055717551	4.86570889780568
BA2695	7.68652733200955	4.77523727497609
BA2623	9.57411368730524	7.62925234894777
BA2024	7.58759859001841	6.07479305709891
BA2426	8.88148184246882	6.97110220501606
BA2271	7.95452812467512	-0.425828695317915
BA3004	8.57129520837751	6.43437499992686
BA2579	7.85633367820174	4.6788765540465
BA3010	9.00605305286098	4.41460197309359
BA2662	8.34232080533324	5.59027419096801
BA2674	9.15245565249128	9.2429894144776
BA2280	8.50160207030541	7.13433489569232
BA2512	6.81629782268832	2.98186111032531
BA2658	9.070312190258	5.58159000678894
BA2394	8.21222936163239	6.89644993218602
BA2950	9.49651930986164	4.65477615366599
BA2981	8.63894476137773	4.87586349576247
BA2934	7.22625304922136	2.17173440950598
BA2539	7.8925772722697	4.04879675825088
BA2249	8.63894476137773	7.01472936087095
BA2034	8.94268168369866	8.61607464234973
BA2109	7.61245153291675	4.81867438751018
BA2242	8.12041880838799	4.90326139384486
BA2277	8.68676863894814	8.35358316301659
BA2727	9.83304132704525	7.28438406463884
BA2132	8.672544374331	6.09600230844392
BA2618	8.61151153389318	6.99925381802676
BA2521	8.672544374331	6.90558799283489
BA2846	9.1755941413251	7.00565090016862
BA2885	8.02142525655183	1.13209845200278
BA2639	9.04860912314158	8.95438322249582
BA2775	8.84941498844258	3.52621202722456
BA2402	9.26335235036244	6.7630173908565
BA2097	9.44070228005406	7.10771088589405
BA2786	9.34313727945847	2.25371361358042
BA2399	9.44070228005406	6.48220324595878
BA2850	8.91090509269608	6.27245301532753
BA2174	8.34232080533324	6.06843510757967
BA2004	7.48933909555342	7.08821062221174
BA3001	9.69817061599593	7.12590219224429
BA2311	7.93028682049466	4.39292391038912
BA2483	8.48343527695382	3.32807645348226
BA3040	9.00605305286098	7.90803356905227
BA2837	9.37793858616158	7.52987979374564
BA2724	8.5607551950315	4.5990180150559
BA2911	9.35176787188011	6.75946045637828
BA2256	9.43613726309062	7.01129464656936
BA2821	9.69817061599593	8.00107447892983
BA2233	9.19906475607931	6.24592732813786
BA2744	9.34313727945847	6.45401948854285
BA2880	8.34906675857089	4.97805997780333
BA2621	8.28097335559112	3.5362979263788
BA3002	8.42744390017979	2.97228864719493
BA2501	8.48407580140491	5.07976129224881
BA2993	8.84624370479657	6.26748667871903
BA2301	8.06147774301482	3.86710818348133
BA2852	8.29820901257083	4.67708963797245
BA2133	7.83554388846121	4.28927616177022
BA2866	9.19906475607931	6.35306835134338
BA2212	9.33455230246716	6.32036876736161
BA2685	9.39562360946183	5.48468121276611
BA2273	8.83362186336888	7.37675245327076
BA2477	9.29229417829056	8.57659398663682
BA2659	8.45453034732936	7.88793681406652
BA2124	9.49819442110274	6.65845499115322
BA2363	8.84941498844258	6.91665453342353
BA2369	8.79328666582968	6.92764387831615
BA2534	9.0271917203024	6.74557828155057
BA2400	9.46836798648192	8.25764420926654
BA2762	8.96117775713075	7.60044547310861
BA2312	8.79635277497105	7.8894951557827
BA2813	9.54457000922792	6.33918453468976
BA2211	9.17734760232419	5.28073246291878
BA2171	9.17171491689544	6.40503611780804
BA2746	7.89401548128851	4.63527142594282
BA2798	9.67679810675791	7.01129464656936
BA2809	9.1872873383188	9.26335235036244
BA2288	8.55505298542423	6.31720357778214
BA2801	8.32449794408229	4.13824319852488
BA3030	8.66873090783595	7.15557221270197
BA2588	9.44070228005406	7.66735491479546
BA2296	9.28397254525379	7.55867055300222
BA2300	8.69249597847146	6.90492530830845
BA2903	6.47376016789819	2.6560583580885
BA2473	9.13518361120238	5.65139228908545
BA2545	8.25764420926654	5.62868512576849
BA2840	8.5971359914493	4.79032535890257
BA2528	9.14863087419242	6.79158437688518
BA2646	8.84941498844258	7.53867754134672
BA3407	8.40429460371975	4.94668602882429
BA2240	8.25554427681065	7.7729524118183
BA2926	9.48238177689826	7.01543819204674
BA2272	8.26607857536642	6.3423350524195
BA2306	8.87501645157825	5.04621645682115
BA2765	7.08068398565122	3.98649459567883
BA2904	8.52958832512444	7.79663560293131
BA2883	9.05581138653334	5.99890598903284
BA2726	6.49846429425474	-1.00974723907371
BA2234	7.19816924570359	2.12152501264232
BA2022	8.91751782379931	6.15311168314809
BA2228	8.48906113697349	5.62043017440298
BA2037	9.49651930986164	9.4045391740165
BA2184	9.2592593958878	8.44966638628301
BA3009	9.06304565250042	5.96264354381231
BA2842	7.37484847247432	2.25911507046517
BA2442	8.86536741111737	6.41897137635364
BA2882	7.69790613813162	3.53291440511488
BA2758	8.01121552663761	2.4978306958102
BA2705	8.4594113881339	6.8576823032308
BA2663	7.58640399756741	3.17350672344865
BA2570	9.070312190258	7.24138386390375
BA2764	7.86519796261888	5.17699814732324
BA2209	8.23267071257109	7.02415111976065
BA2989	8.87824586229709	7.32679901700122
BA2855	7.70582137825133	4.85724763111666
BA2261	7.49565796423242	7.74808252538179
BA2721	8.41608983118813	6.34190143280827
BA2930	7.75371580805874	2.84242237772409
BA2728	7.74132890165977	6.63655252284443
BA2715	7.71215406681609	6.53249965977741
BA2469	7.96260346447077	5.80492505261512
BA2269	7.15633759792086	3.10489818725874
BA2098	8.09251475928632	4.7941665840707
BA2778	6.98621603600523	3.17944274470636
BA2951	9.78674968596522	6.73467335194796
BA2163	7.09568366825665	5.72978046990601
BA2379	7.31397253852267	5.43621855884092
BA2817	7.86671215518685	3.81521123693014
BA3153	7.92699657991781	5.02619905861961
BA2820	8.20414503388581	6.19646958807837
BA2723	8.22445433533228	5.3277279235139
BA2704	9.23491479941431	7.27022547665066
BA2088	8.3972661940189	5.81570333041158
BA2116	6.78491577385659	6.54042498941119
BA2584	7.87430709609213	3.43900565903568
BA3079	8.24717893447311	6.59785150913547
BA2417	8.47910806756512	1.25696002199891
BA2361	8.09067732991193	5.51462217129908
BA2450	8.75995195431454	5.06562997256811
BA2492	7.35202275514424	3.30695131155452
BA2552	9.4270458724936	5.54506701473391
BA2472	8.04060780611373	4.23625755420962
BA2994	9.04501990946176	4.69471321352097
BA2047	8.54249270039127	5.53758769155616
BA2101	8.5117153749805	7.01271335596315
BA2082	8.97829037472744	8.0179995830141
BA2879	7.48057619109315	5.92036694036748
BA2577	9.4000752436972	8.44724078411408
BA2456	8.22445433533228	0.240701063558228
BA2175	6.84399982384708	5.41173058943586
BA2824	8.58457840504288	4.91302715387873
BA2507	9.15245565249128	7.49457772487061
BA2563	9.21888429779212	3.16152901437988
BA2244	8.44966638628301	8.04591780353771
BA2470	8.66407371953991	8.74800571415782
BA2984	8.74503353869987	5.55778136463102
BA2414	9.11835064360706	8.45696872743274
BA2697	7.00782899353321	3.02935460711532
BA2079	6.63915578339387	2.04428550060962
BA2999	8.59529250724368	8.99906762077278
BA2644	8.30909856685695	6.33046496181519
BA2011	8.00619097456886	4.6706843537504
BA2217	9.35176787188011	8.64449262965366
BA2454	9.13720994130471	7.15951987646114
BA2776	9.1872873383188	5.87139334737162
BA2218	9.47302564786274	3.9200316734717
BA2135	9.53000194332933	7.52987979374564
BA2914	7.96905854853838	4.80249649532499
BA2500	7.68775219309565	5.25002967084118
BA2830	9.79819104218496	7.40017541649469
BA2406	8.13176351189552	5.17988483740919
BA3108	9.44528028465592	9.03429954865997
BA2924	8.76595984417136	6.97518866229435
BA2303	7.93352218493006	3.81737153202812
BA2160	8.82110029202306	7.32489473499785
BA2038	8.40194775982719	5.26497574003642
BA2602	8.32893113987774	5.31033947454173
BA2964	7.878761730409	5.53350703365187
BA2898	7.94635895319707	5.73858169391831
BA3003	7.88191833711993	5.15703871631077
BA2111	8.01457218763256	6.09048118374774
BA2827	8.18020169656618	5.60231976530737
BA2912	8.18217944661747	4.7189671068174
BA2437	8.21832699326225	5.57895756058083
BA2283	7.92868137841977	5.17806224044823
BA2057	7.89563066633541	5.10629601616429
BA2633	8.3603866090308	5.33399944565982
BA3034	7.97720455656684	5.34471469248409
BA2607	8.18813169577028	5.58195119803049
BA2761	8.40194775982719	5.04377519736749
BA2795	8.00271116464237	4.93540010442141
BA2182	8.19411260375688	5.4501485597404
BA2152	7.89401548128851	5.45636731851438
BA2381	9.55927298456459	8.43517613550052
BA2931	8.34456564828853	5.82897025310715
BA2040	7.72277870826456	4.10430197787171
BA2590	9.34744684153524	7.03196402344294
BA3195	9.4045391740165	7.83268389248944
BA2516	9.40177461105289	6.90032088066256
BA2353	9.62461563502098	8.40664550150058
BA3036	9.44070228005406	7.26503778677364
BA2971	8.05801802157941	8.84806156927188
BA3410	7.99739906746641	6.36512999451549
BA3118	8.8525926437112	6.67724465459247
BA3206	9.09600320401444	9.08862153045619
BA3202	8.84307877151568	4.94702787792631
BA3217	9.33455230246716	4.81514527019492
BA3405	7.61245153291675	5.70948396756837
BA3306	9.27982760161886	4.17828103107484
BA3371	8.91420804405317	6.16270217963845
BA3413	9.33027676031699	8.43037965011906
BA3411	8.88148184246882	7.23805703314362
BA3133	7.55977224878375	8.44966638628301
BA3164	8.77804587995587	5.95559861955689
BA3451	7.44242521067177	4.06401487195903
BA3286	8.50412364911741	7.00490622738367
BA3212	7.50105244518025	1.8338629705864
BA3103	8.7420670822246	7.43138197639579
BA3271	8.92748837970555	7.53974354156668
BA3152	7.13359161213086	5.91992653150053
BA3095	8.61695773628636	7.10160504306164
BA3192	9.4000752436972	8.52190108216259
BA3251	8.7420670822246	6.08621852980205
BA3362	7.81686981561798	5.42125052108752
BA3400	8.15477520582082	5.89003355654074
BA3135	9.25517667754352	6.26881149847343
BA3408	8.42321613548815	2.57836343869641
BA3187	8.65006116973985	6.4417602152858
BA3098	8.77804587995587	8.32449794408229
BA3435	9.4000752436972	9.3735473533766
BA3261	9.06667487040862	8.07426638068647
BA3203	7.19738153999511	6.97250726431014
BA3174	7.89563066633541	5.73207630464099
BA3317	9.90525526471174	8.78412431760784
BA3299	8.268195867683	4.04672215210504
BA3221	7.54085820588458	-0.38969003685215
BA3347	7.9003747386446	1.22944543113974
BA3235	6.9965338713589	1.81606762523089
BA3126	7.65148276489013	3.2401351714745
BA3380	9.05220627117217	6.34190143280827
BA3089	9.4917929010063	8.79022656584331
BA3109	7.91267481802265	5.96945929693027
BA3114	8.27456876079558	5.7641069155357
BA3418	9.1755941413251	6.62357481456438
BA3245	6.72876764999848	6.97993778438247
BA3085	9.2109276242084	7.56321071069528
BA3128	9.4045391740165	7.00991256129177
BA3423	9.59916222255831	5.53058601108242
BA3173	9.26335235036244	7.1445927897216
BA3171	7.55754763062472	9.14481502348153
BA3277	8.79022656584331	6.44947039282618
BA3210	8.24301678047805	5.28864753312789
BA3157	10.1099887487995	8.42559982560594
BA3433	8.7214605815193	5.70146183160515
BA3322	8.25554427681065	4.93470537442066
BA3374	8.92415796681604	5.53239656043462
BA3450	8.63894476137773	6.72640507458581
BA3167	9.04501990946176	8.40194775982719
BA3269	7.80392510487274	7.55189787670547
BA3110	9.20870997646767	3.17892025585561
BA3156	9.73079295605488	6.61592394796106
BA3226	9.55927298456459	7.7045927999637
BA3421	8.25344779136567	5.05080635120384
BA3232	9.03786515454843	7.12266775163133
BA3289	7.61833712147791	5.08151823941693
BA3430	7.74666982029682	2.4702039958371
BA3145	8.61695773628636	7.58759859001841
BA3399	7.84567146798846	5.58084969783205
BA3449	9.45447558148811	5.95439094102815
BA3384	8.824221356442	7.56567805381962
BA3427	7.21134659078952	7.66369633945432
BA3163	7.08148396341999	1.17134115218982
BA3158	9.2592593958878	7.45963779857083
BA3436	9.67679810675791	8.47663077360064
BA3154	7.76749698582267	-0.227067223199409
BA3162	8.60337970015667	8.49657233882556
BA3352	9.67313133431446	6.99719018449603
BA3084	8.78717245605116	6.95213438220586
BA3149	7.8210975174081	5.90555861314736
BA3169	8.24301678047805	2.62283712368534
BA3180	9.11460476788528	7.79093203959201
BA3255	8.64449262965366	6.40926123688896
BA3438	9.3735473533766	3.9216388561837
BA3345	7.67751428719864	2.02417937472789
BA3403	8.41372261793503	4.68063578286025
BA3431	7.86519796261888	5.74901581721608
BA3181	8.39960495989321	4.39774491020096
BA3341	7.99413751864958	5.75832214709053
BA3191	8.36494157515656	6.79520689964912
BA3197	8.97829037472744	5.66936167999459
BA3448	9.08494318011795	8.51679913189176
BA3453	8.80867768640892	7.12738803665014
BA3406	8.79635277497105	6.73404028171299
BA3308	9.38675693832204	7.55977224878375
BA3186	8.48399844841995	8.10894763837049
BA3334	8.7214605815193	5.02586431491849
BA3447	9.60422004710875	5.94021025458643
BA3116	8.70401585675217	5.85542200416075
BA3280	9.25110414260315	6.01005588113279
BA3185	8.5373170330564	5.6098838682387
BA3094	8.59798330037588	5.75137733831877
BA3318	8.47663077360064	7.574849932275
BA3216	8.8879736022598	6.67285627660237
BA3332	9.36916799017741	6.47025472959033
BA3214	9.51245452204643	5.9785222997962
BA3099	8.8717935877338	7.20386734649371
BA3141	9.43158515365849	7.23894729675129
BA3373	8.78108213178214	7.56206988956539
BA3319	7.51413414557592	6.19521896796153
BA3328	8.07971165578759	4.62535414272787
BA3339	8.07425460403884	-0.08887661487244
BA3240	8.97485330936457	7.69023500088856
BA3142	8.62516478231551	5.56967790109069
BA3333	8.98864564355709	6.99516443206292
BA3381	8.18217944661747	6.39210318114874
BA3290	8.25344779136567	5.14045385048919
BA3207	7.11965805588277	3.08252840570975
BA3296	7.05061628699762	4.19910119394124
BA3305	8.59260663428802	3.81612780124423
BA3434	9.18338030789918	7.19312453230448
BA3189	8.87824586229709	7.06371663624663
BA3264	8.69536777456055	7.54625616208849
BA3329	9.45616130594571	8.05115312612603
BA3417	8.57925061313916	-1.04532144447794
BA3367	7.38257507273258	0.962688765366786
BA3225	6.41555515164963	2.72493519321927
BA3183	8.88148184246882	7.48057619109315
BA3222	8.70401585675217	4.25414001013237
BA3139	7.46894970580743	6.63599137571399
BA3397	6.732801148639	7.35390839708449
BA3311	7.04704814373678	5.94099029232779
BA3422	9.02011485988608	5.54020534264446
BA3228	8.92415796681604	7.17116786854616
BA3213	8.62516478231551	7.8503248353151
BA3270	8.31787605128572	5.48358277984793
BA3415	7.56784611916855	9.88079564639631
BA3324	8.5607551950315	7.81101053195418
BA3194	8.68106286594684	6.63330728837913
BA3335	8.19211577067672	6.17773554711095
BA3199	9.4000752436972	7.59808663804993
BA3326	8.22036612888066	-0.0006124782671186
BA3285	7.61362919863888	7.78681257977187
BA3297	8.05288390011611	6.74447949059254
BA3227	8.79022656584331	7.40017541649469
BA3394	9.39118419839355	5.43546904513176
BA3412	7.81249915728454	4.96266025809675
BA3293	8.85123237146193	3.4550470720229
BA3250	7.96260346447077	7.12738803665014
BA3177	8.77199110438686	7.40108920011618
BA3315	8.34906675857089	5.33868120504246
BA3182	7.94936162159169	7.4382687261571
BA3260	7.42825345365406	4.43026354617328
BA3369	8.66407371953991	8.1073163967498
BA3078	8.96297616127633	8.74983670146495
BA3386	8.89776108628452	6.99516443206292
BA3445	8.25135474465914	2.9652424467697
BA3452	8.77199110438686	7.80094268898657
BA3176	9.21490111990201	8.42321613548815
BA3258	7.18983138735934	1.45644363841645
