	SMC1A	SRSF2
BA2000	0.7462069123289923	8.232855850924276
BA2003	0.0732785815434064	9.4977144739766
BA2004	0.3863072303795603	5.562522945896354
BA2006	0.0262961258180623	4.6626359318395725
BA2011	0.0723773414240564	8.33948154257171
BA2019	0.523339371811861	9.757790556231546
BA2020	0.7269029971477832	24.05614468586043
BA2022	0.443322630006295	13.76175498824985
BA2023	0.2495570895047683	6.170959052505648
BA2024	0.287155169944375	13.562153332917909
BA2025	0.7480948467765653	8.058465426519131
BA2031	0.5121456086847467	5.276629236644825
BA2032	0.1039793903154649	4.763443017170353
BA2033	0.1632966835095074	22.143794608866745
BA2034	0.3037435369718935	10.006225712329805
BA2035	0.2139238826754796	6.202410726195026
BA2036	0.4182774010351495	8.19574270719942
BA2037	0.4109814903870589	11.49048044339966
BA2041	0.3631849950003453	12.869687030810905
BA2044	0.4350917369616048	8.48685376064178
BA2046	0.101481482767567	9.108705272546237
BA2047	0.4789123837285003	13.306666081934658
BA2050	0.3102335430687024	9.513319286237095
BA2051	0.1054519895597969	8.14805311574689
BA2052	0.1795116800701992	8.873809201356487
BA2053	0.079902067313681	7.462370487579332
BA2054	0.4074334016411099	10.430588127973053
BA2055	0.0326916807866485	4.345256847097649
BA2063	0.1168140629305023	9.467873645094436
BA2065	0.390159335102721	6.373759297739962
BA2066	0.922025420781572	15.800296299117967
BA2068	0.155245402509188	18.355853161765303
BA2069	0.5229027636462918	10.278331861243649
BA2072	0.4090721059199481	5.902058256500613
BA2079	0.1799575021313978	7.640222263953134
BA2080	0.1230857485084649	9.191369278339211
BA2081	0.4536414243684186	6.928636469183807
BA2082	0.1162295533206854	8.40840134006508
BA2087	0.1188928086940584	5.677796869229128
BA2088	0.2833929198271572	11.410047337328768
BA2089	0.7049345073865925	11.89864820678787
BA2093	0.2085745418008944	5.464961303565389
BA2094	0.3974949642017643	12.051205054450586
BA2095	0.4427808684462046	8.463544127567214
BA2096	0.4238488908780826	15.000673563143634
BA2097	0.2734491493902399	17.792688397965705
BA2098	0.4418320681385367	6.655929889318163
BA2100	0.0518182790007006	3.718527822597228
BA2101	0.1482072923351178	8.1501091842613
BA2104	0.1650236484634113	1.8852928899651
BA2106	0.2404122878180016	7.204307756577358
BA2109	0.1385070484148851	6.833888850170134
BA2110	0.2190038677505027	3.806471086714524
BA2113	1.0902259540283143	15.929650625391014
BA2116	0.1669632966647874	6.781050008997795
BA2121	0.45416991707132	11.980554744241596
BA2122	0.0944624458861666	5.858690587057699
BA2123	0.3289941917044279	11.59072875024918
BA2124	0.2576586418409293	16.611280928331222
BA2125	0.5549049624963852	7.921142108252018
BA2132	0.3380670016794452	13.946291139079216
BA2133	0.1189663302955098	7.478491218664673
BA2134	0.2258618878717793	4.036120566317373
BA2135	0.1666776882535282	20.82611375867676
BA2139	0.2703667211430057	4.621744593017676
BA2143	0.3534699019272844	8.73803235454996
BA2148	0.0623963321637688	3.778912883468327
BA2153	0.1839683970834274	7.671001886855401
BA2155	0.1287229446308692	9.35317182362659
BA2156	0.2915874160324228	8.002415187656146
