	NPM1	CTCF
BA2000	528.2932619271585	0.0426876321353065
BA2003	717.8183224076506	0.0141094080338266
BA2004	320.01547932986267	0.0402880549682875
BA2006	9.679478408126416	0.0072885835095137
BA2011	348.4981285240867	0.0209196617336152
BA2019	583.7827086691859	0.0780523255813953
BA2020	1236.507877965909	0.078446088794926
BA2022	916.0964949426144	0.0480734672304439
BA2023	431.7839587624408	0.0205866807610993
BA2024	372.1842389270018	0.0491411205073995
BA2025	722.395881374441	0.0439323467230444
BA2031	803.0149785649028	0.0387975687103594
BA2032	795.6408037215438	0.0198705073995771
BA2033	257.718883807176	0.0335967230443974
BA2034	810.0015144990998	0.0471590909090909
BA2035	899.358854303508	0.0287817124735729
BA2036	778.587533687972	0.0375105708245243
BA2037	1902.128477513421	0.0759698731501057
BA2041	845.8378095871379	0.0270190274841437
BA2044	585.7529247149646	0.0415327695560253
BA2046	1115.1507214086078	0.0438028541226215
BA2047	676.9878108900025	0.0406025369978858
BA2050	742.1408316925888	0.0156923890063424
BA2051	484.6791957324424	0.0264693446088794
BA2052	1122.4581187120564	0.0275660676532769
BA2053	856.5360596182228	0.0177484143763213
BA2054	797.1291493537034	0.0327272727272727
BA2055	43.55371897587268	0.0071696617336152
BA2063	583.6395872324669	0.0375475687103594
BA2065	1202.664762511015	0.0417943974630021
BA2066	819.6683643642182	0.069392177589852
BA2068	590.7969803002536	0.0372885835095137
BA2069	668.3880927899144	0.0421088794926004
BA2072	443.6027357455251	0.0265644820295983
BA2079	148.52736696454153	0.0242336152219873
BA2080	828.9284153651536	0.0263213530655391
BA2081	596.8647857517421	0.0292283298097251
BA2082	1003.8557661222746	0.0402933403805496
BA2087	645.4585078280003	0.0176612050739957
BA2088	647.6525682652436	0.0399630021141649
BA2089	803.116732804619	0.0783007399577167
BA2093	717.9466283105468	0.0288054968287526
BA2094	773.6307073311818	0.0393419661733615
BA2095	742.4000933575526	0.0294714587737843
BA2096	843.435358552685	0.0186680761099365
BA2097	1869.086592927769	0.0455946088794926
BA2098	446.6952569238338	0.0257980972515856
BA2100	459.57170926115145	0.0196062367864693
BA2101	480.9915091065376	0.0307267441860465
BA2104	158.38864555593398	0.0158853065539112
BA2106	1086.0029372840947	0.0302563424947145
BA2109	352.7594132324559	0.0227457716701902
BA2110	227.9689532482417	0.0175184989429175
BA2113	618.1909565783855	0.0653435517970401
BA2116	203.9687913848749	0.0247278012684989
BA2121	828.9494792055228	0.0403303382663847
BA2122	309.0625568800445	0.0198044397463002
BA2123	1943.4570022489283	0.0355153276955602
BA2124	1305.25779886148	0.0385887949260042
BA2125	406.9357044659607	0.0504281183932346
BA2132	578.9355872081394	0.0347383720930232
BA2133	284.94185090038224	0.0218498942917547
BA2134	393.43453986171255	0.018583509513742
BA2135	1084.5087100504388	0.0335412262156448
BA2139	173.6594297885683	0.0234381606765327
BA2143	307.1844443903837	0.0276797040169133
BA2148	255.3043494272261	0.01044133192389
BA2153	1331.0218556577304	0.0425713530655391
BA2155	621.3355935278439	0.0254571881606765
BA2156	1073.0524097266143	0.0411865750528541
BA2162	777.1502831973705	0.0318657505285412
BA2163	222.89718635289796	0.0452008456659619
BA2168	600.1522459008418	0.0160227272727272
BA2169	515.3014576082433	0.0292098308668076
BA2171	1060.0132072311694	0.0527774841437632
BA2172	1285.5666526108653	0.034764799154334
BA2174	695.0197814809409	0.0474788583509513
BA2175	259.9379581461479	0.0369635306553911
BA2184	2459.967100585478	0.0989640591966173
BA2195	669.5415256707589	0.0241331923890063
BA2198	1047.4834367515962	0.0453091966173361
BA2200	1259.7528710461302	0.068718287526427
BA2201	527.5463422425489	0.0252880549682875
BA2209	569.168974056234	0.025644820295983
BA2211	922.0441599225848	0.05321088794926
BA2212	1006.7795485871216	0.0267389006342494
BA2217	794.3959000794692	0.048414376321353
BA2218	979.1264761510888	0.0172489429175475
BA2220	1087.3233925515065	0.0376744186046511
BA2221	462.1590218189288	0.0238504228329809
BA2224	449.9752633840964	0.036723044397463
BA2226	1559.633324170032	0.070203488372093
BA2227	1482.5946346789062	0.0523705073995771
BA2228	1001.3862794833952	0.0515036997885835
BA2229	738.7999339107024	0.0260676532769556
BA2233	704.8765433216022	0.0289482029598308
BA2234	489.7659139514642	0.0544318181818181
BA2235	813.1721123707271	0.0375845665961945
BA2236	603.8020683247107	0.0356606765327695
BA2239	411.5910683166015	0.0273387949260042
BA2240	744.2802145077496	0.0597595137420718
BA2242	509.0772584429415	0.045946088794926
BA2244	627.8026202933338	0.0450977801268498
BA2245	756.6573811014342	0.0444186046511627
BA2248	678.3991706131033	0.0147013742071881
BA2249	657.7914731101705	0.0475528541226215
BA2251	754.9645452137293	0.0545665961945031
BA2256	1282.3701699887013	0.0363662790697674
BA2260	601.2404678635722	0.0180549682875264
BA2261	260.06442243630283	0.0205496828752642
BA2269	156.11579028744114	0.0119582452431289
BA2271	613.650309930424	0.045406976744186
BA2272	590.9301324570083	0.0373150105708245
BA2273	643.2132071771085	0.02821088794926
BA2275	363.8970945171562	0.0765856236786469
BA2276	696.4642064905366	0.0192785412262156
BA2277	941.8999230390806	0.0548150105708245
BA2280	1003.6094654686798	0.0747938689217758
BA2281	862.6606165307038	0.0312341437632135
BA2282	323.8101324218687	0.0341411205073995
BA2286	1327.2542607189002	0.0406368921775898
BA2288	454.9879360677273	0.0223969344608879
BA2292	1297.5291890343124	0.0415274841437632
BA2294	847.8341622688226	0.0288266384778012
BA2296	1323.2688825637783	0.0509963002114164
BA2300	937.6118692053608	0.0648757928118393
BA2301	487.466436665099	0.0283720930232558
BA2302	944.8934392870464	0.0186997885835095
BA2304	211.44701354763023	0.0201664904862579
BA2306	901.786427961314	0.0335095137420718
BA2308	863.2564754537051	0.0253911205073995
BA2309	699.7744213550873	0.0360121564482029
BA2311	410.0625952361645	0.0251612050739957
BA2312	594.399621006936	0.0250554968287526
BA2316	412.6156787816864	0.0241966173361522
BA2322	858.080363788471	0.0403356236786469
BA2325	219.69341172145727	0.0173282241014799
BA2329	511.997061796872	0.0255470401691331
BA2334	464.35318109278455	0.0151242071881606
BA2339	243.40496241424609	0.0181183932346723
BA2344	1338.8400557636896	0.0263028541226215
BA2347	363.8338714002281	0.0222568710359408
BA2348	163.47130967633814	0.0116754756871035
BA2350	204.6322921444288	0.0174075052854122
BA2354	1407.5827175811046	0.0370480972515856
BA2355	860.7745633511192	0.0395692389006342
BA2357	793.4590747498338	0.0249127906976744
BA2360	1029.0874538131768	0.0416067653276955
BA2361	512.3302610000163	0.0195005285412262
BA2363	344.37315787908767	0.0123916490486257
BA2369	935.9463449455876	0.0354862579281183
BA2374	769.8035383317925	0.0583932346723044
BA2375	708.949695691897	0.0428699788583509
BA2376	217.837552447061	0.0352404862579281
BA2377	1620.696566978597	0.1141516913319238
BA2379	326.9421995923817	0.022703488372093
BA2385	628.0703635992583	0.0351797040169133
BA2386	1105.0537048660103	0.0442494714587737
BA2387	735.7457824756591	0.0404545454545454
BA2394	656.9536912697255	0.0592124735729386
BA2399	863.6350532498634	0.0261812896405919
BA2400	2251.1756771923	0.0700052854122621
BA2402	1132.8083556874635	0.038276955602537
BA2405	819.4816206555411	0.0157901691331923
BA2406	455.82191344869887	0.0213794926004228
BA2409	384.3329069019392	0.0378964059196617
BA2410	1750.142878574093	0.03848044397463
BA2412	147.10920649053665	0.0166305496828752
BA2413	924.3690286900533	0.0241331923890063
BA2414	1174.7778707298746	0.048818710359408
BA2415	352.56962425058254	0.0253435517970401
BA2417	667.7037800050819	0.0308403805496828
BA2418	445.7194689069452	0.0130576109936575
BA2420	675.3308830557313	0.034526955602537
BA2421	651.5041767354861	0.0399022198731501
BA2423	454.13566416365273	0.0187262156448202
BA2425	500.2002133778794	0.0337447145877378
BA2426	661.9735664974564	0.0186390063424947
BA2427	539.9111996626607	0.0136548625792811
BA2429	600.1961675721845	0.0408641649048625
BA2440	864.1078835422782	0.0292706131078224
BA2441	425.5303468620424	0.0632610993657505
BA2442	878.4137108343198	0.0394556025369978
BA2446	509.50240199592383	0.0343234672304439
BA2449	1679.51772423058	0.0349471458773784
BA2450	609.4299564675608	0.0403858350951374
BA2452	1162.0438778550847	0.054561310782241
BA2454	745.3580045356989	0.0483641649048625
BA2455	390.7647405569341	0.012365221987315
BA2456	397.9003733707434	0.0281474630021141
BA2459	1215.4964029582056	0.0179889006342494
BA2461	436.4138683457943	0.0462790697674418
BA2463	359.6115960903247	0.027198731501057
BA2464	1015.2788934029636	0.036353065539112
BA2469	387.8750166642339	0.0141966173361522
BA2470	457.57169279964535	0.032367864693446
BA2472	447.3715749201252	0.0403858350951374
BA2473	894.9562600620617	0.0508879492600422
BA2474	575.5878617828162	0.028583509513742
BA2477	1491.0319350730088	0.0624656448202959
BA2479	399.7088210155857	0.0224867864693446
BA2480	478.9776202122426	0.0403884778012685
BA2481	351.52108940030377	0.0130206131078224
BA2482	805.4864506668396	0.0376400634249471
BA2483	685.8239964103647	0.0414825581395348
BA2485	622.211135514145	0.034799154334038
BA2488	454.2514129053882	0.0306025369978858
BA2489	831.7894227390433	0.0189693446088794
BA2492	304.75228457592027	0.0276347780126849
BA2494	744.4210554014824	0.0340671247357293
BA2496	350.10427595863274	0.016387420718816
BA2497	459.164025176103	0.0261680761099365
BA2499	1215.8143966493133	0.0176479915433403
BA2500	514.1612743016699	0.0533879492600422
BA2501	829.0114015472194	0.0426744186046511
