	STAG2	SMC1A
BA2000	0.045373231419743	0.7462069123289923
BA2003	0.0190274841437632	0.0732785815434064
BA2004	0.0769230769230769	0.3863072303795603
BA2006	0.0443974630021141	0.0262961258180623
BA2011	0.040169133192389	0.0723773414240564
BA2019	0.0617986664498292	0.523339371811861
BA2020	0.0865181330297609	0.7269029971477832
BA2022	0.0530167506911693	0.443322630006295
BA2023	0.0211416490486257	0.2495570895047683
BA2024	0.0845665961945031	0.287155169944375
BA2025	0.0416327858188323	0.7480948467765653
BA2031	0.0066677508537973	0.5121456086847467
BA2032	0.0380549682875264	0.1039793903154649
BA2033	0.066352252398764	0.1632966835095074
BA2034	0.0110587087331273	0.3037435369718935
BA2035	0.0483005366726296	0.2139238826754796
BA2036	0.0395186209139697	0.4182774010351495
BA2037	0.0796877541063587	0.4109814903870589
BA2041	0.045373231419743	0.3631849950003453
BA2044	0.0426085542364612	0.4350917369616048
BA2046	0.0606602699625955	0.101481482767567
BA2047	0.0476500243942104	0.4789123837285003
BA2050	0.0213042771182306	0.3102335430687024
BA2051	0.0489510489510489	0.1054519895597969
BA2052	0.0442348349325093	0.1795116800701992
BA2053	0.0393559928443649	0.079902067313681
BA2054	0.0422832980972515	0.4074334016411099
BA2055	0.0203285087006017	0.0326916807866485
BA2063	0.0499268173686778	0.1168140629305023
BA2065	0.0434216945844852	0.390159335102721
BA2066	0.0788746137583346	0.922025420781572
BA2068	0.0367539437306879	0.155245402509188
BA2069	0.0377297121483168	0.5229027636462918
BA2072	0.0289477963896568	0.4090721059199481
BA2079	0.0591966173361522	0.1799575021313978
BA2080	0.0250447227191413	0.1230857485084649
BA2081	0.028785168320052	0.4536414243684186
BA2082	0.0456984875589526	0.1162295533206854
BA2087	0.0258578630671653	0.1188928086940584
BA2088	0.0616360383802244	0.2833929198271572
BA2089	0.0291104244592616	0.7049345073865925
BA2093	0.0352902911042445	0.2085745418008944
BA2094	0.0351276630346397	0.3974949642017643
BA2095	0.0396812489835745	0.4427808684462046
BA2096	0.024394210440722	0.4238488908780826
BA2097	0.0661896243291592	0.2734491493902399
BA2098	0.0201658806309969	0.4418320681385367
BA2100	0.0308993332249146	0.0518182790007006
BA2101	0.0335013823385916	0.1482072923351178
BA2104	0.0203285087006017	0.1650236484634113
BA2106	0.0279720279720279	0.2404122878180016
BA2109	0.0491136770206537	0.1385070484148851
BA2110	0.0291104244592616	0.2190038677505027
BA2113	0.0398438770531793	1.0902259540283143
BA2116	0.0713937225565132	0.1669632966647874
BA2121	0.0546430313872174	0.45416991707132
BA2122	0.0398438770531793	0.0944624458861666
BA2123	0.0494389331598633	0.3289941917044279
BA2124	0.0396812489835745	0.2576586418409293
BA2125	0.0546430313872174	0.5549049624963852
BA2132	0.0445600910717189	0.3380670016794452
BA2133	0.0455358594893478	0.1189663302955098
BA2134	0.0255326069279557	0.2258618878717793
BA2135	0.0380549682875264	0.1666776882535282
BA2139	0.031387217433729	0.2703667211430057
BA2143	0.0361034314522686	0.3534699019272844
BA2148	0.0273215156936087	0.0623963321637688
BA2153	0.0632623190762725	0.1839683970834274
BA2155	0.0278093999024231	0.1287229446308692
BA2156	0.0526914945519596	0.2915874160324228
BA2162	0.0489510489510489	0.2856224090238819
BA2163	0.0496015612294682	0.2476288848697591
BA2168	0.0139860139860139	0.1133917410225406
