	NRAS	IDH1
BA2935	7.5932544466496	5.76293182295601
BA2260	7.31397253852267	6.30695343234241
BA2676	6.45897655908302	6.47376016789819
BA2948	7.66613976188412	4.45829690708788
BA2524	8.52958832512444	4.71338041148762
BA2811	7.64636707538027	5.95983280142242
BA2540	7.72941398094	5.10108468850577
BA2928	6.80787905159787	6.62899851308068
BA2302	8.0760787079227	4.35980493218316
BA2595	7.69666948274062	4.7899749730526
BA2792	6.87084783224833	5.62043017440298
BA2651	7.94145634611773	4.51902825678144
BA2619	7.51413414557592	6.57921927462639
BA3013	7.14840411383597	6.23486418682469
BA2405	7.62437772428186	4.63387310843381
BA2735	6.57720688521491	6.01046707595227
BA2856	6.73222274372854	4.64521147205465
BA2377	8.40379071339591	4.72354417544082
BA2499	7.53734841909383	3.58175052756526
BA2463	7.67892900147032	7.01129464656936
BA3023	8.14513423086413	3.85081185407147
BA2095	7.42415546195164	6.09645228197541
BA2901	7.51084212363206	5.0241682886734
BA2275	6.82008128976274	6.14149524736616
BA2387	7.15951987646114	6.07906325231323
BA2962	7.45571345371651	7.45670028367566
BA2195	7.91426996698012	4.08320598972476
BA2688	7.53197491812839	3.23858596558685
BA2787	6.33418865159932	5.66936167999459
BA2420	6.6892157543699	5.91360220597683
BA2756	7.99068122497693	4.39589281624757
BA2122	6.96289154217268	3.22968112507528
BA2053	7.99573716734119	5.25892746258291
BA2080	7.97230357086309	4.29267969728308
BA2081	7.36910502551481	7.18078818168097
BA2354	7.02978091514104	6.26203648745747
BA3273	7.62806217739621	4.10948809536277
BA2893	6.89318073804479	5.61817308697624
BA2044	6.93558317816731	6.28823715765654
BA2489	7.98067391429632	3.22332800972844
BA2309	6.94490055523594	5.45489161608543
BA2720	7.46997411625783	3.85948948082755
BA2908	7.09047728148948	6.09727224274201
BA2054	6.40264148496757	6.44947039282618
BA2872	6.68070832768596	5.47433300541024
BA2526	8.33784249776874	3.54989691248403
BA2041	8.11666073243668	3.74848704611698
BA2464	7.20465709297985	6.04982213026608
BA2902	8.16644533071452	5.08617132532278
BA2541	7.38062061343463	6.29556241973791
BA2143	8.0179995830141	5.1308809152012
BA2094	7.02554920178684	7.53511002571526
BA2769	7.6160759273921	4.72632902528561
BA2843	8.30909856685695	4.576912820314
BA2592	7.69288267465993	4.04795438154792
BA2497	6.76359470107912	7.27462693268534
BA2718	7.03549223810054	6.75597489483719
BA2575	6.88614746987226	7.35298985161002
BA2096	7.41990509181254	5.90476239808708
BA2593	6.50152491798344	7.86375133258917
BA2791	7.91111348596979	3.89144729146833
BA2620	7.11817234858432	7.07695814218809
BA2629	7.06956103001791	6.1725191860544
BA2870	6.8958209414819	7.69160326863138
BA2423	7.76614073791854	5.07164095305392
BA2682	7.53974354156668	5.90076617867574
BA2276	7.27555120012057	4.91022290966011
BA2348	7.62437772428186	4.81265842584299
BA2709	7.76614073791854	6.54150806703429
BA2789	6.98275640527684	5.91554817043997
BA2694	7.69023500088856	4.4543011664344
BA2538	8.83992016748168	4.37307759807115
BA2583	7.67625068419832	5.2008194787507
BA2415	6.43590316276273	6.07987511764245
BA2722	7.16795764916514	4.94450171912077
BA2806	7.86375133258917	6.08879387607679
BA2221	7.1743962727285	5.57935496877716
BA3025	7.22705513643141	5.87927912302444
BA2514	8.12411003652868	4.5993645555515
BA2520	8.37409825216549	4.59723676314568
BA2441	7.66613976188412	5.83369852515391
BA2153	7.59565623174131	4.98513676810276
BA2479	7.35390839708449	2.61422648503115
BA2281	7.41702873174962	5.98958134739074
BA2657	6.85580435382138	6.58623483162294
BA2932	6.88034277223335	7.48594354331146
BA2123	7.99915514777274	4.52334899104318
BA2844	7.7071077714624	5.43657703696705
BA2660	6.98553956904008	6.80545390529169
BA2836	8.23473317956582	4.62427313618414
BA3027	7.64255001400601	4.19644815920318
BA2714	6.99377561399407	7.14998539597838
BA2139	7.00288610035202	7.28622892412638
BA2251	7.18812871773308	6.17773554711095
BA2952	6.85335943019892	7.21378004978512
BA2440	7.70064711748054	5.27576605306409
BA2036	6.801788717217	6.68593691853273
BA2828	7.44741351807287	6.34322095252985
BA2292	7.4576754868774	5.09390910729551
BA2410	8.11104544817006	4.9819516092596
BA2051	8.51934782702254	4.798374704262
BA2532	7.47416545591404	5.86821930876448
BA2986	7.07770710445007	6.7892246921242
BA2494	7.99915514777274	3.75076608161682
BA2515	7.71215406681609	4.05242084925905
BA2748	7.04988485075939	6.45455803457724
BA2970	7.69023500088856	4.23547754378357
BA2622	7.1743962727285	5.88961440143981
BA2839	7.99739906746641	5.32846021235263
BA2052	7.68013043810275	4.36867112545861
BA3011	7.52879493976561	4.83233699169056
BA2868	7.1445927897216	6.88867708372879
BA2510	8.05801802157941	4.67922683289374
BA2065	7.03474280183588	6.91069984449294
BA2691	7.05647487229206	6.43193622663115
BA2374	6.93420850135559	7.58991392876001
BA2804	7.20800173217813	5.2695794873648
BA2670	7.18812871773308	4.93263432505861
BA2675	7.22951525991334	7.41008797800013
BA2589	8.15090969693391	3.43461282312155
BA2031	6.75597489483719	6.82612058067876
BA2198	7.13044392794916	6.5550219238791
BA2066	7.18078818168097	6.1842076331656
BA2344	6.65069612456278	5.95439094102815
BA2459	7.61833712147791	5.73516831539579
BA2229	7.72941398094	4.10073895515048
BA2559	7.58415033094325	5.07408997846094
BA2093	6.84039491318719	5.34151860321391
BA2000	6.5550219238791	7.95765939482996
BA2425	7.14764743423536	4.80920574953976
BA2905	7.75227162313381	3.14612847066654
BA2304	6.91918219556931	7.6112304020112
BA2976	6.74898905678908	6.03067265261494
BA2386	7.41008797800013	4.25981249131916
BA2035	7.550843282623	5.46628439479905
BA2760	7.68399828509427	5.35302745757832
BA2201	6.84277692729058	7.15481965297646
BA2355	8.16059641320183	2.57374882661096
BA2113	7.06807720975175	6.24956354515351
BA2155	7.29872623007905	4.31592922692549
BA2955	6.87337102503918	6.58727608652663
BA2502	7.08227901596389	6.82247572050957
BA2322	7.80956394588893	5.6147813580075
BA2376	6.88034277223335	6.97110220501606
BA2020	7.10851364264035	5.92833030401015
BA2226	7.30676049708217	6.57772759538865
BA2200	6.95751613947387	6.44374763893835
BA2121	7.47524977931761	5.63513768849615
BA2944	7.44644074627456	4.64167507429005
BA2033	8.7332018546727	5.27249782330272
BA2867	7.91426996698012	3.686686945389
BA2089	7.15951987646114	6.66232694076894
BA2224	7.18556384102574	4.84073982458941
BA2046	8.04242466385173	4.41752853740495
BA2972	7.70840071464408	5.58233779466511
BA2978	6.92898560318184	5.90476239808708
BA2829	7.28800386009291	6.5851771545889
BA2851	7.26066025557169	6.52531304614774
BA2587	7.04635072837336	6.46680230521735
BA2461	6.94225752405198	4.97525881373139
BA2695	8.26157753766667	4.76744564892536
BA2623	7.41600983782201	5.17806224044823
BA2024	6.76359470107912	5.21467303087656
BA2426	8.46676516104844	5.06916581711999
BA2271	7.53303259081949	5.61291824722341
BA3004	7.20712924024302	5.9059700222253
BA2579	6.95344802847081	5.11604418341834
BA3010	7.21300808308282	5.43991302011835
BA2662	6.61275930528802	6.72757025712009
BA2674	7.21542521128511	4.64236314712384
BA2280	7.56567805381962	6.60421812247539
BA2512	6.88742207164032	7.07626127790368
BA2658	7.51191595859432	6.0515207109664
BA2394	7.03549223810054	6.19874995357892
BA2950	7.78253531759111	5.51054741525892
BA2981	8.25135474465914	4.82920315142492
BA2934	6.95344802847081	3.15379592329678
BA2539	6.43882504176683	5.69683059962592
BA2249	7.39635430321553	7.28989199463087
BA2034	7.57949702449786	5.90196356256727
BA2109	7.4382687261571	5.04550512990365
BA2242	6.98688341334907	4.49812951936181
BA2277	7.03918975972709	6.49454808629482
BA2727	7.05292631391108	5.04344198379719
BA2132	7.54856623986657	4.47573564141147
BA2618	6.68477667416407	6.51917819512762
BA2521	6.84657434431718	7.60876718089275
BA2846	7.4333053034535	5.10282218386209
BA2885	7.27205163282357	8.3695120975799
BA2639	7.25358458154246	6.32360812377741
BA2775	6.56583781452914	6.51657057172327
BA2402	7.43138197639579	4.97105541814246
BA2097	7.78401208165605	4.20135659440007
BA2786	7.56321071069528	6.43335604753767
BA2399	7.69160326863138	6.07775440645337
BA2850	7.78123623973778	5.43546904513176
BA2174	6.79463806745523	6.13208464272519
BA2004	6.61536224183286	5.26566945651455
BA3001	6.89839628157059	6.34691329698472
BA2311	7.06302085430374	5.8717903577196
BA2483	7.13198010911185	7.05570452227078
BA3040	7.22042069105103	5.54245080282141
BA2837	7.52657913903788	5.24035827892386
BA2724	8.07789379739417	5.6643875190661
BA2911	7.22294227292879	6.06121727575126
BA2256	7.83704881770087	6.20314139469901
BA2821	7.11072300969941	6.91793209354363
BA2233	7.89717932578411	4.79452735368346
BA2744	6.73922514739457	6.82008128976274
BA2880	7.2456266527422	5.0883096858926
BA2621	7.04344633578654	4.96162900206024
BA3002	7.35390839708449	7.49042755149826
BA2501	7.16132716982423	5.76686556527581
BA2993	7.59101188148724	5.56967790109069
BA2301	7.92045916247849	4.86287652588537
BA2852	7.53093612416627	2.47641329200189
BA2133	7.26938021173089	3.1582319317872
BA2866	7.13513562600345	5.37084951659886
BA2212	7.88494695067266	4.78927104224353
BA2685	8.03722226484621	3.97791568550573
BA2273	7.88642489400613	4.97353447958461
BA2477	6.69750566900229	6.59734342436169
BA2659	6.87971926016812	5.69757983119209
BA2124	6.72640507458581	4.78927104224353
BA2363	6.67668520784891	6.58673582096521
BA2369	7.99915514777274	4.24276500476702
BA2534	7.07180826529373	6.43983576769468
BA2400	7.04851156959908	6.50804753914762
BA2762	7.94936162159169	5.08403773679609
BA2312	6.95615389337193	5.91835525147628
BA2813	7.78401208165605	5.85936501205287
BA2211	7.00853195755675	6.53298741802549
BA2171	7.10380554442151	6.05611661620259
BA2746	7.54404101452516	6.80845562026412
BA2798	8.52702131941912	4.18830550628692
BA2809	7.29162764738793	5.03892605141629
BA2288	7.38062061343463	4.70912069685916
BA2801	6.96091622827791	4.6961161698671
BA3030	6.57195133441217	6.26927993913723
BA2588	6.90877033903166	5.36902005012398
BA2296	7.10380554442151	6.11380852099068
BA2300	7.08368088883067	6.53199378857673
BA2903	7.16876088952225	4.16090429067131
BA2473	8.12599675573878	4.30837790148871
BA2545	6.71895435387141	6.06036727608855
BA2840	7.05796014084047	5.51015899119849
BA2528	6.67112647924208	5.79603390583248
BA2646	7.34929269675225	5.43474590254893
BA3407	8.16059641320183	3.81612780124423
BA2240	7.40804987020109	7.58879646153396
BA2926	6.43590316276273	6.29737759041703
BA2272	6.7421473941764	7.51732737025111
BA2306	7.47416545591404	5.95520312741494
BA2765	6.63915578339387	6.76656262392125
BA2904	7.08440089746741	6.22067774239525
BA2883	7.84423149870525	3.93840673561022
BA2726	7.1288906231397	8.89122942781574
BA2234	6.93623650693789	6.97176870633362
BA2022	7.33890799019329	6.70701242644057
BA2228	7.86375133258917	3.49799064045743
BA2037	6.88492067829042	6.27917243235478
BA2184	7.16215175411855	6.13418245991914
BA3009	7.14612289543671	5.36619555084966
BA2842	7.34277993266588	4.61468245344628
BA2442	6.80116720365205	7.79521409988635
BA2882	7.1030737643179	6.1556592421586
BA2758	7.06736498172321	5.82658327453077
BA2705	8.34007975821985	5.31976332499236
BA2663	7.19985683529985	4.59368397646332
BA2570	7.17913715940168	5.17593956338375
BA2764	6.45300101587846	4.81656126290881
BA2209	7.947879626465	3.07362208775687
BA2989	7.96422079504262	3.71113954261245
BA2855	7.617186143553	3.55318791593181
BA2261	6.81811142246577	4.47248648313274
BA2721	6.75309739437635	5.89765135115317
BA2930	6.93558317816731	6.7928687930301
BA2728	6.78865136154736	5.97772537420238
BA2715	8.18217944661747	2.69222768564293
BA2469	6.21539686316165	5.04768274106503
BA2269	7.07329793491951	4.44772389189131
BA2098	7.06596636229514	6.97450183109637
BA2778	7.04704814373678	7.01613705435711
BA2951	6.45750445904916	5.24328117345542
BA2163	7.35957852119331	5.11328125236518
BA2379	7.89108706846145	4.17369897600356
BA2817	7.88642489400613	3.22116841470907
BA3153	8.59529250724368	4.27041928872006
BA2820	7.02624764830014	7.11889170682512
BA2723	7.88793681406652	3.55417797609775
BA2704	7.14840411383597	5.97361430412984
BA2088	8.12418859250955	3.90594846339568
BA2116	8.0044307958278	3.45550886376031
BA2584	7.39734461578024	5.72791281354614
BA3079	7.08521741719084	5.57561187049385
BA2417	7.56567805381962	6.31720357778214
BA2361	7.60044547310861	4.20061838096406
BA2450	7.3445927403943	7.08974258985974
BA2492	7.90490568648577	6.50152491798344
BA2552	7.61362919863888	5.03783692041918
BA2472	7.49565796423242	4.06768255183074
BA2994	8.05801802157941	5.68192875741287
BA2047	7.28712238553665	7.53093612416627
BA2101	7.45963779857083	4.13397604746354
BA2082	8.08153228980509	4.30539842621614
BA2879	7.83985748399556	4.31740166637701
BA2577	6.78802478417111	6.38217571781426
BA2456	8.30909856685695	5.4921500734543
BA2175	7.76614073791854	4.79347559452987
BA2824	7.22867709025789	7.42202383501609
BA2507	7.83840005803793	4.69788797442376
BA2563	7.13917152831013	6.31632447129761
BA2244	6.98553956904008	6.99175546936536
BA2470	7.51413414557592	4.49704564233128
BA2984	7.48382605156173	4.98548688523347
BA2414	7.15798365655759	6.115497606055
BA2697	6.54766219361137	4.99665147897099
BA2079	6.79581543973709	5.8733548574054
BA2999	7.42090370210596	5.43185845277898
BA2644	6.64915964619014	5.72213373131707
BA2011	7.45571345371651	3.33268141494615
BA2217	7.23974353995359	6.01254264145456
BA2454	7.38062061343463	4.35980493218316
BA2776	7.25696535562506	6.83464418679852
BA2218	8.18813169577028	5.90885007986137
BA2135	8.37180321609369	3.53525438523798
BA2914	6.78074983432615	6.58888481686372
BA2500	7.41990509181254	6.13505858445244
BA2830	8.20616122712402	4.69647295762567
BA2406	7.53511002571526	6.52836297577895
BA3108	6.79345158499426	5.43621855884092
BA2924	8.23061160269424	5.90436368867117
BA2303	6.74557828155057	8.27031665707811
BA2160	6.80603450730616	6.00261866586335
BA2038	8.30691336971867	3.20723913331244
BA2602	8.2874098816496	3.27264514939603
BA2964	7.59447758989453	4.15738946871551
BA2898	6.89778124838191	5.92875292821339
BA3003	6.76240903317338	5.7225158734594
BA2111	6.79100301901869	5.82541777312417
BA2827	7.09568366825665	5.56256719374486
BA2912	6.8867637487898	5.17381001168529
BA2437	7.05061628699762	5.57601310486413
BA2283	6.8576823032308	5.93038956442244
BA2057	6.94758145894243	5.50092424285105
BA2633	6.95085389521077	5.57412698420844
BA3034	6.806661857708	5.77144374108322
BA2607	6.98275640527684	5.81442547259646
BA2761	7.06885426902192	5.71331402808145
BA2795	6.91326402535282	5.86701172235977
BA2182	6.97731252665637	5.75491739673993
BA2152	6.801788717217	5.98343537244457
BA2381	7.41308925427417	5.73095557356358
BA2931	7.41889646736553	5.57710363902521
BA2040	7.74808252538179	4.35354406259827
BA2590	7.69790613813162	5.57116929470375
BA3195	7.49042755149826	5.02654059802702
BA2516	6.76777472760262	5.99273740349983
BA2353	7.47732145799094	6.57871147435603
BA3036	7.2977714926992	5.5372259675426
BA2971	7.85931538761176	4.859362912485
BA3410	7.63278489020753	4.72146237134338
BA3118	8.47663077360064	5.37928711694374
BA3206	6.79404595569359	6.69750566900229
BA3202	8.1017443875296	4.30578132576709
BA3217	7.75510135803604	6.20920563257666
BA3405	6.87403385388121	6.89968682755392
BA3306	7.99413751864958	4.18905337629139
BA3371	7.63278489020753	4.43026354617328
BA3413	6.93090952480088	6.41603346705047
BA3411	6.71268468403438	6.04775659278267
BA3133	7.15158559200513	6.38171333036269
BA3164	7.36252362510307	8.22445433533228
BA3451	7.1030737643179	7.550843282623
BA3286	6.5145040049866	7.52533179189238
BA3212	7.42721767032965	5.68192875741287
BA3103	8.24301678047805	4.18132017858849
BA3271	7.28438406463884	7.59808663804993
BA3152	6.73983231150721	7.1445927897216
BA3095	6.8791208631907	7.01543819204674
BA3192	7.87732006412967	6.08362235286883
BA3251	7.69288267465993	6.81629782268832
BA3362	7.05570452227078	7.53867754134672
BA3400	8.34456564828853	4.5085935471109
BA3135	8.08518191159815	4.33903266779967
BA3408	7.03126251610198	3.17079334153815
BA3187	7.60161963856079	5.68573255517546
BA3098	7.1639233124779	6.64018393293961
BA3435	7.12189404339898	6.22503632366675
BA3261	6.99175546936536	4.65440830398242
BA3203	8.3603866090308	4.18716058878723
BA3174	8.00271116464237	5.09637288827648
BA3317	6.99516443206292	6.62136909185019
BA3299	8.44724078411408	5.20686512079418
BA3221	6.6263105848456	6.35211013226828
BA3347	8.31787605128572	6.06168577538942
BA3235	7.21134659078952	7.3014086607396
BA3126	7.34277993266588	7.76884228347361
BA3380	7.96744532914178	6.09048118374774
BA3089	7.06956103001791	6.34412105865143
BA3109	7.62806217739621	4.16205900590607
BA3114	7.26669441560471	4.93122023310574
BA3418	8.07245680901417	4.20291883221202
BA3245	8.43758065182973	5.5239080872138
BA3085	7.97230357086309	5.32920195672699
BA3128	7.99739906746641	5.40443670689777
BA3423	8.2960419873451	4.69788797442376
BA3173	8.09067732991193	4.05042304398681
BA3171	7.36252362510307	5.6382097192845
BA3277	8.51425498508966	4.46447835591803
BA3210	7.8894951557827	4.05083600444237
BA3157	7.38560317769133	5.29839304298236
BA3433	8.0301567645062	3.74759218302818
BA3322	6.71610247691018	5.29307989811682
BA3374	6.6892157543699	6.57871147435603
BA3450	8.18813169577028	4.14520169098392
BA3167	8.01965582601105	5.24611528011748
BA3269	8.10545619155905	4.89092474484563
BA3110	7.65148276489013	5.57820476090366
BA3156	8.05115312612603	3.93670563044514
BA3226	6.88993208075706	6.06298925282901
BA3421	7.19064975766148	5.96666513140334
BA3232	6.8194770973329	7.46997411625783
BA3289	7.37484847247432	4.75027858706246
BA3430	7.79093203959201	4.69506440431895
BA3145	7.12189404339898	6.67231936736834
BA3399	6.79640967556144	4.01681712942243
BA3449	7.40707286933197	5.38186716708803
BA3384	7.10925539195399	7.22625304922136
BA3427	6.79813530726845	5.37014622702408
BA3163	7.06302085430374	7.16876088952225
BA3158	7.21542521128511	5.34691482072856
BA3436	6.60634523087502	6.55336509971083
BA3154	8.16576290814706	4.57869564199945
BA3162	7.50539293842063	5.29986206219824
BA3352	6.95550948162844	5.41245018586405
BA3084	7.14921380328589	7.0168789681798
BA3149	8.03884116383771	3.77745737706284
BA3169	7.53405377993628	6.88492067829042
BA3180	7.65513327960109	5.06562997256811
BA3255	6.85895592875875	7.59101188148724
BA3438	6.89511146582289	6.96490245805844
BA3345	7.2023131865225	5.1308809152012
BA3403	6.63758201438047	6.58888481686372
BA3431	7.31937809888862	5.06846235610609
BA3181	6.78865136154736	6.18251802139279
BA3341	7.65148276489013	4.26401053300844
BA3191	7.00423488076259	7.03335772337666
BA3197	7.20073563164426	6.65069612456278
BA3448	6.90161368403515	6.11039522609915
BA3453	8.07426638068647	4.29566916323682
BA3406	7.12505562496802	6.78802478417111
BA3308	7.09710413510838	5.38841032189554
BA3186	7.19225834495813	5.59508122551735
BA3334	6.93152855508892	5.57412698420844
BA3447	6.50649211862862	4.84704413896278
BA3116	8.09619809378225	4.66681816964876
BA3280	8.53990253916599	4.55238107332514
BA3185	8.09804401257278	5.04694903743101
BA3094	7.86231924501854	5.38984631837511
BA3318	7.99739906746641	4.06925036801479
BA3216	8.1017443875296	5.32485345914141
BA3332	7.99573716734119	4.59403374647175
BA3214	7.75510135803604	5.05963791860408
BA3099	7.11440294806697	8.19411260375688
BA3141	6.52836297577895	7.05213628356552
BA3373	7.22127084858972	5.9527582231115
BA3319	6.9785897904033	7.31758513982701
BA3328	7.12189404339898	6.1281715906941
BA3339	6.44032365945441	5.13729178336945
BA3240	6.9401836518602	6.14975362813735
BA3142	7.36623727973933	5.68535357501915
BA3333	7.59447758989453	4.93997522367398
BA3381	6.63758201438047	5.92676397459841
BA3290	6.83464418679852	5.51241676925768
BA3207	6.76418682921246	7.40108920011618
BA3296	6.59203093136997	6.14235074085009
BA3305	7.38560317769133	6.63537899034447
BA3434	7.08598210070988	5.42966375134891
BA3189	6.76359470107912	6.19606446047222
BA3264	7.37299295258264	5.72941496772039
BA3329	7.4262875873266	3.66471911557075
BA3417	7.09047728148948	6.30602484819544
BA3367	7.6954634086272	7.20800173217813
BA3225	6.69136843496562	7.56436701911919
BA3183	7.20544727648903	6.31585760088979
BA3222	6.44517490297706	5.45598777768521
BA3139	7.27110711454488	6.87718695252014
BA3397	7.28899814708616	6.86281064555051
BA3311	6.8175184307766	6.8576823032308
BA3422	8.19211577067672	4.32671639588567
BA3228	7.42825345365406	7.08297551023298
BA3213	7.74808252538179	5.72675571340994
BA3270	6.73050676463962	6.41897137635364
BA3415	6.74501989741739	7.06166102601644
BA3324	7.00079089475897	6.60476180009226
BA3194	6.77131514818168	6.51105136156458
BA3335	8.00107447892983	5.39495254612019
BA3199	6.83403264485773	5.73442845067299
BA3326	7.80094268898657	7.94635895319707
BA3285	7.19064975766148	7.26503778677364
BA3297	7.03918975972709	6.59999610931592
BA3227	7.12738803665014	6.39926285688665
BA3394	6.86346274491745	5.98835302463094
BA3412	7.29872623007905	7.46474071975909
BA3293	6.79158437688518	8.19593305491973
BA3250	7.17197273809379	6.9766278154768
BA3177	7.08821062221174	7.22705513643141
BA3315	7.5552619353094	6.21410531502083
BA3182	7.17836164217363	6.6886775034689
BA3260	7.19064975766148	4.21672873374062
BA3369	7.1639233124779	6.66619952778557
BA3078	6.77661655379887	6.76957967246072
BA3386	6.72117913083453	8.12041880838799
BA3445	7.05362684769664	3.60216120874402
BA3452	6.64862107605335	5.47397012091034
BA3176	6.52988298875597	6.39832221441364
BA3258	6.9924430115513	7.09641299880345
