	ABL1	U2AF2
BA2000	0.0146845710165825	0.2472353497164461
BA2003	0.0095313626532083	0.1871502835538752
BA2004	0.0112418889689978	0.2699243856332703
BA2006	0.0060003604902667	0.098133270321361
BA2011	0.0100919250180245	0.1816824196597353
BA2019	0.0196629416005767	0.280203213610586
BA2020	0.0263392213410237	0.4073771266540643
BA2022	0.0168979812545061	0.2702410207939508
BA2023	0.0098017303532804	0.1902835538752363
BA2024	0.0110868781542898	0.2312996219281663
BA2025	0.0185724585436193	0.2361625708884688
BA2031	0.0146377072819033	0.2377835538752362
BA2032	0.0132462148521989	0.1644281663516068
BA2033	0.0081723143475126	0.2446786389413988
BA2034	0.0197494592645998	0.2065311909262759
BA2035	0.0183687815428983	0.2074432892249527
BA2036	0.0147530641672674	0.2509168241965974
BA2037	0.0234264599855803	0.3382986767485822
BA2041	0.01598774333093	0.2257466918714555
BA2044	0.0127793799567411	0.1491540642722117
BA2046	0.0203460706560922	0.1984593572778828
BA2047	0.0213968997837058	0.2844706994328922
BA2050	0.0107462148521989	0.1732797731568998
BA2051	0.0223882480173035	0.2054773156899811
BA2052	0.013585075702956	0.2145132325141777
BA2053	0.0078983417447728	0.1835538752362948
BA2054	0.0082660418168709	0.2250283553875236
BA2055	0.0044250180245133	0.0737334593572778
BA2063	0.033361571737563	0.1705671077504726
BA2065	0.0192790194664744	0.2357136105860113
BA2066	0.0210976928622927	0.4282986767485822
BA2068	0.0152397260273972	0.2051323251417769
BA2069	0.0120782263878875	0.2366729678638941
BA2072	0.0101243691420331	0.1756285444234404
BA2079	0.0053911319394376	0.1842391304347826
BA2080	0.0201568132660418	0.2004395085066162
BA2081	0.012382840663302	0.2058270321361058
BA2082	0.0226405912040374	0.22718809073724
BA2087	0.0131452775775054	0.1397684310018903
BA2088	0.016995313626532	0.1757844990548204
BA2089	0.0200973323720259	0.3480576559546314
BA2093	0.0109012256669069	0.2107703213610586
BA2094	0.0125342465753424	0.3345935727788279
BA2095	0.0175198269646719	0.2155387523629489
BA2096	0.0067429704397981	0.1814555765595463
BA2097	0.0227577505407354	0.4338563327032136
BA2098	0.012664023071377	0.2542485822306238
BA2100	0.0066240086517664	0.1164130434782608
BA2101	0.0096467195385724	0.2175756143667296
BA2104	0.0069358327325162	0.1307797731568998
BA2106	0.0121449170872386	0.2265973534971644
BA2109	0.0096160778658976	0.1414461247637051
BA2110	0.005677721701514	0.1616115311909262
BA2113	0.0232191780821917	0.3406663516068053
BA2116	0.0132804614275414	0.1783601134215501
BA2121	0.0142231434751261	0.3158223062381852
BA2122	0.0042213410237923	0.1233837429111531
BA2123	0.0203028118240807	0.3285680529300567
BA2124	0.0179434030281182	0.3168761814744801
BA2125	0.0150955299206921	0.2912901701323251
BA2132	0.0178821196827685	0.209054820415879
BA2133	0.0063211968276856	0.1315973534971644
BA2134	0.0074351117519826	0.1531663516068053
BA2135	0.0098558038932948	0.189664461247637
BA2139	0.0064852198990627	0.1562523629489603
BA2143	0.0127180966113914	0.252726843100189
BA2148	0.0149242970439798	0.1120226843100189
BA2153	0.0082390050468637	0.1925992438563327
BA2155	0.012382840663302	0.1695463137996219
BA2156	0.0208399423215573	0.2615359168241966
BA2162	0.0132804614275414	0.2129773156899811
BA2163	0.0161968276856524	0.2723913043478261
BA2168	0.0087941600576784	0.2025047258979206
BA2169	0.0112076423936553	0.233695652173913
BA2171	0.0253118240807498	0.2931379962192816
BA2172	0.0166528478731074	0.2220179584120983
BA2174	0.0147224224945926	0.2944517958412098
BA2175	0.019388968997837	0.3229395085066163
BA2184	0.046326604181687	0.4852693761814744
BA2195	0.0100342465753424	0.1568431001890359
BA2198	0.0141474405191059	0.2997637051039697
BA2200	0.0183453496755587	0.3858601134215501
BA2201	0.0077883922134102	0.1519943289224953
BA2209	0.0153947368421052	0.165382797731569
BA2211	0.0313320115356885	0.3093620037807183
BA2212	0.0161824080749819	0.2355671077504725
BA2217	0.0262707281903388	0.3172306238185255
BA2218	0.0069124008651766	0.1791115311909262
BA2220	0.0089419610670511	0.2580198487712665
BA2221	0.0084661139149242	0.177726843100189
BA2224	0.0088914924297043	0.1829962192816635
BA2226	0.0220944484498918	0.5263137996219281
BA2227	0.0209408795962509	0.3902599243856332
BA2228	0.0196377072819033	0.2534026465028355
BA2229	0.0153713049747656	0.2392769376181474
BA2233	0.0236860129776496	0.222906427221172
BA2234	0.0152505407354001	0.2829584120982987
BA2235	0.0130641672674837	0.2041398865784499
BA2236	0.018817591925018	0.1831474480151229
BA2239	0.0091726748377793	0.2093525519848771
BA2240	0.0207876712328767	0.3159073724007561
BA2242	0.0155587599134823	0.3137476370510397
BA2244	0.0166348233597692	0.272117202268431
BA2245	0.0197404470079307	0.2270321361058601
BA2248	0.00905010814708	0.1644045368620038
BA2249	0.012557678442682	0.2399716446124763
BA2251	0.0230894015861571	0.2791540642722117
BA2256	0.0136391492429704	0.35
BA2260	0.0076297764960346	0.2048629489603024
BA2261	0.0063482335976928	0.1139792060491493
BA2269	0.006685291997116	0.0736247637051039
BA2271	0.0136319394376351	0.2671880907372401
BA2272	0.01	0.2298487712665406
BA2273	0.0184607065609228	0.3816209829867675
BA2275	0.0184697188175919	0.4054867674858223
BA2276	0.0092519826964671	0.2002079395085066
BA2277	0.0193421052631578	0.3473629489603024
BA2280	0.0273449891852919	0.4083837429111531
BA2281	0.0179271809661139	0.1866540642722117
BA2282	0.0063031723143475	0.1963563327032136
BA2286	0.0208507570295602	0.2249480151228733
BA2288	0.0124134823359769	0.1847684310018903
BA2292	0.0175486661860129	0.2537948960302457
BA2294	0.0140573179524152	0.2566398865784499
BA2296	0.0239365537130497	0.2876039697542533
BA2300	0.0072584715212689	0.3703308128544423
BA2301	0.0100739005046863	0.2333364839319471
BA2302	0.0157948810382119	0.1612429111531191
BA2304	0.0063734679163662	0.1615453686200378
BA2306	0.0136121124729632	0.2869423440453686
BA2308	0.0117321557317952	0.2426465028355388
BA2309	0.0130984138428262	0.1670746691871455
BA2311	0.0107876712328767	0.238719281663516
BA2312	0.009127613554434	0.1875567107750472
BA2316	0.0084282624369142	0.1713043478260869
BA2322	0.0178568853640951	0.277093572778828
BA2325	0.0081506849315068	0.1501890359168242
BA2329	0.0087815428983417	0.1734499054820416
BA2334	0.0099639509733237	0.1620888468809073
BA2339	0.0048882480173035	0.1349574669187145
BA2344	0.0139077144917087	0.2690879017013232
BA2347	0.0055064888248017	0.1309026465028355
BA2348	0.0043727469358327	0.105179584120983
BA2350	0.0045818312905551	0.1443903591682419
BA2354	0.0157534246575342	0.2415926275992438
BA2355	0.0216312184571016	0.1798818525519848
BA2357	0.0130569574621485	0.1578213610586011
BA2360	0.0196322999279019	0.2914839319470699
BA2361	0.0122873107426099	0.2029678638941399
BA2363	0.0046250901225666	0.1055103969754253
BA2369	0.0189221341023792	0.2701890359168242
BA2374	0.0208489545782263	0.2731568998109641
BA2375	0.0116131939437635	0.287930056710775
BA2376	0.0086265320836337	0.2142674858223062
BA2377	0.0481254506128334	0.3575945179584121
BA2379	0.0132227829848594	0.1366115311909262
BA2385	0.0062310742609949	0.1652410207939508
BA2386	0.0189491708723864	0.216554820415879
BA2387	0.0169881038211968	0.2618950850661625
BA2394	0.0097242249459264	0.310047258979206
BA2399	0.0148125450612833	0.2034168241965973
BA2400	0.0313842826243691	0.4374669187145557
BA2402	0.0125630857966834	0.2035302457466918
BA2405	0.0074134823359769	0.0997117202268431
BA2406	0.0122512617159336	0.2684310018903592
BA2409	0.0120385724585436	0.2333081285444234
BA2410	0.0260958904109589	0.2909168241965973
BA2412	0.0044754866618601	0.1700330812854442
BA2413	0.0136788031723143	0.2294470699432892
BA2414	0.0243258832011535	0.4464177693761815
BA2415	0.0047260273972602	0.1570415879017013
BA2417	0.0171773612112472	0.2622778827977315
BA2418	0.0077685652487382	0.2002930056710775
BA2420	0.0105136986301369	0.1421030245746692
BA2421	0.0181596971881759	0.1460586011342155
BA2423	0.0107894736842105	0.2005198487712665
BA2425	0.0087941600576784	0.2311389413988657
BA2426	0.0100558759913482	0.2087948960302457
BA2427	0.0086571737563085	0.1501748582230623
BA2429	0.0106452775775054	0.192726843100189
BA2440	0.01405010814708	0.3189886578449905
BA2441	0.0184354722422494	0.4246928166351607
BA2442	0.0116095890410958	0.236937618147448
BA2446	0.0115392934390771	0.224281663516068
BA2449	0.0213698630136986	0.2590406427221172
BA2450	0.0162040374909877	0.2504867674858222
BA2452	0.0252541456380677	0.3002693761814745
BA2454	0.0121611391492429	0.2897637051039697
BA2455	0.0087148521989906	0.1445368620037807
BA2456	0.0047837058399423	0.1757230623818525
BA2459	0.0067934390771449	0.1451559546313799
BA2461	0.0103262436914203	0.2526795841209829
BA2463	0.0140356885364095	0.2395274102079395
BA2464	0.0198936553713049	0.2094092627599243
BA2469	0.0165843547224224	0.0565453686200378
BA2470	0.0112599134823359	0.2814650283553875
BA2472	0.0163428262436914	0.1612381852551984
BA2473	0.0219412400865176	0.2864413988657845
BA2474	0.0123521989906272	0.226984877126654
BA2477	0.025086517664023	0.362296786389414
BA2479	0.0077253064167267	0.1249621928166351
BA2480	0.023895097332372	0.2070179584120983
BA2481	0.0052072819033886	0.1046739130434782
BA2482	0.0118006488824801	0.2210822306238185
BA2483	0.0151604181687094	0.2951984877126654
BA2485	0.0216672674837779	0.1723771266540642
BA2488	0.0136697909156452	0.1801984877126654
BA2489	0.0131038211968276	0.1301039697542533
BA2492	0.007577505407354	0.1486011342155009
BA2494	0.0152487382840663	0.2157183364839319
BA2496	0.0059769286229271	0.1483837429111531
BA2497	0.0092682047584715	0.1858270321361058
BA2499	0.0128262436914203	0.1426370510396975
BA2500	0.0246304974765681	0.3148724007561436
BA2501	0.0150558759913482	0.3060302457466918
BA2502	0.0097837058399423	0.2129584120982987
BA2505	0.0148648161499639	0.190945179584121
BA2507	0.0108904109589041	0.2790500945179584
BA2510	0.016472602739726	0.2926984877126654
BA2511	0.0059480894015861	0.1016729678638941
BA2512	0.0125036049026676	0.3401654064272211
BA2514	0.0112743330930064	0.1919659735349716
BA2515	0.0118655371304974	0.1206852551984877
BA2520	0.0036265320836337	0.1443289224952741
BA2521	0.0162959625090122	0.2997778827977316
BA2523	0.0194394376351838	0.210992438563327
BA2524	0.0125360490266762	0.1837287334593572
BA2525	0.0119700793078586	0.1768005671077504
BA2526	0.0263968997837058	0.3042958412098299
BA2528	0.0154992790194664	0.254102079395085
BA2532	0.0165176640230713	0.1511767485822306
BA2534	0.0232516222062004	0.2440406427221172
BA2538	0.012586517664023	0.1926275992438563
BA2539	0.0068961788031723	0.2507750472589792
BA2540	0.0125937274693583	0.1868194706994329
BA2541	0.0059012256669069	0.184031190926276
BA2545	0.0118186733958183	0.2780103969754253
BA2546	0.0096431146359048	0.2082561436672968
BA2552	0.0384967555875991	0.3417816635160681
BA2559	0.014059120403749	0.2171597353497164
BA2561	0.0080064888248017	0.2400945179584121
BA2563	0.0161067051189617	0.3292911153119092
BA2564	0.0097710886806056	0.1743431001890359
BA2567	0.0041636625811103	0.1330151228733459
BA2570	0.0145692141312184	0.1514413988657845
BA2575	0.0071935832732516	0.1457514177693762
BA2577	0.0213626532083633	0.2781663516068053
BA2579	0.0098648161499639	0.1970793950850661
BA2583	0.0164635904830569	0.1999007561436673
BA2584	0.0166005767844268	0.2438232514177693
BA2587	0.0186751982696467	0.2730812854442344
BA2588	0.0140032444124008	0.2479253308128544
BA2589	0.0179704397981254	0.1679914933837429
BA2592	0.0183543619322278	0.3282277882797731
BA2593	0.0048125450612833	0.0633601134215501
BA2594	0.0085021629416005	0.2692674858223062
BA2595	0.0101045421773612	0.189617202268431
BA2597	0.0188248017303532	0.1554725897920605
BA2600	0.011598774333093	0.220633270321361
BA2603	0.0146557317952415	0.2491587901701323
BA2618	0.0207354001441961	0.3151606805293006
BA2619	0.0106759192501802	0.1649763705103969
BA2620	0.0146971881759192	0.2401606805293005
BA2621	0.009030281182408	0.1953686200378071
BA2622	0.0153731074260994	0.2363279773156899
BA2623	0.0129217736121124	0.3108837429111531
BA2629	0.0102992069214131	0.2032277882797731
BA2631	0.0144736842105263	0.2288421550094518
BA2634	0.0064221341023792	0.1363421550094518
BA2636	0.008720259552992	0.1504631379962192
BA2639	0.0137959625090122	0.2887476370510397
BA2644	0.0111986301369863	0.2699621928166351
BA2645	0.0217844268204758	0.1774858223062382
BA2646	0.0225540735400144	0.2508270321361058
BA2649	0.0211121124729632	0.2630529300567107
BA2651	0.007761355443403	0.1246313799621928
BA2653	0.0130948089401586	0.1885538752362949
BA2655	0.0299783705839942	0.5907986767485823
BA2656	0.0079307858687815	0.1844045368620037
BA2657	0.0115537130497476	0.2334168241965973
BA2658	0.0126622206200432	0.2635255198487712
BA2659	0.0140519105984138	0.1913137996219281
BA2660	0.0080857966834895	0.131219281663516
BA2662	0.0143330930064888	0.3587901701323251
BA2663	0.0116925018024513	0.2168241965973535
BA2667	0.0136445565969718	0.1744328922495274
BA2670	0.0059354722422494	0.1470604914933837
BA2674	0.0104379956741167	0.2174763705103969
BA2675	0.0151568132660418	0.2491304347826086
BA2676	0.0147981254506128	0.2046361058601134
BA2677	0.0095962509012256	0.211758034026465
BA2681	0.0056380677721701	0.1572637051039697
BA2682	0.012732516222062	0.2194896030245746
BA2685	0.0221935832732516	0.2764933837429111
BA2688	0.0081380677721701	0.1359073724007561
BA2691	0.0082858687815428	0.1331143667296786
BA2694	0.0088482335976928	0.134664461247637
BA2695	0.0070007209805335	0.1776701323251417
BA2697	0.0056218457101658	0.1431285444234404
BA2701	0.009388968997837	0.1371880907372401
BA2704	0.0232498197548666	0.2522117202268431
BA2705	0.0289185291997116	0.2550425330812854
BA2707	0.0052000720980533	0.3732750472589792
BA2709	0.008352559480894	0.167726843100189
BA2712	0.0131182408074981	0.2014272211720227
BA2714	0.0148071377072819	0.2204395085066162
BA2715	0.0302505407354001	0.1878071833648393
BA2718	0.0331092285508291	0.3004725897920605
BA2720	0.0045331651045421	0.128062381852552
BA2721	0.0158417447728911	0.3297211720226843
BA2722	0.0155623648161499	0.1645841209829867
BA2723	0.0153586878154289	0.147391304347826
BA2724	0.008516582552271	0.1759782608695652
BA2726	0.008866258111031	0.1563610586011342
BA2727	0.0105082912761355	0.228156899810964
BA2728	0.0145583994232155	0.201602079395085
BA2731	0.0071449170872386	0.1409215500945179
BA2733	0.006016582552271	0.1291965973534971
BA2735	0.0094772891131939	0.0771077504725897
BA2737	0.0095133381398702	0.2032088846880907
BA2742	0.0109138428262436	0.2425567107750472
BA2744	0.0048918529199711	0.093086011342155
BA2746	0.0107534246575342	0.3023724007561437
BA2747	0.0102829848594087	0.123468809073724
BA2748	0.0250684931506849	0.2606899810964083
BA2751	0.0057804614275414	0.2020226843100189
BA2756	0.015416366258111	0.1860916824196597
BA2758	0.0097909156452775	0.1883884688090737
BA2760	0.0199783705839942	0.1687665406427221
BA2762	0.0134895457822638	0.2338232514177693
BA2764	0.0110994953136265	0.1469565217391304
BA2765	0.0068673395818312	0.1759782608695652
BA2769	0.0132498197548666	0.2050189035916824
