	STAG2	ASXL1
BA2889	0.0	0.0
BA3008	0.005204098227354	0.0048419253773853
BA2031	0.0066677508537973	0.0135289091426943
BA3447	0.0087819157586599	0.0065508402164625
BA2870	0.010408196454708	0.0197949302193107
BA2034	0.0110587087331273	0.026060951295927
BA3084	0.0113839648723369	0.0156650526915408
BA2915	0.012197105220361	0.0123896325833095
BA3010	0.0125223613595706	0.0170891483907718
BA2516	0.0126849894291754	0.02022215892908
BA2744	0.0131728736379899	0.004414696667616
BA2520	0.0138233859164091	0.0142409569923098
BA2168	0.0139860139860139	0.0139561378524636
BA2731	0.0152870385428524	0.0068356593563087
BA2499	0.0154496666124573	0.0139561378524636
BA3411	0.0159375508212717	0.0183708345200797
BA2656	0.0161001788908765	0.0135289091426943
BA3217	0.0162628069604813	0.0136713187126174
BA3126	0.0164254350300861	0.0112503560239248
BA3181	0.0169133192389006	0.0123896325833095
BA2405	0.0169133192389006	0.0148105952720022
BA2953	0.0172385753781102	0.0122472230133865
BA2836	0.0172385753781102	0.0132440900028481
BA2348	0.017401203447715	0.0066932497863856
BA2561	0.017401203447715	0.0098262603246938
BA2363	0.017401203447715	0.0059812019367701
BA2511	0.0175638315173198	0.0166619196810025
BA2510	0.0177264595869247	0.013101680432925
BA2701	0.0177264595869247	0.0084021646254628
BA2418	0.0178890876565295	0.0113927655938479
BA2682	0.0180517157261343	0.0132440900028481
BA3280	0.0187022280045535	0.0183708345200797
BA2248	0.0187022280045535	0.0122472230133865
BA2593	0.0188648560741584	0.0126744517231557
BA2003	0.0190274841437632	0.0155226431216177
BA2212	0.019190112213368	0.0182284249501566
BA3423	0.019190112213368	0.0240672173170037
BA2634	0.0193527402829728	0.0148105952720022
BA2489	0.0196779964221824	0.0149530048419253
BA2956	0.0196779964221824	0.0082597550555397
BA2481	0.0196779964221824	0.01011107946454
BA2098	0.0201658806309969	0.0118199943036172
BA2104	0.0203285087006017	0.0078325263457704
BA2055	0.0203285087006017	0.0113927655938479
BA2939	0.0203285087006017	0.0126744517231557
BA2709	0.0203285087006017	0.0084021646254628
BA2993	0.0204911367702065	0.0113927655938479
BA2023	0.0211416490486257	0.0109655368840786
BA2505	0.0211416490486257	0.0132440900028481
BA2050	0.0213042771182306	0.0111079464540017
BA2724	0.0213042771182306	0.0116775847336941
BA2455	0.0213042771182306	0.0091142124750783
BA2923	0.0216295332574402	0.0059812019367701
BA2712	0.021792161327045	0.0123896325833095
BA2812	0.0219547893966498	0.013101680432925
BA2538	0.0219547893966498	0.0270578182853887
BA2921	0.0221174174662546	0.01011107946454
BA2334	0.0221174174662546	0.0146681857020791
BA3029	0.0222800455358594	0.0105383081743093
BA2357	0.0222800455358594	0.018798063229849
BA2747	0.0226053016750691	0.0121048134434634
BA2902	0.0226053016750691	0.0132440900028481
BA2843	0.0227679297446739	0.024636855596696
BA2813	0.0227679297446739	0.0122472230133865
BA2350	0.0234184420230931	0.0095414411848476
BA2583	0.0234184420230931	0.021646254628311
BA2325	0.023581070092698	0.0098262603246938
BA2423	0.023581070092698	0.0162346909712332
BA2528	0.0237436981623028	0.0217886641982341
BA2816	0.0239063262319076	0.018798063229849
BA3251	0.0242315823711172	0.0136713187126174
BA2260	0.0242315823711172	0.0111079464540017
BA2096	0.024394210440722	0.013101680432925
BA3194	0.0245568385103268	0.0336086585018513
BA3006	0.0245568385103268	0.0132440900028481
BA3326	0.0247194665799316	0.0138137282825405
