	ABL1	ANKRD26
BA2000	0.0146845710165825	0.095731647324464
BA2003	0.0095313626532083	0.0829696955184203
BA2004	0.0112418889689978	0.0836499467406544
BA2006	0.0060003604902667	0.0359375526019772
BA2011	0.0100919250180245	0.0396755267623824
BA2019	0.0196629416005767	0.0811743854146624
BA2020	0.0263392213410237	0.2720451311688179
BA2022	0.0168979812545061	0.1461071024469072
BA2023	0.0098017303532804	0.0470448150826813
BA2024	0.0110868781542898	0.0727465166525798
BA2025	0.0185724585436193	0.0820670987279246
BA2031	0.0146377072819033	0.122539418115502
BA2032	0.0132462148521989	0.0746726685301137
BA2033	0.0081723143475126	0.0328929511327189
BA2034	0.0197494592645998	0.1482441107527969
BA2035	0.0183687815428983	0.02639324868337
BA2036	0.0147530641672674	0.1495243619025295
BA2037	0.0234264599855803	0.2101211986644937
BA2041	0.01598774333093	0.0443731716795331
BA2044	0.0127793799567411	0.1194899024393719
BA2046	0.0203460706560922	0.0217731909593821
BA2047	0.0213968997837058	0.1058020403754027
BA2050	0.0107462148521989	0.0848298304389081
BA2051	0.0223882480173035	0.0544991211021729
BA2052	0.013585075702956	0.0638985940183989
BA2053	0.0078983417447728	0.044761279014099
BA2054	0.0082660418168709	0.0698854980532695
BA2055	0.0044250180245133	0.0308071293502349
BA2063	0.033361571737563	0.0726650952894186
BA2065	0.0192790194664744	0.1540382890545618
BA2066	0.0210976928622927	0.2140376903736629
BA2068	0.0152397260273972	0.0720056593306243
BA2069	0.0120782263878875	0.1364638018106308
BA2072	0.0101243691420331	0.1025491070551802
BA2079	0.0053911319394376	0.0327016501612876
BA2080	0.0201568132660418	0.0667630637824152
BA2081	0.012382840663302	0.09929241644032
BA2082	0.0226405912040374	0.080322707815004
BA2087	0.0131452775775054	0.031818419892097
BA2088	0.016995313626532	0.0258208199268744
BA2089	0.0200973323720259	0.1719840442183655
BA2093	0.0109012256669069	0.0923072527476057
BA2094	0.0125342465753424	0.0509097204245458
BA2095	0.0175198269646719	0.098014030691826
BA2096	0.0067429704397981	0.0669083123292865
BA2097	0.0227577505407354	0.2880136001266145
BA2098	0.012664023071377	0.0564728483391839
BA2100	0.0066240086517664	0.0226884868038239
BA2101	0.0096467195385724	0.1302789888024038
BA2104	0.0069358327325162	0.0423369528778347
BA2106	0.0121449170872386	0.0792454882643863
BA2109	0.0096160778658976	0.0188309940160286
BA2110	0.005677721701514	0.0433041035770986
BA2113	0.0232191780821917	0.2430163086121711
BA2116	0.0132804614275414	0.0077332233085054
BA2121	0.0142231434751261	0.0782442943996513
BA2122	0.0042213410237923	0.0059470250262112
BA2123	0.0203028118240807	0.1136848376952894
BA2124	0.0179434030281182	0.1931288736569787
BA2125	0.0150955299206921	0.1644720147009132
BA2132	0.0178821196827685	0.0776629153923836
BA2133	0.0063211968276856	0.0401765132814494
BA2134	0.0074351117519826	0.1161802068672607
BA2135	0.0098558038932948	0.0434618225053949
BA2139	0.0064852198990627	0.0560207744228119
BA2143	0.0127180966113914	0.0274570539042846
BA2148	0.0149242970439798	0.01561806175848
BA2153	0.0082390050468637	0.1179660544193318
BA2155	0.012382840663302	0.0332657098691588
BA2156	0.0208399423215573	0.1126451138767699
BA2162	0.0132804614275414	0.0697051172596975
BA2163	0.0161968276856524	0.1851652216114061
BA2168	0.0087941600576784	0.0561529021150575
BA2169	0.0112076423936553	0.0721593507112641
BA2171	0.0253118240807498	0.2647719919523222
BA2172	0.0166528478731074	0.0564958233501456
BA2174	0.0147224224945926	0.1448877389936504
BA2175	0.019388968997837	0.0419824743589307
