	CEBPA	TP53
BA2000	0.2364838584208479	8.06307340091042
BA2003	0.0844029560482302	2.2260197873263383
BA2004	0.0995721509140412	7.673631869747613
BA2006	0.0501750291715285	7.428197079696779
BA2011	0.0645663166083236	1.1963063819805329
BA2019	0.0035005834305717	6.224170045462047
BA2020	0.1855309218203034	21.520381567447888
BA2022	0.2166472189809412	9.45684986281421
BA2023	0.2535978218591987	6.434672541888756
BA2024	0.1777518475301439	6.510640280236593
BA2025	0.2154803578374173	10.394921412662669
BA2031	0.1310774017891871	8.495527625696191
BA2032	0.1221314663555036	2.499893151699212
BA2033	0.2209257098405289	1.7986397277922732
BA2034	0.1310774017891871	10.402330525568503
BA2035	0.1306884480746791	5.694807242052163
BA2036	0.7098405289770517	7.951478653704009
BA2037	0.0840140023337222	13.456446138821162
BA2041	0.072345390898483	4.012876279461654
BA2044	0.1330221703617269	12.997143664324703
BA2046	0.1497471800855698	2.618085774132732
BA2047	0.5511474134577985	6.872806555198192
BA2050	0.1271878646441073	5.023659216923838
BA2051	0.131855309218203	0.9779779714778264
BA2052	0.0295604823026059	4.334996906915623
BA2053	0.0840140023337222	2.357057989901253
BA2054	0.1540256709451575	3.190998846688494
BA2055	0.0653442240373395	8.735408391437288
BA2063	0.0167250097238428	2.152309015331881
BA2065	0.1979774406845585	9.459880976324264
BA2066	0.2944379618825359	20.073948076003976
BA2068	0.3940101127965772	3.486147991478991
BA2069	0.2656553870089459	15.409996932172731
BA2072	0.1069622714896927	6.954497290282092
BA2079	0.1186308829249319	2.0472781137670544
BA2080	0.5262543757292882	2.4647671501971486
BA2081	0.1501361338000778	9.149696405407012
BA2082	0.484636328276935	1.7753601682942917
BA2087	0.2248152469856087	4.855407453197315
BA2088	0.0630105017502917	2.4632406685354358
BA2089	0.1295215869311552	9.676104817049987
BA2093	0.1252430960715674	2.2386160646417284
BA2094	0.5943212757681836	12.051290934790956
BA2095	0.2551536367172306	9.865156313761132
BA2096	0.0781796966161026	6.77397549750367
BA2097	0.1750291715285881	6.33159715116314
BA2098	0.1824192921042396	22.683107122235867
BA2100	0.0626215480357837	0.4942224100471776
BA2101	0.0318942045896538	3.382179169574317
BA2104	0.1929210423959549	4.151746644592918
BA2106	0.0921820303383897	3.0315719050191947
