	NF1	PTPN11
BA2000	142.75490360837196	18.33296095742878
BA2003	153.6363602362335	7.823075791431777
BA2004	186.3131826561012	23.47420820016641
BA2006	0.0	1.599279212987121
BA2011	72.85716052294515	9.225160864995647
BA2019	204.9947885795207	25.598812631833862
BA2020	274.7370236131756	31.59595324254756
BA2022	126.77737922849806	27.51591386957487
BA2023	57.57670274404444	11.535227276580512
BA2024	129.19307576825068	13.850349536088828
BA2025	135.04261049402936	25.182250566504557
BA2031	47.7445319683995	17.168571781077897
BA2032	215.03490271417868	15.901849480276256
BA2033	92.53923653042108	18.392220963768025
BA2034	153.47329527828623	16.75767370192132
BA2035	124.98326638084282	26.829544816139027
BA2036	238.32690231687388	21.002511009591736
BA2037	298.2964495900539	41.28393670453848
BA2041	135.22863046072317	20.85594645881212
BA2044	82.04710015020497	18.514651646389066
BA2046	144.0633694963439	17.74777341783675
BA2047	123.2929360773152	23.775755698786437
BA2050	95.22651628154628	14.032474625170588
BA2051	90.68870047977845	23.501722762533824
BA2052	110.66973675190388	19.346997032607323
BA2053	129.04169527931813	13.034239391027915
BA2054	115.25580563960666	15.071847659067448
BA2055	1.861283467889972	1.0119939151741806
BA2063	56.62966505689601	14.18531242809262
BA2065	201.62135608839577	23.213042788974004
BA2066	124.09319568255268	27.549712577286414
BA2068	78.65829945488635	15.169594363553628
BA2069	57.54297490294547	19.64144687919452
BA2072	86.57166007727321	12.509935270285276
BA2079	61.12137145648837	8.072035025066661
BA2080	157.83351245834615	14.96790543407779
BA2081	109.72745843655122	15.613771421052876
BA2082	81.44008518006407	16.516465158266154
BA2087	39.44265347415752	14.418054675323518
BA2088	122.118312008315	24.432406247519264
BA2089	166.7588903652543	26.42817527039773
BA2093	120.06260334565768	24.761557552881506
BA2094	80.35342502132465	22.84219653932653
BA2095	125.72932620776494	22.24726061747656
BA2096	38.14635019971428	9.782062235194408
BA2097	274.9535971649002	29.00078867269143
BA2098	26.433437712180453	4.89760845693884
BA2100	66.13538217435533	12.578431475402214
BA2101	72.0511876030681	12.241955188427031
BA2104	88.2053799306977	9.678008579946416
BA2106	153.3726439647684	11.404555741858657
BA2109	115.04825583911432	10.752236348741445
BA2110	74.36471936282452	9.173325205003731
BA2113	223.4154468177113	24.25003415351566
BA2116	171.4319149038356	34.54667256955986
BA2121	72.40096351612218	24.484211565819702
BA2122	54.47294224439686	8.187921438696502
BA2123	190.53116384213277	32.82053187434948
BA2124	184.66017011723795	17.461741457522745
BA2125	25.534304216960667	26.753085869426155
BA2132	170.7127216635003	20.169400258241318
BA2133	80.18133477228218	9.257241245749476
BA2134	49.273239517076505	11.564212451003634
BA2135	15.131785600875178	16.330691859452898
BA2139	41.481996912376765	11.507169535521824
BA2143	96.97194172507986	20.26836326082831
BA2148	89.68429975044664	15.675843108585529
BA2153	146.4827052853341	24.095696669288905
BA2155	71.92339924235235	13.399294045807633
BA2156	168.64129625232474	16.931888260327074
BA2162	147.29495642603302	23.524442921627767
BA2163	217.2043669052266	32.49912164853597
BA2168	130.512102414608	13.863873737481438
BA2169	178.1356567294738	30.814991909118284
BA2171	234.8583259532597	23.18947927011344
BA2172	185.11095536230036	16.795517788395873
BA2174	238.4854486070038	23.163838646228943
BA2175	31.956107621459708	22.39949600661436
BA2184	330.1887594161088	39.81395373361203
BA2195	94.9760301511449	14.438988301694582
BA2198	126.84489183593952	24.498350035075635
BA2200	253.9343726061422	27.20417627027473
BA2201	76.38543599082593	10.05949923649511
BA2209	207.73969039082704	22.20851929911572
BA2211	193.69321339903547	21.02631899069189
BA2212	150.1149855232797	16.10636029935567
BA2217	173.74162856094	17.405562540348775
BA2218	85.42607037036069	6.878393864241168
BA2220	105.89447496974996	20.14637088171025
BA2221	87.92724303286738	13.92990006687362
BA2224	99.58333873414824	15.825637213283208
BA2226	286.37231184395824	35.989485894319195
BA2227	327.7142740138492	20.910382367639677
BA2228	148.83302195542166	31.927487025931413
BA2229	230.9272500432621	23.056486557637434
BA2233	198.79246681895413	11.761458404505191
BA2234	133.53026760274443	24.054342043995
BA2235	137.30408373585547	17.067020253453286
BA2236	236.6977944710083	17.314869257465272
BA2239	93.44595003721206	12.77104820432132
BA2240	349.65596137257995	33.17334597209446
BA2242	288.5091193991156	15.237455455980948
BA2244	189.13614877568463	16.925820528737685
BA2245	206.20598869395417	27.47398546311995
BA2248	103.99306477060202	18.155268511562515
BA2249	131.64751962240132	19.97463299408348
BA2251	168.5185793587882	24.14242187116462
BA2256	177.37594734399633	21.401582298666927
BA2260	91.46311349201132	15.232493343082629
BA2261	95.638364990932	13.631458148123675
BA2269	127.34637686870389	7.328556613973234
BA2271	178.74582923309202	23.98460277768552
BA2272	155.30969220772613	13.50913898194892
BA2273	82.10327672445598	21.07546663553913
BA2275	179.28463600626125	31.218741695811683
BA2276	77.65718078840119	9.934136281708742
BA2277	203.6065735095337	29.221652377436328
BA2280	384.3268511749896	36.38874163228378
BA2281	148.70915295462936	24.831129720843258
BA2282	67.04868900711168	10.789451974244848
BA2286	201.80223865128715	19.38545941760825
BA2288	132.16680416497255	12.094613771990195
BA2292	106.58922238443596	17.152450737298953
BA2294	154.65930575825166	18.795163976802144
BA2296	124.91800887503584	22.58795543731145
BA2300	127.68776719943128	43.71814488147894
BA2301	102.8235989089254	17.314482693030055
BA2302	143.47247258145103	15.142153148377648
BA2304	58.26545447919322	12.000004837689753
BA2306	191.29686259218525	21.901854935746787
BA2308	211.6825983608057	20.691473643918133
BA2309	67.00275595385449	15.600943225492763
BA2311	104.19731581066932	16.07649015451271
BA2312	156.40969992181428	14.384739574554802
BA2316	78.52938685382075	11.94031516572484
BA2322	67.9089880251087	19.00203463588738
BA2325	84.63892612993457	13.13339354976582
BA2329	58.569892419639714	14.170386468930648
BA2334	105.09829684011098	12.738862324221753
BA2339	75.60546526741308	10.111131706915842
BA2344	141.96156499550946	17.66258635942158
BA2347	66.77803076811274	10.673249895339008
BA2348	55.136801578737725	6.14653811673649
BA2350	91.19479049601118	9.248559385393913
BA2354	113.2548155663928	27.095243432620222
BA2355	120.526364356186	28.38735945750639
BA2357	114.73993656372434	12.19949693229595
BA2360	169.86331229535077	17.5735034231662
BA2361	101.58710933354486	15.736424512490592
BA2363	35.095611280938215	7.3033212222808
BA2369	189.42521296233164	17.51039441139099
BA2374	90.40492261621532	22.40617777937685
BA2375	178.2945435585226	20.87206313122356
BA2376	49.77597347964191	14.73696075905255
BA2377	209.4103095988851	56.988741119585946
BA2379	124.56604347639134	14.2605358780457
BA2385	47.80464009196283	15.9001120635316
BA2386	231.55889311260623	18.71535873465833
BA2387	153.3348976809124	18.12250880428911
BA2394	95.31685868127607	24.469601260335928
BA2399	148.13163782499456	16.904555001239643
BA2400	205.685906014256	33.63200594550555
BA2402	180.8329650691468	21.70324629391715
BA2405	79.99933475446306	9.100792336674967
BA2406	34.71633495236259	17.82816007822995
BA2409	129.54548333633426	16.29375622363415
BA2410	225.8440833603437	23.596659384354837
BA2412	36.32016613028614	12.137813809796492
BA2413	222.15236454691257	21.05224232672534
BA2414	198.15717400889827	23.349309244236707
BA2415	34.29848221862546	8.984070955203252
BA2417	114.89562170147244	12.270477073849374
BA2418	135.68566336616163	10.111819360859618
BA2420	92.4940177792892	17.04322984051619
BA2421	91.31185986416747	17.112086130843036
BA2423	84.67758172475536	14.830693302761253
BA2425	162.79491087118302	26.81439645289756
BA2426	55.81249060280109	14.6887218048444
BA2427	49.06504183977397	13.203350202140005
BA2429	151.06596918946528	13.885097753812143
BA2440	135.89464622431606	29.80936471999719
BA2441	303.9044042244336	41.50471871701896
BA2442	213.18153533200555	21.30032633561693
BA2446	68.07249241660844	17.23831681496286
BA2449	171.94192740645337	27.270894277896847
BA2450	203.05409982012395	17.891294519534323
BA2452	193.1247259182125	25.78173682741561
BA2454	131.56553160502267	35.41917436013228
BA2455	82.35449417281512	12.375452361398644
BA2456	61.180971099669165	14.09237807271488
BA2459	87.45011280306524	13.594127000583486
BA2461	85.85159772017813	17.820350143922077
BA2463	41.31280183229365	8.57460656098495
BA2464	107.24054284277707	18.745323554263607
BA2469	251.0946035683642	16.132452295663036
BA2470	124.4127267962813	18.268118383788824
BA2472	96.75468631074348	12.66426899861456
BA2473	135.90179155823498	17.639401643995793
BA2474	90.10814805826662	12.088986615383838
BA2477	251.96199370434655	27.90380716097536
BA2479	58.5148987250125	9.06853194700168
BA2480	185.00097066910075	15.24397502944484
BA2481	45.24202580176599	7.960993949896547
BA2482	179.89138144862451	19.0233231637945
BA2483	170.9383763555678	23.22264853955544
BA2485	174.4791578442435	17.055978788879546
BA2488	125.0322329857764	18.77808934875976
BA2489	60.39576113585825	14.508873336495364
BA2492	63.18416194926038	23.63457575454264
BA2494	95.09040528581576	27.91420931790605
BA2496	45.25937170899411	11.399676017741184
BA2497	42.28054193054178	15.612483715841416
BA2499	101.23626725514532	21.457586308448946
BA2500	199.5066088787393	23.138866635530075
BA2501	120.03527020920772	27.833890878616558
BA2502	129.68288700469952	15.548455223976305
BA2505	175.77268062103064	22.69831014365209
BA2507	148.35611675642977	13.273383072831717
BA2510	37.039426921791566	16.669318455579262
BA2511	43.14309877006726	7.663551368635486
BA2512	84.18061058654125	18.55404802224241
BA2514	136.22047089526455	14.1127716506682
BA2515	63.079763869883294	13.656362083325709
BA2520	91.07509546057814	10.18459988094212
BA2521	188.9495712148245	22.854875728416364
BA2523	231.1519510714657	17.466454904239125
BA2524	89.18268298048588	15.143161519049126
BA2525	33.4185441002891	10.739344125649188
BA2526	193.6457426221941	16.511510597344866
BA2528	156.4198357593167	14.604392734699395
BA2532	136.4370444751564	27.09788474706269
BA2534	252.0719388356896	26.77316300242771
BA2538	163.56922986240653	19.34789198139
BA2539	89.42632790129001	15.054660968382327
BA2540	102.9294284547094	12.01969277063214
BA2541	65.6930492624528	16.52564398579619
BA2545	93.36255824417232	20.94124669628399
BA2546	68.15655886655676	18.99909180138973
BA2552	371.11845971912896	16.970131640737755
BA2559	139.1365522105781	14.081354688308627
BA2561	39.73792927932083	8.225056123389484
BA2563	174.09947387656885	17.33397336920926
BA2564	85.07499451835139	13.974435996557515
BA2567	30.7649353050662	6.532230302726126
BA2570	289.1494765836638	22.38622147123564
BA2575	49.55685552128676	10.361376185477951
BA2577	118.70210933626588	20.382387269777333
BA2579	141.5662109630884	18.172941762715816
BA2583	175.38868962690978	25.543482158502837
BA2584	57.36722309793788	21.881435806884262
BA2587	156.35443522543525	21.078892020464146
BA2588	190.10730529365503	15.34775428213297
BA2589	160.10103382389008	17.98440359990241
BA2592	206.67516523469448	19.84405027987057
BA2593	0.131948509740975	0.8090165245861867
BA2594	115.70215184308827	21.525920477694164
BA2595	39.45864383623836	13.4174683952318
BA2597	97.936434541528	19.51682683095491
BA2600	183.1853616101156	12.611281705199705
BA2603	132.7224555535752	19.616353351392544
BA2618	125.13469547601136	21.562852645082295
BA2619	65.80756208405029	16.276085827293198
BA2620	136.00222939519455	23.94293881406372
BA2621	163.23017498489295	14.867078915259968
BA2622	121.40379419765218	17.89404725424126
BA2623	201.24225278348143	32.422525972432204
BA2629	40.404138271266014	12.182439062832351
BA2631	109.59519540707544	17.90739322912705
BA2634	178.5576422875698	18.21284933426878
BA2636	119.06478603350848	18.568704808257376
BA2639	180.8138917906739	21.352582026728825
BA2644	91.2566416483229	13.954630838917565
BA2645	76.16513839589086	21.812898951451057
BA2646	159.00708462304976	24.75015114655788
BA2649	103.47973972281912	23.86929555054728
BA2651	69.82136680760968	15.009905620802682
BA2653	97.22040551437576	35.09770771441234
BA2655	274.1036597231043	47.73960715416454
BA2656	91.65100885209748	12.23115155921837
BA2657	109.05733959704034	19.747502000537104
BA2658	130.20636621989172	20.77431422918143
BA2659	84.44632986861905	20.045090782808657
BA2660	89.78421103698174	16.149795869705212
BA2662	62.0646160314211	12.045959777225177
BA2663	135.66967309315947	12.517918211428482
BA2667	131.0534229598689	14.667596859550976
BA2670	162.34339961552118	17.34966639725265
BA2674	147.0979160005437	17.279843318133707
BA2675	171.949167646683	20.317910549967007
BA2676	91.48180314484172	18.58694648390418
BA2677	161.03891322846772	18.577054779483333
BA2681	70.04019857231029	15.08682239640497
BA2682	109.11172435395687	19.076647524486
BA2685	163.1492191604278	25.10516765487928
BA2688	25.648700935483525	9.067482526668442
BA2691	110.47005559851227	26.73737220376769
BA2694	78.54970935159275	9.024019039461352
BA2695	60.81625844565557	11.2404092343823
BA2697	87.08814851074648	6.301040978737351
BA2701	152.1665461230095	10.946437653909962
BA2704	201.20381554401783	16.147071205521367
BA2705	341.2926798773445	28.16912357988325
BA2707	86.74408613423792	28.354258823419137
BA2709	89.34929908737492	11.834087074751764
BA2712	121.8668429618196	16.42029670010793
BA2714	192.9030108214692	18.259052411644547
BA2715	155.77432060481345	20.1361962674606
BA2718	139.00641014037672	23.29369020548985
BA2720	43.36677119694078	12.589995425491171
BA2721	265.52723888228604	12.82643796424119
BA2722	167.37349745602896	36.40377693251484
BA2723	160.4939192604911	30.19932116231609
BA2724	109.31239860907291	12.29033845001848
BA2726	67.6526031910199	13.818725538291096
BA2727	94.5353950808028	24.61424804261353
BA2728	183.55938591740525	21.026768820896308
BA2731	107.27800255164831	10.348587303927951
BA2733	56.24385956314274	8.96480318961342
BA2735	147.8262491538163	12.472768491152266
BA2737	78.27415765988898	12.376501451202138
BA2742	129.95283163495762	18.999517616112165
BA2744	33.77381747949175	3.972428680531728
BA2746	83.86915751314284	16.354079014101362
BA2747	62.27748732776638	13.21286567892482
BA2748	199.25488871332868	24.58902716946228
BA2751	119.3254783695873	13.92309366783434
BA2756	85.26857123717195	11.95978241621635
BA2758	57.32248577768649	9.074373932385482
BA2760	145.6582421432596	27.842394785774225
BA2762	191.9918527694903	15.494298472230904
BA2764	112.03677400504952	10.123036663951495
BA2765	151.23552413719125	17.255788926560026
BA2769	139.97004102912095	14.114069903809089
BA2772	119.91695093878694	9.214550366533244
BA2775	142.37797575702365	18.18390614086486
BA2776	210.7570629268887	21.07864268018424
BA2778	104.64943656261444	11.051841624231852
BA2782	95.5382653865288	14.017978111035076
BA2786	100.28994245785098	18.56146342152403
BA2787	41.04953227327876	5.728153752635701
BA2789	180.57875038543253	23.09779193452756
BA2791	88.89145755618246	20.34342406980938
BA2792	43.79211018690363	11.65470263502648
BA2798	216.74514018367236	16.931625688947495
BA2801	95.49222064689803	7.134981041288424
BA2802	181.44247096762143	21.039563120997773
BA2804	159.40234247738303	11.705154389579103
BA2806	220.58941345398543	20.0582471817414
BA2808	48.49155366434125	24.08299046294555
BA2809	192.4826987219994	25.421071006514072
BA2811	103.90778382500056	22.694716050439283
BA2812	63.29461370691892	11.366252530998253
BA2813	135.21858205685575	13.26185634034608
BA2814	42.45775692519901	11.078194670442564
BA2816	108.00098695013564	14.79225518895096
BA2817	166.47145168901284	19.255577896687427
BA2820	138.81448881402198	17.60046886126625
BA2821	351.9780878770896	41.38697743446033
BA2822	26.705595800531245	27.94999463915676
BA2824	205.53801514045847	15.698469004065108
BA2828	102.89567819352284	16.62048013308828
BA2829	242.33983194955127	23.16697090575833
BA2830	98.5229049066421	10.54731633196385
BA2832	133.52973932243407	21.6788491811367
