	RUNX1	SF3B1
BA2000	0.3158646553683877	5.868488939678021
BA2003	0.4013244329079319	2.198908352987511
BA2004	0.3087657605500394	4.138880806726062
BA2006	0.0434516639435853	2.325123064804804
BA2011	0.1227164865716172	0.1380198320917367
BA2019	0.2985802352609417	2.591253168618399
BA2020	0.4234286826082905	3.566717303735739
BA2022	0.5851342050113773	1.6333312272570373
BA2023	0.2340222673641931	0.695618182813505
BA2024	0.355324854052362	2.2570122608614995
BA2025	0.0980119356459087	1.0662814523867092
BA2031	0.2926282036740446	4.244904914836965
BA2032	0.3819240898337823	0.544077751470832
BA2033	0.2493802875679197	0.5207126749297848
BA2034	0.4487978343101674	3.739892901838597
BA2035	0.5157778625167798	6.2327003775731
BA2036	0.8388414173535819	9.325854998547795
BA2037	0.4592527844731488	5.232376171077262
BA2041	0.2588665449447568	0.8686250591145965
BA2044	0.4545446668656925	2.7103441419906
BA2046	0.5157814038241734	0.0966780257929719
BA2047	0.3310338573537499	2.5434799755482262
BA2050	0.3165709499854057	1.5773960837625316
BA2051	0.3938825853566675	1.9603346228298677
BA2052	0.3736513203619646	2.2125302187734275
BA2053	0.3085386934826425	0.5596398153343644
BA2054	0.2938030708808976	2.902457441292173
BA2055	0.0589301162250986	1.3580618091575545
BA2063	0.0920561794793435	1.0228629180029227
BA2065	0.5219851276879832	3.3052441831997457
BA2066	0.4636862910150136	1.1212745563173925
BA2068	0.4141447851298147	1.42080896899582
BA2069	0.1889841436797342	1.6861525559554815
BA2072	0.3501484859597172	0.7505739552112843
BA2079	0.1133866749489385	0.6569010874044472
BA2080	0.1281109492294557	0.7577356790613439
BA2081	0.5058095747966009	1.987437057210764
BA2082	0.1837415500653363	0.0575538570088242
BA2087	0.1262338198212069	1.0741895787999471
BA2088	0.1123074663292034	1.1964608794427185
BA2089	0.3022986007009235	2.2429851844755566
BA2093	0.7187506601942814	2.504220728960906
BA2094	0.6344199058410083	4.874152863123288
BA2095	0.5760620116676848	2.000770656654821
BA2096	0.1373108299661647	1.4035218689792446
BA2097	0.5803880630099275	5.529201492957189
BA2098	0.190269033493088	3.7885589952267344
BA2100	0.2614480767212281	0.3885650929638804
BA2101	0.2374995044039177	1.4843159585840475
BA2104	0.1869198487063524	1.4249106856380802
BA2106	0.3996681074992766	2.635120076761539
BA2109	0.1611528749668292	0.1013629278870352
BA2110	0.1412447000291279	1.195629336654395
BA2113	0.4636009687036643	1.3489537058579335
BA2116	0.247156774264995	0.7321046849173004
BA2121	0.4045254318806516	0.9023855229683968
BA2122	0.2333023284722314	0.6417203906201293
BA2123	0.3247570771477333	3.840240130713588
BA2124	0.547448699385894	5.547385135207057
BA2125	0.3106537800341222	3.133815191424848
BA2132	0.4028966828390375	2.629895091549692
BA2133	0.0821775067247399	1.889343444020188
BA2134	0.1773124117797484	1.3858377241602684
BA2135	0.3643324954167157	1.0282469461893704
BA2139	0.1190683935976216	2.3384103077608533
BA2143	0.2887462269645254	0.7740416288409281
BA2148	0.2213584146383362	0.0754874236072144
BA2153	0.3382966437468907	5.116721417047205
BA2155	0.1000285399730431	0.0402624383953675
BA2156	0.1665121141157881	2.5846917601475625
BA2162	0.2075276098890612	5.054337551568456
BA2163	0.3639867216910707	4.424902398189839
BA2168	0.3370682973422069	2.459866336385243
