#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature priorMDS, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.002576 avec le test Mann-Whitney
 Abundance   TotalKmers  NormalizedExpression priorMDS
314.068966 1.047339e+10             29.987330        n
322.413793 1.019550e+10             31.623162        n
 40.551724 6.960387e+09              5.826073        n
158.724138 7.820031e+09             20.297123        n
 37.413793 5.476180e+09              6.832097        n
176.827586 1.227116e+10             14.410014        n
 14.965517 8.352852e+09              1.791666        n
 44.896552 4.687717e+09              9.577488        n
413.241379 9.825842e+09             42.056587        n
 21.379310 6.278038e+09              3.405413        n
 29.137931 6.807601e+09              4.280206        n
170.689655 9.666895e+09             17.657134        n
 25.275862 7.400454e+09              3.415447        n
 37.413793 6.464380e+09              5.787684        n
285.034483 5.575294e+09             51.124562        n
136.931034 9.607272e+09             14.252852        n
111.793103 6.058733e+09             18.451565        n
 89.793103 8.033235e+09             11.177701        n
141.103448 7.004248e+09             20.145410        n
499.965517 8.254983e+09             60.565303        n
158.103448 7.863224e+09             20.106694        n
112.344828 4.761447e+09             23.594682        n
123.344828 6.892596e+09             17.895263        n
174.103448 8.690531e+09             20.033696        n
346.206897 8.954781e+09             38.661681        n
236.344828 8.178035e+09             28.899953        n
 32.068966 6.261959e+09              5.121236        y
 69.724138 8.864826e+09              7.865257        n
144.551724 7.420922e+09             19.478944        n
 84.448276 4.643957e+09             18.184553        n
188.137931 8.137579e+09             23.119645        n
 72.103448 9.451593e+09              7.628709        n
235.724138 6.586923e+09             35.786686        n
232.241379 6.979146e+09             33.276475        n
 55.551724 7.175056e+09              7.742340        y
421.344828 8.405221e+09             50.128943        n
132.379310 9.795604e+09             13.514155        n
137.655172 6.648353e+09             20.705154        n
 21.103448 5.190688e+09              4.065636        n
 73.758621 6.701910e+09             11.005611        n
266.793103 9.291569e+09             28.713460        n
138.448276 4.572093e+09             30.281158        n
176.413793 8.914914e+09             19.788613        n
248.724138 7.201539e+09             34.537637        n
292.206897 6.302852e+09             46.361061        n
 62.482759 8.167692e+09              7.649990        n
200.517241 9.534414e+09             21.030894        y
 56.655172 5.843420e+09              9.695550        n
 64.965517 9.576597e+09              6.783779        n
121.862069 6.970849e+09             17.481667        y
161.413793 7.309448e+09             22.082898        n
 58.275862 6.503777e+09              8.960311        n
185.482759 7.654277e+09             24.232563        n
225.551724 1.077170e+10             20.939290        n
 28.862069 6.077615e+09              4.748914        n
157.655172 7.451200e+09             21.158361        n
337.103448 8.251345e+09             40.854365        y
 29.689655 5.277299e+09              5.625918        n
 17.103448 5.270370e+09              3.245208        n
 17.689655 6.739097e+09              2.624930        n
168.068966 8.138126e+09             20.652048        n
 92.241379 3.358283e+09             27.466826        n
175.793103 8.656098e+09             20.308585        n
133.827586 6.486987e+09             20.630162        n
374.275862 7.990536e+09             46.839894        n
256.275862 6.623305e+09             38.693049        n
 95.000000 8.378561e+09             11.338462        n
101.689655 8.512017e+09             11.946600        n
 37.000000 5.068153e+09              7.300491        n
170.793103 1.000280e+10             17.074534        n
545.068966 8.038761e+09             67.805096        n
 58.896552 8.457004e+09              6.964234        n
100.551724 8.864156e+09             11.343632        n
140.206897 8.577040e+09             16.346770        n
 66.655172 6.259413e+09             10.648789        n
 95.551724 8.592370e+09             11.120532        n
117.896552 5.709512e+09             20.649146        n
114.413793 7.345463e+09             15.576118        n
212.379310 5.682211e+09             37.376175        n
163.413793 7.495806e+09             21.800696        n
156.620690 5.990584e+09             26.144478        n
276.275862 6.421663e+09             43.022479        n
127.206897 7.449994e+09             17.074765        n
 87.827586 9.500869e+09              9.244163        n
590.931034 1.279018e+10             46.201944        n
 42.758621 7.312465e+09              5.847361        n
207.000000 7.839564e+09             26.404529        n
 48.103448 8.100468e+09              5.938354        y
 58.793103 1.092589e+10              5.381080        n
 10.689655 6.993952e+09              1.528414        n
121.413793 8.292092e+09             14.642119        n
 81.448276 7.137673e+09             11.411041        n
182.827586 1.031387e+10             17.726381        n
 14.482759 6.912981e+09              2.095009        n
266.000000 5.743500e+09             46.313225        n
252.310345 6.255084e+09             40.336841        n
310.103448 9.119252e+09             34.005361        n
 97.586207 8.098345e+09             12.050142        n
264.724138 8.331447e+09             31.774088        n
211.034483 8.919518e+09             23.659852        y
 17.103448 9.118767e+09              1.875632        n
109.689655 7.110504e+09             15.426425        n
 38.103448 6.835010e+09              5.574747        n
113.310345 8.448480e+09             13.411921        n
219.413793 8.755899e+09             25.058968        n
326.310345 8.579029e+09             38.035813        n
306.068966 6.882652e+09             44.469629        n
223.068966 7.311618e+09             30.508839        n
 51.827586 4.804985e+09             10.786212        n
 25.931034 7.799221e+09              3.324824        n
 19.068966 6.623609e+09              2.878939        y
246.551724 7.153630e+09             34.465263        n
308.172414 7.211399e+09             42.734067        n
107.965517 6.033548e+09             17.894199        n
281.172414 8.854002e+09             31.756535        n
213.000000 8.485386e+09             25.101980        n
159.862069 8.694402e+09             18.386781        n
231.551724 6.436533e+09             35.974601        n
206.379310 7.345157e+09             28.097331        n
 75.275862 6.740566e+09             11.167587        n
352.689655 1.152272e+10             30.608200        n
 33.448276 8.909130e+09              3.754382        y
292.172414 7.223086e+09             40.449802        n
336.241379 8.901559e+09             37.773314        n
 70.862069 4.942945e+09             14.336002        n
353.931034 7.477301e+09             47.334063        n
 56.965517 7.894510e+09              7.215840        n
209.034483 8.134305e+09             25.697890        n
107.068966 8.812082e+09             12.150246        n
106.275862 8.091267e+09             13.134638        n
 20.310345 8.150876e+09              2.491799        n
211.931034 7.843750e+09             27.019095        n
230.620690 8.850037e+09             26.058725        n
236.620690 5.458739e+09             43.347135        n
 78.965517 6.930774e+09             11.393464        y
 35.275862 7.520287e+09              4.690760        n
385.931034 7.348317e+09             52.519652        n
