	ABL1	CTCF
BA2000	0.0146845710165825	0.0426876321353065
BA2003	0.0095313626532083	0.0141094080338266
BA2004	0.0112418889689978	0.0402880549682875
BA2006	0.0060003604902667	0.0072885835095137
BA2011	0.0100919250180245	0.0209196617336152
BA2019	0.0196629416005767	0.0780523255813953
BA2020	0.0263392213410237	0.078446088794926
BA2022	0.0168979812545061	0.0480734672304439
BA2023	0.0098017303532804	0.0205866807610993
BA2024	0.0110868781542898	0.0491411205073995
BA2025	0.0185724585436193	0.0439323467230444
BA2031	0.0146377072819033	0.0387975687103594
BA2032	0.0132462148521989	0.0198705073995771
BA2033	0.0081723143475126	0.0335967230443974
BA2034	0.0197494592645998	0.0471590909090909
BA2035	0.0183687815428983	0.0287817124735729
BA2036	0.0147530641672674	0.0375105708245243
BA2037	0.0234264599855803	0.0759698731501057
BA2041	0.01598774333093	0.0270190274841437
BA2044	0.0127793799567411	0.0415327695560253
BA2046	0.0203460706560922	0.0438028541226215
BA2047	0.0213968997837058	0.0406025369978858
BA2050	0.0107462148521989	0.0156923890063424
BA2051	0.0223882480173035	0.0264693446088794
BA2052	0.013585075702956	0.0275660676532769
BA2053	0.0078983417447728	0.0177484143763213
BA2054	0.0082660418168709	0.0327272727272727
BA2055	0.0044250180245133	0.0071696617336152
BA2063	0.033361571737563	0.0375475687103594
BA2065	0.0192790194664744	0.0417943974630021
BA2066	0.0210976928622927	0.069392177589852
BA2068	0.0152397260273972	0.0372885835095137
BA2069	0.0120782263878875	0.0421088794926004
BA2072	0.0101243691420331	0.0265644820295983
BA2079	0.0053911319394376	0.0242336152219873
BA2080	0.0201568132660418	0.0263213530655391
BA2081	0.012382840663302	0.0292283298097251
BA2082	0.0226405912040374	0.0402933403805496
BA2087	0.0131452775775054	0.0176612050739957
BA2088	0.016995313626532	0.0399630021141649
BA2089	0.0200973323720259	0.0783007399577167
BA2093	0.0109012256669069	0.0288054968287526
BA2094	0.0125342465753424	0.0393419661733615
BA2095	0.0175198269646719	0.0294714587737843
BA2096	0.0067429704397981	0.0186680761099365
BA2097	0.0227577505407354	0.0455946088794926
BA2098	0.012664023071377	0.0257980972515856
BA2100	0.0066240086517664	0.0196062367864693
BA2101	0.0096467195385724	0.0307267441860465
BA2104	0.0069358327325162	0.0158853065539112
BA2106	0.0121449170872386	0.0302563424947145
BA2109	0.0096160778658976	0.0227457716701902
BA2110	0.005677721701514	0.0175184989429175
BA2113	0.0232191780821917	0.0653435517970401
BA2116	0.0132804614275414	0.0247278012684989
BA2121	0.0142231434751261	0.0403303382663847
BA2122	0.0042213410237923	0.0198044397463002
BA2123	0.0203028118240807	0.0355153276955602
BA2124	0.0179434030281182	0.0385887949260042
BA2125	0.0150955299206921	0.0504281183932346
BA2132	0.0178821196827685	0.0347383720930232
BA2133	0.0063211968276856	0.0218498942917547
BA2134	0.0074351117519826	0.018583509513742
BA2135	0.0098558038932948	0.0335412262156448
BA2139	0.0064852198990627	0.0234381606765327
BA2143	0.0127180966113914	0.0276797040169133
BA2148	0.0149242970439798	0.01044133192389
BA2153	0.0082390050468637	0.0425713530655391
BA2155	0.012382840663302	0.0254571881606765
BA2156	0.0208399423215573	0.0411865750528541
BA2162	0.0132804614275414	0.0318657505285412
BA2163	0.0161968276856524	0.0452008456659619
