	SRSF2	PTPN11
BA2000	8.232855850924276	18.33296095742878
BA2003	9.4977144739766	7.823075791431777
BA2004	5.562522945896354	23.47420820016641
BA2006	4.6626359318395725	1.599279212987121
BA2011	8.33948154257171	9.225160864995647
BA2019	9.757790556231546	25.598812631833862
BA2020	24.05614468586043	31.59595324254756
BA2022	13.76175498824985	27.51591386957487
BA2023	6.170959052505648	11.535227276580512
BA2024	13.562153332917909	13.850349536088828
BA2025	8.058465426519131	25.182250566504557
BA2031	5.276629236644825	17.168571781077897
BA2032	4.763443017170353	15.901849480276256
BA2033	22.143794608866745	18.392220963768025
BA2034	10.006225712329805	16.75767370192132
BA2035	6.202410726195026	26.829544816139027
BA2036	8.19574270719942	21.002511009591736
BA2037	11.49048044339966	41.28393670453848
BA2041	12.869687030810905	20.85594645881212
BA2044	8.48685376064178	18.514651646389066
BA2046	9.108705272546237	17.74777341783675
BA2047	13.306666081934658	23.775755698786437
BA2050	9.513319286237095	14.032474625170588
BA2051	8.14805311574689	23.501722762533824
BA2052	8.873809201356487	19.346997032607323
BA2053	7.462370487579332	13.034239391027915
BA2054	10.430588127973053	15.071847659067448
BA2055	4.345256847097649	1.0119939151741806
BA2063	9.467873645094436	14.18531242809262
BA2065	6.373759297739962	23.213042788974004
BA2066	15.800296299117967	27.549712577286414
BA2068	18.355853161765303	15.169594363553628
BA2069	10.278331861243649	19.64144687919452
BA2072	5.902058256500613	12.509935270285276
BA2079	7.640222263953134	8.072035025066661
BA2080	9.191369278339211	14.96790543407779
BA2081	6.928636469183807	15.613771421052876
BA2082	8.40840134006508	16.516465158266154
BA2087	5.677796869229128	14.418054675323518
BA2088	11.410047337328768	24.432406247519264
BA2089	11.89864820678787	26.42817527039773
BA2093	5.464961303565389	24.761557552881506
BA2094	12.051205054450586	22.84219653932653
BA2095	8.463544127567214	22.24726061747656
BA2096	15.000673563143634	9.782062235194408
BA2097	17.792688397965705	29.00078867269143
BA2098	6.655929889318163	4.89760845693884
BA2100	3.718527822597228	12.578431475402214
