#Boxplots d'expressions du gène TP53 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 9.503, p-value = 0.000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2116         mut4        3.655889
   BA2441         mut4        7.448397
   BA2715         mut4        4.544492
   BA2822         mut4        6.131199
   BA3139         mut4        6.544570
   BA3285         mut4        6.594681
   BA2113        mut10        6.948816
   BA2275        mut10        5.909289
   BA2937        mut10        6.883643
   BA2939        mut10        5.425650
   BA3410        mut10        4.947718
   BA3438        mut10        6.618673
   BA2273        mut14        5.752638
   BA2308        mut14        6.134616
   BA2832        mut14        6.542553
   BA3040        mut14        7.437299
   BA3152        mut14        6.371248
   BA3395        mut14        6.096002
   BA2003        mut30        5.098579
   BA2011        mut30        4.743229
   BA2020        mut30        7.562070
   BA2022        mut30        7.029781
   BA2023        mut30        6.663986
   BA2024        mut30        6.167393
   BA2025        mut30        7.067365
   BA2031        mut30        7.109255
   BA2033        mut30        4.425536
   BA2034        mut30        7.180788
   BA2036        mut30        6.858956
   BA2041        mut30        5.974821
   BA2044        mut30        7.417029
   BA2046        mut30        5.086907
   BA2047        mut30        6.606345
   BA2050        mut30        6.899025
   BA2051        mut30        3.742222
   BA2052        mut30        6.022459
   BA2053        mut30        5.625303
   BA2054        mut30        5.681929
   BA2063        mut30        5.233574
   BA2065        mut30        6.975923
   BA2066        mut30        7.269380
   BA2068        mut30        5.895211
   BA2069        mut30        7.490428
   BA2072        mut30        6.817518
   BA2079        mut30        5.348290
   BA2081        mut30        7.128144
   BA2082        mut30        5.057914
   BA2087        mut30        6.182110
   BA2089        mut30        6.378313
   BA2093        mut30        5.510920
   BA2094        mut30        6.637078
   BA2095        mut30        7.288998
   BA2096        mut30        6.543590
   BA2097        mut30        5.891651
   BA2098        mut30        6.831511
   BA2101        mut30        5.994370
   BA2104        mut30        6.264300
   BA2106        mut30        5.584941
   BA2109        mut30        4.734025
   BA2110        mut30        5.891651
   BA2113        mut30        6.948816
   BA2116        mut30        3.655889
   BA2121        mut30        6.938272
   BA2123        mut30        6.396000
   BA2124        mut30        7.572514
   BA2125        mut30        6.908146
   BA2134        mut30        6.389795
   BA2135        mut30        6.029371
   BA2139        mut30        6.241858
   BA2153        mut30        6.102347
   BA2155        mut30        6.810265
   BA2156        mut30        7.781236
   BA2162        mut30        5.666616
   BA2163        mut30        7.555262
   BA2168        mut30        6.175561
   BA2169        mut30        5.155976
   BA2171        mut30        7.001462
   BA2172        mut30        6.557640
   BA2174        mut30        6.495044
   BA2184        mut30        7.341770
   BA2195        mut30        5.634368
   BA2198        mut30        7.254403
   BA2200        mut30        7.314841
   BA2201        mut30        7.072510
   BA2209        mut30        4.576204
   BA2211        mut30        7.494578
   BA2212        mut30        5.344715
   BA2217        mut30        7.746670
   BA2220        mut30        7.239744
   BA2221        mut30        5.739734
   BA2226        mut30        6.742147
   BA2227        mut30        6.513025
   BA2228        mut30        5.683429
   BA2229        mut30        5.405902
   BA2233        mut30        5.473970
   BA2234        mut30        6.573054
   BA2235        mut30        7.047048
   BA2236        mut30        7.249042
   BA2239        mut30        6.928331
   BA2240        mut30        6.545040
   BA2244        mut30        7.010601
   BA2245        mut30        7.530936
   BA2248        mut30        5.359259
   BA2249        mut30        6.886147
