	NPM1	BCL6
BA2392	9.6874475749889	4.06648784840649
BA2611	9.60929418124753	3.91614819386879
BA2506	9.61949185438657	4.04672215210504
BA2430	9.61949185438657	3.9232802217828
BA2448	9.61438474364243	4.07242117789983
BA2730	9.62461563502098	3.95473276954152
BA2845	9.57909169555586	4.17020143974905
BA2326	9.58408544068247	4.1968417002068
BA2341	9.58909503454725	4.27760735950856
BA2612	9.55927298456459	4.13513673168013
BA2973	9.56915130536806	4.15426953442339
BA2390	9.55927298456459	4.26512069839927
BA3218	9.56420444046175	4.28776185844417
BA3105	9.53000194332933	4.15583418912927
BA3402	9.53484314535953	4.09193733195207
BA3276	9.51556606369543	4.13977158901556
BA2409	7.88494695067266	7.32583087724775
BA3037	9.1755941413251	4.50966071859617
BA2496	8.3156761580726	7.67359575985668
BA2172	9.2592593958878	6.16045405253415
BA2865	9.53484314535953	3.27431420538309
BA2923	6.98208266015901	7.58640399756741
BA2751	9.13897207935234	5.01667440401332
BA2480	8.38563253120242	4.61503681683508
BA2286	9.51078302100883	5.44603871114775
BA2922	9.78674968596522	3.11104445446318
BA2452	9.33027676031699	2.55995120967101
BA3379	9.31328611186612	5.3752893018445
BA2887	9.06304565250042	4.33194073666578
BA2712	7.82549928808227	5.17491023231992
BA2068	8.67821802831458	6.74039110508618
BA2236	8.75995195431454	5.88684341274268
BA2104	6.91599118004167	8.34456564828853
BA3124	8.84307877151568	6.62466206493959
BA3395	8.58457840504288	6.28007937385132
BA2921	9.00605305286098	6.47025472959033
BA2449	9.52036350053221	4.13128832976243
BA2003	9.04501990946176	6.86281064555051
BA2360	9.4000752436972	3.5970577193442
BA2802	7.15633759792086	6.99516443206292
BA2235	8.83362186336888	6.37975842200095
BA2858	8.91420804405317	8.03197078783115
BA3038	7.73462168625585	6.72932018001604
BA3006	9.15245565249128	3.64612943164183
BA2245	9.0307417478067	3.84522522644444
BA2667	9.13720994130471	6.8005248227196
BA2239	8.17428733914348	7.0420285397911
BA2782	7.59101188148724	7.54733361982974
BA2649	9.2429894144776	3.96463552369063
BA2488	7.91111348596979	3.85213838543997
BA2861	9.11460476788528	5.73014197003587
BA2909	7.83704881770087	8.1624112391969
BA2429	8.66493693752935	7.30591810989836
BA2653	8.41556616709075	7.56784611916855
BA2134	8.30037965468589	7.98552540504997
BA2947	9.91920628125652	3.8675565307805
BA2032	9.3735473533766	3.64844159262785
BA2162	8.85577669200061	7.29162764738793
BA2564	8.74800571415782	6.91733301258099
BA2597	8.13547459853116	5.94182492341772
BA3243	8.84307877151568	7.77581260088951
BA2106	9.54945587390153	3.4201059079414
BA2427	8.91090509269608	7.52082148621471
BA2841	9.13342062895717	5.4168131671987
BA2446	8.33784249776874	6.40264148496757
BA2645	8.42798766039968	6.39453514704598
BA2525	8.34456564828853	5.51345714323729
BA2876	8.61151153389318	7.78542487009475
BA2357	8.95777690896205	7.68013043810275
BA2546	8.0301567645062	7.18154554634955
BA2742	7.87584460904621	6.68181953854303
BA2316	8.22855584188171	6.74612605168156
BA2421	8.28526081080175	8.16254296358662
BA2087	9.10147698629206	5.86379837364361
BA2910	9.22287720595147	2.57179126582516
BA2148	7.95609226155088	6.95751613947387
BA2063	8.34232080533324	6.88162153716975
BA2329	8.3972661940189	7.35863482899504
BA3178	8.76897254396233	3.71695836922814
BA2072	8.41135949860071	6.20227272504612
BA3029	8.78717245605116	5.31108042758611
BA2733	8.96458579397726	6.82008128976274
BA2995	8.45209623715645	7.01271335596315
BA2069	8.46185834013681	5.22280034919153
BA2100	8.70690950167434	7.11216085325929
BA2681	9.52517542791568	7.22204702944845
BA2248	9.19906475607931	3.89444721562207
BA2832	8.18813169577028	6.33002794213348
BA2308	9.48708042008341	5.40295228642976
BA2413	9.4045391740165	4.94876019556501
BA2701	8.7361512573159	8.65845299235754
BA2634	8.22240857358487	7.9003747386446
BA2677	8.79635277497105	7.2977714926992
BA2937	8.25344779136567	7.80543655113692
BA2600	9.2429894144776	6.60368263326756
BA2019	8.12986534537924	5.79321150053106
BA2412	6.82309107200081	7.64255001400601
BA2334	8.94087956106744	7.47524977931761
BA2050	9.34744684153524	5.60467727953654
BA3230	8.78108213178214	8.01121552663761
BA2953	9.69817061599593	6.67339810625054
BA2481	8.58191208164573	6.70026474055664
BA2731	8.46185834013681	7.66988409314176
BA2294	9.25517667754352	5.26285028087433
BA2418	9.1410080593907	4.14600944932061
BA2816	9.14863087419242	6.58888481686372
BA2656	8.93082572022568	4.59438606664195
BA2814	7.63755645913212	5.47909452923675
BA2631	9.3561004357089	5.90761820174496
BA2023	8.3311533449718	6.72062167573975
BA2375	8.84941498844258	7.47111652375221
BA2485	8.78899864293157	2.59279126029519
BA2455	8.3156761580726	7.81832288003789
BA2025	8.56338303703764	5.41027252312352
BA2636	9.10713869224013	6.14416917418804
BA2325	7.29687122589928	8.30691336971867
BA2169	8.51934782702254	6.31810358288684
BA2156	9.48238177689826	3.12887070657375
BA2511	8.46430959418229	8.35358316301659
BA2939	9.41350421836705	2.92728492074076
BA2168	9.20300948929151	4.19370018497619
BA2505	9.09230819306279	6.94819581980106
BA2860	8.97485330936457	8.79022656584331
BA2707	9.12210512882866	7.07919944865791
BA2871	8.66689198102969	7.00079089475897
BA2655	9.36916799017741	6.80787905159787
BA2227	9.42251934116338	5.93293802015649
BA2125	7.76334677298606	5.94641278080618
BA2523	9.33455230246716	5.4983075015058
BA2603	8.99558616821901	7.2925108116234
BA2808	8.70112769787832	4.4281166894281
BA2282	7.26503778677364	8.10545619155905
BA2482	9.04501990946176	6.35713479831954
BA2812	8.81487669872437	7.65393092338473
BA2822	7.14998539597838	3.78093634691048
BA2594	8.42798766039968	7.71999782727612
BA2747	9.35176787188011	2.6896874978558
BA2561	9.09970659968869	7.84734534450722
BA2567	7.54085820588458	8.54249270039127
BA2906	8.80250309714617	3.16754390123061
BA2956	8.11104544817006	7.79384765019346
BA2474	9.08127310626888	6.87275038321774
BA2737	8.02685700006077	6.12052955049855
BA2110	7.71347289714959	8.36722488709977
BA2992	9.18338030789918	8.05457002396872
BA2220	9.00955709168753	4.65975190749842
BA2772	9.42251934116338	5.6765932151773
BA2935	8.55029123602985	8.54768703664719
BA2260	8.75098362594822	7.03267038157323
BA2676	8.7361512573159	7.29599106177635
BA2948	7.55189787670547	8.83676787171411
BA2524	9.2592593958878	7.20386734649371
BA2811	8.83676787171411	2.88940152092512
BA2540	8.86857724833819	4.90849079326492
BA2928	8.7214605815193	3.6355366444275
BA2302	9.38234175781362	5.31291388141722
BA2595	9.09230819306279	6.79100301901869
BA2792	8.66689198102969	7.1445927897216
BA2651	9.17948259034573	4.20061838096406
BA2619	7.88191833711993	6.16479221189801
BA3013	9.54457000922792	6.92499248066896
BA2405	9.64008823387741	5.06174326636484
BA2735	9.08494318011795	6.27784077147234
BA2856	7.56206988956539	7.23805703314362
BA2377	8.74389874448259	6.69080762366511
BA2499	9.66095938066438	6.60844578298588
