	NPM1	U2AF2
BA2000	528.2932619271585	0.2472353497164461
BA2003	717.8183224076506	0.1871502835538752
BA2004	320.01547932986267	0.2699243856332703
BA2006	9.679478408126416	0.098133270321361
BA2011	348.4981285240867	0.1816824196597353
BA2019	583.7827086691859	0.280203213610586
BA2020	1236.507877965909	0.4073771266540643
BA2022	916.0964949426144	0.2702410207939508
BA2023	431.7839587624408	0.1902835538752363
BA2024	372.1842389270018	0.2312996219281663
BA2025	722.395881374441	0.2361625708884688
BA2031	803.0149785649028	0.2377835538752362
BA2032	795.6408037215438	0.1644281663516068
BA2033	257.718883807176	0.2446786389413988
BA2034	810.0015144990998	0.2065311909262759
BA2035	899.358854303508	0.2074432892249527
BA2036	778.587533687972	0.2509168241965974
BA2037	1902.128477513421	0.3382986767485822
BA2041	845.8378095871379	0.2257466918714555
BA2044	585.7529247149646	0.1491540642722117
BA2046	1115.1507214086078	0.1984593572778828
BA2047	676.9878108900025	0.2844706994328922
BA2050	742.1408316925888	0.1732797731568998
BA2051	484.6791957324424	0.2054773156899811
BA2052	1122.4581187120564	0.2145132325141777
BA2053	856.5360596182228	0.1835538752362948
BA2054	797.1291493537034	0.2250283553875236
BA2055	43.55371897587268	0.0737334593572778
BA2063	583.6395872324669	0.1705671077504726
BA2065	1202.664762511015	0.2357136105860113
BA2066	819.6683643642182	0.4282986767485822
BA2068	590.7969803002536	0.2051323251417769
BA2069	668.3880927899144	0.2366729678638941
BA2072	443.6027357455251	0.1756285444234404
BA2079	148.52736696454153	0.1842391304347826
BA2080	828.9284153651536	0.2004395085066162
BA2081	596.8647857517421	0.2058270321361058
BA2082	1003.8557661222746	0.22718809073724
BA2087	645.4585078280003	0.1397684310018903
BA2088	647.6525682652436	0.1757844990548204
BA2089	803.116732804619	0.3480576559546314
BA2093	717.9466283105468	0.2107703213610586
BA2094	773.6307073311818	0.3345935727788279
BA2095	742.4000933575526	0.2155387523629489
BA2096	843.435358552685	0.1814555765595463
BA2097	1869.086592927769	0.4338563327032136
BA2098	446.6952569238338	0.2542485822306238
BA2100	459.57170926115145	0.1164130434782608
BA2101	480.9915091065376	0.2175756143667296
BA2104	158.38864555593398	0.1307797731568998
BA2106	1086.0029372840947	0.2265973534971644
BA2109	352.7594132324559	0.1414461247637051
BA2110	227.9689532482417	0.1616115311909262
BA2113	618.1909565783855	0.3406663516068053
BA2116	203.9687913848749	0.1783601134215501
BA2121	828.9494792055228	0.3158223062381852
BA2122	309.0625568800445	0.1233837429111531
BA2123	1943.4570022489283	0.3285680529300567
BA2124	1305.25779886148	0.3168761814744801
BA2125	406.9357044659607	0.2912901701323251
BA2132	578.9355872081394	0.209054820415879
BA2133	284.94185090038224	0.1315973534971644
BA2134	393.43453986171255	0.1531663516068053
BA2135	1084.5087100504388	0.189664461247637
