	NRAS	PTPN11
BA2000	5.043675734302264	18.33296095742878
BA2003	10.560686431397826	7.823075791431777
BA2004	4.441235364145998	23.47420820016641
BA2006	6.575705504189619	1.599279212987121
BA2011	6.488344675152857	9.225160864995647
BA2019	7.803800858255831	25.598812631833862
BA2020	10.709729421914986	31.59595324254756
BA2022	8.019621620352721	27.51591386957487
BA2023	4.375188854380848	11.535227276580512
BA2024	5.175163513879563	13.850349536088828
BA2025	6.074731218320892	25.182250566504557
BA2031	4.219114009776729	17.168571781077897
BA2032	8.583705251658827	15.901849480276256
BA2033	21.634045078260016	18.392220963768025
BA2034	9.198614997934929	16.75767370192132
BA2035	6.8581726405028185	26.829544816139027
BA2036	5.895456678640012	21.002511009591736
BA2037	8.474187163433587	41.28393670453848
BA2041	10.108074498986811	20.85594645881212
BA2044	4.7535644907408665	18.514651646389066
BA2046	9.160481901497343	17.74777341783675
BA2047	7.613271283589593	23.775755698786437
BA2050	4.103686476329206	14.032474625170588
BA2051	20.82227021965971	23.501722762533824
BA2052	8.803722359895055	19.346997032607323
BA2053	9.031640140409914	13.034239391027915
BA2054	3.633549237992189	15.071847659067448
BA2055	1.6282099596913011	1.0119939151741806
BA2063	5.453141679979542	14.18531242809262
BA2065	7.008120709963036	23.213042788974004
BA2066	10.10974543956892	27.549712577286414
BA2068	6.301531117480288	15.169594363553628
BA2069	5.418720571825874	19.64144687919452
BA2072	3.975963751875416	12.509935270285276
BA2079	3.637880412457246	8.072035025066661
BA2080	10.09782677520544	14.96790543407779
BA2081	4.296904604494646	15.613771421052876
BA2082	11.946301068824308	16.516465158266154
BA2087	9.334338474733304	14.418054675323518
BA2088	13.1502236881413	24.432406247519264
BA2089	13.279025182733749	26.42817527039773
BA2093	3.900351353768402	24.761557552881506
BA2094	9.744641884173047	22.84219653932653
BA2095	6.152794819771235	22.24726061747656
BA2096	6.715911213656165	9.782062235194408
BA2097	13.917958079878336	29.00078867269143
BA2098	10.387971166225924	4.89760845693884
BA2100	4.6475452234853565	12.578431475402214
BA2101	6.084070489319454	12.241955188427031
BA2104	5.135247990444217	9.678008579946416
BA2106	10.134436245830772	11.404555741858657
BA2109	7.168784406456207	10.752236348741445
BA2110	3.345155971053532	9.173325205003731
BA2113	7.355297822797085	24.25003415351566
BA2116	11.5696457912037	34.54667256955986
BA2121	8.496779176483521	24.484211565819702
BA2122	4.026122374469674	8.187921438696502
BA2123	14.704105196105951	32.82053187434948
BA2124	5.235737433920034	17.461741457522745
BA2125	6.58007623618558	26.753085869426155
BA2132	7.287418557176935	20.169400258241318
BA2133	5.569103779560801	9.257241245749476
BA2134	3.1951470189520976	11.564212451003634
BA2135	10.07866878646148	16.330691859452898
BA2139	3.987310125081623	11.507169535521824
BA2143	11.295737558973652	20.26836326082831
BA2148	7.237628309278444	15.675843108585529
BA2153	7.725737990865466	24.095696669288905
BA2155	4.1905827771309205	13.399294045807633
BA2156	4.879492323703967	16.931888260327074
BA2162	4.131192099621418	23.524442921627767
BA2163	7.40084545361058	32.49912164853597
BA2168	5.304324475960764	13.863873737481438
BA2169	8.809693564752845	30.814991909118284
BA2171	7.35983570213583	23.18947927011344
BA2172	7.799454036850744	16.795517788395873
BA2174	5.846511858146845	23.163838646228943
BA2175	12.59926604192168	22.39949600661436
BA2184	14.021418300866742	39.81395373361203
BA2195	8.728201249493587	14.438988301694582
BA2198	6.621456516309619	24.498350035075635
BA2200	7.825270796632329	27.20417627027473
BA2201	3.210905042782101	10.05949923649511
BA2209	13.608094661958637	22.20851929911572
BA2211	6.499249306980105	21.02631899069189
BA2212	8.737816618242173	16.10636029935567
BA2217	5.215639002629361	17.405562540348775
BA2218	9.040140075502665	6.878393864241168
BA2220	6.568462036017965	20.14637088171025
BA2221	6.168651920425615	13.92990006687362
BA2224	5.262801542565956	15.825637213283208
BA2226	13.813418165213225	35.989485894319195
BA2227	14.655231252770625	20.910382367639677
BA2228	13.848825906875648	31.927487025931413
BA2229	10.823771025224463	23.056486557637434
BA2233	8.992461331969217	11.761458404505191
BA2234	7.927532448144326	24.054342043995
BA2235	5.807526607623976	17.067020253453286
BA2236	5.421816667461279	17.314869257465272
BA2239	3.623346886499976	12.77104820432132
BA2240	12.666749870098409	33.17334597209446
BA2242	6.392837846825661	15.237455455980948
BA2244	5.764306175984613	16.925820528737685
BA2245	6.29602671469508	27.47398546311995
BA2248	6.139345604158139	18.155268511562515
BA2249	8.565036261731409	19.97463299408348
BA2251	9.824081940256818	24.14242187116462
BA2256	9.382877083579444	21.401582298666927
BA2260	5.080990281668714	15.232493343082629
BA2261	4.797652161882078	13.631458148123675
BA2269	3.8558379466002592	7.328556613973234
BA2271	12.214789116709204	23.98460277768552
BA2272	5.075306755798043	13.50913898194892
BA2273	7.741660973665951	21.07546663553913
BA2275	9.36840960870265	31.218741695811683
BA2276	5.21724058926059	9.934136281708742
BA2277	8.740148523778734	29.221652377436328
BA2280	14.318248858664116	36.38874163228378
BA2281	7.249787793480649	24.831129720843258
BA2282	3.9354517472565504	10.789451974244848
BA2286	7.059774929748949	19.38545941760825
BA2288	5.030989192075231	12.094613771990195
BA2292	11.60869444588134	17.152450737298953
BA2294	5.909367305235669	18.795163976802144
BA2296	7.903710370609955	22.58795543731145
BA2300	9.118918702903615	43.71814488147894
BA2301	10.608034425539255	17.314482693030055
BA2302	8.506829643624565	15.142153148377648
BA2304	3.867613301263115	12.000004837689753
BA2306	8.171764479984272	21.901854935746787
BA2308	6.25244413003803	20.691473643918133
BA2309	5.340910135111962	15.600943225492763
BA2311	5.303064363651437	16.07649015451271
BA2312	4.504811534567072	14.384739574554802
BA2316	3.980454039341224	11.94031516572484
