	DNMT3A	SRSF2
BA2392	6.55027156269161	9.83892848550566
BA2611	6.42139457326444	9.86270964606403
BA2506	6.38837422038712	9.83892848550566
BA2430	6.42233932973963	9.85672905613112
BA2448	6.36982886713941	9.85672905613112
BA2730	6.4369045674542	9.83304132704525
BA2845	6.55451548155805	9.8991027074875
BA2326	6.59041781660964	9.87474271994728
BA2341	6.54307132156237	9.93012293296997
BA2612	6.57247167015578	9.90525526471174
BA2973	6.54150806703429	9.93012293296997
BA2390	6.56633757408764	9.92386690563917
BA3218	6.52170608095191	9.89297540900361
BA3105	6.40170617544637	9.95541459791256
BA3402	6.40737616847402	10.0007468429699
BA3276	6.46333894051768	9.98114720830101
BA2409	4.92558404139259	8.41135949860071
BA3037	4.90640898586377	8.23061160269424
BA2496	5.03856627298611	8.84307877151568
BA2172	5.90037022570554	8.71271331389775
BA2865	6.44802101478473	9.22287720595147
BA2923	5.58458887284863	7.64511152399424
BA2751	5.98996157877142	9.50293364970638
BA2480	5.89765135115317	8.73025810259064
BA2286	5.42089748568897	8.92083445647999
BA2922	6.6639864599992	9.3217592552912
BA2452	5.90353378741165	9.82133532639013
BA3379	6.22675882110798	9.46372381175102
BA2887	6.29652207810065	9.13342062895717
BA2712	4.84562521936661	9.39118419839355
BA2068	5.85144934754927	10.6289390647318
BA2236	5.92513526908082	9.22287720595147
BA2104	4.27532548252001	7.64511152399424
BA3124	6.23033780733241	9.38234175781362
BA3395	4.90361056525495	9.09970659968869
BA2921	5.99605530428902	9.54945587390153
BA2449	5.3715755453953	8.60608533344799
BA2003	5.33364015180298	9.75293118746352
BA2360	6.90753952267277	9.42251934116338
BA2802	6.43335604753767	9.53969913371194
BA2235	4.92771047103252	8.93082572022568
BA2858	4.35648958622004	9.30906602396076
BA3038	5.29082273845723	8.60879594020241
BA3006	5.99970534098919	9.64008823387741
BA2245	6.01005588113279	9.49651930986164
BA2667	6.36134230536283	8.95438322249582
BA2239	5.21813047946163	8.66407371953991
BA2782	5.27325382286629	8.89122942781574
BA2649	5.99890598903284	9.61438474364243
BA2488	5.55888193371954	8.90103696609653
BA2861	6.61117532741348	9.17948259034573
BA2909	6.01784200578308	8.79205235357759
BA2429	5.69757983119209	8.99222936727265
BA2653	5.46484401503758	9.26099325755712
BA2134	4.6827458552578	8.46430959418229
BA2947	6.7903869995291	9.415200229547
BA2032	6.13853683580785	8.73910632748104
BA2162	6.25945312566298	9.18338030789918
BA2564	5.50870400018428	8.9076089453561
BA2597	5.76760186750385	9.50768698561149
BA3243	5.43042530271375	9.04501990946176
BA2106	5.67317843136018	9.17171491689544
BA2427	5.48059363504872	9.16398396797258
BA2841	5.45711106423954	9.67679810675791
BA2446	4.90083067720818	9.47302564786274
BA2645	6.82793872143045	9.12586826213153
BA2525	4.89058431526758	9.18338030789918
BA2876	5.44640808199127	9.19120372633416
BA2357	5.02235718099048	9.26745559419095
BA2546	5.51500276467509	8.86536741111737
BA2742	4.92841190922266	8.66689198102969
BA2316	4.98581237116735	8.95099667095566
BA2421	4.63033110918827	8.268195867683
BA2087	5.13368956327964	8.81980741439546
BA2910	6.40025463094879	8.89776108628452
BA2148	6.0688553647905	8.72438748273975
BA2063	5.18021866658889	9.26745559419095
BA2329	5.09075247446604	8.8717935877338
BA3178	4.99923632979666	8.87501645157825
BA2072	5.4391470099726	9.13342062895717
BA3029	5.38508153742644	9.45447558148811
BA2733	5.37965871348939	9.22687989289351
BA2995	6.74268846032395	9.52517542791568
BA2069	4.77701262518198	9.47769688223901
BA2100	4.98409448643986	8.672544374331
BA2681	6.51154576024005	9.19512951707567
BA2248	6.0444352624309	9.36916799017741
BA2832	6.12682630802195	9.60422004710875
BA2308	6.22113787930576	9.75851596885508
BA2413	6.16609369248211	9.62975620855742
BA2701	5.64618047026692	9.05581138653334
BA2634	6.25091484872834	9.3561004357089
BA2677	5.69566002369261	9.48238177689826
BA2937	5.79045455115976	9.27156918109996
BA2600	5.50315192004078	9.04860912314158
BA2019	5.65448355973944	9.52036350053221
BA2412	4.71932990142095	8.75995195431454
BA2334	6.20697852343694	9.56420444046175
BA2050	5.92596043186298	9.94905102299885
BA3230	5.17381001168529	9.08494318011795
BA2953	5.84669771952697	9.20696376307392
BA2481	5.03079434015524	9.8155160837716
BA2731	5.42234890079115	8.78108213178214
BA2294	7.17520302946663	9.60929418124753
BA2418	6.01373604526196	9.45909303825332
BA2816	5.11433165880832	9.36916799017741
BA2656	6.45897655908302	9.94905102299885
BA2814	5.02974000658284	9.10713869224013
BA2631	6.2167212997473	9.26745559419095
BA2023	4.72738279030256	9.01306871894599
BA2375	6.08536052540414	9.27156918109996
BA2485	6.78074983432615	9.67842749251503
BA2455	4.69855961142677	8.8589671548512
BA2025	5.23673966789925	9.09600320401444
BA2636	5.92637395893393	9.04860912314158
BA2325	4.04879675825088	8.45209623715645
BA2169	6.19606446047222	9.50601427714714
BA2156	6.79640967556144	9.38675693832204
BA2511	5.26710389157619	9.36916799017741
BA2939	6.0158165147387	9.13342062895717
BA2168	6.41510646424492	9.73079295605488
BA2505	5.62195033213407	9.39118419839355
BA2860	6.33509433573957	8.71271331389775
BA2707	6.18632897661868	9.20696376307392
BA2871	5.96907627794874	8.99211218550823
BA2655	4.77872894002383	9.60422004710875
BA2227	6.55232565838748	9.59916222255831
BA2125	6.10829331712153	9.41800548205558
BA2523	5.74395799798389	9.53000194332933
BA2603	5.47138243938151	9.12586826213153
BA2808	6.31675170697475	9.17948259034573
BA2282	4.80111971961835	9.02364943472175
BA2482	6.17641644366945	8.91090509269608
BA2812	4.99775683802712	9.70356008854553
BA2822	5.98054442725547	9.31672506964559
BA2594	5.81201009033099	9.22287720595147
BA2747	6.18950223686314	9.47769688223901
BA2561	5.94641278080618	9.93012293296997
BA2567	5.34433907396084	10.0007468429699
BA2906	4.74957774721697	9.91143332054624
BA2956	5.64166399423883	9.90525526471174
BA2474	6.09936975927192	9.00955709168753
BA2737	5.70872171926613	9.80971908397822
BA2110	4.74182984575756	8.73025810259064
BA2992	5.05504885396523	9.14481502348153
BA2220	5.65448355973944	9.40901547409309
BA2772	6.0781745380856	8.71853926395486
BA2935	5.28177179122875	9.17171491689544
BA2260	5.01183343730558	9.12964008242639
BA2676	5.36293986474154	9.23089240757758
BA2948	5.85542200416075	8.6697155276332
BA2524	5.52135062216325	8.98864564355709
BA2811	6.24912819394912	9.24704173883127
BA2540	3.86156811832603	9.04501990946176
BA2928	5.34151860321391	9.36916799017741
BA2302	5.53940253028108	9.39562360946183
BA2595	5.14967422759909	8.68106286594684
BA2792	5.02056262861089	9.54457000922792
BA2651	6.03566200297907	8.92748837970555
BA2619	6.44227342376241	8.7332018546727
BA3013	6.16865049658773	9.50601427714714
BA2405	5.67317843136018	8.70980864868103
BA2735	5.32233498083344	8.59798330037588
BA2856	4.20674974606089	8.92415796681604
BA2377	4.1940893457466	7.83840005803793
BA2499	5.81959741153124	8.81487669872437
BA2463	6.22329037773919	9.52684328251404
BA3023	5.20440021667154	9.00605305286098
BA2095	6.14672505812723	9.61438474364243
BA2901	5.08758890657065	8.45209623715645
BA2275	5.75302384911337	8.70401585675217
BA2387	4.47173241334974	9.30065851731011
BA2962	5.58010200112807	9.36480042798147
BA2195	5.51500276467509	8.97142354261209
BA2688	4.72354417544082	9.00264729477778
BA2787	4.78223236558204	8.94424486652991
BA2420	5.5603638318114	9.4000752436972
BA2756	4.01681712942243	8.61423212805534
BA2122	4.87096387518994	8.73025810259064
BA2053	5.84787957757678	8.71562351354988
BA2080	5.86901047120639	9.34313727945847
BA2081	5.77033121359801	9.50601427714714
BA2354	6.23533588980149	9.03608369232641
BA3273	4.71789490848166	9.00443312215534
BA2893	6.19299832162761	9.85077214115986
BA2044	5.54245080282141	9.3735473533766
BA2489	4.74182984575756	9.57411368730524
BA2309	4.97387498404503	9.39562360946183
BA2720	4.52153193566258	8.46249696810185
BA2908	6.4243136710677	8.66493693752935
BA2054	5.07550246590364	9.3217592552912
BA2872	5.31756660169569	9.13720994130471
BA2526	4.92943275175156	9.31328611186612
BA2041	4.60901148734067	9.88079564639631
BA2464	6.09645228197541	8.85577669200061
BA2902	5.39890865222561	10.0680496747685
BA2541	6.22378350328208	9.04860912314158
BA2143	5.09390910729551	9.0307417478067
BA2094	5.80146381261149	9.45909303825332
BA2769	5.91953516934334	8.97485330936457
BA2843	7.04918884608735	9.29229417829056
BA2592	5.39347949789235	9.86871412745455
BA2497	4.53554304554111	8.61423212805534
BA2718	7.87584460904621	9.30906602396076
BA2575	4.84562521936661	8.55813210635661
BA2096	4.66610967820232	10.0958725482412
BA2593	5.2635303158332	10.111511463709
BA2791	5.91758639573652	9.61438474364243
BA2620	5.72903451515424	8.8717935877338
BA2629	6.23533588980149	9.55435683089665
BA2870	6.38599164256093	9.53484314535953
BA2423	4.43352231435234	8.69824500910271
BA2682	5.44640808199127	9.51078302100883
BA2276	5.42530018626189	9.1410080593907
BA2348	4.75764062057754	8.38563253120242
BA2709	5.2868395453686	8.68676863894814
BA2789	5.88684341274268	9.09600320401444
BA2694	6.22675882110798	9.42251934116338
BA2538	6.25807759133934	9.00955709168753
BA2583	6.36648969189247	9.67679810675791
BA2415	4.81585561124571	8.94424486652991
BA2722	5.89048099649459	8.95099667095566
BA2806	5.91595003127845	9.66622107740225
BA2221	4.65687977223113	9.47769688223901
BA3025	7.31039812260742	9.50125973784097
BA2514	5.17241204196236	9.49819442110274
BA2520	6.93890773932704	9.53000194332933
BA2441	6.92239609110895	9.62461563502098
BA2153	6.39926285688665	9.11460476788528
BA2479	5.61780736228049	9.67313133431446
BA2281	6.1921407741856	9.64527993925034
BA2657	6.04691526295528	8.99211218550823
BA2932	6.14718029862126	9.47769688223901
BA2123	4.48731198029739	9.82717700787936
BA2844	5.36000471761652	9.66095938066438
BA2660	5.62419273985357	9.16784487350203
BA2836	5.62530338833762	9.14481502348153
BA3027	5.36514025423526	9.29647098090766
BA2714	5.21363189314042	8.89449191470128
BA2139	4.53197710730373	8.42559982560594
BA2251	7.54970729199318	9.3260124319477
BA2952	4.36608295505138	8.99211218550823
BA2440	4.78017722753487	9.83892848550566
BA2036	6.25807759133934	9.65571538111022
BA2828	5.75062167266173	9.06304565250042
BA2292	4.11937931431274	9.94271473100152
BA2410	5.75415496254133	9.64527993925034
BA2051	4.68591344454784	8.88472441482659
BA2532	4.96266025809675	8.94424486652991
BA2986	5.59662502172316	9.67150060698144
BA2494	5.24647301398251	9.52036350053221
BA2515	5.18055221298724	9.48238177689826
BA2748	6.79158437688518	9.45909303825332
BA2970	5.58383676402354	9.11835064360706
BA2622	4.81831316874204	9.01306871894599
BA2839	4.66151584498319	9.29229417829056
BA2052	6.34832965907228	9.55435683089665
BA3011	5.11433165880832	9.07750677038397
BA2868	7.18812871773308	9.47769688223901
BA2510	5.21924696123963	8.99211218550823
BA2065	6.17379906817959	9.09600320401444
BA2691	4.77982414410044	8.86536741111737
BA2374	5.51691886633525	9.67679810675791
BA2804	5.82541777312417	9.08494318011795
BA2670	5.45893049861312	8.28526081080175
BA2675	6.34832965907228	9.13342062895717
BA2589	7.27555120012057	9.03786515454843
BA2031	5.12702075468941	8.60608533344799
BA2198	6.54928934120065	9.07395764638915
BA2066	4.56478976898356	8.90103696609653
BA2344	6.75597489483719	9.43613726309062
BA2459	5.41754429750073	8.31312330931764
BA2229	6.2290430058542	9.38675693832204
BA2559	5.02728430921221	8.86857724833819
BA2093	6.36086030376613	9.22287720595147
BA2000	5.82859548893421	9.58408544068247
BA2425	6.12637853560869	9.50768698561149
BA2905	5.90555861314736	9.16784487350203
BA2304	4.5391313162393	8.61695773628636
BA2976	5.89878476046271	8.97485330936457
BA2386	5.76181699229763	8.79328666582968
BA2035	7.38848640256579	9.22287720595147
BA2760	5.22317063501282	8.49657233882556
BA2201	4.76005725019894	9.08494318011795
BA2355	5.02764204989782	9.52517542791568
BA2113	5.95559861955689	9.44407804044761
BA2155	6.54150806703429	9.88687313292775
BA2955	4.80814964517647	9.09600320401444
BA2502	4.91792245118013	9.14863087419242
BA2322	6.24013217204255	9.160132157513
BA2376	4.81549079833473	8.61423212805534
BA2020	5.67811655623058	9.83892848550566
BA2226	5.69683059962592	8.93417001363455
BA2200	6.16950493399515	9.73079295605488
BA2121	5.97608438156721	8.92415796681604
BA2944	7.24218373520164	9.2389471182711
BA2033	4.56407532031905	9.53484314535953
BA2867	6.13725593051751	9.30065851731011
BA2089	4.27079096532492	8.18416035809344
BA2224	6.16479221189801	9.12964008242639
BA2046	4.60401552568644	9.1872873383188
BA2972	6.61484329859941	9.44070228005406
BA2978	5.38151536241943	8.40194775982719
BA2829	5.66740335166233	8.97485330936457
BA2851	6.02615955253131	9.2592593958878
BA2587	5.97523061949623	9.02364943472175
BA2461	5.15668163101419	9.21490111990201
BA2695	4.65902094233579	9.0468018581655
BA2623	6.63758201438047	9.3217592552912
BA2024	5.40260210506482	9.17171491689544
BA2426	5.91240742486635	9.0307417478067
BA2271	5.10834862967978	9.12964008242639
BA3004	6.38888273500531	9.80971908397822
BA2579	5.66051919592254	8.85577669200061
BA3010	5.53426887614694	8.87824586229709
BA2662	5.34255610443151	9.06304565250042
BA2674	6.40360502181603	9.25517667754352
BA2280	6.36182238595201	9.22287720595147
BA2512	4.68695768946558	8.54249270039127
BA2658	5.76371292639746	9.30065851731011
BA2394	6.73922514739457	9.26335235036244
BA2950	6.02576365304124	9.31751716888528
BA2981	5.64089444218065	8.89449191470128
BA2934	5.56441490975965	9.3260124319477
BA2539	4.88365938121125	9.11835064360706
BA2249	5.48468121276611	9.22687989289351
BA2034	6.11503718341623	8.99390471507907
BA2109	4.87023108953253	8.65285322774346
BA2242	6.03404286985942	9.45909303825332
BA2277	5.97691207859612	9.2389471182711
BA2727	7.10771088589405	8.92415796681604
BA2132	5.91874058491338	9.8991027074875
BA2618	5.46299801814277	8.70690950167434
BA2521	5.49396648422183	9.09970659968869
BA2846	6.49002795768883	9.30906602396076
BA2885	4.92595904339551	8.57925061313916
BA2639	6.29137386576201	9.4270458724936
BA2775	5.60579685194834	9.44987135785787
BA2402	5.17065533146209	8.84307877151568
BA2097	5.66740335166233	9.28812805203208
BA2786	5.58682786591739	9.42251934116338
BA2399	6.16697408993369	9.63491369950168
BA2850	5.53758769155616	9.89297540900361
BA2174	5.56931523967556	9.04860912314158
BA2004	5.79282325358751	8.48407580140491
BA3001	6.55713498264667	9.67679810675791
BA2311	4.78361272995645	8.78412431760784
BA2483	6.25534556152395	8.63525880753156
BA3040	5.54431492495241	9.43158515365849
BA2837	6.13249003882685	9.0271917203024
BA2724	4.79523149626919	8.88472441482659
BA2911	6.13505858445244	8.99558616821901
BA2256	6.07438042977308	9.27569316532541
BA2821	6.06121727575126	9.34313727945847
BA2233	6.75074032756909	9.65571538111022
BA2744	6.69580577134555	9.14863087419242
BA2880	5.14825734566663	9.160132157513
BA2621	5.31756660169569	8.9076089453561
BA3002	6.11593110685268	8.69720423583871
BA2501	5.71368801694621	9.40901547409309
BA2993	5.68833994254818	9.35176787188011
BA2301	4.60295748096679	9.0307417478067
BA2852	5.42453578520679	9.3561004357089
BA2133	5.51345714323729	9.2389471182711
BA2866	6.36930495814156	9.8991027074875
BA2212	5.89086317810063	9.33027676031699
BA2685	5.40778946397742	9.26745559419095
BA2273	5.9773343667847	9.98114720830101
BA2477	6.16697408993369	9.26335235036244
BA2659	5.05963791860408	8.52958832512444
BA2124	6.63383351459938	9.87632246618632
BA2363	6.0344495153559	8.26607857536642
BA2369	5.84631034661227	9.25110414260315
BA2534	7.56679847925559	9.34313727945847
BA2400	5.92432462638165	9.43613726309062
BA2762	6.03732004077161	9.34313727945847
BA2312	6.01745471553114	9.53484314535953
BA2813	5.79446889536676	9.78106105276028
BA2211	6.67837784799198	9.85831326849695
BA2171	5.78002501253586	9.64008823387741
BA2746	4.56145114497437	8.98518651350313
BA2798	4.85230183637924	9.27569316532541
BA2809	6.37079667059363	9.39118419839355
BA2288	6.21760589006463	9.98087822775469
BA2801	5.10733697094661	8.83362186336888
BA3030	5.98792432171399	8.61063875058243
BA2588	6.3730951356739	9.60929418124753
BA2296	6.57772759538865	9.36916799017741
BA2300	6.17423728477739	9.88687313292775
BA2903	5.46260848821559	8.3926007250059
BA2473	4.66541353379402	9.93797001113285
BA2545	5.29014927757584	9.17171491689544
BA2840	5.20757281722967	9.22062772367926
BA2528	5.49025573477232	9.30485684547982
BA2646	6.24227196022735	8.95099667095566
BA3407	4.41937585941747	9.38234175781362
BA2240	5.87772009379433	9.28812805203208
BA2926	5.48685812816546	9.26745559419095
BA2272	5.16389532747044	8.97485330936457
BA2306	6.16229657509821	8.7420670822246
BA2765	5.10733697094661	8.55029123602985
BA2904	6.23081198982986	9.13720994130471
BA2883	5.00552413095077	9.01306871894599
BA2726	5.10142924510394	8.54249270039127
BA2234	4.09352976766015	8.97142354261209
BA2022	6.00392077224602	9.75851596885508
BA2228	4.73692025392607	9.25517667754352
BA2037	6.37031994316104	9.23089240757758
BA2184	7.44644074627456	9.45447558148811
BA3009	6.32314377198831	9.76974697360105
BA2842	4.54377637973889	8.61968837224666
BA2442	5.54393492602013	8.9076089453561
BA2882	5.05929023106165	8.5607551950315
BA2758	4.51398396735729	8.76897254396233
BA2705	5.54355794441881	9.20696376307392
BA2663	5.4040564998537	8.62516478231551
BA2570	6.3129901827468	8.79022656584331
BA2764	4.16479586623105	8.18813169577028
BA2209	6.20525292176704	8.67821802831458
BA2989	6.26705656087935	9.10341841676742
BA2855	5.04138595893264	8.81487669872437
BA2261	5.32664570587017	8.53400537696188
BA2721	5.42748213274228	8.97829037472744
BA2930	4.32076840742144	8.43517613550052
BA2728	5.46114309064973	8.5373170330564
BA2715	5.13442321095142	9.56420444046175
BA2469	4.04753383160948	8.35811493599106
BA2269	4.81095988420945	8.18416035809344
BA2098	3.59566377043115	9.14863087419242
BA2778	3.69392175101973	8.52190108216259
BA2951	6.93021683662514	9.14863087419242
BA2163	7.03196402344294	9.36044459889599
BA2379	5.14161615451425	8.65845299235754
BA2817	4.73585764384443	8.68189146093676
BA3153	6.35855944709052	9.47302564786274
BA2820	4.82534093200762	8.86216405394702
BA2723	4.46663819123563	9.09600320401444
BA2704	6.19169062886434	9.58408544068247
BA2088	4.23317948236661	9.4917929010063
BA2116	5.36689692587537	8.77199110438686
BA2584	6.19479612483736	10.0475291689068
BA3079	5.95765278561263	10.0007468429699
BA2417	5.79321150053106	9.65571538111022
BA2361	5.50498484264806	9.1755941413251
BA2450	6.67894286315779	9.24704173883127
BA2492	4.23203632866019	8.19611264417946
BA2552	5.91595003127845	9.00955709168753
BA2472	4.56799936889978	8.68106286594684
BA2994	6.38599164256093	9.23491479941431
BA2047	5.70146183160515	9.58909503454725
BA2101	5.79045455115976	9.48238177689826
BA2082	5.53865932247819	8.77804587995587
BA2879	5.11922365704846	9.17171491689544
BA2577	6.7058515766051	9.54457000922792
BA2456	4.85371906563251	8.80250309714617
BA2175	4.99738222665924	9.59412059033195
BA2824	6.40454724548096	9.19512951707567
BA2507	6.74039110508618	9.88079564639631
BA2563	6.49406704275497	9.68211371581436
BA2244	4.96127415225726	8.84624370479657
BA2470	6.2918184227424	9.76974697360105
BA2984	5.62868512576849	9.6874475749889
BA2414	6.58623483162294	9.64008823387741
BA2697	4.61150443110127	9.44696832329653
BA2079	5.08758890657065	8.68391306436784
BA2999	6.39738498406032	9.03429954865997
BA2644	5.65485837851428	9.3735473533766
BA2011	5.32664570587017	9.09600320401444
BA2217	7.20800173217813	9.69279982690398
BA2454	7.33073792117204	9.86270964606403
BA2776	6.74039110508618	9.80971908397822
BA2218	5.91717313414898	9.59916222255831
BA2135	6.06255807626612	9.94271473100152
BA2914	5.77070270325106	8.83362186336888
BA2500	5.48059363504872	9.0307417478067
BA2830	6.85144834736251	9.44987135785787
BA2406	5.29272133823875	9.4270458724936
BA3108	4.66717493535737	9.43613726309062
BA2924	5.31255258978501	9.09230819306279
BA2303	5.28256921751163	8.83676787171411
BA2160	6.655181196516	9.55927298456459
BA2038	4.35906524158071	9.0307417478067
BA2602	4.62321630772693	8.56338303703764
BA2964	4.39407415685903	8.8717935877338
BA2898	5.13692147172974	9.44987135785787
BA3003	5.2450731397095	9.48238177689826
BA2111	5.12563283342855	9.58408544068247
BA2827	5.11569183564456	9.58909503454725
BA2912	5.81007696621955	9.55927298456459
BA2437	5.1122048652643	9.55927298456459
BA2283	5.36221790332293	9.58909503454725
BA2057	5.19592591955162	9.54457000922792
BA2633	5.44569104780308	9.58909503454725
BA3034	5.06279777386113	9.55435683089665
BA2607	4.98230143047781	9.3735473533766
BA2761	5.67432622931416	9.4270458724936
BA2795	5.22927128390671	9.54457000922792
BA2182	5.25109490120941	9.54457000922792
BA2152	5.23965795443685	9.49651930986164
BA2381	6.38306782429477	9.80971908397822
BA2931	5.49691431965408	9.53000194332933
BA2040	4.54056013941107	9.34313727945847
BA2590	6.56990345420697	9.60929418124753
BA3195	6.86838819773824	9.3561004357089
BA2516	5.78615399709568	8.94268168369866
BA2353	7.26851020715081	9.2429894144776
BA3036	6.3850340445232	9.11086746340759
BA2971	6.23664169060856	9.02543573403374
BA3410	5.66279307581164	9.47302564786274
BA3118	5.42234890079115	9.22287720595147
BA3206	6.83601210531875	9.57411368730524
BA3202	4.24693083065817	9.48238177689826
BA3217	6.01664395833904	9.4045391740165
BA3405	5.35117907046834	8.22445433533228
BA3306	5.44067594846619	9.00255657247606
BA3371	4.97317547511932	9.10341841676742
BA3413	6.83843057067482	9.58909503454725
BA3411	5.73738411344192	9.07395764638915
BA3133	6.15921420802907	9.3561004357089
BA3164	5.78192253760815	9.13342062895717
BA3451	4.90254409754431	8.52958832512444
BA3286	5.8761890408473	9.36916799017741
BA3212	6.15834977750935	9.56098320131876
BA3103	5.4040564998537	8.91751782379931
BA3271	5.49289037233673	9.1872873383188
BA3152	5.21327609576147	9.3735473533766
BA3095	6.20098661255903	9.79245962144758
BA3192	5.35415056636227	9.11086746340759
BA3251	6.35399476116952	9.40901547409309
BA3362	5.60540886857144	9.00434706477645
BA3400	5.490635893289	9.65048894475304
BA3135	5.89003355654074	9.4000752436972
BA3408	5.12063498746829	9.63491369950168
BA3187	5.39277292171201	9.27569316532541
BA3098	6.18590754539494	9.12964008242639
BA3435	5.67887021391384	9.19120372633416
BA3261	6.47915200705891	9.54457000922792
BA3203	5.61405116349114	9.76974697360105
BA3174	5.21397119518206	8.89776108628452
BA3317	6.81883552060849	9.33883912107995
BA3299	4.41640814943071	8.75098362594822
BA3221	5.50684581649132	8.78108213178214
BA3347	4.5651470965606	9.43158515365849
BA3235	4.59152669861806	8.20012237793382
BA3126	4.09434749658679	8.26607857536642
BA3380	5.84353133766961	9.04143859741613
BA3089	6.50598160592548	9.2389471182711
BA3109	5.19197507986882	8.46185834013681
BA3114	4.61788631559245	9.17171491689544
BA3418	6.25221507266163	8.97829037472744
BA3245	5.72099925846855	9.56915130536806
BA3085	6.88232132236019	9.07761127342397
BA3128	5.6290939324601	9.45909303825332
BA3423	5.86057748465192	9.67679810675791
BA3173	5.93735639042332	9.98114720830101
BA3171	6.34878143548061	8.83048212173684
BA3277	5.44424859687628	9.43158515365849
BA3210	5.82971849546372	9.19120372633416
BA3157	6.43193622663115	9.56420444046175
BA3433	5.85578814032464	9.53969913371194
BA3322	5.08223929101889	9.53484314535953
BA3374	5.35519815996299	8.79328666582968
BA3450	5.34219904385068	9.60422004710875
BA3167	4.81095988420945	8.47663077360064
BA3269	4.99738222665924	9.60929418124753
BA3110	5.37014622702408	9.66259277874038
BA3156	5.45234424595149	9.2592593958878
BA3226	6.25000151049301	9.39118419839355
BA3421	4.8864219540017	8.95777690896205
BA3232	6.27426778231287	9.27569316532541
BA3289	4.85971090955896	8.61423212805534
BA3430	5.25385282871793	8.38747453651413
BA3145	6.73922514739457	9.30906602396076
BA3399	4.74148796294472	8.96117775713075
BA3449	4.95086713745968	9.09230819306279
BA3384	5.9563978434584	9.17948259034573
BA3427	5.25714318052804	9.28812805203208
BA3163	4.59152669861806	8.52958832512444
BA3158	6.79581543973709	9.55927298456459
