	DNMT3A	SRSF2
BA3436	6.93827202821145	9.61438474364243
BA3154	6.2850706491728	9.62258533258528
BA3162	5.92513526908082	8.12230223339654
BA3352	6.18861040169558	8.92264013919218
BA3084	5.89359904116522	9.31751716888528
BA3149	5.35709573192361	8.71853926395486
BA3169	4.99738222665924	8.9076089453561
BA3180	5.90885007986137	9.2109276242084
BA3255	5.37928711694374	9.41350421836705
BA3438	5.831768285151	9.62975620855742
BA3345	4.94207214987635	8.94087956106744
BA3403	5.24180259489468	8.47415784691615
BA3431	5.5327793179831	8.42559982560594
BA3181	5.01499035740301	8.03722226484621
BA3341	4.25037031677199	8.96458579397726
BA3191	5.50721271315311	8.77804587995587
BA3197	6.83344544574865	9.16398396797258
BA3448	6.60051001058414	9.38234175781362
BA3453	4.81972624226558	9.12586826213153
BA3406	5.89003355654074	9.82133532639013
BA3308	6.62952631509886	9.17948259034573
BA3186	6.7037023558772	9.40240975182614
BA3334	4.61468245344628	8.65565049707964
BA3447	7.53734841909383	9.52036350053221
BA3116	4.92736106288858	8.97485330936457
BA3280	5.34471469248409	9.53969913371194
BA3185	6.0765385205626	9.19906475607931
BA3094	5.44318329987226	8.6697155276332
BA3318	4.65263126814038	8.42559982560594
BA3216	5.88406214865442	9.40901547409309
BA3332	5.83917770608647	9.41800548205558
BA3214	6.52836297577895	9.25691151442812
BA3099	5.81839607751016	9.4045391740165
BA3141	6.6430484484285	9.39562360946183
BA3373	7.08521741719084	9.3217592552912
BA3319	4.99665147897099	8.43037965011906
BA3328	5.75023036618314	9.28812805203208
BA3339	5.90720734250747	9.732408696693
BA3240	7.46784096415085	9.08127310626888
BA3142	6.49002795768883	9.44070228005406
BA3333	6.66451367219681	9.46372381175102
BA3381	5.12596382526423	8.74800571415782
BA3290	5.67811655623058	8.8879736022598
BA3207	3.30852387884075	7.93502206043898
BA3296	5.02619905861961	8.8879736022598
BA3305	5.71368801694621	8.82110029202306
BA3434	6.20525292176704	9.27569316532541
BA3189	6.72005859768329	9.08862153045619
BA3264	6.11294027816034	9.55435683089665
BA3329	6.39359148087619	9.48406046211483
BA3417	5.51691886633525	9.23491479941431
BA3367	5.03748167961273	8.60436299215519
BA3225	4.30837790148871	8.11666073243668
BA3183	5.77294291662078	9.04143859741613
BA3222	5.4780108909795	9.08494318011795
BA3139	6.25445222164076	8.88653621315296
BA3397	6.5518017021576	9.64527993925034
BA3311	5.23032944318066	8.07971165578759
BA3422	6.54042498941119	10.0888662099127
BA3228	6.11633596300958	8.68391306436784
BA3213	5.8546289142141	9.26335235036244
BA3270	5.36939086109841	8.8717935877338
BA3415	6.08148760261427	9.34744684153524
BA3324	6.40503611780804	8.8525926437112
BA3194	6.77720928573593	9.68211371581436
BA3335	6.11633596300958	9.96822468421139
BA3199	7.06166102601644	9.4917929010063
BA3326	5.30886708091399	9.27569316532541
BA3285	6.35713479831954	8.72329447406972
BA3297	6.17989946486144	9.09230819306279
BA3227	7.03623900558414	9.11460476788528
BA3394	6.21933467933948	8.65006116973985
BA3412	6.21454243325922	8.93752128537319
BA3293	5.91637612602088	9.44239146973819
BA3250	5.83256616777847	9.21888429779212
BA3177	5.6412866944169	9.47769688223901
BA3315	4.798374704262	8.96117775713075
BA3182	5.85810717843667	8.91751782379931
BA3260	6.02077165309049	8.43758065182973
BA3369	5.69992958447881	9.24704173883127
BA3078	5.48023322260474	9.20475662343021
BA3386	6.57509033573893	9.71984209806913
BA3445	4.87235166783045	9.4000752436972
BA3452	5.46001022094073	8.57129520837751
BA3176	6.55914586158058	9.29229417829056
BA3258	4.16634381840989	8.64449262965366
