#Boxplots d'expressions du gène NRAS en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 65.664, p-value = 0.00000
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2306       6        7.474165
BA2726       1        7.128891
BA2234       1        6.936237
BA2022       3        7.338908
BA2037       1        6.884921
BA2184       1        7.162152
BA3009       1        7.146123
BA2442       3        6.801167
BA2882       1        7.103074
BA2570       2        7.179137
BA2721       1        6.753097
BA2728       1        6.788651
BA2098       1        7.065966
BA2951       3        6.457504
BA2778       1        7.047048
BA3153       5        8.595293
BA2820       1        7.026248
BA2704       1        7.148404
BA2584       3        7.397345
BA3079       3        7.085217
BA2361       5        7.600445
BA2472       2        7.495658
BA2047       1        7.287122
BA2101       1        7.459638
BA2082       2        8.081532
BA2456       2        8.309099
BA2175       2        7.766141
BA2507       5        7.838400
BA2563       3        7.139172
BA2984       1        7.483826
BA2414       5        7.157984
BA2697       3        6.547662
BA2644       3        6.649160
BA2011       3        7.455713
BA2217       1        7.239744
BA2454       2        7.380621
BA2776       1        7.256965
BA2135       6        8.371803
BA2914       1        6.780750
BA2500       1        7.419905
BA3108       1        6.793452
BA2303       3        6.745578
BA2160       3        6.806035
BA2590       5        7.697906
BA3195       5        7.490428
BA3036       2        7.297771
BA2971       6        7.859315
BA3410       8        7.632785
BA3118       2        8.476631
BA3206       1        6.794046
BA3217       5        7.755101
BA3405       3        6.874034
BA3306       5        7.994138
BA3413       3        6.930910
BA3411       1        6.712685
BA3133       1        7.151586
BA3451       1        7.103074
BA3286       1        6.514504
BA3212       1        7.427218
BA3103       2        8.243017
BA3271       1        7.284384
BA3152       1        6.739832
BA3095       1        6.879121
BA3251       5        7.692883
BA3362       1        7.055705
BA3135       8        8.085182
BA3408       8        7.031263
BA3098       3        7.163923
BA3435       1        7.121894
BA3261       1        6.991755
BA3203       6        8.360387
BA3299       6        8.447241
BA3347       5        8.317876
BA3126       1        7.342780
BA3418       8        8.072457
BA3245       5        8.437581
BA3085       1        7.972304
BA3171       1        7.362524
BA3277       5        8.514255
BA3157       1        7.385603
BA3433       5        8.030157
BA3374       1        6.689216
BA3450       7        8.188132
BA3167       2        8.019656
BA3269       5        8.105456
BA3110       2        7.651483
BA3156       8        8.051153
BA3226       1        6.889932
BA3421       5        7.190650
BA3232       1        6.819477
BA3289       5        7.374848
BA3430       5        7.790932
BA3384       1        7.109255
BA3427       1        6.798135
BA3449       8        7.407073
BA3163       1        7.063021
BA3158       3        7.215425
BA3436       1        6.606345
BA3154       7        8.165763
BA3162       2        7.505393
BA3352       2        6.955509
BA3084       1        7.149214
BA3149       5        8.038841
BA3169       5        7.534054
BA3180       5        7.655133
BA3255       1        6.858956
BA3438       1        6.895111
BA3345       8        7.202313
BA3431       7        7.319378
BA3181       8        6.788651
BA3341       2        7.651483
BA3191       1        7.004235
BA3197       1        7.200736
BA3448       1        6.901614
BA3453       5        8.074266
BA3406       3        7.125056
BA3334       2        6.931529
BA3447       7        6.506492
BA3116       5        8.096198
BA3280       5        8.539903
BA3185       5        8.098044
BA3094       1        7.862319
BA3318       2        7.997399
BA3216       5        8.101744
BA3332       7        7.995737
BA3373       1        7.221271
BA3319       1        6.978590
BA3328       1        7.121894
BA3240       1        6.940184
BA3142       1        7.366237
BA3333       5        7.594478
BA3381       1        6.637582
BA3290       1        6.834644
BA3207       1        6.764187
BA3305       5        7.385603
BA3434       1        7.085982
BA3189       1        6.763595
BA3264       1        7.372993
BA3329       5        7.426288
BA3225       1        6.691368
BA3397       1        7.288998
BA3311       1        6.817518
BA3422       5        8.192116
BA3213       5        7.748083
BA3415       1        6.745020
BA3270       1        6.730507
BA3324       1        7.000791
BA3335       5        8.001074
BA3199       5        6.834033
BA3326       5        7.800943
BA3297       1        7.039190
BA3227       1        7.127388
BA3412       1        7.298726
BA3250       1        7.171973
BA3177       1        7.088211
BA3315       1        7.555262
BA3182       1        7.178362
BA3369       1        7.163923
BA3078       1        6.776617
BA3386       1        6.721179
BA3176       1        6.529883
BA3258       1        6.992443
BA3295       1        6.937643
BA3136       1        7.123406
BA3234       1        7.183208
BA3087       1        7.034743
BA3454       1        6.883643
BA3302       1        7.006423
BA3117       1        7.259767
BA3266       1        6.954112
BA3268       1        7.091190
BA3229       1        6.692479
BA3353       1        6.708095
BA3312       1        6.694659
BA3119       1        6.932925
BA3219       1        6.880983
BA3351       1        7.556337
BA3357       1        7.257903
BA3208       1        6.888021
BA3310       1        7.388486
BA3200       1        7.049885
BA3146       1        7.111456
BA3211       1        6.884307
BA3130       1        7.314841
BA3376       1        6.690808
BA3137       1        7.177617
BA3300       1        7.221271
BA3375       1        7.317585
BA3385       1        6.928986
BA3416       1        6.991755
BA3123       1        7.171973
