	RUNX1	NF1
BA2843	0.0009554517760357	89.31518458610059
BA2889	0.0032607530191513	0.1338236807905606
BA2817	0.0122968239201825	166.47145168901284
BA3008	0.018241639960469	0.1640866873065015
BA2510	0.0203342702977387	37.039426921791566
BA2915	0.0218014132414214	6.823141893971271
BA2006	0.0434516639435853	0.0
BA2567	0.0471607532425318	30.7649353050662
BA3273	0.0560587391122591	160.85550541557942
BA2593	0.0586617116890534	0.131948509740975
BA2055	0.0589301162250986	1.861283467889972
BA3076	0.0600950815996389	26.082152629232723
BA2720	0.06199850693479	43.36677119694078
BA2525	0.0640943635013068	33.4185441002891
BA3430	0.0648879484956471	94.55339835609128
BA2415	0.0660210386235638	34.29848221862546
BA3049	0.0703686777679904	5.969525693002183
BA2348	0.0744092462461175	55.136801578737725
BA2787	0.0771819098017011	41.04953227327876
BA2350	0.0794989986228869	91.19479049601118
BA3027	0.0818994430187669	70.52398475728634
BA2133	0.0821775067247399	80.18133477228218
BA2731	0.0822678721671272	107.27800255164831
BA2903	0.0834256581001667	133.66038215570987
BA2841	0.0872061774022096	55.33534050785352
BA2479	0.0876788581211672	58.5148987250125
BA2697	0.0883854113088879	87.08814851074648
BA3412	0.0899779089099585	195.68106403756929
BA2063	0.0920561794793435	56.62966505689601
BA2455	0.0926719200180257	82.35449417281512
BA2515	0.0936308517200861	63.079763869883294
BA3163	0.0939197598265622	203.77054518568227
BA3374	0.094090365428496	90.3308747655744
BA3326	0.0946196926437193	112.45122013580422
BA2304	0.0979748767280979	58.26545447919322
BA2025	0.0980119356459087	135.04261049402936
BA3408	0.0988729634042426	104.22963722764784
BA2155	0.1000285399730431	71.92339924235235
BA2844	0.1004672344075486	166.41325673111845
BA2540	0.1007360871003794	102.9294284547094
BA2688	0.1010376832524803	25.648700935483525
BA2339	0.1031892287671385	75.60546526741308
BA3447	0.1034714208120763	61.61094005127081
BA2876	0.1042099068954033	39.54924914309381
BA2861	0.106918279511033	110.33834810966074
BA3051	0.1085347295423158	63.69881256596946
BA3178	0.109821525551975	32.73882697518744
BA2088	0.1123074663292034	122.118312008315
BA2786	0.1125092427841016	100.28994245785098
BA2079	0.1133866749489385	61.12137145648837
BA2311	0.1134252444489589	104.19731581066932
BA2511	0.1145245322603514	43.14309877006726
BA2858	0.1150097464615107	83.47971274712972
BA2446	0.116030994744769	68.07249241660844
BA2221	0.1162426874308127	87.92724303286738
BA3421	0.1168253603124548	60.49421950990799
BA3116	0.1182353459217621	73.59934409793948
BA2139	0.1190683935976216	41.481996912376765
BA2860	0.1207170295640607	62.6038407485975
BA2282	0.1222042420164395	67.04868900711168
BA3043	0.1222303123648893	49.45710026791884
BA2011	0.1227164865716172	72.85716052294515
BA2934	0.1236760212693928	73.61106151530505
BA2546	0.1240671559688523	68.15655886655676
BA2087	0.1262338198212069	39.44265347415752
BA2080	0.1281109492294557	157.83351245834615
BA2325	0.1303379514061994	84.63892612993457
BA3025	0.1313271882172597	111.54561761093512
BA2412	0.1319074320498716	36.32016613028614
BA2658	0.1323432279927941	130.20636621989172
BA2856	0.1331356976459998	182.44398582682192
