	STAG2	KRAS
BA2000	0.045373231419743	3.3836971111243868
BA2003	0.0190274841437632	4.014852183319062
BA2004	0.0769230769230769	7.518035805741788
BA2006	0.0443974630021141	1.4759602284637354
BA2011	0.040169133192389	2.9764702068721984
BA2019	0.0617986664498292	5.160280820392373
BA2020	0.0865181330297609	4.544994361851094
BA2022	0.0530167506911693	5.324298133885895
BA2023	0.0211416490486257	1.835144329336911
BA2024	0.0845665961945031	3.245164654062419
BA2025	0.0416327858188323	4.368893180026906
BA2031	0.0066677508537973	3.2522855283888856
BA2032	0.0380549682875264	5.730829491703615
BA2033	0.066352252398764	5.173527870541233
BA2034	0.0110587087331273	3.914876856324424
BA2035	0.0483005366726296	3.1099427952431493
BA2036	0.0395186209139697	6.121214630742673
BA2037	0.0796877541063587	4.675090272102132
BA2041	0.045373231419743	4.757182979338932
BA2044	0.0426085542364612	3.010011912928463
BA2046	0.0606602699625955	4.929163679288072
BA2047	0.0476500243942104	4.291588003374781
BA2050	0.0213042771182306	2.1958664129994023
BA2051	0.0489510489510489	13.932897428776403
BA2052	0.0442348349325093	11.076830685833263
BA2053	0.0393559928443649	7.179162326710417
BA2054	0.0422832980972515	1.88397156875176
BA2055	0.0203285087006017	0.5163086932955492
BA2063	0.0499268173686778	11.878742352338724
BA2065	0.0434216945844852	4.709459162983161
BA2066	0.0788746137583346	4.58843490487509
BA2068	0.0367539437306879	1.0796480997351472
BA2069	0.0377297121483168	3.374270053532277
BA2072	0.0289477963896568	3.1008031822093227
BA2079	0.0591966173361522	2.7983494448591
BA2080	0.0250447227191413	5.886285419771656
BA2081	0.028785168320052	2.38418961424661
BA2082	0.0456984875589526	3.4924032820084148
BA2087	0.0258578630671653	3.917030623224554
BA2088	0.0616360383802244	7.004680788752677
BA2089	0.0291104244592616	7.291872349620021
BA2093	0.0352902911042445	1.7578389225148163
BA2094	0.0351276630346397	7.903188528932866
BA2095	0.0396812489835745	2.454555562270261
BA2096	0.024394210440722	2.1072502216250624
BA2097	0.0661896243291592	9.091340105799269
BA2098	0.0201658806309969	2.230917639934675
BA2100	0.0308993332249146	5.275330529503402
BA2101	0.0335013823385916	3.4638826169083035
BA2104	0.0203285087006017	2.996660859475001
BA2106	0.0279720279720279	3.161484912907255
BA2109	0.0491136770206537	9.540899316685143
BA2110	0.0291104244592616	2.2987931685922325
BA2113	0.0398438770531793	2.6364578427557768
BA2116	0.0713937225565132	6.107357577068696
BA2121	0.0546430313872174	2.2078984581122234
