	TP53	SMC1A
BA2392	7.93187727167438	7.41008797800013
BA2611	8.01965582601105	7.26424108951115
BA2506	7.96260346447077	7.24218373520164
BA2430	7.94635895319707	7.28899814708616
BA2448	7.97556074370465	7.24904224136933
BA2730	7.95936662330483	7.26503778677364
BA2845	7.87430709609213	7.45866975783138
BA2326	7.85345354435312	7.45571345371651
BA2341	7.87732006412967	7.43138197639579
BA2612	7.87430709609213	7.4434295432297
BA2973	7.83554388846121	7.45275636284168
BA2390	7.85633367820174	7.4372988989966
BA3218	7.84275930534523	7.46577618872004
BA3105	7.86087718753597	7.31397253852267
BA3402	7.88037740793897	7.37577438257785
BA3276	7.90654028957083	7.30861526987379
BA2409	6.7240814115045	6.96567270429015
BA3037	4.29267969728308	5.33503178066884
BA2496	6.45599883472476	6.81145766315316
BA2172	6.55763968463611	6.50494854074967
BA2865	7.34082017175962	6.64807496201704
BA2923	6.41993290039897	6.42763769743183
BA2751	7.22625304922136	6.40025463094879
BA2480	7.08598210070988	6.21273472230969
BA2286	7.03335772337666	6.46184745649843
BA2922	7.58415033094325	6.18950223686314
BA2452	6.21802371577529	7.41889646736553
BA3379	7.1045805500083	6.56326897910348
BA2887	6.98275640527684	6.58253832351054
BA2712	5.93038956442244	7.2245944685398
BA2068	5.89521114196018	5.81442547259646
BA2236	7.24904224136933	6.50698545533974
BA2104	6.26429986711095	6.25534556152395
BA3124	6.49248354368901	6.56890360423702
BA3395	6.09600230844392	6.89778124838191
BA2921	5.26066257347525	5.29014927757584
BA2449	5.89918966262517	6.36648969189247
BA2003	5.09857876696561	4.86847515739846
BA2360	8.04765964150367	6.7037023558772
BA2802	5.98097884801574	6.32360812377741
BA2235	7.04704814373678	6.73692509275104
BA2858	6.16992972400798	6.92303478434711
BA3038	6.43046914091516	6.9468889159387
BA3006	7.35202275514424	6.80545390529169
BA2245	7.53093612416627	6.44802101478473
BA2667	7.16215175411855	6.59519386649706
BA2239	6.92833111291049	6.80299244523417
BA2782	6.1881494364125	6.54150806703429
BA2649	7.30861526987379	7.36252362510307
BA2488	6.28733698625511	6.93219471408877
BA2861	7.2179085684236	7.08148396341999
BA2909	6.00760401810435	6.31585760088979
BA2429	6.58673582096521	6.32408741401117
BA2653	6.64966424428309	6.60368263326756
BA2134	6.389795387917	6.47866220517702
BA2947	7.0549889553605	5.84353133766961
BA2032	5.6834289695156	5.18440522570466
BA2162	5.66661596956027	6.13597197195766
BA2564	6.33600766569699	7.52082148621471
BA2597	5.30025672574144	5.7195036401558
BA3243	6.79931174111644	6.31947287697639
BA2106	5.5849409277756	6.56065461359229
BA2427	4.58834815635997	5.74782936628199
BA2841	5.64578665380384	5.77409344818299
BA2446	7.02624764830014	8.05115312612603
BA2645	4.47755440955033	4.46192339880986
BA2525	5.33325727668396	5.89440299333517
BA2876	4.87307091837154	5.19768575459355
BA2357	5.73934974436077	6.3764431266369
BA2546	5.98097884801574	6.78550767222755
BA2742	6.87718695252014	7.02125424605895
BA2316	6.92303478434711	6.92693139302054
BA2421	5.73053658482108	5.2450731397095
BA2087	6.1821095995856	6.11251658212347
BA2910	6.65242333740906	6.07138778077856
BA2148	4.5255236296775	5.27359380468175
BA2063	5.23357427325263	5.28503368668829
BA2329	6.76359470107912	6.72991592484699
BA3178	7.16876088952225	6.81145766315316
BA2072	6.8175184307766	7.58759859001841
BA3029	4.51543236159046	5.60042800463674
BA2733	5.01531695363561	6.2918184227424
BA2995	5.64653817010519	5.19699117865598
BA2069	7.49042755149826	7.56321071069528
BA2100	4.13049769125671	5.25074673390293
BA2681	6.47571845442986	7.17358455839536
BA2248	5.35925920402751	5.34794466566604
BA2832	6.54255345963774	6.63058753997147
BA2308	6.1346163312472	5.6518040676881
BA2413	5.4113491881704	5.4219819546052
BA2701	4.6377523259586	5.13768843009096
BA2634	5.89802625126527	5.60693430911561
BA2677	6.55027156269161	6.55763968463611
BA2937	6.88364306076419	6.91395412230233
BA2600	5.11328125236518	5.82897025310715
BA2019	6.63058753997147	7.46894970580743
BA2412	6.07479305709891	6.35951832125277
BA2334	5.69683059962592	5.70604900479139
BA2050	6.89902500194997	7.20465709297985
BA3230	6.6396645832219	7.5725144548201
BA2953	5.27249782330272	6.41176296562855
BA2481	6.14278190987981	6.30887529708536
BA2731	5.43769371500229	5.87139334737162
BA2294	7.27378385953679	6.57670086749662
BA2418	6.13331916927191	5.84314923613757
BA2816	6.35951832125277	6.13767903859115
BA2656	6.23081198982986	5.52135062216325
BA2814	6.732801148639	7.1173855294893
BA2631	7.21053357648558	6.4446944698136
BA2023	6.6639864599992	6.67173082981131
BA2375	7.07994856692804	6.77605663940291
BA2485	7.51413414557592	6.66119005251722
BA2455	6.16950493399515	6.22761949631351
BA2025	7.06736498172321	7.95104961478815
BA2636	5.63282770326011	5.89560402298733
BA2325	6.0844698592588	6.81689630084604
BA2169	5.15597615770657	5.25497927017155
BA2156	7.78123623973778	6.68070832768596
BA2511	5.1329891862807	5.96784634669034
BA2939	5.4256501409614	5.9321118772701
BA2168	6.17556084584677	5.68986590376939
BA2505	6.06427837502978	5.46628439479905
BA2860	6.30187774864901	6.68646890696546
BA2707	5.67887021391384	6.05573645247968
BA2871	3.82296440324922	6.78865136154736
BA2655	6.81265459274061	6.83087293035871
BA2227	6.51302546929391	6.2886543814572
BA2125	6.90814621424913	8.0095286113404
BA2523	6.94819581980106	7.40804987020109
BA2603	6.97110220501606	5.33721885584615
BA2808	0.227105256821812	5.67583098043324
BA2282	5.86057748465192	6.14149524736616
BA2482	6.56583781452914	6.60051001058414
BA2812	6.40314188601748	6.77246010495607
BA2822	6.13119942059496	6.39165195051498
BA2594	6.53249965977741	6.9766278154768
BA2747	6.91069984449294	5.84631034661227
BA2561	6.72062167573975	6.23708437608245
BA2567	4.61468245344628	5.09892293720879
BA2906	7.19145743010941	7.26669441560471
BA2956	4.65298561876012	5.92432462638165
BA2474	6.87788091401863	6.74612605168156
BA2737	5.1731127627033	6.13249003882685
BA2110	5.89165055148412	6.81086164089737
BA2992	6.00599295147661	7.32966927637023
BA2220	7.23974353995359	7.47316503302079
BA2772	5.69028030333394	5.98876336939614
BA2935	5.80651617633479	6.15353258469632
BA2260	6.26972531039322	6.44032365945441
BA2676	6.32546109149907	7.27636680044251
BA2948	4.29566916323682	5.69487870461564
BA2524	5.1674510313935	6.33002794213348
BA2811	6.82008128976274	6.88492067829042
BA2540	5.60231976530737	6.72876764999848
BA2928	7.62437772428186	8.17232215906216
BA2302	4.46338478207428	5.46037170982955
BA2595	5.64956635618765	6.29225118298982
BA2792	6.54042498941119	6.54766219361137
BA2651	5.03323587286023	5.71138116672011
BA2619	6.36467185423724	7.15798365655759
BA3013	7.35390839708449	7.38666974161584
BA2405	5.17133494272832	5.91007221868397
BA2735	4.91685437213902	4.31814348968572
BA2856	4.89451135230491	4.67353963648755
BA2377	6.1522898333018	6.59203093136997
BA2499	5.5722787954592	5.81007696621955
BA2463	5.50353774574014	5.27794535688906
BA3023	5.59326337181961	6.33918453468976
BA2095	7.28899814708616	7.57365573963701
BA2901	5.90353378741165	5.85734049093177
BA2275	5.9092894586333	7.29599106177635
BA2387	7.46363654414575	6.69693008803166
BA2962	7.25790347094091	7.10380554442151
BA2195	5.63436770223251	6.33092888167036
BA2688	5.56596083132182	5.8446879817315
BA2787	5.08010536468567	5.81801473613502
BA2420	7.47416545591404	6.64464627075058
BA2756	5.34186047637261	6.57356389506373
BA2122	4.6788765540465	5.80146381261149
BA2053	5.62530338833762	5.31902852847325
BA2080	5.36939086109841	5.77766563717379
BA2081	7.12814379144502	7.59694470359064
BA2354	6.91137383646976	6.55285609284704
