	TP53	SMC1A
BA3273	2.90245258168608	5.1308809152012
BA2893	7.04851156959908	6.54408446340443
BA2044	7.41702873174962	7.08521741719084
BA2489	5.07550246590364	5.6864679763228
BA2309	7.10380554442151	6.77720928573593
BA2720	5.55739491408236	6.44613094518311
BA2908	7.22867709025789	4.37967727663567
BA2054	5.68192875741287	7.12738803665014
BA2872	5.57710363902521	7.39635430321553
BA2526	5.85300580466056	4.92805421347384
BA2041	5.97482137009541	7.25176192852259
BA2464	6.87466227370096	6.62245620960063
BA2902	5.4000323249	5.12420512973416
BA2541	7.19482368325309	6.73345379130114
BA2143	6.22378350328208	6.82734034498185
BA2094	6.63707820351379	6.70082648857542
BA2769	5.11782405199582	6.47715255483626
BA2843	4.89378286978426	5.19161041350932
BA2592	6.14235074085009	6.54504027868998
BA2497	6.42575430557831	7.3370513303313
BA2718	7.56567805381962	6.54875546973009
BA2575	6.39073862378253	7.22543117773692
BA2096	6.5435898741168	7.2179085684236
BA2593	6.6263105848456	5.57639860004421
BA2791	5.76878858309535	5.72556301998601
BA2620	6.67392482770239	6.33600766569699
BA2629	7.49256176412129	6.22989744594561
BA2870	7.74666982029682	7.4363086679988
BA2423	5.05998896160971	5.48023322260474
BA2682	6.06213168198286	6.45300101587846
BA2276	6.23256384367835	6.34783039381028
BA2348	4.57477973250303	6.02737188880326
BA2709	6.1833788007571	6.66836924971821
BA2789	7.34082017175962	7.18983138735934
BA2694	5.24967382044831	5.01358911563759
BA2538	5.06527754778608	5.29082273845723
BA2583	6.37732984108365	6.42718608083043
BA2415	6.30695343234241	6.38261014012489
BA2722	5.21996006204262	7.95296500400789
BA2806	6.08621852980205	6.0311101011047
BA2221	5.73973435709854	6.54875546973009
BA3025	7.49042755149826	6.61536224183286
BA2514	5.00447988229452	6.43983576769468
BA2520	5.86536301251181	5.4921500734543
BA2441	7.44839655086442	6.65187762334033
BA2153	6.10234706288177	6.39210318114874
BA2479	5.29451713018208	5.87220344290798
BA2281	6.87788091401863	6.63383351459938
BA2657	6.68181953854303	6.48756519390035
BA2932	7.70582137825133	6.58836102643898
BA2123	6.39599982532293	7.07994856692804
BA2844	6.35627429889414	6.48803668934059
BA2660	6.84098754890722	7.15078589361001
BA2836	4.58619939617121	5.49584884893938
BA3027	4.57370858506955	5.86417764609005
BA2714	6.82188197814107	6.88430660085161
BA2139	6.24185782368877	6.85394237356265
BA2251	7.82261702082019	6.02737188880326
BA2952	7.1445927897216	7.62205873798526
BA2440	2.38194954250065	6.42479012495369
BA2036	6.85895592875875	7.30676049708217
BA2828	5.93777047922961	6.08148760261427
BA2292	7.05721925341645	7.34837532536667
BA2410	4.87481382301932	5.98054442725547
BA2051	3.74222249554182	5.32198845078755
BA2532	4.89906895806818	5.70335455446958
BA2986	6.92111028015582	7.12738803665014
BA2494	4.8850340180221	5.72754939375197
BA2515	5.15886081295599	6.00134650129498
BA2748	7.40707286933197	7.36816809987369
BA2970	5.24755295562951	6.29268793995786
BA2622	6.51970766408759	6.44517490297706
BA2839	4.57050598081279	5.37601760770264
BA2052	6.02245886806957	5.98054442725547
BA3011	5.49620333322403	5.58529928737232
BA2868	6.99309781087009	6.03024497150621
BA2510	6.43793151264448	6.01912446509313
BA2065	6.97592290315855	7.09779989974783
BA2691	6.06843510757967	6.31632447129761
BA2374	7.00642277827321	7.93352218493006
BA2804	6.34503333401511	7.40804987020109
BA2670	5.49867482524586	5.58529928737232
BA2675	7.10235206017353	6.75309739437635
BA2589	5.1329891862807	5.17241204196236
BA2031	7.10925539195399	7.72809482559201
BA2198	7.25440312060941	7.08148396341999
BA2066	7.26938021173089	7.84734534450722
BA2344	7.46260985261637	7.20973552997534
BA2459	5.71368801694621	6.15651021097325
BA2229	5.40590227988363	5.68416732949988
BA2559	5.6290939324601	6.38837422038712
BA2093	5.51092026987085	6.59203093136997
BA2000	7.17116786854616	8.37409825216549
BA2425	5.8584977958134	7.19312453230448
BA2905	5.49361387353109	5.48539345466374
BA2304	6.02328497818552	7.33529770605395
BA2976	6.4673102312229	6.8194770973329
BA2386	5.5268548517384	5.69028030333394
BA2035	7.1288906231397	6.5150208040986
BA2760	5.41465485346035	6.10277314052035
BA2201	7.07251029744415	7.166329054571
BA2355	4.41532323585857	5.94059984274879
BA2113	6.94881589861991	8.50529098735433
BA2155	6.81026452482456	6.38261014012489
BA2955	6.52630500155159	7.05721925341645
BA2502	6.66232694076894	7.40200052886874
BA2322	6.32590234144832	7.30496309649231
BA2376	6.6601420957489	6.63486341869675
BA2020	7.56206988956539	7.64778904816974
BA2226	6.7421473941764	7.31937809888862
BA2200	7.31484141146978	7.04133576078419
BA2121	6.93827202821145	7.34277993266588
BA2944	7.40609048790591	6.73692509275104
BA2033	4.4255355439253	5.96505632745959
BA2867	5.44461485443026	5.96987848742324
BA2089	6.37831338727117	7.30225620212896
BA2224	5.98876336939614	6.68593691853273
BA2046	5.08690717420201	5.65751126924784
BA2972	6.65295694076347	6.52375465899181
BA2978	6.1725191860544	7.3212161814573
BA2829	6.66836924971821	6.41465436154636
BA2851	6.6656439229699	7.07626127790368
BA2587	6.82430487390793	7.27555120012057
BA2461	5.94954564902513	6.66730094916762
BA2695	5.06034106840668	5.80106125250132
BA2623	7.2808607611199	6.92959860586943
BA2024	6.16739291737488	6.50054440194885
BA2426	5.90761820174496	6.72876764999848
BA2271	6.57195133441217	6.77720928573593
BA3004	7.27718305881569	6.90423057855148
BA2579	6.39599982532293	6.47866220517702
BA3010	6.40785243829132	6.83087293035871
BA2662	7.00423488076259	8.29820901257083
BA2674	6.61328782678973	6.29091935991155
BA2280	7.50002964161751	6.98419090856441
BA2512	6.36648969189247	7.29162764738793
BA2658	6.51657057172327	6.51105136156458
BA2394	6.12947427780454	6.02778423402097
BA2950	6.24055068924258	6.64862107605335
BA2981	3.91918119992111	6.75887216800442
BA2934	4.63280713637761	5.92917652580144
BA2539	6.03692689677874	6.95150045701844
BA2249	6.88614746987226	6.71723697861596
BA2034	7.18078818168097	6.50002459426286
BA2109	4.73402493935974	6.03322281740518
BA2242	6.34412105865143	5.91282831503143
BA2277	7.13198010911185	6.81203867711984
BA2727	7.19738153999511	6.26972531039322
BA2132	5.44826154156483	6.54307132156237
BA2618	6.62357481456438	6.70309367478267
BA2521	7.02624764830014	7.21378004978512
BA2846	6.09387139945137	6.6322579586067
BA2885	6.59569193185131	7.39540604135448
BA2639	7.29348678773891	7.79956921933088
BA2775	6.54456958822718	6.43590316276273
BA2402	5.83678289113702	6.84098754890722
BA2097	5.89165055148412	5.98386136715206
BA2786	6.6268478891503	8.56601564488201
BA2399	6.8791208631907	6.53092260630466
BA2850	5.81839607751016	5.73663382994184
BA2174	6.49504433110095	7.34370807957505
BA2004	6.59256890621003	6.77360382440632
BA3001	7.67233847579442	6.7513352539061
BA2311	5.98546472831244	6.90940702790402
BA2483	6.85025853686514	7.24647814947882
BA3040	7.4372988989966	7.139939970706
BA2837	6.23620830247888	5.84112154107977
BA2724	4.95436820669726	5.91045865628191
BA2911	6.6639864599992	6.5181383405608
BA2256	6.45750445904916	7.03474280183588
BA2821	7.09853964665219	7.4333053034535
BA2233	5.47397012091034	6.01292615255046
BA2744	7.52657913903788	6.26474966230624
BA2880	5.89840678151491	6.8090279726606
BA2621	5.39605181278963	6.05776567233175
BA3002	6.79581543973709	7.32309525533159
BA2501	6.48066088985819	6.59468087653905
BA2993	5.57935496877716	5.67695923349879
BA2301	5.09007782361131	6.30510036258626
BA2852	4.49309800823268	4.99811985636614
BA2133	4.62677440639043	5.86977499380276
BA2866	6.72932018001604	6.70639038824238
BA2212	5.34471469248409	6.20964310204874
BA2685	6.06637986410425	6.52531304614774
BA2273	5.75263805334011	6.10105446354612
BA2477	7.25358458154246	7.67359575985668
BA2659	6.22243678568209	6.80239867331755
BA2124	7.5725144548201	6.42718608083043
BA2363	6.26429986711095	6.20613451857404
BA2369	5.0883096858926	5.92353940158255
BA2534	7.20308831152753	6.29503336143835
BA2400	6.90940702790402	7.22867709025789
BA2762	5.58914523241343	6.37975842200095
BA2312	5.95116187542659	6.1419268433851
BA2813	6.42812418967041	6.06929983181706
BA2211	7.49457772487061	7.08297551023298
BA2171	7.00146186913291	7.81249915728454
BA2746	5.85501990072082	7.02911174492955
BA2798	5.2557008751781	6.0072209431505
BA2809	6.47426873472503	6.10621461216555
BA2288	4.81163956900901	5.89603275873882
BA2801	4.20521607487653	6.21976021821158
BA3030	6.59519386649706	7.3370513303313
BA2588	6.60688950527526	6.23885515750168
BA2296	7.145353174227	6.90226857503049
BA2300	4.23895301881926	7.384595872256
BA2903	3.22599710926517	5.35378122072143
BA2473	5.44754405856203	7.43138197639579
BA2545	6.56532526138634	7.00355473079372
BA2840	5.99152342299614	6.5808607051832
BA2528	6.84277692729058	6.75887216800442
BA2646	6.61380571566026	6.39689952753953
BA3407	5.19161041350932	6.55815560889788
BA2240	6.54504027868998	7.05721925341645
BA2926	7.05061628699762	7.10851364264035
BA2272	6.71095851013656	6.41753927442656
BA2306	6.69465878054587	6.62413100331839
BA2765	5.58306894890271	6.80545390529169
BA2904	6.44227342376241	6.74898905678908
BA2883	4.43894159347348	5.65372634921578
BA2726	6.04401665671066	6.83214250556656
BA2234	6.57305438035027	8.20818067427413
BA2022	7.02978091514104	7.3014086607396
BA2228	5.6834289695156	6.89511146582289
BA2037	7.61833712147791	6.66943948787905
BA2184	7.34177007998791	7.00991256129177
BA3009	6.28051995140614	7.12664090320603
BA2842	4.35426803475998	5.4113491881704
BA2442	6.36982886713941	6.57195133441217
BA2882	6.00134650129498	6.39453514704598
BA2758	6.03193635166747	6.11380852099068
BA2705	5.01042178805716	4.69364567233787
BA2663	4.59723676314568	6.07014345963385
BA2570	5.92793175730426	5.93038956442244
BA2764	6.17423728477739	5.97440821051446
BA2209	4.57620385088589	5.17629556050641
BA2989	5.61586637721502	5.85300580466056
BA2855	4.90535576746464	5.62868512576849
BA2261	3.09816416471119	6.57195133441217
BA2721	6.90623565218771	6.9401836518602
BA2930	6.38550593619779	6.51205995717627
BA2728	6.76656262392125	7.4363086679988
BA2715	4.54449196266661	6.24912819394912
BA2469	3.65217826413879	5.1670870054947
BA2269	4.41901213347142	5.10142924510394
BA2098	6.83151108322253	7.08148396341999
BA2778	6.40454724548096	6.94881589861991
BA2951	6.99377561399407	6.74097656792209
BA2163	7.5552619353094	6.59838838471777
BA2379	4.70101175635619	5.09007782361131
BA2817	4.56799936889978	5.80891216118178
BA3153	4.74113609559812	4.79136581218229
BA2820	7.01338554790523	6.6322579586067
BA2723	3.80561258862819	5.5268548517384
BA2704	7.36910502551481	7.74132890165977
BA2088	5.58306894890271	6.97926113627939
BA2116	3.65588909933936	6.00173500696481
BA2584	6.88364306076419	6.55336509971083
BA3079	4.25793262725042	5.91595003127845
BA2417	6.22157033382946	6.21584775215817
BA2361	4.25981249131916	6.53596454454956
BA2450	7.39734461578024	6.40785243829132
BA2492	4.23241801519581	5.82076176816399
BA2552	6.01215704616716	6.35211013226828
BA2472	5.49138177082753	5.94221717949707
BA2994	6.53744053114805	6.46824522688611
BA2047	6.60634523087502	7.2808607611199
BA2101	5.99436956978052	5.8301135616909
BA2082	5.05791386338245	5.68039540990515
BA2879	4.0915518275327	5.490635893289
BA2577	7.47732145799094	7.70840071464408
BA2456	5.43733644220612	5.6533576160666
BA2175	4.04029489753007	7.09047728148948
BA2824	7.99573716734119	6.70978091072649
BA2507	6.68646890696546	6.45799676814181
BA2563	7.42825345365406	6.5181383405608
BA2244	7.01060112681321	7.09710413510838
BA2470	6.40785243829132	7.08741196449123
BA2984	6.40360502181603	6.7058515766051
BA2414	7.55189787670547	7.27110711454488
BA2697	5.66167475958567	6.32590234144832
BA2079	5.34829013725005	6.25044574056375
BA2999	6.7478553015081	6.86346274491745
BA2644	6.82612058067876	6.40877834877257
BA2011	4.74322903691124	5.31976332499236
BA2217	7.74666982029682	6.98756290986723
BA2454	7.37198491161906	6.80239867331755
BA2776	8.25344779136567	7.878761730409
BA2218	5.08617132532278	5.41354619085544
BA2135	6.02937141783307	6.30887529708536
BA2914	6.70250395591763	7.42090370210596
BA2500	6.00261866586335	7.17999658780694
BA2830	6.08237851607355	6.30510036258626
BA2406	3.88038335005271	6.62952631509886
BA3108	7.72127626045477	7.29687122589928
BA2924	5.05963791860408	5.18127720949108
BA2303	6.44374763893835	7.01847365520979
BA2160	7.44951411714195	6.07305710536308
BA2038	5.85300580466056	6.76065503993724
BA2602	5.39458251066191	5.93941599911207
BA2964	5.51731496751527	6.64807496201704
BA2898	6.69192414230504	7.16953610700443
BA3003	6.82734034498185	7.72127626045477
BA2111	6.84596201012783	7.24904224136933
BA2827	6.72640507458581	7.14998539597838
BA2912	6.61592394796106	7.44041046246091
BA2437	6.94358580230343	7.89563066633541
BA2283	6.91137383646976	7.65393092338473
BA2057	6.58727608652663	7.52533179189238
BA2633	6.9848366218031	7.80094268898657
BA3034	6.71554173603585	7.18235291359456
BA2607	6.64862107605335	7.09568366825665
BA2761	6.59999610931592	7.45053981568106
BA2795	6.79813530726845	7.05570452227078
BA2182	6.84162430439576	7.2509128285615
BA2152	6.79158437688518	7.83554388846121
BA2381	7.83130382680857	7.68013043810275
BA2931	6.63008743018599	7.07025966230358
BA2040	5.39533160012503	6.08069063943415
BA2590	7.0168789681798	6.95085389521077
BA3195	6.18294422218273	5.95848988053113
BA2516	6.98890006339199	6.77605663940291
BA2353	7.11216085325929	6.54307132156237
BA3036	6.44227342376241	6.35670315117225
BA2971	4.61929846930604	5.28753823686253
BA3410	4.9477179907569	6.06468755944282
BA3118	5.09252726658566	6.34145730932297
BA3206	7.21621114040909	6.62789754750857
BA3202	6.21363363803942	6.87788091401863
BA3217	6.77775850085893	6.6568137663596
BA3405	6.90296785302656	6.45300101587846
BA3306	5.91637612602088	5.43769371500229
BA3371	4.72180716429242	7.05362684769664
BA3413	7.30313040589717	6.67339810625054
BA3411	6.86587981932563	7.20152351501227
BA3133	2.64661944832681	6.87337102503918
BA3164	7.05570452227078	6.73108967735957
BA3451	6.45552187143232	7.07556396699123
BA3286	7.05362684769664	7.79956921933088
BA3212	7.40900238551148	7.24390327644845
BA3103	4.76744564892536	6.09471986603717
BA3271	6.801788717217	7.58177680428358
BA3152	6.37124794281337	7.08148396341999
BA3095	7.00355473079372	6.43289690445385
BA3192	6.00392077224602	6.4243136710677
BA3251	6.0786199138595	7.42721767032965
BA3362	6.85025853686514	7.55300749734541
BA3400	5.36867301215282	5.41572672514552
BA3135	5.35229119892718	5.76218019652153
BA3408	5.26850269480577	5.86940153677441
BA3187	6.05993013058661	6.49954119512004
BA3098	7.18320770184298	6.76002445528346
BA3435	6.60792383481337	6.41227021268222
BA3261	7.01472936087095	6.73801134139373
BA3203	1.68790567529799	5.28574757840294
BA3174	4.44043021773744	5.56667961076671
BA3317	7.4372988989966	6.59256890621003
BA3299	5.12980289788787	6.37404647308394
BA3221	6.08707291217101	6.43542748974206
BA3347	5.76798676791736	6.62466206493959
BA3235	5.77294291662078	6.54553839134552
BA3126	5.90157614057374	6.58028734101557
BA3380	5.39458251066191	5.6154952630376
BA3089	7.14144688839692	6.15791958321841
BA3109	4.1393823864995	5.04621645682115
BA3114	5.61668949030342	6.22545256194412
BA3418	5.61064071002875	5.03714178615516
BA3245	4.44117628286088	5.90312039371181
BA3085	6.47523792980687	6.00173500696481
BA3128	5.38876952657644	5.38767549004293
BA3423	5.33468449100155	6.30326841219344
BA3173	5.77571318535643	6.46136172333021
BA3171	4.9459530906601	6.18251802139279
BA3277	4.94911331401403	5.58646194769947
BA3210	4.53233174096288	5.89521114196018
BA3157	7.39540604135448	6.79931174111644
BA3433	4.88780360986739	4.99665147897099
BA3322	6.56014980461976	6.67339810625054
BA3374	6.83464418679852	7.11145591609312
BA3450	4.21481719565255	6.3688389446517
BA3167	6.13077087437702	5.89646386290191
BA3269	4.06243283557816	5.3588856376779
BA3110	5.89878476046271	5.68268021308212
BA3156	7.72809482559201	6.17423728477739
BA3226	7.24647814947882	6.94819581980106
BA3421	5.49361387353109	6.17121351437265
BA3232	7.26851020715081	7.52082148621471
BA3289	5.33938509366527	5.3034642652041
BA3430	5.35117907046834	6.50200644713267
BA3145	5.06527754778608	4.76145184642672
BA3399	4.65440830398242	5.22996636193318
BA3449	7.00642277827321	6.76359470107912
BA3384	7.13756401534747	7.66613976188412
BA3427	5.79678897670541	6.23442968340786
BA3163	6.00881830211778	7.42090370210596
BA3158	7.19312453230448	6.63707820351379
BA3436	7.51191595859432	6.92303478434711
BA3154	4.17448805896105	5.94059984274879
BA3162	5.2256777958467	5.60693430911561
BA3352	6.67002543512013	5.77182174756257
BA3084	7.29872623007905	7.33978574457582
BA3149	4.70453081211341	5.52840068494334
BA3169	4.86428104676734	5.98263491560423
BA3180	5.2381836725971	5.43621855884092
BA3255	6.94490055523594	6.37732984108365
BA3438	6.61867340597626	6.62086223855277
BA3345	5.13908038133443	6.20740227072508
BA3403	6.65017189848331	6.49699294257919
BA3431	4.44371751516999	5.16389532747044
BA3181	5.94996299067632	6.57305438035027
BA3341	3.94932461697197	5.54913879758469
BA3191	6.51708902749809	6.41465436154636
BA3197	7.19482368325309	7.04344633578654
BA3448	7.38257507273258	7.31301236291507
BA3453	5.0932101529727	6.655181196516
BA3406	6.32868471625961	5.91282831503143
BA3308	7.05796014084047	6.22945844028102
BA3186	5.88287108041716	6.49699294257919
BA3334	5.40076226918126	6.31068973576453
BA3447	6.28190411591636	5.80891216118178
BA3116	5.21851473599856	6.15397098768236
BA3280	4.92485987316059	5.61064071002875
BA3185	4.91193698649749	5.22210266268897
BA3094	6.04192947928388	6.2787278602742
BA3318	4.35537320620163	6.15101372135618
BA3216	5.7725785925433	5.77965565034493
BA3332	5.99034044706391	7.21134659078952
BA3214	5.28038295813947	4.40728719351658
BA3099	7.19643196455649	7.12738803665014
BA3141	7.22786001580346	7.04775148018528
BA3373	7.41600983782201	6.76656262392125
BA3319	6.20186257831003	6.4930085337883
BA3328	6.40737616847402	6.82673548944024
BA3339	6.33324319286844	6.66119005251722
BA3240	6.90492530830845	6.60634523087502
BA3142	6.02819468374248	5.28293318880112
BA3333	5.96907627794874	5.70032456019922
BA3381	6.57305438035027	7.12040364606583
BA3290	5.78541513449237	6.31720357778214
BA3207	6.05196623929884	6.31022816211408
BA3296	5.45893049861312	6.48560018665895
BA3305	5.95806732051197	5.79404160330192
BA3434	6.56532526138634	6.92898560318184
BA3189	6.56478809528508	6.44710159988793
BA3264	6.59041781660964	6.52375465899181
BA3329	6.36982886713941	6.45552187143232
BA3417	6.3282334089858	6.33046496181519
BA3367	4.47211486954081	6.21976021821158
BA3225	5.73858169391831	6.10190214742508
BA3183	6.3548930381601	6.52938873500607
BA3222	7.11288822976142	6.74097656792209
BA3139	6.54456958822718	7.25976697827341
BA3397	5.68229960670136	6.72238123052722
BA3311	5.59212312780833	6.14373648060673
BA3422	5.38079659978033	5.34118303710199
BA3228	6.92898560318184	6.5466649868085
BA3213	6.1346163312472	6.65958088429919
BA3270	6.16092602046833	6.78550767222755
BA3415	3.13934917227227	8.75695672842528
BA3324	6.24100946664766	6.58201675131977
BA3194	7.32401244462143	6.27380663380772
BA3335	4.798374704262	5.46037170982955
BA3199	7.13671405241938	7.25440312060941
BA3326	6.30650779394135	6.36600938491696
BA3285	6.59468087653905	7.13198010911185
BA3297	7.07405167828484	6.79931174111644
BA3227	7.52657913903788	7.2808607611199
BA3394	6.49051077750921	6.25091484872834
BA3412	6.63170598568284	7.14221254704718
BA3293	7.60044547310861	6.6892157543699
BA3250	6.74097656792209	7.17999658780694
BA3177	6.8446685918264	7.33339060020607
BA3315	6.00051445317703	7.00355473079372
BA3182	6.75194526906574	6.62466206493959
BA3260	4.89661464748925	5.45930289861008
BA3369	6.76002445528346	6.8090279726606
BA3078	7.12266775163133	6.51205995717627
BA3386	7.1702959591528	7.20386734649371
BA3445	5.31432060422587	5.49981147623839
BA3452	4.62499001767521	5.13692147172974
BA3176	7.12422017929786	7.39829394317713
BA3258	6.29048213777498	7.16299526015693
BA3295	6.45945806358587	6.8614500005054
