	NRAS	SMC1A
BA2909	6.82793872143045	6.31585760088979
BA2429	6.64631169310032	6.32408741401117
BA2653	7.60044547310861	6.60368263326756
BA2134	6.79404595569359	6.47866220517702
BA2947	7.43138197639579	5.84353133766961
BA2032	8.01121552663761	5.18440522570466
BA2162	6.40264148496757	6.13597197195766
BA2564	7.18398636132438	7.52082148621471
BA2597	8.12977902219921	5.7195036401558
BA3243	6.99925381802676	6.31947287697639
BA2106	7.98067391429632	6.56065461359229
BA2427	8.61151153389318	5.74782936628199
BA2841	8.04242466385173	5.77409344818299
BA2446	6.91265400996675	8.05115312612603
BA2645	8.25974759702626	4.46192339880986
BA2525	7.20386734649371	5.89440299333517
BA2876	7.7729524118183	5.19768575459355
BA2357	7.07994856692804	6.3764431266369
BA2546	6.98137959105818	6.78550767222755
BA2742	6.89778124838191	7.02125424605895
BA2316	6.82066158800154	6.92693139302054
BA2421	7.56896114376543	5.2450731397095
BA2087	8.16435812995303	6.11251658212347
BA2910	8.00619097456886	6.07138778077856
BA2148	8.08701091285537	5.27359380468175
BA2063	6.94160900810377	5.28503368668829
BA2329	6.77246010495607	6.72991592484699
BA3178	6.92369940347749	6.81145766315316
BA2072	6.9848366218031	7.58759859001841
BA3029	8.27031665707811	5.60042800463674
BA2733	8.23886821722062	6.2918184227424
BA2995	8.4594113881339	5.19699117865598
BA2069	6.79463806745523	7.56321071069528
BA2100	7.24218373520164	5.25074673390293
BA2681	6.89511146582289	7.17358455839536
BA2248	7.90490568648577	5.34794466566604
BA2832	7.26851020715081	6.63058753997147
BA2308	7.46894970580743	5.6518040676881
BA2413	7.73462168625585	5.4219819546052
BA2701	7.62683244469809	5.13768843009096
BA2634	7.03474280183588	5.60693430911561
BA2677	7.03474280183588	6.55763968463611
BA2937	6.97250726431014	6.91395412230233
BA2600	7.65632337592004	5.82897025310715
BA2019	7.20635659773546	7.46894970580743
BA2412	6.1201103531002	6.35951832125277
BA2334	7.69160326863138	5.70604900479139
BA2050	7.43138197639579	7.20465709297985
BA3230	6.59203093136997	7.5725144548201
BA2953	7.75921826167611	6.41176296562855
BA2481	6.72582978047913	6.30887529708536
BA2731	7.67233847579442	5.87139334737162
BA2294	7.42415546195164	6.57670086749662
BA2418	7.62320575204897	5.84314923613757
BA2816	7.47416545591404	6.13767903859115
BA2656	7.77444024847	5.52135062216325
BA2814	7.04851156959908	7.1173855294893
BA2631	7.07695814218809	6.4446944698136
BA2023	6.9785897904033	6.67173082981131
BA2375	7.02911174492955	6.77605663940291
BA2485	6.72991592484699	6.66119005251722
BA2455	7.79384765019346	6.22761949631351
BA2025	7.07556396699123	7.95104961478815
BA2636	7.45866975783138	5.89560402298733
BA2325	7.62080780455831	6.81689630084604
BA2169	8.11666073243668	5.25497927017155
BA2156	7.00924527251429	6.68070832768596
BA2511	7.47316503302079	5.96784634669034
BA2939	7.90342171341614	5.9321118772701
BA2168	7.79384765019346	5.68986590376939
BA2505	7.65276972214058	5.46628439479905
BA2860	7.13044392794916	6.68646890696546
BA2707	7.96905854853838	6.05573645247968
BA2871	7.73994866868774	6.78865136154736
BA2655	7.67751428719864	6.83087293035871
BA2227	7.86810697410873	6.2886543814572
BA2125	6.96289154217268	8.0095286113404
BA2523	7.19738153999511	7.40804987020109
BA2603	6.6430484484285	5.33721885584615
BA2808	7.95104961478815	5.67583098043324
BA2282	6.50904089235684	6.14149524736616
BA2482	7.10851364264035	6.60051001058414
BA2812	6.51657057172327	6.77246010495607
BA2822	7.24301197621157	6.39165195051498
BA2594	7.33618294917006	6.9766278154768
BA2747	7.1445927897216	5.84631034661227
BA2561	6.37831338727117	6.23708437608245
BA2567	6.73108967735957	5.09892293720879
BA2906	7.24647814947882	7.26669441560471
BA2956	8.51425498508966	5.92432462638165
BA2474	7.02841397070837	6.74612605168156
BA2737	8.27456876079558	6.13249003882685
BA2110	7.01407346260423	6.81086164089737
BA2992	7.88642489400613	7.32966927637023
BA2220	7.28899814708616	7.47316503302079
BA2772	7.73994866868774	5.98876336939614
BA2935	7.5932544466496	6.15353258469632
BA2260	7.31397253852267	6.44032365945441
BA2676	6.45897655908302	7.27636680044251
BA2948	7.66613976188412	5.69487870461564
BA2524	8.52958832512444	6.33002794213348
BA2811	7.64636707538027	6.88492067829042
BA2540	7.72941398094	6.72876764999848
BA2928	6.80787905159787	8.17232215906216
BA2302	8.0760787079227	5.46037170982955
BA2595	7.69666948274062	6.29225118298982
BA2792	6.87084783224833	6.54766219361137
BA2651	7.94145634611773	5.71138116672011
BA2619	7.51413414557592	7.15798365655759
BA3013	7.14840411383597	7.38666974161584
BA2405	7.62437772428186	5.91007221868397
BA2735	6.57720688521491	4.31814348968572
BA2856	6.73222274372854	4.67353963648755
BA2377	8.40379071339591	6.59203093136997
BA2499	7.53734841909383	5.81007696621955
BA2463	7.67892900147032	5.27794535688906
BA3023	8.14513423086413	6.33918453468976
BA2095	7.42415546195164	7.57365573963701
BA2901	7.51084212363206	5.85734049093177
BA2275	6.82008128976274	7.29599106177635
BA2387	7.15951987646114	6.69693008803166
BA2962	7.45571345371651	7.10380554442151
BA2195	7.91426996698012	6.33092888167036
BA2688	7.53197491812839	5.8446879817315
BA2787	6.33418865159932	5.81801473613502
BA2420	6.6892157543699	6.64464627075058
BA2756	7.99068122497693	6.57356389506373
BA2122	6.96289154217268	5.80146381261149
BA2053	7.99573716734119	5.31902852847325
BA2080	7.97230357086309	5.77766563717379
BA2081	7.36910502551481	7.59694470359064
BA2354	7.02978091514104	6.55285609284704
BA3273	7.62806217739621	5.1308809152012
BA2893	6.89318073804479	6.54408446340443
BA2044	6.93558317816731	7.08521741719084
BA2489	7.98067391429632	5.6864679763228
BA2309	6.94490055523594	6.77720928573593
BA2720	7.46997411625783	6.44613094518311
BA2908	7.09047728148948	4.37967727663567
BA2054	6.40264148496757	7.12738803665014
BA2872	6.68070832768596	7.39635430321553
BA2526	8.33784249776874	4.92805421347384
BA2041	8.11666073243668	7.25176192852259
BA2464	7.20465709297985	6.62245620960063
BA2902	8.16644533071452	5.12420512973416
BA2541	7.38062061343463	6.73345379130114
BA2143	8.0179995830141	6.82734034498185
BA2094	7.02554920178684	6.70082648857542
BA2769	7.6160759273921	6.47715255483626
BA2843	8.30909856685695	5.19161041350932
BA2592	7.69288267465993	6.54504027868998
BA2497	6.76359470107912	7.3370513303313
BA2718	7.03549223810054	6.54875546973009
BA2575	6.88614746987226	7.22543117773692
BA2096	7.41990509181254	7.2179085684236
BA2593	6.50152491798344	5.57639860004421
BA2791	7.91111348596979	5.72556301998601
BA2620	7.11817234858432	6.33600766569699
BA2629	7.06956103001791	6.22989744594561
BA2870	6.8958209414819	7.4363086679988
BA2423	7.76614073791854	5.48023322260474
BA2682	7.53974354156668	6.45300101587846
BA2276	7.27555120012057	6.34783039381028
BA2348	7.62437772428186	6.02737188880326
BA2709	7.76614073791854	6.66836924971821
BA2789	6.98275640527684	7.18983138735934
BA2694	7.69023500088856	5.01358911563759
BA2538	8.83992016748168	5.29082273845723
BA2583	7.67625068419832	6.42718608083043
BA2415	6.43590316276273	6.38261014012489
BA2722	7.16795764916514	7.95296500400789
BA2806	7.86375133258917	6.0311101011047
BA2221	7.1743962727285	6.54875546973009
BA3025	7.22705513643141	6.61536224183286
BA2514	8.12411003652868	6.43983576769468
BA2520	8.37409825216549	5.4921500734543
BA2441	7.66613976188412	6.65187762334033
BA2153	7.59565623174131	6.39210318114874
BA2479	7.35390839708449	5.87220344290798
BA2281	7.41702873174962	6.63383351459938
BA2657	6.85580435382138	6.48756519390035
BA2932	6.88034277223335	6.58836102643898
BA2123	7.99915514777274	7.07994856692804
BA2844	7.7071077714624	6.48803668934059
BA2660	6.98553956904008	7.15078589361001
BA2836	8.23473317956582	5.49584884893938
BA3027	7.64255001400601	5.86417764609005
BA2714	6.99377561399407	6.88430660085161
BA2139	7.00288610035202	6.85394237356265
BA2251	7.18812871773308	6.02737188880326
BA2952	6.85335943019892	7.62205873798526
BA2440	7.70064711748054	6.42479012495369
BA2036	6.801788717217	7.30676049708217
BA2828	7.44741351807287	6.08148760261427
BA2292	7.4576754868774	7.34837532536667
BA2410	8.11104544817006	5.98054442725547
BA2051	8.51934782702254	5.32198845078755
BA2532	7.47416545591404	5.70335455446958
BA2986	7.07770710445007	7.12738803665014
BA2494	7.99915514777274	5.72754939375197
BA2515	7.71215406681609	6.00134650129498
BA2748	7.04988485075939	7.36816809987369
BA2970	7.69023500088856	6.29268793995786
BA2622	7.1743962727285	6.44517490297706
BA2839	7.99739906746641	5.37601760770264
BA2052	7.68013043810275	5.98054442725547
BA3011	7.52879493976561	5.58529928737232
BA2868	7.1445927897216	6.03024497150621
BA2510	8.05801802157941	6.01912446509313
BA2065	7.03474280183588	7.09779989974783
BA2691	7.05647487229206	6.31632447129761
BA2374	6.93420850135559	7.93352218493006
BA2804	7.20800173217813	7.40804987020109
BA2670	7.18812871773308	5.58529928737232
BA2675	7.22951525991334	6.75309739437635
BA2589	8.15090969693391	5.17241204196236
BA2031	6.75597489483719	7.72809482559201
BA2198	7.13044392794916	7.08148396341999
BA2066	7.18078818168097	7.84734534450722
BA2344	6.65069612456278	7.20973552997534
BA2459	7.61833712147791	6.15651021097325
BA2229	7.72941398094	5.68416732949988
BA2559	7.58415033094325	6.38837422038712
BA2093	6.84039491318719	6.59203093136997
BA2000	6.5550219238791	8.37409825216549
BA2425	7.14764743423536	7.19312453230448
BA2905	7.75227162313381	5.48539345466374
BA2304	6.91918219556931	7.33529770605395
BA2976	6.74898905678908	6.8194770973329
BA2386	7.41008797800013	5.69028030333394
BA2035	7.550843282623	6.5150208040986
BA2760	7.68399828509427	6.10277314052035
BA2201	6.84277692729058	7.166329054571
BA2355	8.16059641320183	5.94059984274879
BA2113	7.06807720975175	8.50529098735433
BA2155	7.29872623007905	6.38261014012489
BA2955	6.87337102503918	7.05721925341645
BA2502	7.08227901596389	7.40200052886874
BA2322	7.80956394588893	7.30496309649231
BA2376	6.88034277223335	6.63486341869675
BA2020	7.10851364264035	7.64778904816974
BA2226	7.30676049708217	7.31937809888862
BA2200	6.95751613947387	7.04133576078419
BA2121	7.47524977931761	7.34277993266588
BA2944	7.44644074627456	6.73692509275104
BA2033	8.7332018546727	5.96505632745959
BA2867	7.91426996698012	5.96987848742324
BA2089	7.15951987646114	7.30225620212896
BA2224	7.18556384102574	6.68593691853273
BA2046	8.04242466385173	5.65751126924784
BA2972	7.70840071464408	6.52375465899181
BA2978	6.92898560318184	7.3212161814573
BA2829	7.28800386009291	6.41465436154636
BA2851	7.26066025557169	7.07626127790368
BA2587	7.04635072837336	7.27555120012057
BA2461	6.94225752405198	6.66730094916762
BA2695	8.26157753766667	5.80106125250132
BA2623	7.41600983782201	6.92959860586943
BA2024	6.76359470107912	6.50054440194885
BA2426	8.46676516104844	6.72876764999848
BA2271	7.53303259081949	6.77720928573593
BA3004	7.20712924024302	6.90423057855148
BA2579	6.95344802847081	6.47866220517702
BA3010	7.21300808308282	6.83087293035871
BA2662	6.61275930528802	8.29820901257083
BA2674	7.21542521128511	6.29091935991155
BA2280	7.56567805381962	6.98419090856441
BA2512	6.88742207164032	7.29162764738793
BA2658	7.51191595859432	6.51105136156458
BA2394	7.03549223810054	6.02778423402097
BA2950	7.78253531759111	6.64862107605335
BA2981	8.25135474465914	6.75887216800442
BA2934	6.95344802847081	5.92917652580144
BA2539	6.43882504176683	6.95150045701844
BA2249	7.39635430321553	6.71723697861596
BA2034	7.57949702449786	6.50002459426286
BA2109	7.4382687261571	6.03322281740518
BA2242	6.98688341334907	5.91282831503143
BA2277	7.03918975972709	6.81203867711984
BA2727	7.05292631391108	6.26972531039322
BA2132	7.54856623986657	6.54307132156237
BA2618	6.68477667416407	6.70309367478267
BA2521	6.84657434431718	7.21378004978512
BA2846	7.4333053034535	6.6322579586067
BA2885	7.27205163282357	7.39540604135448
BA2639	7.25358458154246	7.79956921933088
BA2775	6.56583781452914	6.43590316276273
BA2402	7.43138197639579	6.84098754890722
BA2097	7.78401208165605	5.98386136715206
BA2786	7.56321071069528	8.56601564488201
BA2399	7.69160326863138	6.53092260630466
BA2850	7.78123623973778	5.73663382994184
BA2174	6.79463806745523	7.34370807957505
BA2004	6.61536224183286	6.77360382440632
BA3001	6.89839628157059	6.7513352539061
BA2311	7.06302085430374	6.90940702790402
BA2483	7.13198010911185	7.24647814947882
BA3040	7.22042069105103	7.139939970706
BA2837	7.52657913903788	5.84112154107977
BA2724	8.07789379739417	5.91045865628191
BA2911	7.22294227292879	6.5181383405608
BA2256	7.83704881770087	7.03474280183588
BA2821	7.11072300969941	7.4333053034535
BA2233	7.89717932578411	6.01292615255046
BA2744	6.73922514739457	6.26474966230624
BA2880	7.2456266527422	6.8090279726606
BA2621	7.04344633578654	6.05776567233175
BA3002	7.35390839708449	7.32309525533159
BA2501	7.16132716982423	6.59468087653905
BA2993	7.59101188148724	5.67695923349879
BA2301	7.92045916247849	6.30510036258626
BA2852	7.53093612416627	4.99811985636614
BA2133	7.26938021173089	5.86977499380276
BA2866	7.13513562600345	6.70639038824238
BA2212	7.88494695067266	6.20964310204874
BA2685	8.03722226484621	6.52531304614774
BA2273	7.88642489400613	6.10105446354612
BA2477	6.69750566900229	7.67359575985668
BA2659	6.87971926016812	6.80239867331755
BA2124	6.72640507458581	6.42718608083043
BA2363	6.67668520784891	6.20613451857404
BA2369	7.99915514777274	5.92353940158255
BA2534	7.07180826529373	6.29503336143835
BA2400	7.04851156959908	7.22867709025789
BA2762	7.94936162159169	6.37975842200095
BA2312	6.95615389337193	6.1419268433851
BA2813	7.78401208165605	6.06929983181706
BA2211	7.00853195755675	7.08297551023298
BA2171	7.10380554442151	7.81249915728454
BA2746	7.54404101452516	7.02911174492955
BA2798	8.52702131941912	6.0072209431505
BA2809	7.29162764738793	6.10621461216555
BA2288	7.38062061343463	5.89603275873882
BA2801	6.96091622827791	6.21976021821158
BA3030	6.57195133441217	7.3370513303313
BA2588	6.90877033903166	6.23885515750168
BA2296	7.10380554442151	6.90226857503049
BA2300	7.08368088883067	7.384595872256
BA2903	7.16876088952225	5.35378122072143
BA2473	8.12599675573878	7.43138197639579
BA2545	6.71895435387141	7.00355473079372
BA2840	7.05796014084047	6.5808607051832
BA2528	6.67112647924208	6.75887216800442
BA2646	7.34929269675225	6.39689952753953
BA3407	8.16059641320183	6.55815560889788
BA2240	7.40804987020109	7.05721925341645
BA2926	6.43590316276273	7.10851364264035
BA2272	6.7421473941764	6.41753927442656
BA2306	7.47416545591404	6.62413100331839
BA2765	6.63915578339387	6.80545390529169
BA2904	7.08440089746741	6.74898905678908
BA2883	7.84423149870525	5.65372634921578
BA2726	7.1288906231397	6.83214250556656
BA2234	6.93623650693789	8.20818067427413
BA2022	7.33890799019329	7.3014086607396
BA2228	7.86375133258917	6.89511146582289
BA2037	6.88492067829042	6.66943948787905
BA2184	7.16215175411855	7.00991256129177
BA3009	7.14612289543671	7.12664090320603
BA2842	7.34277993266588	5.4113491881704
BA2442	6.80116720365205	6.57195133441217
BA2882	7.1030737643179	6.39453514704598
BA2758	7.06736498172321	6.11380852099068
BA2705	8.34007975821985	4.69364567233787
BA2663	7.19985683529985	6.07014345963385
BA2570	7.17913715940168	5.93038956442244
BA2764	6.45300101587846	5.97440821051446
BA2209	7.947879626465	5.17629556050641
BA2989	7.96422079504262	5.85300580466056
BA2855	7.617186143553	5.62868512576849
BA2261	6.81811142246577	6.57195133441217
BA2721	6.75309739437635	6.9401836518602
BA2930	6.93558317816731	6.51205995717627
BA2728	6.78865136154736	7.4363086679988
BA2715	8.18217944661747	6.24912819394912
BA2469	6.21539686316165	5.1670870054947
BA2269	7.07329793491951	5.10142924510394
BA2098	7.06596636229514	7.08148396341999
BA2778	7.04704814373678	6.94881589861991
BA2951	6.45750445904916	6.74097656792209
BA2163	7.35957852119331	6.59838838471777
BA2379	7.89108706846145	5.09007782361131
BA2817	7.88642489400613	5.80891216118178
BA3153	8.59529250724368	4.79136581218229
BA2820	7.02624764830014	6.6322579586067
BA2723	7.88793681406652	5.5268548517384
BA2704	7.14840411383597	7.74132890165977
BA2088	8.12418859250955	6.97926113627939
BA2116	8.0044307958278	6.00173500696481
BA2584	7.39734461578024	6.55336509971083
BA3079	7.08521741719084	5.91595003127845
BA2417	7.56567805381962	6.21584775215817
BA2361	7.60044547310861	6.53596454454956
BA2450	7.3445927403943	6.40785243829132
BA2492	7.90490568648577	5.82076176816399
BA2552	7.61362919863888	6.35211013226828
BA2472	7.49565796423242	5.94221717949707
BA2994	8.05801802157941	6.46824522688611
BA2047	7.28712238553665	7.2808607611199
BA2101	7.45963779857083	5.8301135616909
BA2082	8.08153228980509	5.68039540990515
BA2879	7.83985748399556	5.490635893289
BA2577	6.78802478417111	7.70840071464408
BA2456	8.30909856685695	5.6533576160666
BA2175	7.76614073791854	7.09047728148948
BA2824	7.22867709025789	6.70978091072649
BA2507	7.83840005803793	6.45799676814181
BA2563	7.13917152831013	6.5181383405608
BA2244	6.98553956904008	7.09710413510838
BA2470	7.51413414557592	7.08741196449123
BA2984	7.48382605156173	6.7058515766051
BA2414	7.15798365655759	7.27110711454488
BA2697	6.54766219361137	6.32590234144832
BA2079	6.79581543973709	6.25044574056375
BA2999	7.42090370210596	6.86346274491745
BA2644	6.64915964619014	6.40877834877257
BA2011	7.45571345371651	5.31976332499236
BA2217	7.23974353995359	6.98756290986723
BA2454	7.38062061343463	6.80239867331755
BA2776	7.25696535562506	7.878761730409
BA2218	8.18813169577028	5.41354619085544
BA2135	8.37180321609369	6.30887529708536
BA2914	6.78074983432615	7.42090370210596
BA2500	7.41990509181254	7.17999658780694
BA2830	8.20616122712402	6.30510036258626
BA2406	7.53511002571526	6.62952631509886
BA3108	6.79345158499426	7.29687122589928
BA2924	8.23061160269424	5.18127720949108
BA2303	6.74557828155057	7.01847365520979
BA2160	6.80603450730616	6.07305710536308
BA2038	8.30691336971867	6.76065503993724
BA2602	8.2874098816496	5.93941599911207
BA2964	7.59447758989453	6.64807496201704
BA2898	6.89778124838191	7.16953610700443
BA3003	6.76240903317338	7.72127626045477
BA2111	6.79100301901869	7.24904224136933
BA2827	7.09568366825665	7.14998539597838
BA2912	6.8867637487898	7.44041046246091
BA2437	7.05061628699762	7.89563066633541
BA2283	6.8576823032308	7.65393092338473
BA2057	6.94758145894243	7.52533179189238
BA2633	6.95085389521077	7.80094268898657
BA3034	6.806661857708	7.18235291359456
BA2607	6.98275640527684	7.09568366825665
BA2761	7.06885426902192	7.45053981568106
BA2795	6.91326402535282	7.05570452227078
BA2182	6.97731252665637	7.2509128285615
BA2152	6.801788717217	7.83554388846121
BA2381	7.41308925427417	7.68013043810275
BA2931	7.41889646736553	7.07025966230358
BA2040	7.74808252538179	6.08069063943415
BA2590	7.69790613813162	6.95085389521077
BA3195	7.49042755149826	5.95848988053113
BA2516	6.76777472760262	6.77605663940291
BA2353	7.47732145799094	6.54307132156237
BA3036	7.2977714926992	6.35670315117225
BA2971	7.85931538761176	5.28753823686253
BA3410	7.63278489020753	6.06468755944282
BA3118	8.47663077360064	6.34145730932297
BA3206	6.79404595569359	6.62789754750857
BA3202	8.1017443875296	6.87788091401863
BA3217	7.75510135803604	6.6568137663596
BA3405	6.87403385388121	6.45300101587846
BA3306	7.99413751864958	5.43769371500229
BA3371	7.63278489020753	7.05362684769664
BA3413	6.93090952480088	6.67339810625054
BA3411	6.71268468403438	7.20152351501227
BA3133	7.15158559200513	6.87337102503918
BA3164	7.36252362510307	6.73108967735957
BA3451	7.1030737643179	7.07556396699123
BA3286	6.5145040049866	7.79956921933088
BA3212	7.42721767032965	7.24390327644845
BA3103	8.24301678047805	6.09471986603717
BA3271	7.28438406463884	7.58177680428358
BA3152	6.73983231150721	7.08148396341999
BA3095	6.8791208631907	6.43289690445385
BA3192	7.87732006412967	6.4243136710677
BA3251	7.69288267465993	7.42721767032965
BA3362	7.05570452227078	7.55300749734541
BA3400	8.34456564828853	5.41572672514552
BA3135	8.08518191159815	5.76218019652153
BA3408	7.03126251610198	5.86940153677441
BA3187	7.60161963856079	6.49954119512004
BA3098	7.1639233124779	6.76002445528346
BA3435	7.12189404339898	6.41227021268222
BA3261	6.99175546936536	6.73801134139373
BA3203	8.3603866090308	5.28574757840294
BA3174	8.00271116464237	5.56667961076671
BA3317	6.99516443206292	6.59256890621003
BA3299	8.44724078411408	6.37404647308394
BA3221	6.6263105848456	6.43542748974206
BA3347	8.31787605128572	6.62466206493959
BA3235	7.21134659078952	6.54553839134552
BA3126	7.34277993266588	6.58028734101557
BA3380	7.96744532914178	5.6154952630376
BA3089	7.06956103001791	6.15791958321841
BA3109	7.62806217739621	5.04621645682115
BA3114	7.26669441560471	6.22545256194412
BA3418	8.07245680901417	5.03714178615516
BA3245	8.43758065182973	5.90312039371181
BA3085	7.97230357086309	6.00173500696481
BA3128	7.99739906746641	5.38767549004293
BA3423	8.2960419873451	6.30326841219344
BA3173	8.09067732991193	6.46136172333021
BA3171	7.36252362510307	6.18251802139279
BA3277	8.51425498508966	5.58646194769947
BA3210	7.8894951557827	5.89521114196018
BA3157	7.38560317769133	6.79931174111644
BA3433	8.0301567645062	4.99665147897099
BA3322	6.71610247691018	6.67339810625054
BA3374	6.6892157543699	7.11145591609312
BA3450	8.18813169577028	6.3688389446517
BA3167	8.01965582601105	5.89646386290191
BA3269	8.10545619155905	5.3588856376779
BA3110	7.65148276489013	5.68268021308212
BA3156	8.05115312612603	6.17423728477739
BA3226	6.88993208075706	6.94819581980106
BA3421	7.19064975766148	6.17121351437265
BA3232	6.8194770973329	7.52082148621471
BA3289	7.37484847247432	5.3034642652041
BA3430	7.79093203959201	6.50200644713267
BA3145	7.12189404339898	4.76145184642672
BA3399	6.79640967556144	5.22996636193318
BA3449	7.40707286933197	6.76359470107912
BA3384	7.10925539195399	7.66613976188412
BA3427	6.79813530726845	6.23442968340786
BA3163	7.06302085430374	7.42090370210596
BA3158	7.21542521128511	6.63707820351379
BA3436	6.60634523087502	6.92303478434711
BA3154	8.16576290814706	5.94059984274879
BA3162	7.50539293842063	5.60693430911561
BA3352	6.95550948162844	5.77182174756257
BA3084	7.14921380328589	7.33978574457582
BA3149	8.03884116383771	5.52840068494334
BA3169	7.53405377993628	5.98263491560423
BA3180	7.65513327960109	5.43621855884092
BA3255	6.85895592875875	6.37732984108365
BA3438	6.89511146582289	6.62086223855277
BA3345	7.2023131865225	6.20740227072508
BA3403	6.63758201438047	6.49699294257919
BA3431	7.31937809888862	5.16389532747044
BA3181	6.78865136154736	6.57305438035027
BA3341	7.65148276489013	5.54913879758469
BA3191	7.00423488076259	6.41465436154636
BA3197	7.20073563164426	7.04344633578654
BA3448	6.90161368403515	7.31301236291507
BA3453	8.07426638068647	6.655181196516
BA3406	7.12505562496802	5.91282831503143
BA3308	7.09710413510838	6.22945844028102
BA3186	7.19225834495813	6.49699294257919
BA3334	6.93152855508892	6.31068973576453
BA3447	6.50649211862862	5.80891216118178
BA3116	8.09619809378225	6.15397098768236
BA3280	8.53990253916599	5.61064071002875
BA3185	8.09804401257278	5.22210266268897
BA3094	7.86231924501854	6.2787278602742
BA3318	7.99739906746641	6.15101372135618
BA3216	8.1017443875296	5.77965565034493
BA3332	7.99573716734119	7.21134659078952
BA3214	7.75510135803604	4.40728719351658
BA3099	7.11440294806697	7.12738803665014
BA3141	6.52836297577895	7.04775148018528
BA3373	7.22127084858972	6.76656262392125
BA3319	6.9785897904033	6.4930085337883
BA3328	7.12189404339898	6.82673548944024
BA3339	6.44032365945441	6.66119005251722
BA3240	6.9401836518602	6.60634523087502
BA3142	7.36623727973933	5.28293318880112
BA3333	7.59447758989453	5.70032456019922
BA3381	6.63758201438047	7.12040364606583
BA3290	6.83464418679852	6.31720357778214
BA3207	6.76418682921246	6.31022816211408
BA3296	6.59203093136997	6.48560018665895
BA3305	7.38560317769133	5.79404160330192
BA3434	7.08598210070988	6.92898560318184
BA3189	6.76359470107912	6.44710159988793
BA3264	7.37299295258264	6.52375465899181
BA3329	7.4262875873266	6.45552187143232
BA3417	7.09047728148948	6.33046496181519
BA3367	7.6954634086272	6.21976021821158
BA3225	6.69136843496562	6.10190214742508
BA3183	7.20544727648903	6.52938873500607
BA3222	6.44517490297706	6.74097656792209
BA3139	7.27110711454488	7.25976697827341
BA3397	7.28899814708616	6.72238123052722
BA3311	6.8175184307766	6.14373648060673
BA3422	8.19211577067672	5.34118303710199
BA3228	7.42825345365406	6.5466649868085
BA3213	7.74808252538179	6.65958088429919
BA3270	6.73050676463962	6.78550767222755
BA3415	6.74501989741739	8.75695672842528
BA3324	7.00079089475897	6.58201675131977
BA3194	6.77131514818168	6.27380663380772
BA3335	8.00107447892983	5.46037170982955
BA3199	6.83403264485773	7.25440312060941
BA3326	7.80094268898657	6.36600938491696
BA3285	7.19064975766148	7.13198010911185
BA3297	7.03918975972709	6.79931174111644
BA3227	7.12738803665014	7.2808607611199
BA3394	6.86346274491745	6.25091484872834
BA3412	7.29872623007905	7.14221254704718
BA3293	6.79158437688518	6.6892157543699
BA3250	7.17197273809379	7.17999658780694
BA3177	7.08821062221174	7.33339060020607
BA3315	7.5552619353094	7.00355473079372
BA3182	7.17836164217363	6.62466206493959
BA3260	7.19064975766148	5.45930289861008
BA3369	7.1639233124779	6.8090279726606
BA3078	6.77661655379887	6.51205995717627
BA3386	6.72117913083453	7.20386734649371
BA3445	7.05362684769664	5.49981147623839
BA3452	6.64862107605335	5.13692147172974
BA3176	6.52988298875597	7.39829394317713
BA3258	6.9924430115513	7.16299526015693
BA3295	6.93764309063722	6.8614500005054
