	NRAS	SMC1A
BA2392	6.99377561399407	7.41008797800013
BA2611	7.10771088589405	7.26424108951115
BA2506	7.09047728148948	7.24218373520164
BA2430	7.04058248557274	7.28899814708616
BA2448	7.03404295294828	7.24904224136933
BA2730	7.08368088883067	7.26503778677364
BA2845	7.05721925341645	7.45866975783138
BA2326	7.06736498172321	7.45571345371651
BA2341	7.06956103001791	7.43138197639579
BA2612	7.05213628356552	7.4434295432297
BA2973	7.05132427456444	7.45275636284168
BA2390	7.07251029744415	7.4372988989966
BA3218	7.02698040559294	7.46577618872004
BA3105	6.9582357295531	7.31397253852267
BA3402	7.00218029229942	7.37577438257785
BA3276	6.97383568837724	7.30861526987379
BA2409	6.66888521161026	6.96567270429015
BA3037	7.81101053195418	5.33503178066884
BA2496	6.87847286019697	6.81145766315316
BA2172	7.48490734822992	6.50494854074967
BA2865	7.04635072837336	6.64807496201704
BA2923	6.98553956904008	6.42763769743183
BA2751	6.77246010495607	6.40025463094879
BA2480	7.18731663184627	6.21273472230969
BA2286	7.33073792117204	6.46184745649843
BA2922	7.03335772337666	6.18950223686314
BA2452	7.31937809888862	7.41889646736553
BA3379	7.00010998499046	6.56326897910348
BA2887	7.41889646736553	6.58253832351054
BA2712	7.50539293842063	7.2245944685398
BA2068	7.4914611939268	5.81442547259646
BA2236	6.97926113627939	6.50698545533974
BA2104	7.44951411714195	6.25534556152395
BA3124	6.57560815980456	6.56890360423702
BA3395	6.90753952267277	6.89778124838191
BA2921	7.78959302181462	5.29014927757584
BA2449	8.06147774301482	6.36648969189247
BA2003	8.17625565039323	4.86847515739846
BA2360	6.81512757535845	6.7037023558772
BA2802	7.45670028367566	6.32360812377741
BA2235	7.04635072837336	6.73692509275104
BA2858	7.49256176412129	6.92303478434711
BA3038	6.89245255653176	6.9468889159387
BA3006	6.73983231150721	6.80545390529169
BA2245	7.15078589361001	6.44802101478473
BA2667	6.65958088429919	6.59519386649706
BA2239	6.67392482770239	6.80299244523417
BA2782	6.70809549173072	6.54150806703429
BA2649	7.27898774790875	7.36252362510307
BA2488	7.24053779186389	6.93219471408877
BA2861	7.12189404339898	7.08148396341999
