	SF3B1	NF1
BA2000	5.868488939678021	142.75490360837196
BA2003	2.198908352987511	153.6363602362335
BA2004	4.138880806726062	186.3131826561012
BA2006	2.325123064804804	0.0
BA2011	0.1380198320917367	72.85716052294515
BA2019	2.591253168618399	204.9947885795207
BA2020	3.566717303735739	274.7370236131756
BA2022	1.6333312272570373	126.77737922849806
BA2023	0.695618182813505	57.57670274404444
BA2024	2.2570122608614995	129.19307576825068
BA2025	1.0662814523867092	135.04261049402936
BA2031	4.244904914836965	47.7445319683995
BA2032	0.544077751470832	215.03490271417868
BA2033	0.5207126749297848	92.53923653042108
BA2034	3.739892901838597	153.47329527828623
BA2035	6.2327003775731	124.98326638084282
BA2036	9.325854998547795	238.32690231687388
BA2037	5.232376171077262	298.2964495900539
BA2041	0.8686250591145965	135.22863046072317
BA2044	2.7103441419906	82.04710015020497
BA2046	0.0966780257929719	144.0633694963439
BA2047	2.5434799755482262	123.2929360773152
BA2050	1.5773960837625316	95.22651628154628
BA2051	1.9603346228298677	90.68870047977845
BA2052	2.2125302187734275	110.66973675190388
BA2053	0.5596398153343644	129.04169527931813
BA2054	2.902457441292173	115.25580563960666
BA2055	1.3580618091575545	1.861283467889972
BA2063	1.0228629180029227	56.62966505689601
BA2065	3.3052441831997457	201.62135608839577
BA2066	1.1212745563173925	124.09319568255268
BA2068	1.42080896899582	78.65829945488635
BA2069	1.6861525559554815	57.54297490294547
BA2072	0.7505739552112843	86.57166007727321
BA2079	0.6569010874044472	61.12137145648837
BA2080	0.7577356790613439	157.83351245834615
BA2081	1.987437057210764	109.72745843655122
BA2082	0.0575538570088242	81.44008518006407
BA2087	1.0741895787999471	39.44265347415752
BA2088	1.1964608794427185	122.118312008315
BA2089	2.2429851844755566	166.7588903652543
BA2093	2.504220728960906	120.06260334565768
BA2094	4.874152863123288	80.35342502132465
BA2095	2.000770656654821	125.72932620776494
BA2096	1.4035218689792446	38.14635019971428
BA2097	5.529201492957189	274.9535971649002
BA2098	3.7885589952267344	26.433437712180453
BA2100	0.3885650929638804	66.13538217435533
BA2101	1.4843159585840475	72.0511876030681
BA2104	1.4249106856380802	88.2053799306977
BA2106	2.635120076761539	153.3726439647684
BA2109	0.1013629278870352	115.04825583911432
BA2110	1.195629336654395	74.36471936282452
BA2113	1.3489537058579335	223.4154468177113
BA2116	0.7321046849173004	171.4319149038356
BA2121	0.9023855229683968	72.40096351612218
BA2122	0.6417203906201293	54.47294224439686
BA2123	3.840240130713588	190.53116384213277
BA2124	5.547385135207057	184.66017011723795
BA2125	3.133815191424848	25.534304216960667
BA2132	2.629895091549692	170.7127216635003
BA2133	1.889343444020188	80.18133477228218
BA2134	1.3858377241602684	49.273239517076505
BA2135	1.0282469461893704	15.131785600875178
BA2139	2.3384103077608533	41.481996912376765
BA2143	0.7740416288409281	96.97194172507986
BA2148	0.0754874236072144	89.68429975044664
BA2153	5.116721417047205	146.4827052853341
BA2155	0.0402624383953675	71.92339924235235
BA2156	2.5846917601475625	168.64129625232474
BA2162	5.054337551568456	147.29495642603302
BA2163	4.424902398189839	217.2043669052266
BA2168	2.459866336385243	130.512102414608
BA2169	2.2605231584757783	178.1356567294738
BA2171	3.878938050944237	234.8583259532597
BA2172	0.1033096950979363	185.11095536230036
BA2174	4.125021798269824	238.4854486070038
BA2175	1.6714606133319954	31.956107621459708
BA2184	10.628341810860665	330.1887594161088
BA2195	0.8517477544056531	94.9760301511449
BA2198	9.032062076788913	126.84489183593952
BA2200	5.909373552547744	253.9343726061422
BA2201	0.7405867057165145	76.38543599082593
BA2209	1.939924439760896	207.73969039082704
BA2211	3.478055240024269	193.69321339903547
BA2212	1.9117243822809795	150.1149855232797
BA2217	1.8505187182282803	173.74162856094
