	JAK2	IDH1
BA2000	0.0291897060933032	9.744144037529887
BA2003	0.0107620455582242	1.1081660803195446
BA2004	0.0294214844431332	1.5473081763729777
BA2006	0.0139203193029816	0.9569710107791964
BA2011	0.0335611846244865	0.2503361091270461
BA2019	0.0393401558768148	2.177218684643075
BA2020	0.0552586288569599	4.242122422417017
BA2022	0.0166194155703568	5.321860362874178
BA2023	0.0349664877344926	6.073439132152584
BA2024	0.0931528403048237	1.6315584279104267
BA2025	0.0219148565970259	3.585397528800132
BA2031	0.0230474730125086	4.999460872090711
BA2032	0.0043383673383503	1.850016173586017
BA2033	0.0425502860219604	1.393607946647425
BA2034	0.0219667129974142	2.4357185747315686
BA2035	0.0136245081786248	1.5588501429480055
BA2036	0.0220219873273852	4.000589529626811
BA2037	0.0256350593272467	4.957299518010911
BA2041	0.0064258678310128	0.3903102183701913
BA2044	0.0383455917733852	3.276642506291106
BA2046	0.0164560492173315	0.5868681284494833
BA2047	0.0238842783036345	8.248768346646228
BA2050	0.0068784764749781	1.6936558286128351
BA2051	0.0209268613270132	0.9358009739162504
BA2052	0.0127049249054168	0.6247446764696161
BA2053	0.0072361307627227	1.0178261180137935
BA2054	0.0360063394048935	3.802627843148525
BA2055	0.0186053928733818	2.267089492721052
BA2063	0.0064899006055396	0.1676064467100303
BA2065	0.0180103526950855	5.033289279786603
BA2066	0.0899149394818183	5.041310715079223
BA2068	0.0090487549497227	0.9349622755047012
BA2069	0.0310210754878587	5.662220214708103
BA2072	0.0331869747403254	3.636655815755277
BA2079	0.0556615707116759	1.6622260117876722
BA2080	0.010048926593874	0.569576466881952
BA2081	0.0179463199205587	4.692860489126838
BA2082	0.0210880380688996	0.5521069904069592
BA2087	0.0171051354071549	0.8381974560883675
BA2088	0.0175080772618709	0.4022956570743786
BA2089	0.0934386646661809	7.850162222507261
BA2093	0.0093214416442462	1.3929584936825228
BA2094	0.0262797662947923	11.822354425250454
BA2095	0.0099848938193472	2.538543852912685
BA2096	0.0102432145285932	2.171255890358716
BA2097	0.0313930957608807	1.4712042321185164
BA2098	0.028358508342899	5.45827864212668
BA2100	0.0070727644096973	0.7164341742267867
BA2101	0.0310476178472747	0.7080926200506398
BA2104	0.0333712759120451	6.854364727412241
BA2106	0.0102288485433157	1.1063087566095142
BA2109	0.019291969478316	0.914963209738379
BA2110	0.0312009974373004	2.7091470986698165
BA2113	0.0361928301877522	3.6760964231500246
BA2116	0.0288408102501144	0.3215039944582814
BA2121	0.035127664476379	2.431281126330665
BA2122	0.0072030195698898	0.147922117499636
BA2123	0.0093401868518016	1.02169752969446
BA2124	0.0166359711667732	1.326466992264465
BA2125	0.0235310032381678	3.836510658526533
BA2132	0.0246967308464833	0.8837082758223406
BA2133	0.0173203581605685	0.13254100611131
BA2134	0.033025797998439	2.8387982934383302
BA2135	0.0175102668730099	0.3548772188722692
BA2139	0.042155141319105	5.956728302751078
BA2143	0.0205029846536029	1.3966826866837567
BA2148	0.0027034754896531	0.3340008322957444
BA2153	0.0259695891851581	1.1499263925982732
BA2155	0.0057955268487447	0.3430706474486562
BA2156	0.017247566941486	3.590969997703167
BA2162	0.0380232382896124	1.791305038001643
BA2163	0.0193560022528428	1.447155497140011
BA2168	0.004288700549101	1.8258993401296293
BA2169	0.0092574088697195	0.5986762696462147
BA2171	0.0213276135705903	3.550463550175572
BA2172	0.0071224311989466	1.0673807307412704
BA2174	0.0641771286464902	4.043851664902347
BA2175	0.0384327489777453	1.0685460797717483
BA2184	0.046100553565739	6.433479872657732
BA2195	0.015375289202237	0.4961242424787779
BA2198	0.0238036899326913	4.156643780221546
BA2200	0.0329452096274958	5.121170957309689
BA2201	0.0191307927364296	3.741326699342643
BA2209	0.0151666352822403	0.2125952310428461
BA2211	0.0130603895820224	4.974762310180251
BA2212	0.0137403973535398	1.0825064974532523
BA2217	0.0226048511315429	2.389882257146286
BA2218	0.0051155190772273	1.3826765618371557
BA2220	0.0148708241578835	2.7097070609594875
BA2221	0.0217327450364452	1.6418527030864754
BA2224	0.0198251664932245	1.1371763901483156
BA2226	0.0820319121404111	8.072034535307088
BA2227	0.0266043093897041	1.4408160560566543
BA2228	0.0142592283831708	0.4576427110377811
BA2229	0.0152284784456281	0.6287269578894038
BA2233	0.0195127997724513	0.8741881329343757
BA2234	0.0418305982241933	8.29010758540631
BA2235	0.0281873448380131	6.37164968023226
BA2236	0.0201165983953034	4.751783627804053
BA2239	0.0480081321089597	4.808104895420042
BA2240	0.0343858135414738	10.430959494869091
BA2242	0.0376181068237575	1.1437918685828468
BA2244	0.0678410957540449	5.41103198810299
BA2245	0.0282017108232905	1.8923278448467251
BA2248	0.0076534386027162	1.4966782357642223
BA2249	0.0297029295822125	6.6178226328650025
BA2251	0.0264553090219562	3.57745829076012
BA2256	0.0084968127272589	3.1143473874769785
BA2260	0.0280614689000985	2.59820926834122
BA2261	0.0117687860357923	0.4337707875155975
BA2269	0.0083047144036786	0.2931490307954615
BA2271	0.0355946391056218	2.686130833660508
BA2272	0.0604072591270201	8.208899955064012
BA2273	0.0111528110388017	0.9519358179212009
BA2275	0.0760111757752531	4.880676999189845
BA2276	0.0122501266503125	0.9753906225488094
BA2277	0.0611138092579536	5.6198681029031645
BA2280	0.0548634841541046	6.945194401095196
BA2281	0.0087716890329213	2.3732013913232457
BA2282	0.0339685057014803	2.451544103525756
BA2286	0.0198042316745302	3.260242344276883
BA2288	0.0087573230476439	0.7528348056904349
BA2292	0.0123163490359783	1.454718998846602
BA2294	0.0173800117128174	1.8277037052935927
BA2296	0.0236612583983603	3.661901405080647
BA2300	0.0197136565405874	5.8820991417417074
BA2301	0.0242816126176288	1.0919235565793737
BA2302	0.0120392831191769	0.5002702533453208
BA2304	0.0215406467128649	7.380760539578841
BA2306	0.0258459028583824	2.673283950727234
BA2308	0.0177807639563944	1.374096558444596
BA2309	0.0385233241116881	1.7936717802712756
BA2311	0.0545730135447208	2.2411856845076925
BA2312	0.0343979899156123	1.8434839482491645
BA2316	0.0198704540601959	17.093524559674403
BA2322	0.0429797702360924	2.324334107196607
BA2325	0.0199201208494452	5.557825064505219
BA2329	0.0277800237610192	4.13276948498511
BA2334	0.0153234328018488	1.3633542727018262
BA2339	0.0117047532612655	0.8256541177254597
BA2344	0.0169108474724357	2.308613764671189
BA2347	0.0246558225017898	0.532010663358709
BA2348	0.0121386166976754	0.4699082675739509
BA2350	0.014195195608644	2.229301491022461
BA2354	0.030289211315953	3.924819030180552
BA2355	0.0117831520210698	0.2126385161554012
BA2357	0.0084990023383978	0.304774854021409
BA2360	0.0199366764458616	3.9442659274164886
BA2361	0.0246305084608176	0.5535484645256871
BA2363	0.0187543932411296	1.92965757222813
BA2369	0.0211895612585372	0.6794283749836794
BA2374	0.0202799647483287	10.715281782734712
BA2375	0.0677174094272692	2.555822522023017
BA2376	0.0595495190171999	5.582173730926259
BA2377	0.0357733327366197	1.8897023609880268
BA2379	0.0139037637065651	0.4655503096695562
BA2385	0.0076721838102715	0.296307436317573
BA2386	0.0182874186118869	0.8087599370974559
BA2387	0.0250168947191172	3.035808618691688
BA2394	0.0898608934702911	4.21782550267008
BA2399	0.0134942530184323	2.416665283154964
BA2400	0.050015044230679	6.875574346861969
BA2402	0.0225904851462654	1.4581090506368148
BA2405	0.0106296007868928	0.4661365989404801
BA2406	0.0232561269325053	3.7350374344344903
BA2409	0.0315399065174897	8.402996340854239
BA2410	0.009761873914073	1.475901061648629
BA2412	0.0336417729954297	2.186721127030211
BA2413	0.0182995949860254	1.3688383339101688
