	RAD21	SF3B1
BA2000	9.381081344897805	5.868488939678021
BA2003	10.804738111151956	2.198908352987511
BA2004	13.335979114927524	4.138880806726062
BA2006	2.270388898058533	2.325123064804804
BA2011	4.533384234237969	0.1380198320917367
BA2019	12.845973706067053	2.591253168618399
BA2020	10.474535979065164	3.566717303735739
BA2022	8.710936477994075	1.6333312272570373
BA2023	10.766220668380647	0.695618182813505
BA2024	6.96521768918246	2.2570122608614995
BA2025	10.505514139483594	1.0662814523867092
BA2031	8.497243158696646	4.244904914836965
BA2032	6.366887987848954	0.544077751470832
BA2033	10.68218662349429	0.5207126749297848
BA2034	6.3724050702506645	3.739892901838597
BA2035	9.09435826239406	6.2327003775731
BA2036	11.528528001706562	9.325854998547795
BA2037	12.161082044759937	5.232376171077262
BA2041	15.208390411040217	0.8686250591145965
BA2044	11.425941509678632	2.7103441419906
BA2046	6.153405994615816	0.0966780257929719
BA2047	7.212823003588878	2.5434799755482262
BA2050	7.305722580287018	1.5773960837625316
BA2051	10.076275553605024	1.9603346228298677
BA2052	13.286222314454694	2.2125302187734275
BA2053	7.685499593258364	0.5596398153343644
BA2054	11.47302251367756	2.902457441292173
BA2055	0.8900090654720321	1.3580618091575545
BA2063	10.446657944155708	1.0228629180029227
BA2065	11.84997670061323	3.3052441831997457
BA2066	8.783252326731535	1.1212745563173925
BA2068	8.054864759728023	1.42080896899582
BA2069	11.861180142963963	1.6861525559554815
BA2072	5.724137968839168	0.7505739552112843
BA2079	5.054760892054986	0.6569010874044472
BA2080	10.124380642568726	0.7577356790613439
BA2081	4.620438733254882	1.987437057210764
BA2082	8.105587557245181	0.0575538570088242
BA2087	6.064210598186296	1.0741895787999471
BA2088	11.119498790097158	1.1964608794427185
BA2089	13.153433288445951	2.2429851844755566
BA2093	13.89440940587197	2.504220728960906
BA2094	14.301152628574505	4.874152863123288
BA2095	9.161177992328549	2.000770656654821
BA2096	9.584242645222831	1.4035218689792446
BA2097	16.873178231003937	5.529201492957189
BA2098	6.2107357582394345	3.7885589952267344
BA2100	6.090356050041996	0.3885650929638804
BA2101	6.636690901812592	1.4843159585840475
BA2104	5.107654904717963	1.4249106856380802
BA2106	5.7185547695433705	2.635120076761539
BA2109	7.887808449114563	0.1013629278870352
BA2110	4.875980173627301	1.195629336654395
BA2113	9.1025554010968	1.3489537058579335
BA2116	17.398189447644924	0.7321046849173004
BA2121	5.12776073278341	0.9023855229683968
BA2122	11.690318294638107	0.6417203906201293
BA2123	17.55701446978709	3.840240130713588
BA2124	12.868529500425566	5.547385135207057
BA2125	12.876343621232197	3.133815191424848
BA2132	9.340554458045636	2.629895091549692
BA2133	6.955488449442417	1.889343444020188
BA2134	6.682310630032674	1.3858377241602684
BA2135	6.849923340263783	1.0282469461893704
BA2139	6.787244348233263	2.3384103077608533
BA2143	13.400617340713	0.7740416288409281
BA2148	5.204481045400393	0.0754874236072144
BA2153	9.114530887927913	5.116721417047205
