	ABL1	PTPN11
BA2000	0.0146845710165825	18.219542782458134
BA2003	0.0095313626532083	7.8040697011527955
BA2004	0.0112418889689978	23.30342872458385
BA2006	0.0060003604902667	1.6004826372886471
BA2011	0.0100919250180245	9.142654820893208
BA2019	0.0196629416005767	25.37744245291497
BA2020	0.0263392213410237	31.15809203904098
BA2022	0.0168979812545061	27.29854595084977
BA2023	0.0098017303532804	11.419457583687535
BA2024	0.0110868781542898	13.726736011401666
BA2025	0.0185724585436193	24.950835047611832
BA2031	0.0146377072819033	17.02782998227626
BA2032	0.0132462148521989	15.71010207232917
BA2033	0.0081723143475126	18.242212046632456
BA2034	0.0197494592645998	16.53136645390717
BA2035	0.0183687815428983	26.583636332395823
BA2036	0.0147530641672674	20.89728584532073
BA2037	0.0234264599855803	40.94366643545465
BA2041	0.01598774333093	20.67261522590379
BA2044	0.0127793799567411	18.34333961488772
BA2046	0.0203460706560922	17.585411729730065
BA2047	0.0213968997837058	23.504423735007126
BA2050	0.0107462148521989	13.907515870207629
BA2051	0.0223882480173035	23.366134078516723
BA2052	0.013585075702956	19.261949624300374
BA2053	0.0078983417447728	12.867290962256456
BA2054	0.0082660418168709	14.993963362893789
BA2055	0.0044250180245133	1.006633755082628
BA2063	0.033361571737563	14.077778063650166
BA2065	0.0192790194664744	23.069795136753665
BA2066	0.0210976928622927	27.2320641418471
BA2068	0.0152397260273972	15.062906910870607
BA2069	0.0120782263878875	19.46978880228047
BA2072	0.0101243691420331	12.454678245042002
BA2079	0.0053911319394376	7.997761557278246
BA2080	0.0201568132660418	14.89503606298556
BA2081	0.012382840663302	15.4821630138354
BA2082	0.0226405912040374	16.3883811679849
BA2087	0.0131452775775054	14.330593750957004
BA2088	0.016995313626532	24.287179018068574
BA2089	0.0200973323720259	26.09260465882925
BA2093	0.0109012256669069	24.561512322956894
BA2094	0.0125342465753424	22.748881686986277
BA2095	0.0175198269646719	22.08275867524768
BA2096	0.0067429704397981	9.72352526466828
BA2097	0.0227577505407354	28.828328924838228
BA2098	0.012664023071377	4.876284013445514
BA2100	0.0066240086517664	12.46941723661563
BA2101	0.0096467195385724	12.119175783669691
BA2104	0.0069358327325162	9.586978742432285
BA2106	0.0121449170872386	11.321304214736273
BA2109	0.0096160778658976	10.593208317874211
BA2110	0.005677721701514	9.13995020349042
BA2113	0.0232191780821917	24.009879624726192
BA2116	0.0132804614275414	34.34745902194582
BA2121	0.0142231434751261	24.169229833724117
BA2122	0.0042213410237923	8.1135398106791
BA2123	0.0203028118240807	32.632638126694204
BA2124	0.0179434030281182	17.33967654040313
BA2125	0.0150955299206921	26.561492812193347
BA2132	0.0178821196827685	19.964479748121107
BA2133	0.0063211968276856	9.16995344637006
BA2134	0.0074351117519826	11.503074323913488
BA2135	0.0098558038932948	16.181349060736448
BA2139	0.0064852198990627	11.421152992474797
BA2143	0.0127180966113914	20.10753670667429
BA2148	0.0149242970439798	15.541240523588945
BA2153	0.0082390050468637	23.88830855282784
BA2155	0.012382840663302	13.320461983341968
BA2156	0.0208399423215573	16.826601805701994
BA2162	0.0132804614275414	23.3024773977751
BA2163	0.0161968276856524	32.3533054517362
BA2168	0.0087941600576784	13.771323332146489
BA2169	0.0112076423936553	30.587674275629094
BA2171	0.0253118240807498	23.06458428448724
BA2172	0.0166528478731074	16.71850262126873
BA2174	0.0147224224945926	23.013481876653856
BA2175	0.019388968997837	22.1961245585702
BA2184	0.046326604181687	39.506908615004
