	DNMT3A	NPM1
BA2392	6.55027156269161	9.6874475749889
BA2611	6.42139457326444	9.60929418124753
BA2506	6.38837422038712	9.61949185438657
BA2430	6.42233932973963	9.61949185438657
BA2448	6.36982886713941	9.61438474364243
BA2730	6.4369045674542	9.62461563502098
BA2845	6.55451548155805	9.57909169555586
BA2326	6.59041781660964	9.58408544068247
BA2341	6.54307132156237	9.58909503454725
BA2612	6.57247167015578	9.55927298456459
BA2973	6.54150806703429	9.56915130536806
BA2390	6.56633757408764	9.55927298456459
BA3218	6.52170608095191	9.56420444046175
BA3105	6.40170617544637	9.53000194332933
BA3402	6.40737616847402	9.53484314535953
BA3276	6.46333894051768	9.51556606369543
BA2409	4.92558404139259	7.88494695067266
BA3037	4.90640898586377	9.1755941413251
BA2496	5.03856627298611	8.3156761580726
BA2172	5.90037022570554	9.2592593958878
BA2865	6.44802101478473	9.53484314535953
BA2923	5.58458887284863	6.98208266015901
BA2751	5.98996157877142	9.13897207935234
BA2480	5.89765135115317	8.38563253120242
BA2286	5.42089748568897	9.51078302100883
BA2922	6.6639864599992	9.78674968596522
BA2452	5.90353378741165	9.33027676031699
BA3379	6.22675882110798	9.31328611186612
BA2887	6.29652207810065	9.06304565250042
BA2712	4.84562521936661	7.82549928808227
BA2068	5.85144934754927	8.67821802831458
BA2236	5.92513526908082	8.75995195431454
BA2104	4.27532548252001	6.91599118004167
BA3124	6.23033780733241	8.84307877151568
BA3395	4.90361056525495	8.58457840504288
BA2921	5.99605530428902	9.00605305286098
BA2449	5.3715755453953	9.52036350053221
BA2003	5.33364015180298	9.04501990946176
BA2360	6.90753952267277	9.4000752436972
BA2802	6.43335604753767	7.15633759792086
BA2235	4.92771047103252	8.83362186336888
BA2858	4.35648958622004	8.91420804405317
BA3038	5.29082273845723	7.73462168625585
BA3006	5.99970534098919	9.15245565249128
BA2245	6.01005588113279	9.0307417478067
BA2667	6.36134230536283	9.13720994130471
BA2239	5.21813047946163	8.17428733914348
BA2782	5.27325382286629	7.59101188148724
BA2649	5.99890598903284	9.2429894144776
BA2488	5.55888193371954	7.91111348596979
BA2861	6.61117532741348	9.11460476788528
BA2909	6.01784200578308	7.83704881770087
BA2429	5.69757983119209	8.66493693752935
BA2653	5.46484401503758	8.41556616709075
BA2134	4.6827458552578	8.30037965468589
BA2947	6.7903869995291	9.91920628125652
BA2032	6.13853683580785	9.3735473533766
BA2162	6.25945312566298	8.85577669200061
BA2564	5.50870400018428	8.74800571415782
BA2597	5.76760186750385	8.13547459853116
BA3243	5.43042530271375	8.84307877151568
BA2106	5.67317843136018	9.54945587390153
BA2427	5.48059363504872	8.91090509269608
BA2841	5.45711106423954	9.13342062895717
BA2446	4.90083067720818	8.33784249776874
BA2645	6.82793872143045	8.42798766039968
BA2525	4.89058431526758	8.34456564828853
BA2876	5.44640808199127	8.61151153389318
BA2357	5.02235718099048	8.95777690896205
