	NPM1	RAD21
BA2000	529.0740751552895	9.381081344897805
BA2003	718.8454548403314	10.804738111151956
BA2004	320.416765868189	13.335979114927524
BA2006	9.731263616557731	2.270388898058533
BA2011	349.1494593922488	4.533384234237969
BA2019	584.7298493866805	12.845973706067053
BA2020	1238.4508547008545	10.474535979065164
BA2022	917.8624004605978	8.710936477994075
BA2023	432.430363504652	10.766220668380647
BA2024	373.1442557723393	6.96521768918246
BA2025	723.6161514674798	10.505514139483594
BA2031	804.2156041021317	8.497243158696646
BA2032	797.0029006308893	6.366887987848954
BA2033	258.23198424669016	10.68218662349429
BA2034	811.2764224741454	6.3724050702506645
BA2035	900.7865531930996	9.09435826239406
BA2036	779.9021105326607	11.528528001706562
BA2037	1905.212257740152	12.161082044759937
BA2041	846.7808362661304	15.208390411040217
BA2044	586.7526892532584	11.425941509678632
BA2046	1116.3443179422306	6.153405994615816
BA2047	678.6308819474854	7.212823003588878
BA2050	743.1948731463913	7.305722580287018
BA2051	485.30915140801295	10.076275553605024
BA2052	1123.444664742103	13.286222314454694
BA2053	858.0353314195818	7.685499593258364
BA2054	798.0997645653246	11.47302251367756
BA2055	43.69121161009207	0.8900090654720321
BA2063	584.475008784876	10.446657944155708
BA2065	1203.8952158917054	11.84997670061323
BA2066	820.948611719295	8.783252326731535
BA2068	591.6639941722485	8.054864759728023
BA2069	669.1056490806965	11.861180142963963
BA2072	444.2673762143402	5.724137968839168
BA2079	148.75517388648316	5.054760892054986
BA2080	829.9345694329564	10.124380642568726
BA2081	597.5572717148619	4.620438733254882
BA2082	1006.1029619898692	8.105587557245181
BA2087	646.277790211756	6.064210598186296
BA2088	648.9600212458845	11.119498790097158
BA2089	804.2096484968401	13.153433288445951
BA2093	718.9785651729675	13.89440940587197
BA2094	774.4474723884591	14.301152628574505
BA2095	743.3756410256409	9.161177992328549
BA2096	844.926645204539	9.584242645222831
BA2097	1871.544588786714	16.873178231003937
BA2098	447.058323196938	6.2107357582394345
BA2100	460.46480967904114	6.090356050041996
BA2101	481.9798980413782	6.636690901812592
BA2104	158.77373403179857	5.107654904717963
BA2106	1087.2221949215304	5.7185547695433705
BA2109	353.25556042102534	7.887808449114563
BA2110	228.4360225865918	4.875980173627301
BA2113	619.5860880001297	9.1025554010968
BA2116	204.49241959811215	17.398189447644924
BA2121	830.565918465539	5.12776073278341
BA2122	309.8565362180163	11.690318294638107
BA2123	1944.6786659963132	17.55701446978709
BA2124	1306.525201781843	12.868529500425566
BA2125	407.5005611508458	12.876343621232197
BA2132	579.7304751401525	9.340554458045636
BA2133	285.45101823469946	6.955488449442417
BA2134	394.3391348654157	6.682310630032674
BA2135	1086.0343934651337	6.849923340263783
BA2139	173.99071803521517	6.787244348233263
BA2143	307.85163506814365	13.400617340713
BA2148	255.70209620655535	5.204481045400393
BA2153	1332.816741811144	9.114530887927913
BA2155	622.2423014753186	5.233148408171361
BA2156	1074.5038515599235	8.392648810880598
BA2162	778.2497983533087	9.1097160557551
BA2163	223.2537483038432	14.314580633635316
BA2168	601.0720984230471	6.647345389277667
BA2169	516.0195797315341	8.745864067224826
BA2171	1061.4786451829148	10.679439120860676
BA2172	1287.0055436621851	13.50883390157314
BA2174	696.0172286284242	12.234477537030015
BA2175	260.5439360028544	21.02068584637091
BA2184	2463.2686174497367	18.03765970365849
BA2195	670.5622004357298	9.349963706871057
BA2198	1049.075510739173	10.951500923300072
BA2200	1261.8336568870727	8.66317838616753
BA2201	528.392967233764	5.432057146746553
BA2209	570.0690307443629	10.51849185881264
BA2211	923.4013369229688	9.646568993096242
BA2212	1007.770093849506	12.173442452420591
BA2217	796.1217281067376	4.573645652451456
BA2218	980.2861304378382	4.492958654425742
BA2220	1088.5479229850198	11.27168233076358
BA2221	462.6346118706649	9.893553288678971
BA2224	450.7727293122928	9.397529949966035
BA2226	1561.7267752207028	10.908716981211048
