	GATA2	RUNX1
BA2392	7.41600983782201	8.22240857358487
BA2611	7.34547705030654	8.24509615455004
BA2506	7.41107466475047	8.23267071257109
BA2430	7.37299295258264	8.27031665707811
BA2448	7.42721767032965	8.26607857536642
BA2730	7.37967634115988	8.27670009201677
BA2845	7.31758513982701	8.32671267592458
BA2326	7.3445927403943	8.31347995218337
BA2341	7.3614587281193	8.35811493599106
BA2612	7.32489473499785	8.31347995218337
BA2973	7.31665510949842	8.32007964073217
BA2390	7.3634906067475	8.29387857030758
BA3218	7.31484141146978	8.31347995218337
BA3105	7.26503778677364	8.24926512843891
BA3402	7.27805701193436	8.27456876079558
BA3276	7.29968056370735	8.25764420926654
BA2409	4.08953411027778	6.75831323775631
BA3037	9.22687989289351	7.64377441186557
BA2496	4.22136650202706	7.0949820634578
BA2172	7.72672331348077	6.54875546973009
BA2865	10.0543370402648	8.40664550150058
BA2923	-0.905814060314707	7.4382687261571
BA2751	6.91069984449294	9.45155824142257
BA2480	8.44966638628301	9.25110414260315
BA2286	6.84098754890722	7.82833379039141
BA2922	6.95344802847081	8.52958832512444
BA2452	7.2808607611199	8.84624370479657
BA3379	6.11039522609915	7.11145591609312
BA2887	5.05929023106165	7.53303259081949
BA2712	2.26275670492429	7.50436087643108
BA2068	8.95777690896205	8.0179995830141
BA2236	8.58457840504288	8.79022656584331
BA2104	0.732935262992316	7.2245944685398
BA3124	5.77221027466017	7.10925539195399
BA3395	7.45571345371651	8.68106286594684
BA2921	7.41497012248878	8.14513423086413
BA2449	5.21327609576147	7.18474506245045
BA2003	7.37771038448057	8.13747585819058
BA2360	8.58992566833602	6.17338143773516
BA2802	7.40900238551148	7.51299557490928
BA2235	6.83214250556656	7.56436701911919
BA2858	4.24617468927424	6.5181383405608
BA3038	6.41227021268222	7.39635430321553
BA3006	7.99915514777274	8.75098362594822
BA2245	7.66369633945432	9.09600320401444
BA2667	6.50152491798344	7.40804987020109
BA2239	4.89696755761679	7.09710413510838
BA2782	5.97890641593254	6.67339810625054
BA2649	7.15798365655759	8.91751782379931
BA2488	8.16840116234166	8.48407580140491
BA2861	7.44839655086442	6.18992574647122
BA2909	7.51630069461518	6.91854859965898
BA2429	6.13853683580785	7.12040364606583
BA2653	8.67721676583393	7.68013043810275
BA2134	5.66361114365051	7.06371663624663
BA2947	8.5971359914493	7.78123623973778
BA2032	9.91143332054624	7.95765939482996
BA2162	9.31751716888528	6.37358566074055
BA2564	4.70523791699629	7.79663560293131
BA2597	9.36650856672567	7.63393532286626
BA3243	9.58909503454725	7.40609048790591
BA2106	7.01200936090574	8.13938594647296
BA2427	4.33903266779967	7.38560317769133
BA2841	5.94099029232779	6.04647904010288
BA2446	2.31812232252383	6.23342882640082
BA2645	9.64008823387741	6.61649602743193
BA2525	5.24865361107735	5.30060514576655
BA2876	5.79758031043752	6.16229657509821
BA2357	5.50571962151203	7.01847365520979
BA2546	3.0112376490771	6.36695225743452
BA2742	3.66797907398221	7.41889646736553
BA2316	3.22495437973645	7.48163507084779
BA2421	2.45065051871032	7.48695721637732
BA2087	2.55585093682386	6.85707363149716
BA2910	10.2053241381792	8.25344779136567
BA2148	8.16059641320183	7.50861653894833
BA2063	3.02935460711532	5.38841032189554
BA2329	7.2245944685398	6.91733301258099
BA3178	-0.106092733460167	6.42280633283907
BA2072	5.14543140849029	8.00619097456886
BA3029	8.92748837970555	7.92364245319313
BA2733	5.32125964978542	7.3212161814573
BA2995	1.87147539953468	9.09230819306279
BA2069	1.06756511195893	6.86281064555051
BA2100	6.69027313849037	7.54191215313676
BA2681	7.58759859001841	6.81883552060849
BA2248	6.88553914900191	7.92526519111295
BA2832	8.69249597847146	7.55189787670547
BA2308	7.87732006412967	7.4382687261571
BA2413	7.29077391107671	7.57003408038875
BA2701	5.76256437697443	6.83843057067482
BA2634	6.61275930528802	7.17761745050204
BA2677	7.25790347094091	7.16795764916514
BA2937	8.40664550150058	7.01983909137586
BA2600	6.59949061589029	7.53197491812839
BA2019	9.64527993925034	7.08227901596389
BA2412	6.57041549701901	6.15187477635529
BA2334	7.64511152399424	7.92699657991781
BA2050	7.30591810989836	8.20213208675208
BA3230	7.22951525991334	7.56567805381962
BA2953	5.74281190993701	7.79093203959201
BA2481	6.26652649814407	7.40510623344956
BA2731	4.76216052725516	6.17379906817959
BA2294	7.90950778255697	7.62205873798526
BA2418	7.77713213848426	8.5529001392332
BA2816	1.63244056607344	7.64636707538027
BA2656	8.15865294170913	7.64255001400601
BA2814	5.88643954120856	6.62033484572762
BA2631	8.0760787079227	7.78123623973778
BA2023	-0.126036792393191	7.36910502551481
BA2375	7.68273154484305	7.95452812467512
BA2485	9.30657970599922	9.12011695971816
BA2455	4.2507446186302	6.33092888167036
BA2025	2.32043052645812	5.70757619671164
BA2636	9.22287720595147	7.60876718089275
BA2325	4.5269559134182	6.69807753006718
BA2169	7.0623479587219	7.07180826529373
BA2156	8.22650342209935	6.54978276410253
BA2511	7.6112304020112	6.52072194410879
BA2939	8.22855584188171	7.85486380528094
BA2168	7.27636680044251	8.02685700006077
BA2505	7.27462693268534	6.93954050250455
BA2860	8.5529001392332	6.26429986711095
BA2707	6.27202284935672	8.33337930026134
BA2871	3.03505636097059	6.24864350807345
BA2655	5.94796425199258	6.47279065497325
BA2227	7.50002964161751	8.08518191159815
BA2125	6.27380663380772	7.67493502317828
BA2523	6.52219766315803	8.16644533071452
