#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2456       NonMut        0.046785
   BA2459       NonMut        0.003610
   BA2461       NonMut        0.007089
   BA2463       NonMut        0.072593
   BA2464       NonMut        0.026099
   BA2469       NonMut        0.007724
   BA2470       NonMut        0.007455
   BA2472       NonMut        0.016749
   BA2473       NonMut        0.007287
   BA2474       NonMut        0.013281
   BA2477       NonMut        0.025042
   BA2479       NonMut        0.003044
   BA2480       NonMut        0.042886
   BA2481       NonMut        0.018048
   BA2482       NonMut        0.008567
   BA2483       NonMut        0.024461
   BA2485       NonMut        0.057084
   BA2488       NonMut        0.040275
   BA2489       NonMut        0.010128
   BA2492       NonMut        0.007523
   BA2494       NonMut        0.002086
   BA2496       NonMut        0.018012
   BA2497       NonMut        0.025431
   BA2499       NonMut        0.013226
   BA2500       NonMut        0.024659
   BA2501       NonMut        0.023653
   BA2502       NonMut        0.014425
   BA2505       NonMut        0.020173
   BA2507       NonMut        0.005806
   BA2510       NonMut        0.026411
   BA2511       NonMut        0.004049
   BA2512       NonMut        0.018099
   BA2514       NonMut        0.008475
   BA2520       NonMut        0.002738
   BA2521       NonMut        0.025374
   BA2523       NonMut        0.024744
   BA2524       NonMut        0.016356
   BA2525       NonMut        0.001428
   BA2526       NonMut        0.034525
   BA2528       NonMut        0.012634
   BA2532       NonMut        0.027578
   BA2534       NonMut        0.004737
   BA2538       NonMut        0.002365
   BA2539       NonMut        0.017788
   BA2540       NonMut        0.015704
   BA2541       NonMut        0.021138
   BA2545       NonMut        0.014210
   BA2546       NonMut        0.018681
   BA2552       NonMut        0.019079
   BA2559       NonMut        0.022369
   BA2563       NonMut        0.027846
   BA2564       NonMut        0.017959
   BA2567       NonMut        0.003063
   BA2570       NonMut        0.008459
   BA2575       NonMut        0.019360
   BA2579       NonMut        0.006525
   BA2583       NonMut        0.025902
