	NRAS	SRSF2
BA2000	5.043675734302264	8.232855850924276
BA2003	10.560686431397826	9.4977144739766
BA2004	4.441235364145998	5.562522945896354
BA2006	6.575705504189619	4.6626359318395725
BA2011	6.488344675152857	8.33948154257171
BA2019	7.803800858255831	9.757790556231546
BA2020	10.709729421914986	24.05614468586043
BA2022	8.019621620352721	13.76175498824985
BA2023	4.375188854380848	6.170959052505648
BA2024	5.175163513879563	13.562153332917909
BA2025	6.074731218320892	8.058465426519131
BA2031	4.219114009776729	5.276629236644825
BA2032	8.583705251658827	4.763443017170353
BA2033	21.634045078260016	22.143794608866745
BA2034	9.198614997934929	10.006225712329805
BA2035	6.8581726405028185	6.202410726195026
BA2036	5.895456678640012	8.19574270719942
BA2037	8.474187163433587	11.49048044339966
BA2041	10.108074498986811	12.869687030810905
BA2044	4.7535644907408665	8.48685376064178
BA2046	9.160481901497343	9.108705272546237
BA2047	7.613271283589593	13.306666081934658
BA2050	4.103686476329206	9.513319286237095
BA2051	20.82227021965971	8.14805311574689
BA2052	8.803722359895055	8.873809201356487
BA2053	9.031640140409914	7.462370487579332
BA2054	3.633549237992189	10.430588127973053
BA2055	1.6282099596913011	4.345256847097649
BA2063	5.453141679979542	9.467873645094436
BA2065	7.008120709963036	6.373759297739962
BA2066	10.10974543956892	15.800296299117967
BA2068	6.301531117480288	18.355853161765303
BA2069	5.418720571825874	10.278331861243649
BA2072	3.975963751875416	5.902058256500613
BA2079	3.637880412457246	7.640222263953134
BA2080	10.09782677520544	9.191369278339211
BA2081	4.296904604494646	6.928636469183807
BA2082	11.946301068824308	8.40840134006508
BA2087	9.334338474733304	5.677796869229128
BA2088	13.1502236881413	11.410047337328768
BA2089	13.279025182733749	11.89864820678787
BA2093	3.900351353768402	5.464961303565389
BA2094	9.744641884173047	12.051205054450586
BA2095	6.152794819771235	8.463544127567214
BA2096	6.715911213656165	15.000673563143634
BA2097	13.917958079878336	17.792688397965705
BA2098	10.387971166225924	6.655929889318163
BA2100	4.6475452234853565	3.718527822597228
BA2101	6.084070489319454	8.1501091842613
BA2104	5.135247990444217	1.8852928899651
BA2106	10.134436245830772	7.204307756577358
BA2109	7.168784406456207	6.833888850170134
BA2110	3.345155971053532	3.806471086714524
BA2113	7.355297822797085	15.929650625391014
BA2116	11.5696457912037	6.781050008997795
BA2121	8.496779176483521	11.980554744241596
BA2122	4.026122374469674	5.858690587057699
BA2123	14.704105196105951	11.59072875024918
BA2124	5.235737433920034	16.611280928331222
BA2125	6.58007623618558	7.921142108252018
BA2132	7.287418557176935	13.946291139079216
BA2133	5.569103779560801	7.478491218664673
BA2134	3.1951470189520976	4.036120566317373
BA2135	10.07866878646148	20.82611375867676
BA2139	3.987310125081623	4.621744593017676
BA2143	11.295737558973652	8.73803235454996
BA2148	7.237628309278444	3.778912883468327
BA2153	7.725737990865466	7.671001886855401
BA2155	4.1905827771309205	9.35317182362659
BA2156	4.879492323703967	8.002415187656146
BA2162	4.131192099621418	8.849822115908271
BA2163	7.40084545361058	7.4857757015311535
BA2168	5.304324475960764	8.310485926369557
BA2169	8.809693564752845	8.737420101785885
BA2171	7.35983570213583	13.647857183453524
BA2172	7.799454036850744	6.624084898239265
BA2174	5.846511858146845	11.368590659871236
BA2175	12.59926604192168	16.88810084545601
BA2184	14.021418300866742	21.24939692545412
BA2195	8.728201249493587	7.23243772301538
BA2198	6.621456516309619	6.568389703284435
BA2200	7.825270796632329	22.72786822849741
BA2201	3.210905042782101	4.323026570237881
BA2209	13.608094661958637	6.408519354938519
BA2211	6.499249306980105	16.55230428257159
BA2212	8.737816618242173	10.236633063274152
BA2217	5.215639002629361	13.496358315863404
BA2218	9.040140075502665	12.93380471935965
BA2220	6.568462036017965	9.724200374077704
BA2221	6.168651920425615	7.3819992501371905
BA2224	5.262801542565956	8.450169624197642
BA2226	13.813418165213225	20.690926999003683
BA2227	14.655231252770625	22.4026748068776
BA2228	13.848825906875648	12.36714192755575
BA2229	10.823771025224463	10.30418039139401
BA2233	8.992461331969217	9.331255815320716
BA2234	7.927532448144326	10.042322926937322
BA2235	5.807526607623976	6.150150874326986
BA2236	5.421816667461279	6.349187771730446
BA2239	3.623346886499976	3.990381066613173
BA2240	12.666749870098409	11.81329733557186
BA2242	6.392837846825661	12.622925169745704
BA2244	5.764306175984613	8.685425007509856
BA2245	6.29602671469508	7.892885598424514
BA2248	6.139345604158139	7.032545897351294
BA2249	8.565036261731409	12.922706504656714
BA2251	9.824081940256818	8.235124274376565
BA2256	9.382877083579444	10.70430699737524
BA2260	5.080990281668714	6.82488810159893
BA2261	4.797652161882078	4.481930297566593
BA2269	3.8558379466002592	2.974267049947534
BA2271	12.214789116709204	12.268896653926028
BA2272	5.075306755798043	8.740305014970993
BA2273	7.741660973665951	13.281240851317271
BA2275	9.36840960870265	15.467941519326764
BA2276	5.21724058926059	7.392346085673904
BA2277	8.740148523778734	12.43586729245932
BA2280	14.318248858664116	20.29568025661283
BA2281	7.249787793480649	6.894733065138713
BA2282	3.9354517472565504	7.732555617772172
BA2286	7.059774929748949	6.7743114544895136
BA2288	5.030989192075231	9.746257016854276
BA2292	11.60869444588134	10.979030068640542
BA2294	5.909367305235669	9.96181839846229
BA2296	7.903710370609955	12.911623781720358
BA2300	9.118918702903615	18.75620070168782
BA2301	10.608034425539255	10.356558085101655
BA2302	8.506829643624565	7.71625786338462
BA2304	3.867613301263115	5.045093600102256
BA2306	8.171764479984272	7.478498911939351
BA2308	6.25244413003803	8.936134174381431
BA2309	5.340910135111962	8.067967717536426
BA2311	5.303064363651437	7.467929705715504
BA2312	4.504811534567072	9.207036717457903
BA2316	3.980454039341224	5.365016032852368
BA2322	11.139315392217648	15.15802832310161
BA2325	6.662575697948401	4.8474309463330005
BA2329	3.680005567553983	6.004385112888205
BA2334	5.594381798618988	6.772033452636415
BA2339	12.149194506134686	6.578395846076763
BA2344	3.796331221454245	9.95222373294122
BA2347	6.099881569035103	6.260648827958406
BA2348	4.830109248163483	3.192767626297295
BA2350	6.296603883376644	3.1993092687479128
BA2354	7.369975374515866	9.094720981645125
BA2355	17.61423414703916	15.09480010980398
BA2357	4.593511698633455	7.213802053964256
BA2360	4.667607518740139	8.585844864296938
BA2361	8.444729251070648	9.20178308725799
BA2363	1.6533242062313365	2.263679932155521
BA2369	11.716427856399315	13.61743356901646
BA2374	8.90851954300139	15.020254776469203
BA2375	7.273261731939739	9.747926186355707
BA2376	4.743354931372759	7.187031120506286
BA2377	28.34113352214924	8.048909750072964
BA2379	11.42833948400689	8.33738191225857
BA2385	8.467507384741557	6.499132998687305
BA2386	8.51453741814126	7.607945839191167
BA2387	6.104785433248432	8.404643286708874
BA2394	7.782469280669589	13.111254023792643
BA2399	7.305345578102778	11.441423685644317
BA2400	10.792542274348248	19.22387339569088
BA2402	6.539774219391059	7.8286036188920285
BA2405	4.2085783786362825	3.3746840174856048
BA2406	6.187537522321613	15.100351324920654
BA2409	4.23851063470181	5.335638013516848
BA2410	15.783475205843052	12.248821025695852
BA2412	1.821471695037475	5.050385275136611
BA2413	7.186157530211142	9.779487361630606
