#Résultats bruts de l'abondance de mutation du gène FLT3 selon la feature isDenovo, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000345 avec le test Mann-Whitney U
  Abundance   TotalKmers  NormalizedExpression isDenovo
  17.551724 1.199207e+10              1.463611    FALSE
  44.034483 6.152350e+09              7.157344     TRUE
  42.275862 5.589964e+09              7.562815    FALSE
 292.241379 9.623216e+09             30.368370     TRUE
  12.758621 8.901402e+09              1.433327     TRUE
  41.724138 8.566528e+09              4.870601     TRUE
  60.068966 9.820734e+09              6.116545     TRUE
 275.724138 9.142983e+09             30.156912    FALSE
 127.344828 8.821732e+09             14.435354    FALSE
  16.034483 1.312078e+10              1.222067    FALSE
  48.689655 7.091594e+09              6.865827    FALSE
  13.137931 5.682211e+09              2.312116     TRUE
  58.241379 8.854002e+09              6.577972    FALSE
  21.586207 5.938861e+09              3.634739    FALSE
  47.793103 6.278038e+09              7.612745     TRUE
  13.034483 1.312078e+10              0.993423    FALSE
  10.137931 1.199207e+10              0.845386    FALSE
  22.827586 7.805526e+09              2.924542    FALSE
  80.034483 6.109573e+09             13.099849    FALSE
 541.379310 9.789722e+09             55.300787    FALSE
  98.413793 7.599737e+09             12.949631    FALSE
 214.758621 8.352852e+09             25.710814    FALSE
  32.068966 5.760585e+09              5.566963    FALSE
  31.793103 5.697277e+09              5.580403    FALSE
  13.724138 1.079015e+10              1.271913    FALSE
 110.482759 9.249028e+09             11.945338    FALSE
 369.068966 7.811765e+09             47.245274    FALSE
 201.413793 9.119252e+09             22.086658     TRUE
  91.448276 7.894510e+09             11.583781    FALSE
 390.965517 8.980720e+09             43.533872    FALSE
  27.793103 1.312078e+10              2.118250    FALSE
  43.000000 9.691247e+09              4.436994    FALSE
  14.965517 1.199207e+10              1.247951    FALSE
 682.379310 1.071946e+10             63.658018     TRUE
 399.586207 8.031214e+09             49.754150     TRUE
  59.275862 9.771467e+09              6.066219    FALSE
  51.310345 1.298227e+10              3.952339    FALSE
 290.689655 1.260141e+10             23.068029    FALSE
  50.241379 8.230549e+09              6.104256    FALSE
  17.344828 6.572317e+09              2.639073     TRUE
 197.896552 5.578305e+09             35.476110     TRUE
  68.310345 9.250500e+09              7.384503     TRUE
  25.655172 5.589964e+09              4.589506    FALSE
  12.103448 6.436533e+09              1.880430     TRUE
  21.586207 1.312078e+10              1.645192    FALSE
  12.827586 6.552646e+09              1.957619     TRUE
  17.000000 7.965646e+09              2.134165     TRUE
  11.172414 6.703878e+09              1.666560    FALSE
 654.758621 1.234512e+10             53.037850     TRUE
 358.931034 8.745010e+09             41.044095     TRUE
 104.206897 8.869567e+09             11.748815    FALSE
 128.068966 8.933638e+09             14.335589     TRUE
 131.655172 9.250500e+09             14.232222     TRUE
 152.137931 8.054348e+09             18.888919    FALSE
 252.586207 9.795604e+09             25.785670     TRUE
 395.827586 8.167692e+09             48.462601     TRUE
  87.413793 8.378561e+09             10.433032     TRUE
 105.896552 5.917689e+09             17.894917    FALSE
  68.310345 6.740566e+09             10.134215     TRUE
 268.896552 1.152272e+10             23.336209     TRUE
 185.620690 6.930774e+09             26.782102    FALSE
1427.586207 1.352301e+10            105.567168     TRUE
  21.413793 1.312078e+10              1.632051    FALSE
 228.068966 1.126770e+10             20.240943     TRUE
 537.758621 1.270211e+10             42.336170    FALSE
 728.965517 9.361311e+09             77.870026     TRUE
 438.517241 1.254036e+10             34.968468    FALSE
 216.206897 8.901402e+09             24.289084     TRUE
  13.758621 1.199207e+10              1.147310    FALSE
1076.793103 1.285754e+10             83.747969    FALSE
  68.793103 1.072766e+10              6.412682     TRUE
 170.862069 9.101451e+09             18.773059     TRUE
  11.758621 9.885019e+09              1.189539    FALSE
  10.689655 8.919518e+09              1.198457    FALSE
  31.000000 1.312078e+10              2.362664    FALSE
  24.586207 1.199207e+10              2.050206    FALSE
