#Boxplots d'expressions du gène FLT3 en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23062.000, p-value = 0.01995
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2477     yes        0.064292
BA2685      no        0.006848
BA2273      no        0.045096
BA2124     yes        0.055573
BA2400     yes        0.041231
BA2762     yes        0.043466
BA2312     yes        0.053919
BA2813     yes        0.047033
BA2211     yes        0.037223
BA2171     yes        0.039831
BA2746     yes        0.022741
BA2798      no        0.010410
BA2588     yes        0.018624
BA2296     yes        0.025226
BA2300     yes        0.025298
BA2545      no        0.001596
BA2840     yes        0.000000
BA2528      no        0.020033
BA2646     yes        0.027274
BA3067     yes        0.000051
BA2926      no        0.042143
BA2272     yes        0.032211
BA2306     yes        0.063961
BA2726      no        0.023866
BA2234     yes        0.077070
BA2022     yes        0.046483
BA2037     yes        0.058499
BA2184     yes        0.021046
BA3009     yes        0.018344
BA2442     yes        0.046460
BA2882     yes        0.006051
BA2347     yes        0.001422
BA2570     yes        0.010557
BA2721     yes        0.035119
BA2728      no        0.008819
BA2098     yes        0.045524
BA2951     yes        0.018157
BA2778     yes        0.004655
BA3153     yes        0.001430
BA2820     yes        0.066307
BA2704     yes        0.032823
BA2584     yes        0.027758
BA3079     yes        0.019883
BA2361     yes        0.001615
BA2472     yes        0.002349
BA2047      no        0.031345
BA2101      no        0.004684
BA2082     yes        0.012920
BA2456     yes        0.019434
BA2175     yes        0.001021
BA2507     yes        0.037328
BA2563     yes        0.031837
BA2984     yes        0.067985
BA2414     yes        0.026132
BA2697     yes        0.015928
BA2644      no        0.023868
BA2011     yes        0.009916
BA2217     yes        0.020454
BA2454     yes        0.026572
BA2776     yes        0.036422
BA2135     yes        0.024411
BA2914     yes        0.005601
BA2500     yes        0.019627
BA3108      no        0.013652
BA2303      no        0.022285
BA2160      no        0.058972
BA2590      no        0.047703
BA3195     yes        0.064294
BA3036      no        0.019645
BA2971      no        0.002431
BA3410      no        0.036943
BA3118     yes        0.004026
BA3206     yes        0.021037
BA3217     yes        0.086179
BA3405      no        0.018856
BA3306     yes        0.003610
BA3413      no        0.017387
BA3411     yes        0.002561
BA3133     yes        0.015745
BA3451     yes        0.016798
BA3286     yes        0.029779
BA3212     yes        0.000015
BA3103      no        0.007336
BA3271     yes        0.064128
BA3152     yes        0.016986
BA3095     yes        0.023257
BA3251     yes        0.020428
BA3362     yes        0.112038
BA3135     yes        0.061405
BA3408      no        0.000831
BA3098     yes        0.033627
BA3435      no        0.034169
BA3261     yes        0.013068
BA3203     yes        0.015732
BA3299     yes        0.018947
BA3347     yes        0.008682
BA3126     yes        0.054394
BA3418     yes        0.003037
BA3245     yes        0.011100
BA3085      no        0.038347
BA3171     yes        0.008842
BA3277     yes        0.024869
BA3157     yes        0.032510
BA3433     yes        0.021451
BA3374     yes        0.031982
BA3450      no        0.011188
BA3167     yes        0.027535
BA3269      no        0.015017
BA3110     yes        0.040945
BA3156      no        0.000000
BA3226     yes        0.049037
BA3421     yes        0.006804
BA3232     yes        0.026550
BA3289     yes        0.002958
BA3430      no        0.009581
BA3384     yes        0.023295
BA3427      no        0.002140
BA3449     yes        0.009003
BA3163     yes        0.002417
BA3158     yes        0.021385
BA3436     yes        0.082168
BA3154     yes        0.002577
BA3162     yes        0.006165
BA3352     yes        0.041104
BA3084     yes        0.048534
BA3149      no        0.004310
BA3169     yes        0.006727
BA3180      no        0.010119
BA3255     yes        0.026705
BA3438     yes        0.071861
BA3345     yes        0.000454
BA3431     yes        0.004330
BA3181     yes        0.003665
BA3341     yes        0.004039
BA3191     yes        0.007618
BA3197     yes        0.034641
BA3448     yes        0.035039
BA3453      no        0.016535
BA3406     yes        0.039965
BA3334     yes        0.007433
BA3447      no        0.020727
BA3116      no        0.002312
BA3280      no        0.024653
BA3185     yes        0.043956
BA3094     yes        0.021738
BA3318     yes        0.024985
BA3216     yes        0.065051
BA3332     yes        0.011072
BA3373     yes        0.010877
BA3319     yes        0.025831
BA3328     yes        0.017171
BA3240     yes        0.020989
BA3142     yes        0.010895
BA3333     yes        0.084506
BA3381     yes        0.009556
BA3290     yes        0.006509
BA3207     yes        0.036228
BA3305     yes        0.016158
BA3434     yes        0.019691
BA3189     yes        0.059241
BA3264     yes        0.057329
BA3329     yes        0.000303
BA3225     yes        0.031766
BA3397     yes        0.017280
BA3311     yes        0.035947
BA3422     yes        0.025190
BA3213     yes        0.013084
BA3415     yes        0.049992
BA3270     yes        0.005907
BA3324     yes        0.020714
BA3335     yes        0.022600
BA3199     yes        0.027116
BA3326     yes        0.021118
BA3297     yes        0.068908
BA3227     yes        0.051788
BA3412     yes        0.049115
BA3250     yes        0.020047
BA3177     yes        0.028222
BA3315     yes        0.010933
BA3182     yes        0.010615
BA3369     yes        0.026352
BA3078     yes        0.054784
BA3386     yes        0.018193
BA3176     yes        0.026982
BA3258     yes        0.021553
BA3295     yes        0.008688
BA3136     yes        0.068189
BA3234     yes        0.039467
BA3087     yes        0.076619
BA3454     yes        0.047924
BA3302     yes        0.060389
BA3117     yes        0.012758
BA3266     yes        0.053056
BA3268     yes        0.031568
BA3229     yes        0.010082
BA3353     yes        0.035545
BA3312     yes        0.004598
BA3119     yes        0.063431
BA3219     yes        0.034831
BA3351     yes        0.014249
BA3357     yes        0.009160
BA3208     yes        0.038881
BA3310     yes        0.077405
BA3200     yes        0.037101
BA3146     yes        0.030273
BA3211     yes        0.023930
BA3130     yes        0.000538
BA3376     yes        0.054915
BA3137     yes        0.010854
BA3300     yes        0.007361
BA3375     yes        0.050986
BA3385     yes        0.027920
BA3416     yes        0.081478
BA3123      no        0.003239
