	KIT	WT1
BA2867	8.57394218930808	4.75868055542246
BA2089	3.23189129338738	-1.24729776016019
BA2224	8.09067732991193	-0.358388935779956
BA2046	7.94314055717551	5.42125052108752
BA2972	8.02685700006077	2.25161428597338
BA2978	4.44482165400227	-1.51459060193487
BA2829	7.62320575204897	4.26475082518245
BA2851	8.58992566833602	1.81871140983335
BA2587	8.15284092667829	4.31365852693905
BA2461	4.86570889780568	-4.90207415836154
BA2695	4.77523727497609	1.27466171665187
BA2623	7.62925234894777	4.65939127413171
BA2024	6.07479305709891	2.5287380218477
BA2426	6.97110220501606	4.4916443156522
BA2271	-0.425828695317915	0.480333759445609
BA3004	6.43437499992686	6.02896726775605
BA2579	4.6788765540465	0.923898419999858
BA3010	4.41460197309359	-1.15112312778785
BA2662	5.59027419096801	2.80849620548243
BA2674	9.2429894144776	2.97848915233881
BA2280	7.13433489569232	5.3789226513503
BA2512	2.98186111032531	-0.245480641116488
BA2658	5.58159000678894	-4.09430858942349
BA2394	6.89644993218602	0.434869386245465
BA2950	4.65477615366599	3.5116313094685
BA2981	4.87586349576247	4.71085683477021
BA2934	2.17173440950598	-4.1350893046353
BA2539	4.04879675825088	-5.23207573552585
BA2249	7.01472936087095	4.98372592715582
BA2034	8.61607464234973	4.6274902964939
BA2109	4.81867438751018	-2.19345672998365
BA2242	4.90326139384486	5.67202091636779
BA2277	8.35358316301659	4.31178419876392
BA2727	7.28438406463884	3.80075983876638
BA2132	6.09600230844392	4.59116887928136
BA2618	6.99925381802676	0.340080738646224
BA2521	6.90558799283489	4.66009956525948
BA2846	7.00565090016862	5.1273934607462
BA2885	1.13209845200278	-2.88217442288734
BA2639	8.95438322249582	5.10037153191854
BA2775	3.52621202722456	4.47902169597731
BA2402	6.7630173908565	3.78046913292847
BA2097	7.10771088589405	-2.80619697770706
BA2786	2.25371361358042	3.31782552417921
BA2399	6.48220324595878	5.14082982502073
BA2850	6.27245301532753	4.61292317521801
BA2174	6.06843510757967	1.60136191099771
BA2004	7.08821062221174	0.338252851402753
BA3001	7.12590219224429	5.67239321044761
BA2311	4.39292391038912	0.585076282677859
BA2483	3.32807645348226	4.43932284602221
BA3040	7.90803356905227	3.145024554735
BA2837	7.52987979374564	3.5970577193442
BA2724	4.5990180150559	3.05833632772676
BA2911	6.75946045637828	3.95847739460523
BA2256	7.01129464656936	5.70411525165464
BA2821	8.00107447892983	4.8980399466675
BA2233	6.24592732813786	5.03856627298611
BA2744	6.45401948854285	5.21184609169853
BA2880	4.97805997780333	-3.78517780161679
BA2621	3.5362979263788	-3.36366404396703
BA3002	2.97228864719493	4.23280074999323
BA2501	5.07976129224881	5.21291531865443
BA2993	6.26748667871903	4.13049769125671
BA2301	3.86710818348133	1.62175301006191
BA2852	4.67708963797245	1.20185386100513
BA2133	4.28927616177022	2.28415307068272
BA2866	6.35306835134338	3.04760276272772
BA2212	6.32036876736161	-2.04413465499093
BA2685	5.48468121276611	4.89626395355883
BA2273	7.37675245327076	5.38659608185088
BA2477	8.57659398663682	5.04032746317028
BA2659	7.88793681406652	2.43004147850229
BA2124	6.65845499115322	4.7551991824947
BA2363	6.91665453342353	0.0598717889754852
BA2369	6.92764387831615	4.49091605473907
BA2534	6.74557828155057	5.72213373131707
BA2400	8.25764420926654	5.14860760321253
BA2762	7.60044547310861	5.99191122538936
BA2312	7.8894951557827	4.46591200459637
BA2813	6.33918453468976	4.66362563596561
BA2211	5.28073246291878	5.88486366591165
BA2171	6.40503611780804	5.13837383282281
BA2746	4.63527142594282	1.81007217009569
BA2798	7.01129464656936	5.19978192962276
BA2809	9.26335235036244	3.05605087787581
BA2288	6.31720357778214	1.17134115218982
BA2801	4.13824319852488	-0.445016850886156
BA3030	7.15557221270197	2.96013126473532
BA2588	7.66735491479546	4.33865898893468
BA2296	7.55867055300222	2.07551474804364
BA2300	6.90492530830845	2.67316258429304
BA2903	2.6560583580885	-1.92600863140393
BA2473	5.65139228908545	3.22280615930821
BA2545	5.62868512576849	-3.89656899425599
BA2840	4.79032535890257	5.9610279397687
BA2528	6.79158437688518	0.886017027727296
BA2646	7.53867754134672	5.95076318092024
BA3407	4.94668602882429	-1.9002011047749
BA2240	7.7729524118183	4.64626652070706
BA2926	7.01543819204674	1.87236961151542
BA2272	6.3423350524195	3.41089377515077
BA2306	5.04621645682115	-0.678720436366109
BA2765	3.98649459567883	1.08462446930952
BA2904	7.79663560293131	5.13368956327964
BA2883	5.99890598903284	4.26019711740886
BA2726	-1.00974723907371	-3.06313442854582
BA2234	2.12152501264232	-4.24541320330485
BA2022	6.15311168314809	5.61175957380568
BA2228	5.62043017440298	0.045431040067311
BA2037	9.4045391740165	4.86953629253026
BA2184	8.44966638628301	0.818865101075557
BA3009	5.96264354381231	2.08727891982769
BA2842	2.25911507046517	-3.50410379627379
BA2442	6.41897137635364	4.12413716528858
BA2882	3.53291440511488	0.401247901583782
BA2758	2.4978306958102	-1.87134236175322
BA2705	6.8576823032308	5.3981837734462
BA2663	3.17350672344865	-4.54627919628903
BA2570	7.24138386390375	5.78002501253586
BA2764	5.17699814732324	-3.2626742370293
BA2209	7.02415111976065	3.40232320404657
BA2989	7.32679901700122	7.22379610574448
BA2855	4.85724763111666	-2.3713037003904
BA2261	7.74808252538179	3.49157457610035
BA2721	6.34190143280827	1.84264214892674
BA2930	2.84242237772409	-5.01843058152471
BA2728	6.63655252284443	1.96116361160545
BA2715	6.53249965977741	3.87438735330881
BA2469	5.80492505261512	2.78634530060665
BA2269	3.10489818725874	-1.04532144447794
BA2098	4.7941665840707	1.42445356632705
BA2778	3.17944274470636	-0.502629849930007
BA2951	6.73467335194796	3.35747250812773
BA2163	5.72978046990601	-0.186674284721414
BA2379	5.43621855884092	-0.628608654772086
BA2817	3.81521123693014	-1.24729776016019
BA3153	5.02619905861961	3.89787249471578
BA2820	6.19646958807837	2.72686185532426
BA2723	5.3277279235139	3.58414339703454
BA2704	7.27022547665066	4.89978807487584
BA2088	5.81570333041158	1.71822473873366
BA2116	6.54042498941119	2.20786647422011
BA2584	3.43900565903568	4.15661160010825
BA3079	6.59785150913547	3.2890601366061
BA2417	1.25696002199891	-4.23106940660728
BA2361	5.51462217129908	-2.68981786198312
BA2450	5.06562997256811	4.65477615366599
BA2492	3.30695131155452	1.49232098276003
BA2552	5.54506701473391	5.97812067314416
BA2472	4.23625755420962	1.2450550586815
BA2994	4.69471321352097	5.4417363654644
BA2047	5.53758769155616	4.38521059006741
BA2101	7.01271335596315	2.83461003267086
BA2082	8.0179995830141	0.922533427167959
BA2879	5.92036694036748	5.38079659978033
BA2577	8.44724078411408	3.94226157127552
BA2456	0.240701063558228	-4.81543989176866
BA2175	5.41173058943586	4.23018449932999
BA2824	4.91302715387873	4.63953342719534
BA2507	7.49457772487061	5.39347949789235
BA2563	3.16152901437988	4.65156349192333
BA2244	8.04591780353771	4.05362124684688
BA2470	8.74800571415782	0.136800381557917
BA2984	5.55778136463102	4.41056176363704
BA2414	8.45696872743274	4.40032348503011
BA2697	3.02935460711532	-4.08215496684175
BA2079	2.04428550060962	-5.04280924140603
BA2999	8.99906762077278	1.03724504422622
BA2644	6.33046496181519	-1.73745106536545
BA2011	4.6706843537504	-2.25024161031404
BA2217	8.64449262965366	4.2155795317414
BA2454	7.15951987646114	3.75932554703006
BA2776	5.87139334737162	5.5235514118888
BA2218	3.9200316734717	5.88879613535989
BA2135	7.52987979374564	2.15347373817709
BA2914	4.80249649532499	3.07081282165681
BA2500	5.25002967084118	5.52174962133348
BA2830	7.40017541649469	5.02518880255228
BA2406	5.17988483740919	2.21611595199145
BA3108	9.03429954865997	4.92175101940742
BA2924	6.97518866229435	5.41099569804948
BA2303	3.81737153202812	1.7013068862714
BA2160	7.32489473499785	5.18090832776529
BA2038	5.26497574003642	-2.77402372187259
BA2602	5.31033947454173	-3.25498441404272
BA2964	5.53350703365187	-3.57040228180244
BA2898	5.73858169391831	-4.54627919628903
BA3003	5.15703871631077	-3.58001398400949
BA2111	6.09048118374774	-5.89901264481663
BA2827	5.60231976530737	-5.32182883491996
BA2912	4.7189671068174	-5.48456512973844
BA2437	5.57895756058083	-5.29146950758079
BA2283	5.17806224044823	-4.73260581696559
BA2057	5.10629601616429	-4.67457207325032
BA2633	5.33399944565982	-3.62823581497859
BA3034	5.34471469248409	-4.92494998809084
BA2607	5.58195119803049	-4.81543989176866
BA2761	5.04377519736749	-4.51188171220191
BA2795	4.93540010442141	-5.32182883491996
BA2182	5.4501485597404	-5.29146950758079
BA2152	5.45636731851438	-3.76376692929786
BA2381	8.43517613550052	-1.20566862139212
BA2931	5.82897025310715	-5.06940152020186
BA2040	4.10430197787171	-4.39675812570909
BA2590	7.03196402344294	5.01358911563759
BA3195	7.83268389248944	2.60775035053937
BA2516	6.90032088066256	-1.91775460540489
BA2353	8.40664550150058	5.10386434450347
BA3036	7.26503778677364	4.65227257820413
BA2971	8.84806156927188	0.426179251835628
BA3410	6.36512999451549	1.69643229602706
BA3118	6.67724465459247	5.00103650264355
BA3206	9.08862153045619	2.02588669433336
BA3202	4.94702787792631	-2.28483384953305
BA3217	4.81514527019492	5.30422441487673
BA3405	5.70948396756837	2.00197026228675
BA3306	4.17828103107484	6.076080299653
BA3371	6.16270217963845	4.60901148734067
BA3413	8.43037965011906	-4.85765657835027
BA3411	7.23805703314362	2.50593451743868
BA3133	8.44966638628301	3.88164907830794
BA3164	5.95559861955689	4.72110255717993
BA3451	4.06401487195903	0.480333759445609
BA3286	7.00490622738367	2.45794339630419
BA3212	1.8338629705864	5.67621163724687
BA3103	7.43138197639579	5.42346427521642
BA3271	7.53974354156668	4.11545446015405
BA3152	5.91992653150053	2.50132753227187
BA3095	7.10160504306164	5.0076178177708
BA3192	8.52190108216259	6.45401948854285
BA3251	6.08621852980205	5.38622445069567
BA3362	5.42125052108752	-3.29429542282984
BA3400	5.89003355654074	6.56119717042577
BA3135	6.26881149847343	5.46114309064973
BA3408	2.57836343869641	-3.80664194981464
BA3187	6.4417602152858	4.68695768946558
BA3098	8.32449794408229	4.37709807675879
BA3435	9.3735473533766	4.40728719351658
BA3261	8.07426638068647	1.11579111852859
BA3203	6.97250726431014	4.39626829820345
BA3174	5.73207630464099	3.25577411362013
BA3317	8.78412431760784	4.64945091473465
BA3299	4.04672215210504	2.51471286851075
BA3221	-0.38969003685215	-3.09952930713356
BA3347	1.22944543113974	-5.44980241668477
BA3235	1.81606762523089	0.802541542803928
BA3126	3.2401351714745	-0.874344282646842
BA3380	6.34190143280827	5.61175957380568
BA3089	8.79022656584331	5.83331901871842
BA3109	5.96945929693027	4.21713539157627
BA3114	5.7641069155357	2.8212344806284
BA3418	6.62357481456438	5.55401941905853
BA3245	6.97993778438247	1.46705136474485
BA3085	7.56321071069528	2.81214553611961
BA3128	7.00991256129177	6.30235584618443
BA3423	5.53058601108242	6.85394237356265
BA3173	7.1445927897216	3.78183665697138
BA3171	9.14481502348153	4.91582389660128
BA3277	6.44947039282618	5.54319628882121
BA3210	5.28864753312789	4.31139818183838
BA3157	8.42559982560594	4.58834815635997
BA3433	5.70146183160515	6.59094704308975
BA3322	4.93470537442066	0.655067770643772
BA3374	5.53239656043462	-3.79587739203727
BA3450	6.72640507458581	5.18903133216933
BA3167	8.40194775982719	-3.44128537526743
BA3269	7.55189787670547	5.74901581721608
BA3110	3.17892025585561	1.59633049420931
BA3156	6.61592394796106	0.761761134838423
BA3226	7.7045927999637	4.87132809398228
BA3421	5.05080635120384	3.06916845509247
BA3232	7.12266775163133	4.96757627610674
BA3289	5.08151823941693	2.35005000227063
BA3430	2.4702039958371	1.06072552834851
BA3145	7.58759859001841	6.59418114772064
BA3399	5.58084969783205	2.22263895371536
BA3449	5.95439094102815	3.88759266109837
BA3384	7.56567805381962	4.30874915362319
BA3427	7.66369633945432	-4.1482821722357
BA3163	1.17134115218982	-1.02180568349746
BA3158	7.45963779857083	4.15189910009998
BA3436	8.47663077360064	6.17945197942918
BA3154	-0.227067223199409	5.9610279397687
BA3162	8.49657233882556	4.77101825718542
BA3352	6.99719018449603	5.61931055876377
BA3084	6.95213438220586	2.2972229754926
BA3149	5.90555861314736	3.98490830991574
BA3169	2.62283712368534	0.442049233640373
BA3180	7.79093203959201	5.93293802015649
BA3255	6.40926123688896	5.24829517363935
BA3438	3.9216388561837	2.0372110076916
BA3345	2.02417937472789	-2.41345187456505
BA3403	4.68063578286025	-2.26970788857989
BA3431	5.74901581721608	3.6308400704352
BA3181	4.39774491020096	-1.07355268290721
BA3341	5.75832214709053	5.10560874455999
BA3191	6.79520689964912	3.89874814101412
BA3197	5.66936167999459	5.16179139260484
BA3448	8.51679913189176	5.55285643961997
BA3453	7.12738803665014	5.81201009033099
BA3406	6.73404028171299	4.05442369128834
BA3308	7.55977224878375	3.44707594335609
BA3186	8.10894763837049	5.14045385048919
BA3334	5.02586431491849	-2.63015443964561
BA3447	5.94021025458643	1.62856158488449
BA3116	5.85542200416075	-1.22174941388341
BA3280	6.01005588113279	6.34641294876492
BA3185	5.6098838682387	-1.12919609419543
BA3094	5.75137733831877	-4.71341683075557
BA3318	7.574849932275	1.52871884395893
BA3216	6.67285627660237	5.30385008887993
BA3332	6.47025472959033	3.72423831936426
BA3214	5.9785222997962	2.864896220199
BA3099	7.20386734649371	4.73332796808207
BA3141	7.23894729675129	3.84781880682402
BA3373	7.56206988956539	4.01564420631153
BA3319	6.19521896796153	2.67193525140673
BA3328	4.62535414272787	5.15886081295599
BA3339	-0.08887661487244	-1.03349390851114
BA3240	7.69023500088856	4.89307544639423
BA3142	5.56967790109069	2.76537822210362
BA3333	6.99516443206292	5.50571962151203
BA3381	6.39210318114874	1.6503374693223
BA3290	5.14045385048919	0.0926804615502324
BA3207	3.08252840570975	0.354427733094645
BA3296	4.19910119394124	-3.33738366633407
BA3305	3.81612780124423	-0.222304755975519
BA3434	7.19312453230448	2.47499683281725
BA3189	7.06371663624663	4.26475082518245
BA3264	7.54625616208849	6.12432253652151
BA3329	8.05115312612603	5.67621163724687
BA3417	-1.04532144447794	-2.13185488071417
BA3367	0.962688765366786	-4.05654798305505
BA3225	2.72493519321927	1.04757167795659
BA3183	7.48057619109315	4.25188785363416
BA3222	4.25414001013237	-4.42855988318268
BA3139	6.63599137571399	5.43474590254893
BA3397	7.35390839708449	4.66469709693692
BA3311	5.94099029232779	3.33591126074654
BA3422	5.54020534264446	6.4204445396971
BA3228	7.17116786854616	3.61153028695549
BA3213	7.8503248353151	3.76410960196055
BA3270	5.48358277984793	2.30441317316503
BA3415	9.88079564639631	4.15267733940571
BA3324	7.81101053195418	0.648604039309271
BA3194	6.63330728837913	2.31383516537733
BA3335	6.17773554711095	6.945568125872
BA3199	7.59808663804993	2.19973496912707
BA3326	-0.0006124782671186	-4.5290964030898
BA3285	7.78681257977187	5.32735211170593
BA3297	6.74447949059254	4.64092236598375
BA3227	7.40017541649469	5.76218019652153
BA3394	5.43546904513176	2.91539060930385
BA3412	4.96266025809675	-4.27362100180234
BA3293	3.4550470720229	5.9931420196416
BA3250	7.12738803665014	3.78709611871678
BA3177	7.40108920011618	5.00727174004895
BA3315	5.33868120504246	2.62419048702299
BA3182	7.4382687261571	3.94517715004268
