	KIT	WT1
BA2392	8.48407580140491	-0.949108598338083
BA2611	8.46430959418229	-1.34397869390183
BA2506	8.46185834013681	-2.05373083819241
BA2430	8.48906113697349	-1.22174941388341
BA2448	8.46676516104844	-1.15439319370764
BA2730	8.46922505155083	-2.31036330948229
BA2845	8.53990253916599	-1.14118673133773
BA2326	8.52702131941912	-1.31682085580989
BA2341	8.54768703664719	-1.33055940349561
BA2612	8.50160207030541	-1.36720517947145
BA2973	8.53215993801742	-1.51804371313603
BA2390	8.49657233882556	-1.50372570372901
BA3218	8.48906113697349	-1.3568562659869
BA3105	8.45209623715645	-1.72584860763551
BA3402	8.44966638628301	-1.11055379864118
BA3276	8.40194775982719	-1.72584860763551
BA2409	6.89778124838191	2.42527027407431
BA3037	5.49725940478877	5.89603275873882
BA2496	5.51241676925768	-1.85443649196731
BA2172	4.37272792121348	4.30240606521426
BA2865	8.38563253120242	5.13442321095142
BA2923	-1.83754692529431	-4.41297117108437
BA2751	2.3627073872351	0.230814197880978
BA2480	5.00103650264355	5.43991302011835
BA2286	8.5872495962732	2.85220606273854
BA2922	9.77539354132974	5.65028439106862
BA2452	9.0271917203024	6.02615955253131
BA3379	8.66689198102969	4.06768255183074
BA2887	8.0301567645062	5.11638292117158
BA2712	0.402949581289092	-4.21691190609306
BA2068	6.7421473941764	5.2868395453686
BA2236	8.09435501163422	5.73442845067299
BA2104	0.598455727053896	-2.90198965929373
BA3124	6.29048213777498	3.08537081267169
BA3395	6.84399982384708	3.48569837262195
BA2921	9.60422004710875	1.83912500107504
BA2449	6.87788091401863	1.62272533517422
BA2003	5.06527754778608	5.76722856076773
BA2360	7.94635895319707	2.83094506139995
BA2802	9.09230819306279	3.47498947045849
BA2235	8.0044307958278	4.54878748959104
BA2858	6.02698748997862	-2.05373083819241
BA3038	7.71347289714959	3.84606667062873
BA3006	5.2871864159011	4.0102959705863
BA2245	9.85077214115986	-0.711977832459023
BA2667	8.75396729152058	3.12161168962479
BA2239	5.0610421966443	2.07076624330663
BA2782	5.3063518272781	2.60775035053937
BA2649	6.45042558800672	5.96386071356046
BA2488	7.52428329559334	6.0908744011171
BA2861	7.79956921933088	2.47226396684629
BA2909	6.47866220517702	2.23163840559511
BA2429	6.57560815980456	2.18540487795531
BA2653	0.779913057719338	4.87551304793432
BA2134	6.16187946786899	-1.26036729993896
BA2947	6.64131489127646	3.46604952680908
BA2032	6.53646349390772	6.35536228255588
BA2162	8.27031665707811	-3.00488579996363
BA2564	6.76240903317338	3.55179272966768
BA2597	5.54658259376352	6.14759404853347
BA3243	7.38062061343463	3.87740393249645
BA2106	7.77713213848426	5.57448750435834
BA2427	5.71100608100859	5.05220075930866
BA2841	6.71667600372627	1.39625212579059
BA2446	2.69090003434147	1.23682676475754
BA2645	10.0958725482412	6.46040057966304
BA2525	4.05402094746754	-2.45561174580429
BA2876	6.00881830211778	-1.03653723642118
BA2357	5.46954197713849	1.53598005102551
BA2546	6.5518017021576	-1.30656643508874
BA2742	3.1321279031107	0.69745683162882
BA2316	3.27431420538309	0.899094483682124
BA2421	1.76094876809065	1.33242763824809
BA2087	8.58375614592974	-2.74343030506397
BA2910	7.45571345371651	6.99719018449603
BA2148	7.71472395965624	6.9848366218031
BA2063	2.4375086335962	-0.311019673586418
BA2329	6.61117532741348	2.56729980684005
BA3178	6.71780036034788	-3.69977436376083
BA2072	7.31397253852267	3.92905779716509
BA3029	6.52375465899181	6.97250726431014
BA2733	7.2371970090631	4.79905769578442
BA2995	5.70643173596218	-1.33761435343488
BA2069	4.07958610816328	-5.52091327378807
BA2100	5.76256437697443	2.94360662853157
BA2681	6.69356109841864	-2.3713037003904
BA2248	5.93163668749835	5.35117907046834
BA2832	7.30411511402805	4.42301685254278
BA2308	7.60989112051761	5.74861209266001
BA2413	7.69420627031986	5.71138116672011
BA2701	6.3314194986068	4.0672793038812
BA2634	6.86903485569995	3.4336264767336
BA2677	6.69580577134555	3.09979908032792
BA2937	7.32489473499785	1.39174765918177
BA2600	5.59027419096801	3.30695131155452
BA2019	-0.780448523359928	3.40886684712213
BA2412	5.79950973684786	0.282808392042098
BA2334	4.93436696034119	5.38151536241943
BA2050	6.1180523945273	5.04032746317028
BA3230	6.93827202821145	-1.21505154279673
BA2953	6.81086164089737	2.61162716808333
BA2481	5.46628439479905	2.61955658601987
BA2731	6.4137172012398	-0.387302959250216
BA2294	8.904319577833	4.4462798870641
BA2418	5.42857060288721	5.79950973684786
BA2816	5.36072833704901	1.00727712946517
BA2656	3.65263152336696	1.56426458726311
BA2814	4.23701647161103	-2.47214238978326
BA2631	7.37396310701658	3.92905779716509
BA2023	-0.425828695317915	-4.79464204484053
BA2375	7.47830743039593	3.92287499831834
BA2485	7.17116786854616	5.7175568767915
BA2455	0.213349457050806	-2.78034077718535
BA2025	5.99479766689368	1.76917277909169
BA2636	6.64186594668035	-3.29429542282984
BA2325	4.27232629182903	0.896118049614534
BA2169	7.30411511402805	5.97158629049038
BA2156	8.99558616821901	3.04704895342493
BA2511	4.81690090080098	3.55468554456962
BA2939	7.64377441186557	5.15740286046687
BA2168	3.54447318338801	5.643896541446
BA2505	6.69861654752334	3.83524914634314
BA2860	6.10105446354612	-1.19258977282178
BA2707	4.47937233979517	-1.26036729993896
BA2871	6.4442145827922	-0.399277296625941
BA2655	6.1522898333018	1.33464381417527
BA2227	6.87084783224833	5.05720665133944
BA2125	7.24473994098098	4.20135659440007
BA2523	8.62516478231551	5.39780333094655
BA2603	6.26033254809805	4.06201254185105
BA2808	6.80486837491	4.89343215555138
BA2282	0.275450535390316	-1.41890702362989
BA2482	8.51425498508966	4.36127695713154
BA2812	0.390163792184238	-1.50022208785386
BA2822	6.64684027167279	3.80773072741873
BA2594	7.31665510949842	0.507602595468108
BA2747	6.53543485984192	5.04409921416931
BA2561	1.51130448384538	-5.29146950758079
BA2567	1.72847085742469	-3.85126035696575
BA2906	6.151452910791	1.60231574737047
BA2956	5.88606180557595	4.14366264706437
BA2474	7.37771038448057	4.47099076274074
BA2737	3.93165864889064	-4.30318114320644
BA2110	3.98774117772589	2.0116554134637
BA2992	5.40957494113667	4.61150443110127
BA2220	5.05504885396523	4.86534712878217
BA2772	5.93332587992066	4.92736106288858
BA2935	6.4108151402329	3.66845105159953
BA2260	4.5552347102947	3.58742662131399
BA2676	7.74536502725477	1.70326872127497
BA2948	7.64255001400601	2.96409346879
BA2524	7.27555120012057	5.84150393894181
BA2811	5.21501701134356	5.683055970914
BA2540	5.98011491063707	-3.54072073336428
BA2928	6.05650405294687	-4.04278359661597
BA2302	6.56685915377229	3.76902108983222
BA2595	7.36047250037276	5.98011491063707
BA2792	6.66177361256097	4.16205900590607
BA2651	6.88867708372879	4.95506412387923
BA2619	8.67821802831458	4.58691244592694
BA3013	5.69333061318898	4.09676624641316
BA2405	5.94473215258657	2.7380162918585
BA2735	5.40147695209821	4.27308792912525
BA2856	5.36476332195428	4.14600944932061
BA2377	6.32635613681556	-3.73132773416127
BA2499	8.03722226484621	3.56956667884493
BA2463	-0.256578476181957	0.234841923860152
BA3023	5.91320591729895	5.08080248801388
BA2095	5.73627139725326	5.66319728629148
BA2901	4.75201016058728	1.87236961151542
BA2275	7.82833379039141	2.95951917174378
BA2387	8.6279105840654	5.85107379352105
BA2962	6.10621461216555	2.81275421711373
BA2195	6.92111028015582	4.70980361858599
BA2688	5.64352989350398	4.16358431723126
BA2787	3.13490199455068	-4.16221322156868
BA2420	7.9003747386446	3.94179623964938
BA2756	6.19822146547957	5.4113491881704
BA2122	4.4543011664344	-1.6782559541387
BA2053	7.50105244518025	5.6154952630376
BA2080	8.30255392241405	4.62926177132124
BA2081	8.48656626341456	3.53338878205588
BA2354	9.28155652487085	1.42234206716286
BA3273	0.651829022283505	0.919835106636856
BA2893	6.14672505812723	4.73904359343724
BA2044	7.70961368830257	3.57238938006016
BA2489	5.95233629524957	-1.97374829109098
BA2309	7.13359161213086	3.41508060163647
BA2720	5.0932101529727	4.01157335883524
BA2908	7.7071077714624	3.715145145311
BA2054	5.13193342655662	2.44926156327769
BA2872	6.41806054956223	-3.36366404396703
BA2526	5.60348204059795	5.67432622931416
BA2041	6.14889515620208	4.90986474335253
BA2464	7.70197141870837	5.40147695209821
BA2902	5.85341733924409	5.28073246291878
BA2541	7.62080780455831	4.01070643303874
BA2143	7.12590219224429	2.54544196723504
BA2094	0.162179847700664	-5.26179066275894
BA2769	6.82369230677028	2.5287380218477
BA2843	7.68775219309565	4.08320598972476
BA2592	6.28328278970437	5.6144197194819
BA2497	-1.79323399416306	-4.2593293039235
BA2718	7.99739906746641	3.85471716317187
BA2575	5.99724316529864	3.18055040086097
BA2096	6.21496669116308	3.5589954761134
BA2593	5.69295647546023	3.05037898922433
BA2791	6.3688389446517	5.71798453197329
BA2620	7.19985683529985	1.51028957469975
BA2629	5.91637612602088	3.80689635661131
BA2870	2.62348222679061	2.10589181824348
BA2423	2.36769406332286	-3.2138968635892
BA2682	7.64895583047878	3.98571420800687
BA2276	5.42161592263156	-2.26970788857989
BA2348	2.91773529558035	1.35850244646445
BA2709	6.00841658197255	3.43199360390782
BA2789	8.25344779136567	5.19197507986882
BA2694	6.30006188044534	5.04514940290603
BA2538	5.37928711694374	2.14795123434684
BA2583	7.81538872947805	0.521473783310622
BA2415	4.50065722085035	-5.52091327378807
BA2722	7.10612705087253	4.37013695316732
BA2806	7.51084212363206	6.00261866586335
BA2221	4.19332061557143	-4.44520274654728
BA3025	7.20800173217813	5.54282665462534
BA2514	5.86940153677441	-0.467690122476436
BA2520	4.68486735962429	2.02174840979331
BA2441	7.72277870826456	-0.2940815573697
BA2153	8.99906762077278	2.22782247296683
BA2479	3.64055833212888	1.82959006870799
BA2281	4.88780360986739	5.49981147623839
BA2657	4.35206524028425	0.0966736139010029
BA2932	7.52657913903788	4.90950444103544
BA2123	6.19874995357892	4.53626577730074
BA2844	7.31484141146978	2.58314249436544
BA2660	5.87260128091849	3.26012105846324
BA2836	7.15078589361001	5.49691431965408
BA3027	2.43277955517649	-2.10431960916538
BA2714	7.35673455123978	4.23933489780631
BA2139	1.49445405603774	-0.83667589124871
BA2251	7.64135506224067	3.43509567116173
BA2952	4.05764463767079	-0.14370738490567
BA2440	5.83560892628546	-1.09216466114694
BA2036	5.0083041453619	5.19556313505125
BA2828	7.44544500262934	3.62141192551751
BA2292	5.99724316529864	1.49556026112022
BA2410	7.51527675972318	4.88291011197608
BA2051	5.25714318052804	4.44117628286088
BA2532	4.7790741086654	4.33752896301929
BA2986	8.01965582601105	2.59481330964079
BA2494	6.43793151264448	4.5237112413054
BA2515	6.68127929274665	-1.82157211250373
BA2748	7.62437772428186	3.05203364858804
BA2970	5.98303645552473	1.19828391483052
BA2622	4.83724303208421	-2.24528625370186
BA2839	7.48490734822992	4.44843050304205
BA2052	5.78192253760815	-0.586590827897
BA3011	3.98080879790434	4.97596941537187
BA2868	6.52324588492183	4.4281166894281
BA2510	6.50804753914762	-4.54627919628903
BA2065	8.25974759702626	4.95747206659002
BA2691	1.42234206716286	-2.08150014081258
BA2374	7.01983909137586	4.30351985382614
BA2804	5.98220791058853	1.03724504422622
BA2670	5.55778136463102	1.59446420714529
BA2675	7.92045916247849	5.40039592941304
BA2589	5.29733962996603	5.03186421268284
BA2031	4.36276075031951	-4.59957033850824
BA2198	6.53495824677914	3.21214927956067
BA2066	5.94221717949707	0.244476133616038
BA2344	5.28107931681894	4.61432758787758
BA2459	5.17241204196236	0.745008053589273
BA2229	7.33250978911574	6.86407290374975
BA2559	4.47062750328023	0.907573624801598
BA2093	8.6697155276332	6.05912302323741
BA2000	7.94314055717551	4.36978016763227
BA2425	5.65372634921578	0.946050220237291
BA2905	7.50539293842063	2.29057658536721
BA2304	-0.736047992509252	-3.78517780161679
BA2976	6.62737493861003	2.20713040749132
BA2386	6.41227021268222	5.64166399423883
BA2035	5.79487700443781	4.83096192899042
BA2760	5.5985184260425	2.43961255695851
BA2201	5.93777047922961	2.54413689826714
BA2355	4.98897342757444	5.15956280499738
BA2113	8.53327685252825	3.84650283387536
BA2155	7.62437772428186	1.81349408147165
BA2955	4.5391313162393	1.1015901745641
BA2502	5.85381815948029	3.04645928221156
BA2322	7.97894297933459	4.78539668733183
BA2376	3.16972930293428	-0.543214915721396
BA2020	5.28216189346069	4.72354417544082
BA2226	5.88838394030345	3.32603631681627
BA2200	6.80486837491	5.48468121276611
BA2121	5.77488348222962	1.79218942654284
BA2944	6.94758145894243	3.68217215988785
BA2033	5.59251221721887	2.10138671423736
