	ASXL1	IDH1
BA2392	6.54408446340443	5.74395799798389
BA2611	6.53249965977741	5.75871811902643
BA2506	6.5242368874556	5.75871811902643
BA2430	6.58462737788517	5.80931856446972
BA2448	6.52324588492183	5.79121445090041
BA2730	6.54408446340443	5.8227080060065
BA2845	6.42575430557831	5.67963455085071
BA2326	6.42858727965842	5.67432622931416
BA2341	6.42763769743183	5.64918681238206
BA2612	6.45455803457724	5.59924503664906
BA2973	6.40360502181603	5.63166253168885
BA2390	6.40264148496757	5.6571193282783
BA3218	6.44565569212713	5.60116902965989
BA3105	6.54096638153352	5.68416732949988
BA3402	6.52120608932454	5.71798453197329
BA3276	6.53695474326822	5.7151540674209
BA2409	5.50426621763009	7.52082148621471
BA3037	6.49002795768883	5.44138513248386
BA2496	5.62715965117615	6.59256890621003
BA2172	5.7983454299058	4.82328175599878
BA2865	6.1921407741856	6.97794904447586
BA2923	4.94273522337111	8.2618544484033
BA2751	6.05776567233175	7.15246698865564
BA2480	6.00011677121632	7.35298985161002
BA2286	6.04154865344481	6.15608719552673
BA2922	6.58783674116998	6.60792383481337
BA2452	6.28373604828764	6.40688318423783
BA3379	6.15698094792798	5.94263228316548
BA2887	6.0444352624309	5.85144934754927
BA2712	5.75681040063766	7.45375064871774
BA2068	6.08966256500214	4.80607814010981
BA2236	6.00513768153823	6.90558799283489
BA2104	5.3920043604829	7.73732673360922
BA3124	6.7478553015081	4.22136650202706
BA3395	6.06345159600226	7.16547841878937
BA2921	5.84190332625174	4.79871964465787
BA2449	6.06168577538942	4.22750729569156
BA2003	6.17121351437265	5.20261254311813
BA2360	6.04734642903678	6.61867340597626
BA2802	6.2850706491728	4.3579546600223
BA2235	5.74011278993299	7.1956195388029
BA2858	5.98876336939614	5.32198845078755
BA3038	5.48611835069995	7.20973552997534
BA3006	6.04816746430603	6.49699294257919
BA2245	6.25762029146855	5.4241733124076
BA2667	6.03566200297907	6.49799553338119
BA2239	5.69838933100617	7.14764743423536
BA2782	5.67546263774049	6.64358377452482
BA2649	6.31810358288684	6.23214914518013
BA2488	6.19690129645258	6.35757561884313
BA2861	5.9027386298111	7.03549223810054
BA2909	6.02245886806957	6.34548467937847
BA2429	6.42530173541054	5.11958001435747
BA2653	6.90161368403515	4.90152753707883
BA2134	5.5372259675426	6.53396722315737
BA2947	6.61700352029779	4.83268199793827
BA2032	6.05692203263316	5.82000063861969
BA2162	5.92314727428924	5.33028268437174
BA2564	5.6860968528657	6.85832315809809
BA2597	6.08666258593702	2.84361014461716
BA3243	6.03404286985942	5.4843036495526
BA2106	5.94392026663398	5.19270680337974
BA2427	6.46136172333021	3.18975730461156
BA2841	6.45648309857568	3.95599802451469
BA2446	5.8769475456825	6.55661288461065
