	ABL1	IDH2
BA2000	0.0146845710165825	14.40477141252977
BA2003	0.0095313626532083	10.444606208122014
BA2004	0.0112418889689978	9.47853955502906
BA2006	0.0060003604902667	26.80782525080517
BA2011	0.0100919250180245	7.141062161428448
BA2019	0.0196629416005767	23.767719449894493
BA2020	0.0263392213410237	27.526205308555134
BA2022	0.0168979812545061	14.42544334209455
BA2023	0.0098017303532804	9.580977011068745
BA2024	0.0110868781542898	12.959603110847864
BA2025	0.0185724585436193	17.09745843976357
BA2031	0.0146377072819033	6.298093609249867
BA2032	0.0132462148521989	13.563433686249832
BA2033	0.0081723143475126	7.84018666321154
BA2034	0.0197494592645998	10.043641098730244
BA2035	0.0183687815428983	21.12425819667074
BA2036	0.0147530641672674	11.455208047976898
BA2037	0.0234264599855803	15.16654102962771
BA2041	0.01598774333093	30.20371065166155
BA2044	0.0127793799567411	10.670400566393957
BA2046	0.0203460706560922	20.1158632880465
BA2047	0.0213968997837058	13.860609465812756
BA2050	0.0107462148521989	17.39780454472538
BA2051	0.0223882480173035	9.807279976307704
BA2052	0.013585075702956	17.596149347844865
BA2053	0.0078983417447728	11.62693073705253
BA2054	0.0082660418168709	11.482408630412516
BA2055	0.0044250180245133	24.36079524673305
BA2063	0.033361571737563	10.261962092325916
BA2065	0.0192790194664744	19.71441895877293
BA2066	0.0210976928622927	14.06733182788534
BA2068	0.0152397260273972	16.987257573513986
BA2069	0.0120782263878875	12.805136600895866
BA2072	0.0101243691420331	8.727264465257468
BA2079	0.0053911319394376	4.935600377595972
BA2080	0.0201568132660418	26.8689096237614
BA2081	0.012382840663302	14.328328125964044
BA2082	0.0226405912040374	26.713177420748032
BA2087	0.0131452775775054	23.734434457483434
BA2088	0.016995313626532	15.491617017732205
BA2089	0.0200973323720259	14.447291989042313
BA2093	0.0109012256669069	14.963127154826688
BA2094	0.0125342465753424	24.67335308925332
BA2095	0.0175198269646719	18.545680042942287
BA2096	0.0067429704397981	27.269813651451773
BA2097	0.0227577505407354	28.26687739236664
BA2098	0.012664023071377	23.77895255370871
BA2100	0.0066240086517664	8.653147558582905
BA2101	0.0096467195385724	9.355522242377129
BA2104	0.0069358327325162	8.625761115018696
BA2106	0.0121449170872386	18.399125223657744
BA2109	0.0096160778658976	11.61036697145819
BA2110	0.005677721701514	3.5153705993410576
BA2113	0.0232191780821917	16.858189489011462
BA2116	0.0132804614275414	5.434170473475734
BA2121	0.0142231434751261	15.616779994817312
BA2122	0.0042213410237923	6.414915670232851
BA2123	0.0203028118240807	35.60594870988042
BA2124	0.0179434030281182	22.313624477103616
BA2125	0.0150955299206921	11.80537917545873
BA2132	0.0178821196827685	22.34719583780649
BA2133	0.0063211968276856	5.937675390861189
BA2134	0.0074351117519826	8.087934975752415
BA2135	0.0098558038932948	13.580985858660643
BA2139	0.0064852198990627	3.909457668529967
BA2143	0.0127180966113914	14.868188748627205
BA2148	0.0149242970439798	5.135934716617924
BA2153	0.0082390050468637	9.1874474882464
BA2155	0.012382840663302	12.5782839558731
BA2156	0.0208399423215573	15.996045144930218
BA2162	0.0132804614275414	7.105900763829761
BA2163	0.0161968276856524	16.223715976258344
BA2168	0.0087941600576784	16.981173472031983
BA2169	0.0112076423936553	26.32638253803724
BA2171	0.0253118240807498	16.339648083021753
BA2172	0.0166528478731074	27.90169599205321
BA2174	0.0147224224945926	14.84727831044312
BA2175	0.019388968997837	22.68063771147225
BA2184	0.046326604181687	47.15124208097336
BA2195	0.0100342465753424	19.041658553289157
BA2198	0.0141474405191059	11.775295376300296
BA2200	0.0183453496755587	18.5377612322462
BA2201	0.0077883922134102	6.916640395365194
BA2209	0.0153947368421052	18.421456261799875
BA2211	0.0313320115356885	23.39768327595356
BA2212	0.0161824080749819	20.011255154925404
BA2217	0.0262707281903388	22.010891459667565
BA2218	0.0069124008651766	8.718172404644678
BA2220	0.0089419610670511	15.85819072298523
BA2221	0.0084661139149242	19.036299818605865
BA2224	0.0088914924297043	10.506344019546146
BA2226	0.0220944484498918	17.442599341058006
BA2227	0.0209408795962509	22.946532589247152
BA2228	0.0196377072819033	22.919699280593296
BA2229	0.0153713049747656	16.552189593899232
BA2233	0.0236860129776496	18.5554309406582
BA2234	0.0152505407354001	14.404725878897816
BA2235	0.0130641672674837	10.470160200644132
BA2236	0.018817591925018	9.015558977776132
BA2239	0.0091726748377793	6.872266593862214
BA2240	0.0207876712328767	15.014209861918337
BA2242	0.0155587599134823	21.05525108898185
BA2244	0.0166348233597692	7.35538818346722
BA2245	0.0197404470079307	17.629231660064907
BA2248	0.00905010814708	12.58752648724688
BA2249	0.012557678442682	4.861656128530707
BA2251	0.0230894015861571	32.726563827293035
BA2256	0.0136391492429704	23.74570574661583
BA2260	0.0076297764960346	11.753253840743346
BA2261	0.0063482335976928	4.696430959167808
BA2269	0.006685291997116	2.379594503880848
BA2271	0.0136319394376351	16.897085989461864
BA2272	0.01	7.102326435419982
BA2273	0.0184607065609228	20.43246592381446
BA2275	0.0184697188175919	25.05806187144461
BA2276	0.0092519826964671	15.74042731277533
BA2277	0.0193421052631578	20.67834472291119
BA2280	0.0273449891852919	19.97660667086217
BA2281	0.0179271809661139	17.69383997828206
BA2282	0.0063031723143475	9.827975289675342
BA2286	0.0208507570295602	22.09728504793988
BA2288	0.0124134823359769	12.370807228618318
BA2292	0.0175486661860129	27.970780883278422
BA2294	0.0140573179524152	13.684994644553855
BA2296	0.0239365537130497	21.01481705104949
BA2300	0.0072584715212689	15.0792380150298
BA2301	0.0100739005046863	10.402084298917805
BA2302	0.0157948810382119	13.080963826059058
BA2304	0.0063734679163662	7.333103302113797
BA2306	0.0136121124729632	8.822787805871247
BA2308	0.0117321557317952	12.859663384296448
BA2309	0.0130984138428262	11.66758754426881
BA2311	0.0107876712328767	11.288046070410545
BA2312	0.009127613554434	11.1601618109799
BA2316	0.0084282624369142	9.18205250558373
BA2322	0.0178568853640951	19.969363491652167
BA2325	0.0081506849315068	8.082082737940992
BA2329	0.0087815428983417	11.99470151408581
BA2334	0.0099639509733237	11.93306394452054
BA2339	0.0048882480173035	3.272263502757931
BA2344	0.0139077144917087	18.744094454521896
BA2347	0.0055064888248017	6.228954170214341
BA2348	0.0043727469358327	6.879494280531596
BA2350	0.0045818312905551	4.453206197016252
BA2354	0.0157534246575342	14.275210565283384
BA2355	0.0216312184571016	7.944879261836894
BA2357	0.0130569574621485	17.577951986080777
BA2360	0.0196322999279019	17.426401325287824
BA2361	0.0122873107426099	11.982313848887571
BA2363	0.0046250901225666	4.567577876084354
BA2369	0.0189221341023792	32.74739121904268
BA2374	0.0208489545782263	15.856461481508903
BA2375	0.0116131939437635	8.778080368711361
BA2376	0.0086265320836337	5.193457002184133
BA2377	0.0481254506128334	31.750206937400517
BA2379	0.0132227829848594	8.426319679413615
BA2385	0.0062310742609949	10.779977362751268
BA2386	0.0189491708723864	20.909187391256065
BA2387	0.0169881038211968	15.28786774886166
BA2394	0.0097242249459264	14.977156967632869
BA2399	0.0148125450612833	10.822087809573167
BA2400	0.0313842826243691	27.59309595996989
BA2402	0.0125630857966834	10.850387257986895
BA2405	0.0074134823359769	9.244426516862251
BA2406	0.0122512617159336	9.656341816902971
BA2409	0.0120385724585436	6.201723410950284
BA2410	0.0260958904109589	27.69985325583978
BA2412	0.0044754866618601	6.76161471637113
BA2413	0.0136788031723143	7.67434841249275
BA2414	0.0243258832011535	22.62488289588963
BA2415	0.0047260273972602	10.30234309406582
BA2417	0.0171773612112472	19.56905877417046
BA2418	0.0077685652487382	7.530133077900763
BA2420	0.0105136986301369	13.940317791433754
BA2421	0.0181596971881759	15.7264036266489
BA2423	0.0107894736842105	13.437548957909154
BA2425	0.0087941600576784	16.3756145436148
BA2426	0.0100558759913482	13.402013993262504
BA2427	0.0086571737563085	8.716040536038204
BA2429	0.0106452775775054	8.870861548143486
BA2440	0.01405010814708	17.29514485001049
BA2441	0.0184354722422494	23.45746977381261
BA2442	0.0116095890410958	15.885035353348387
BA2446	0.0115392934390771	17.45126461333432
BA2449	0.0213698630136986	32.47764770048989
BA2450	0.0162040374909877	14.86102860968176
BA2452	0.0252541456380677	23.830966534631475
BA2454	0.0121611391492429	18.92403216969607
BA2455	0.0087148521989906	4.40520363035082
BA2456	0.0047837058399423	7.100534804230061
BA2459	0.0067934390771449	7.744216617924704
BA2461	0.0103262436914203	15.62376437270944
BA2463	0.0140356885364095	59.35753753748195
BA2464	0.0198936553713049	12.92581523710806
BA2469	0.0165843547224224	7.512872135638396
BA2470	0.0112599134823359	10.927927775515494
BA2472	0.0163428262436914	12.43455567689631
BA2473	0.0219412400865176	24.250833413541624
BA2474	0.0123521989906272	12.090543750539863
BA2477	0.025086517664023	21.82250317748245
BA2479	0.0077253064167267	8.137620892409826
BA2480	0.023895097332372	19.82693348264416
BA2481	0.0052072819033886	8.661478066116315
BA2482	0.0118006488824801	11.589743160700406
BA2483	0.0151604181687094	10.221888535149745
BA2485	0.0216672674837779	15.516740186823624
BA2488	0.0136697909156452	14.40934509310332
BA2489	0.0131038211968276	15.274677895827937
BA2492	0.007577505407354	4.274906495637902
BA2494	0.0152487382840663	25.300243216229227
BA2496	0.0059769286229271	11.667023099988896
BA2497	0.0092682047584715	12.817360437567098
BA2499	0.0128262436914203	11.754898937548589
BA2500	0.0246304974765681	19.005066819679417
BA2501	0.0150558759913482	23.45431433013734
BA2502	0.0097837058399423	7.722632084551882
BA2505	0.0148648161499639	14.143758412616148
BA2507	0.0108904109589041	8.807016794382951
BA2510	0.016472602739726	25.786511013215858
BA2511	0.0059480894015861	6.855234572242994
BA2512	0.0125036049026676	7.460508755043867
BA2514	0.0112743330930064	12.215631868606476
BA2515	0.0118655371304974	14.763189377953823
BA2520	0.0036265320836337	15.630487468996408
BA2521	0.0162959625090122	17.230381421290982
BA2523	0.0194394376351838	10.196109070941151
BA2524	0.0125360490266762	12.23031676723553
BA2525	0.0119700793078586	7.806800281346018
BA2526	0.0263968997837058	17.499080775922703
BA2528	0.0154992790194664	15.99045784745616
BA2532	0.0165176640230713	12.677295400979776
BA2534	0.0232516222062004	16.23299889559348
BA2538	0.012586517664023	21.610370414244997
BA2539	0.0068961788031723	13.693292673897751
BA2540	0.0125937274693583	9.136249805649133
BA2541	0.0059012256669069	12.231437715174176
BA2545	0.0118186733958183	10.357080701884277
BA2546	0.0096431146359048	14.614808407063268
BA2552	0.0384967555875991	37.63997968879181
BA2559	0.014059120403749	8.93352991769395
BA2561	0.0080064888248017	11.422566690112168
BA2563	0.0161067051189617	13.569434772146744
BA2564	0.0097710886806056	10.175140358345985
BA2567	0.0041636625811103	6.313103684645664
BA2570	0.0145692141312184	31.58111838744308
BA2575	0.0071935832732516	8.87081892668962
BA2577	0.0213626532083633	23.09283833709696
BA2579	0.0098648161499639	15.20929158800084
BA2583	0.0164635904830569	15.198892150692876
BA2584	0.0166005767844268	20.87709718777379
BA2587	0.0186751982696467	16.00081438566616
BA2588	0.0140032444124008	10.384993601846023
BA2589	0.0179704397981254	9.939129085995631
BA2592	0.0183543619322278	33.09059253569269
BA2593	0.0048125450612833	40.32944199089327
BA2594	0.0085021629416005	11.579631917965424
BA2595	0.0101045421773612	21.265042831229408
BA2597	0.0188248017303532	10.057048532188205
BA2600	0.011598774333093	18.46854614444897
BA2603	0.0146557317952415	17.374260800355383
BA2618	0.0207354001441961	13.098995076444677
BA2619	0.0106759192501802	18.469416577203567
BA2620	0.0146971881759192	12.752822011624032
BA2621	0.009030281182408	5.790076241069115
BA2622	0.0153731074260994	11.324587445550906
BA2623	0.0129217736121124	15.663627364602233
BA2629	0.0102992069214131	18.6036588617826
BA2631	0.0144736842105263	14.509001684374187
BA2634	0.0064221341023792	5.548263946988487
BA2636	0.008720259552992	14.072840002961536
BA2639	0.0137959625090122	16.793302409950766
BA2644	0.0111986301369863	8.701893113192414
BA2645	0.0217844268204758	41.59166717259591
BA2646	0.0225540735400144	12.223511438936807
BA2649	0.0211121124729632	14.675568861905996
BA2651	0.007761355443403	6.326117276866695
BA2653	0.0130948089401586	23.51826650131418
BA2655	0.0299783705839942	46.96058563160947
BA2656	0.0079307858687815	9.301439732721285
BA2657	0.0115537130497476	11.207755913819271
BA2658	0.0126622206200432	9.701918736657658
BA2659	0.0140519105984138	18.65643566060785
BA2660	0.0080857966834895	12.570623736719355
BA2662	0.0143330930064888	35.28757577832896
BA2663	0.0116925018024513	11.318975271165735
BA2667	0.0136445565969718	12.616181690297264
BA2670	0.0059354722422494	6.952095324473402
BA2674	0.0104379956741167	8.947530115129753
BA2675	0.0151568132660418	12.68441872431792
BA2676	0.0147981254506128	13.458480645121483
BA2677	0.0095962509012256	19.367888590678564
BA2681	0.0056380677721701	14.427169412258296
BA2682	0.012732516222062	14.760420760374634
BA2685	0.0221935832732516	28.078114741050605
BA2688	0.0081380677721701	11.06429643751774
BA2691	0.0082858687815428	11.271153185503277
BA2694	0.0088482335976928	17.051903490911783
BA2695	0.0070007209805335	3.671991843433408
BA2697	0.0056218457101658	3.410138544404546
BA2701	0.009388968997837	4.549517830920915
BA2704	0.0232498197548666	22.953200607115093
BA2705	0.0289185291997116	22.7229729821444
BA2707	0.0052000720980533	25.15023981046163
BA2709	0.008352559480894	8.082425566702453
BA2712	0.0131182408074981	13.359405940349708
BA2714	0.0148071377072819	14.466289268130163
BA2715	0.0302505407354001	10.96035290415726
BA2718	0.0331092285508291	31.016263478078454
BA2720	0.0045331651045421	6.501912875282271
BA2721	0.0158417447728911	21.932010260491865
BA2722	0.0155623648161499	17.747481811226695
BA2723	0.0153586878154289	11.166565530176827
BA2724	0.008516582552271	9.23634435271906
BA2726	0.008866258111031	3.301863707597577
BA2727	0.0105082912761355	13.502821696960725
BA2728	0.0145583994232155	11.752685558805018
BA2731	0.0071449170872386	6.348374535717371
BA2733	0.006016582552271	8.209184207603746
BA2735	0.0094772891131939	13.10673674403682
BA2737	0.0095133381398702	9.019015585088662
BA2742	0.0109138428262436	13.789319747282176
BA2744	0.0048918529199711	4.967712379224818
BA2746	0.0107534246575342	7.874813565073606
BA2747	0.0102829848594087	15.458281956835595
BA2748	0.0250684931506849	23.80302802354421
BA2751	0.0057804614275414	6.113193894297806
BA2756	0.015416366258111	16.625168011698072
BA2758	0.0097909156452775	5.410446624464764
BA2760	0.0199783705839942	13.58549709399178
BA2762	0.0134895457822638	13.546428707165688
BA2764	0.0110994953136265	9.395164161699924
BA2765	0.0068673395818312	7.751651464109875
BA2769	0.0132498197548666	28.262297511074912
BA2772	0.0075180245133381	10.206783604190576
BA2775	0.0131074260994953	22.685360585643952
BA2776	0.0300306416726748	16.651176476758103
BA2778	0.0114708002883922	4.484637896568319
BA2782	0.0080569574621485	6.125664198719136
BA2786	0.0120547945205479	18.829433976233663
BA2787	0.0031254506128334	2.713546058070805
BA2789	0.026472602739726	28.25424194523624
BA2791	0.0192880317231434	11.370591085773516
BA2792	0.0083723864455659	18.2947922296672
BA2798	0.019176279740447	22.170720504942068
BA2801	0.005706560922855	9.668360918816864
BA2802	0.0085291997116077	24.97780497044633
BA2804	0.0094412400865176	7.914639722849492
BA2806	0.0151315789473684	15.15484577178889
BA2808	0.006452775775054	13.658971273090732
BA2809	0.0128298485940879	15.207170535174422
BA2811	0.0167159336697909	10.935584681449674
BA2812	0.006986301369863	12.736455317809945
BA2813	0.0101748377793799	10.44327678648552
BA2814	0.012141312184571	10.954112260763338
BA2816	0.0128983417447728	11.89302728315996
BA2817	0.0133705839942321	10.115882476338554
BA2820	0.0195241528478731	15.73339543923296
BA2821	0.0274477289113193	22.64100914374561
BA2822	0.0146539293439077	32.26158983946001
BA2824	0.0203262436914203	9.584309665716503
BA2828	0.0093727469358327	10.981271529757276
BA2829	0.0157137707281903	12.602943971421167
BA2830	0.0076910598413842	12.622574501166108
BA2832	0.0145367700072098	22.77896644208344
BA2836	0.0119899062725306	13.587362232998926
BA2837	0.0134246575342465	16.587601913893312
BA2839	0.0310886806056236	20.87521269388813
BA2840	0.0080533525594808	24.084396463431187
BA2841	0.0249585436193222	43.88552221152778
BA2842	0.0069790915645277	4.089688742457335
BA2843	0.0125991348233597	18.978727131381184
BA2844	0.0165176640230713	16.948791915003884
BA2846	0.0267069214131218	20.083039573538667
BA2850	0.0103568853640951	11.508418915583857
BA2851	0.0235832732516222	18.91700974222288
BA2852	0.0104434030281182	6.073513586051161
BA2855	0.0142087238644556	15.852002036056714
BA2856	0.0061751982696467	7.087363152309382
BA2858	0.0095602018745493	17.09439655597922
BA2860	0.0067519826964671	15.9427281185602
BA2861	0.0149585436193222	11.482106300670049
BA2865	0.0138139870223503	9.963538000222114
BA2866	0.0177505407354001	28.733764002517308
BA2867	0.0181416726748377	23.73052573452288
BA2868	0.022945205479452	27.09608278729994
BA2870	0.0288085796683489	22.288980330458177
BA2871	0.0117988464311463	12.14828747269833
BA2872	0.011559120403749	17.204836597193943
BA2876	0.0157948810382119	13.594690482360344
BA2879	0.0138914924297043	12.64489034909118
BA2880	0.0088518385003604	16.57026466886314
BA2882	0.0111085075702956	9.508185429237775
BA2883	0.0226189617880317	14.05393420451881
BA2885	0.0144754866618601	11.214122441046902
BA2887	0.0185832732516222	23.153606535125057
BA2889	0.0001099495313626	9.996495872357755
BA2893	0.0105371304974765	11.602240094275595
BA2901	0.0094160057678442	9.158798541443009
BA2902	0.0132930785868781	12.45944132454744
BA2903	0.0040879596250901	4.694196368415208
BA2904	0.0122098053352559	15.609177210972494
BA2905	0.0205587599134823	19.04912867878429
BA2906	0.0187761355443403	16.238808425572874
BA2908	0.0214978370583994	16.492679290218287
BA2909	0.0079055515501081	6.677360141413393
BA2910	0.0172152126892573	17.60027594121349
BA2911	0.0161535688536409	11.15953740174484
BA2914	0.0139798125450612	5.8463926072631685
BA2915	0.0079091564527757	41.8968326854971
BA2921	0.0102000720980533	17.654039845012896
BA2922	0.017528839221341	14.296812263231285
BA2923	0.0063229992790194	6.063232462147854
BA2926	0.0152487382840663	12.08755046335715
BA2928	0.0180551550108147	20.122437456039684
BA2930	0.0134913482335976	7.132782863806315
BA2932	0.0167591925018024	11.93716806722689
BA2934	0.0065338860850757	5.059167678525155
BA2935	0.0084967555875991	8.705460037759597
BA2937	0.0097638788752703	15.91118328212342
BA2939	0.0099242970439798	10.67789482841595
BA2944	0.020232516222062	24.29776555732425
BA2947	0.0107516222062004	15.258753637137676
BA2948	0.0091474405191059	9.696698947420376
BA2950	0.0101117519826964	16.445231925369264
BA2951	0.0080299206921413	9.079979559224572
BA2952	0.0254001441961067	16.382910524562245
BA2953	0.0064059120403749	9.696486117795136
BA2955	0.0074098774333093	7.149726039314404
BA2956	0.0048413842826243	4.794213452781994
BA2962	0.0184571016582552	16.644705049420647
BA2970	0.0105118961788031	19.759946766371748
BA2972	0.0217393655371304	23.36553909845877
BA2976	0.0060994953136265	10.668440639692
BA2978	0.0098107426099495	10.014221029380918
BA2981	0.0137527036770007	14.296351867619292
BA2984	0.0127253064167267	7.876536686040054
BA2986	0.0124855803893294	22.530416589543307
BA2989	0.018972602739726	23.14563568158541
BA2992	0.0137328767123287	13.880974975012034
BA2993	0.0062509012256669	8.321229741235703
BA2994	0.0163446286950252	16.224194807438394
BA2995	0.0128929343907714	16.775297288959635
BA2999	0.0155875991348233	15.884802687594862
BA3001	0.0230966113914924	14.576009088216784
BA3002	0.0170007209805335	17.93759564530658
BA3004	0.0253803172314347	15.458446840410174
BA3006	0.0083777937995674	9.845501351201277
BA3008	0.0010868781542898	12.146464387517122
BA3009	0.0132912761355443	14.697122545934674
BA3010	0.0096232876712328	11.773546033391332
BA3011	0.0240374909877433	9.54731501499278
BA3013	0.0143240807498197	23.728249139303298
BA3023	0.0165969718817591	27.16029485803132
BA3025	0.0182480173035328	24.940110206197016
BA3027	0.0054902667627974	7.269596712693888
BA3029	0.0092357606344628	5.152305612112686
BA3030	0.0145746214852198	15.247768691617614
BA3037	0.0189149242970439	7.153592171670431
BA3038	0.0169196106705118	15.39888302545688
BA3040	0.0160490266762797	21.145788139044164
BA3042	0.0222819033886085	22.823575809178298
BA3043	0.0070421773612112	10.512932014215377
BA3049	0.0035255948089401	16.23322010390059
BA3051	0.0110310021629416	10.251431347869543
BA3053	0.0164708002883922	20.51154423178963
BA3064	0.0178640951694304	19.4976529818976
BA3067	0.0239329488103821	32.21778633744247
BA3068	0.0234066330209084	36.51887556608546
BA3070	0.0086355443403028	5.551767087451721
BA3071	0.0194971160778659	13.026716377299818
BA3072	0.021346431146359	6.884083626402103
BA3075	0.0129073540014419	7.864160965707869
BA3076	0.0033759913482335	2.263248917188021
BA3077	0.0144196106705118	8.564316403213267
BA2040	0.0086806056236481	9.505777459001225
BA2160	0.0166672674837779	13.72650933501154
BA2303	0.0109228550829127	8.11099247276003
BA2353	0.0162563085796683	16.91721569861425
BA2516	0.0162851478010093	12.796852385888275
BA2590	0.0327685652487382	32.66669512827158
BA2647	0.0120223503965392	17.471183294463163
BA2891	0.009543979812545	8.276411487061784
BA2924	0.0133219178082191	13.500378644850011
BA2971	0.0093204758471521	19.947884870247652
BA3036	0.0145259552992069	13.848660200644131
BA3059	0.015571377072819	10.924637470847369
BA3073	0.0136878154289834	18.870252693147744
BA3078	0.0171070656092285	18.94022017176915
BA3079	0.0097873107426099	7.349397216155183
BA3083	0.0143294881038211	13.091708122015325
BA3084	0.0100558759913482	14.22886674934291
BA3085	0.0095872386445565	15.081708368810078
BA3087	0.0460724585436193	26.873875973296805
BA3089	0.0248864455659697	15.935573705253027
BA3094	0.0194214131218457	20.197671269388813
BA3095	0.0163680605623648	16.856135095447872
BA3098	0.0141834895457822	18.670610335764263
