ID Sample	Abundance	TotalKmers	NormalizedExpression	specimenType
BA2046	15.96551724137931	8350758220.0	1.9118643865346288	Bone Marrow Aspirate
BA2047	120.41379310344828	9483174120.0	12.697625455331014	Peripheral Blood
BA2054	37.06896551724138	8531157040.0	4.345127553441611	Bone Marrow Aspirate
BA2109	13.06896551724138	8011330880.0	1.631310167186776	Peripheral Blood
BA2110	25.75862068965517	6152349560.0	4.186794075734404	Bone Marrow Aspirate
BA2123	10.827586206896552	7958002640.0	1.3605909292456015	Bone Marrow Aspirate
BA2175	17.586206896551722	12453753480.0	1.4121210063130079	Peripheral Blood
BA2234	99.93103448275862	9414386800.0	10.614715180680554	Bone Marrow Aspirate
BA2239	49.689655172413794	6142994060.0	8.088833342028952	Bone Marrow Aspirate
BA2281	29.103448275862068	6443114300.0	4.516984632084219	Bone Marrow Aspirate
BA2420	26.03448275862069	5989376400.0	4.346776862883536	Bone Marrow Aspirate
BA2425	15.93103448275862	7188094900.0	2.216308313174694	Peripheral Blood
BA2482	52.0	7219226560.0	7.2029876840435385	Bone Marrow Aspirate
BA2621	13.93103448275862	9022035260.0	1.5441121743918589	Peripheral Blood
BA2682	26.89655172413793	8167691700.0	3.2930419893466265	Peripheral Blood
BA2728	38.93103448275862	8251344640.0	4.718144276029006	Bone Marrow Aspirate
BA2746	64.89655172413794	8656098080.0	7.4972061458132115	Bone Marrow Aspirate
BA2762	12.655172413793103	8512016520.0	1.4867419939867672	Peripheral Blood
BA2776	70.3103448275862	8038761080.0	8.746415539393816	Peripheral Blood
BA2778	114.93103448275862	8457003520.0	13.590042171669644	Bone Marrow Aspirate
BA2816	10.448275862068966	7449993880.0	1.4024542879314372	Bone Marrow Aspirate
BA2840	21.93103448275862	10925892040.0	2.007253449189181	Bone Marrow Aspirate
BA2870	119.03448275862068	8919518440.0	13.34539342671292	Bone Marrow Aspirate
BA2882	42.58620689655172	8755898900.0	4.86371615101126	Peripheral Blood
BA2902	10.137931034482758	7799221360.0	1.2998645078183495	Bone Marrow Aspirate
BA2926	39.82758620689656	8694402360.0	4.58083081019229	Bone Marrow Aspirate
BA3037	12.310344827586206	6717388860.0	1.832608634716765	Bone Marrow Aspirate
BA3067	107.3103448275862	8305370640.0	12.920596741434071	Peripheral Blood
BA3094	25.24137931034483	12405219960.0	2.0347385529425814	Peripheral Blood
BA3110	27.379310344827587	9270890160.0	2.9532558225053536	Bone Marrow Aspirate
BA3119	39.03448275862069	10819947162.0	3.6076407928969414	Bone Marrow Aspirate
BA3157	20.0	8793963080.0	2.2742874649412332	Bone Marrow Aspirate
BA3158	12.551724137931034	7963118940.0	1.5762321563328343	Peripheral Blood
BA3162	21.655172413793103	8331035440.0	2.5993374496787762	Bone Marrow Aspirate
BA3163	57.82758620689656	7716695980.0	7.493827197128551	Bone Marrow Aspirate
BA3206	48.72413793103448	9269706180.0	5.256276411021528	Bone Marrow Aspirate
BA3227	53.310344827586206	8628494140.0	6.178406563487126	Bone Marrow Aspirate
BA3240	55.10344827586207	10888276568.0	5.060805347083838	Bone Marrow Aspirate
BA3271	134.31034482758622	10310846420.0	13.026122139406885	Bone Marrow Aspirate
BA3296	56.72413793103448	11506658452.0	4.929679469296763	Bone Marrow Aspirate
BA3310	17.17241379310345	8566527900.0	2.0045943926831136	Bone Marrow Aspirate
BA3357	52.82758620689656	12339343754.0	4.281231422033415	Peripheral Blood
BA3362	115.72413793103448	8923147100.0	12.968982426730864	Bone Marrow Aspirate
BA3369	80.51724137931035	12641417460.0	6.369320658390024	Peripheral Blood
BA3381	65.62068965517241	12497289928.0	5.25079357470536	Bone Marrow Aspirate
