	NF1	STAG2
BA2000	142.75490360837196	0.045373231419743
BA2003	153.6363602362335	0.0190274841437632
BA2004	186.3131826561012	0.0769230769230769
BA2006	0.0	0.0443974630021141
BA2011	72.85716052294515	0.040169133192389
BA2019	204.9947885795207	0.0617986664498292
BA2020	274.7370236131756	0.0865181330297609
BA2022	126.77737922849806	0.0530167506911693
BA2023	57.57670274404444	0.0211416490486257
BA2024	129.19307576825068	0.0845665961945031
BA2025	135.04261049402936	0.0416327858188323
BA2031	47.7445319683995	0.0066677508537973
BA2032	215.03490271417868	0.0380549682875264
BA2033	92.53923653042108	0.066352252398764
BA2034	153.47329527828623	0.0110587087331273
BA2035	124.98326638084282	0.0483005366726296
BA2036	238.32690231687388	0.0395186209139697
BA2037	298.2964495900539	0.0796877541063587
BA2041	135.22863046072317	0.045373231419743
BA2044	82.04710015020497	0.0426085542364612
BA2046	144.0633694963439	0.0606602699625955
BA2047	123.2929360773152	0.0476500243942104
BA2050	95.22651628154628	0.0213042771182306
BA2051	90.68870047977845	0.0489510489510489
BA2052	110.66973675190388	0.0442348349325093
BA2053	129.04169527931813	0.0393559928443649
BA2054	115.25580563960666	0.0422832980972515
BA2055	1.861283467889972	0.0203285087006017
BA2063	56.62966505689601	0.0499268173686778
BA2065	201.62135608839577	0.0434216945844852
BA2066	124.09319568255268	0.0788746137583346
BA2068	78.65829945488635	0.0367539437306879
BA2069	57.54297490294547	0.0377297121483168
BA2072	86.57166007727321	0.0289477963896568
BA2079	61.12137145648837	0.0591966173361522
BA2080	157.83351245834615	0.0250447227191413
BA2081	109.72745843655122	0.028785168320052
BA2082	81.44008518006407	0.0456984875589526
BA2087	39.44265347415752	0.0258578630671653
BA2088	122.118312008315	0.0616360383802244
BA2089	166.7588903652543	0.0291104244592616
BA2093	120.06260334565768	0.0352902911042445
BA2094	80.35342502132465	0.0351276630346397
BA2095	125.72932620776494	0.0396812489835745
BA2096	38.14635019971428	0.024394210440722
BA2097	274.9535971649002	0.0661896243291592
BA2098	26.433437712180453	0.0201658806309969
BA2100	66.13538217435533	0.0308993332249146
BA2101	72.0511876030681	0.0335013823385916
BA2104	88.2053799306977	0.0203285087006017
BA2106	153.3726439647684	0.0279720279720279
BA2109	115.04825583911432	0.0491136770206537
BA2110	74.36471936282452	0.0291104244592616
BA2113	223.4154468177113	0.0398438770531793
BA2116	171.4319149038356	0.0713937225565132
BA2121	72.40096351612218	0.0546430313872174
BA2122	54.47294224439686	0.0398438770531793
BA2123	190.53116384213277	0.0494389331598633
BA2124	184.66017011723795	0.0396812489835745
BA2125	25.534304216960667	0.0546430313872174
BA2132	170.7127216635003	0.0445600910717189
BA2133	80.18133477228218	0.0455358594893478
BA2134	49.273239517076505	0.0255326069279557
BA2135	15.131785600875178	0.0380549682875264
BA2139	41.481996912376765	0.031387217433729
BA2143	96.97194172507986	0.0361034314522686
BA2148	89.68429975044664	0.0273215156936087
BA2153	146.4827052853341	0.0632623190762725
BA2155	71.92339924235235	0.0278093999024231
BA2156	168.64129625232474	0.0526914945519596
BA2162	147.29495642603302	0.0489510489510489
BA2163	217.2043669052266	0.0496015612294682
BA2168	130.512102414608	0.0139860139860139
BA2169	178.1356567294738	0.033176126199382
BA2171	234.8583259532597	0.057570336640104
BA2172	185.11095536230036	0.0336640104081964
BA2174	238.4854486070038	0.0616360383802244
BA2175	31.956107621459708	0.0754594242966336
BA2184	330.1887594161088	0.0910717189786957
BA2195	94.9760301511449	0.0369165718002927
BA2198	126.84489183593952	0.0556187998048463
BA2200	253.9343726061422	0.0725321190437469
BA2201	76.38543599082593	0.0304114490161001
BA2209	207.73969039082704	0.0559440559440559
BA2211	193.69321339903547	0.0442348349325093
BA2212	150.1149855232797	0.019190112213368
BA2217	173.74162856094	0.0466742559765815
BA2218	85.42607037036069	0.0292730525288664
BA2220	105.89447496974996	0.0416327858188323
BA2221	87.92724303286738	0.0297609367376809
BA2224	99.58333873414824	0.0406570174012034
BA2226	286.37231184395824	0.0993657505285412
BA2227	327.7142740138492	0.0354529191738494
BA2228	148.83302195542166	0.0852171084729224
BA2229	230.9272500432621	0.0650512278419255
BA2233	198.79246681895413	0.0252073507887461
BA2234	133.53026760274443	0.0572450805008944
BA2235	137.30408373585547	0.0476500243942104
BA2236	236.6977944710083	0.0422832980972515
BA2239	93.44595003721206	0.033176126199382
BA2240	349.65596137257995	0.0757846804358432
BA2242	288.5091193991156	0.0502520735078874
BA2244	189.13614877568463	0.0578955927793137
BA2245	206.20598869395417	0.0580582208489185
BA2248	103.99306477060202	0.0187022280045535
BA2249	131.64751962240132	0.063750203285087
BA2251	168.5185793587882	0.0440722068629045
BA2256	177.37594734399633	0.0286225402504472
BA2260	91.46311349201132	0.0242315823711172
BA2261	95.638364990932	0.0413075296796227
BA2269	127.34637686870389	0.0413075296796227
BA2271	178.74582923309202	0.0774109611318913
BA2272	155.30969220772613	0.0509025857863067
BA2273	82.10327672445598	0.0322003577817531
BA2275	179.28463600626125	0.1136770206537648
BA2276	77.65718078840119	0.033176126199382
BA2277	203.6065735095337	0.0725321190437469
BA2280	384.3268511749896	0.0912343470483005
BA2281	148.70915295462936	0.0359408033826638
BA2282	67.04868900711168	0.0426085542364612
BA2286	201.80223865128715	0.0536672629695885
BA2288	132.16680416497255	0.0354529191738494
BA2292	106.58922238443596	0.0400065051227841
BA2294	154.65930575825166	0.0391933647747601
BA2296	124.91800887503584	0.061961294519434
BA2300	127.68776719943128	0.0894454382826475
BA2301	102.8235989089254	0.0448853472109286
BA2302	143.47247258145103	0.0378923402179216
BA2304	58.26545447919322	0.0250447227191413
BA2306	191.29686259218525	0.0469995121157911
BA2308	211.6825983608057	0.031387217433729
BA2309	67.00275595385449	0.0398438770531793
BA2311	104.19731581066932	0.0343145226866157
BA2312	156.40969992181428	0.0419580419580419
BA2316	78.52938685382075	0.0307367051553098
