	ASXL1	SRSF2
BA2392	6.54408446340443	9.83892848550566
BA2611	6.53249965977741	9.86270964606403
BA2506	6.5242368874556	9.83892848550566
BA2430	6.58462737788517	9.85672905613112
BA2448	6.52324588492183	9.85672905613112
BA2730	6.54408446340443	9.83304132704525
BA2845	6.42575430557831	9.8991027074875
BA2326	6.42858727965842	9.87474271994728
BA2341	6.42763769743183	9.93012293296997
BA2612	6.45455803457724	9.90525526471174
BA2973	6.40360502181603	9.93012293296997
BA2390	6.40264148496757	9.92386690563917
BA3218	6.44565569212713	9.89297540900361
BA3105	6.54096638153352	9.95541459791256
BA3402	6.52120608932454	10.0007468429699
BA3276	6.53695474326822	9.98114720830101
BA2409	5.50426621763009	8.41135949860071
BA3037	6.49002795768883	8.23061160269424
BA2496	5.62715965117615	8.84307877151568
BA2172	5.7983454299058	8.71271331389775
BA2865	6.1921407741856	9.22287720595147
BA2923	4.94273522337111	7.64511152399424
BA2751	6.05776567233175	9.50293364970638
BA2480	6.00011677121632	8.73025810259064
BA2286	6.04154865344481	8.92083445647999
BA2922	6.58783674116998	9.3217592552912
BA2452	6.28373604828764	9.82133532639013
BA3379	6.15698094792798	9.46372381175102
BA2887	6.0444352624309	9.13342062895717
BA2712	5.75681040063766	9.39118419839355
BA2068	6.08966256500214	10.6289390647318
BA2236	6.00513768153823	9.22287720595147
BA2104	5.3920043604829	7.64511152399424
BA3124	6.7478553015081	9.38234175781362
BA3395	6.06345159600226	9.09970659968869
BA2921	5.84190332625174	9.54945587390153
BA2449	6.06168577538942	8.60608533344799
BA2003	6.17121351437265	9.75293118746352
BA2360	6.04734642903678	9.42251934116338
BA2802	6.2850706491728	9.53969913371194
BA2235	5.74011278993299	8.93082572022568
BA2858	5.98876336939614	9.30906602396076
BA3038	5.48611835069995	8.60879594020241
BA3006	6.04816746430603	9.64008823387741
BA2245	6.25762029146855	9.49651930986164
BA2667	6.03566200297907	8.95438322249582
BA2239	5.69838933100617	8.66407371953991
BA2782	5.67546263774049	8.89122942781574
BA2649	6.31810358288684	9.61438474364243
BA2488	6.19690129645258	8.90103696609653
BA2861	5.9027386298111	9.17948259034573
BA2909	6.02245886806957	8.79205235357759
BA2429	6.42530173541054	8.99222936727265
BA2653	6.90161368403515	9.26099325755712
BA2134	5.5372259675426	8.46430959418229
BA2947	6.61700352029779	9.415200229547
BA2032	6.05692203263316	8.73910632748104
BA2162	5.92314727428924	9.18338030789918
BA2564	5.6860968528657	8.9076089453561
BA2597	6.08666258593702	9.50768698561149
BA3243	6.03404286985942	9.04501990946176
BA2106	5.94392026663398	9.17171491689544
BA2427	6.46136172333021	9.16398396797258
BA2841	6.45648309857568	9.67679810675791
BA2446	5.8769475456825	9.47302564786274
BA2645	6.38738832095137	9.12586826213153
BA2525	7.40609048790591	9.18338030789918
BA2876	6.59838838471777	9.19120372633416
