	ASXL1	SRSF2
BA2357	6.53695474326822	9.26745559419095
BA2546	5.70452449404762	8.86536741111737
BA2742	5.61064071002875	8.66689198102969
BA2316	5.7725785925433	8.95099667095566
BA2421	5.83800900717186	8.268195867683
BA2087	5.72480376191034	8.81980741439546
BA2910	6.00800870736247	8.89776108628452
BA2148	6.33368252669389	8.72438748273975
BA2063	6.97794904447586	9.26745559419095
BA2329	5.78856545869923	8.8717935877338
BA3178	5.51345714323729	8.87501645157825
BA2072	5.70757619671164	9.13342062895717
BA3029	6.00261866586335	9.45447558148811
BA2733	6.0688553647905	9.22687989289351
BA2995	6.95960331595656	9.52517542791568
BA2069	6.00392077224602	9.47769688223901
BA2100	6.11039522609915	8.672544374331
BA2681	5.64993072157884	9.19512951707567
BA2248	5.92513526908082	9.36916799017741
BA2832	6.18950223686314	9.60422004710875
BA2308	6.17641644366945	9.75851596885508
BA2413	6.21539686316165	9.62975620855742
BA2701	5.57895756058083	9.05581138653334
BA2634	5.89048099649459	9.3561004357089
BA2677	5.97648507555777	9.48238177689826
BA2937	5.86940153677441	9.27156918109996
BA2600	5.60841425670287	9.04860912314158
BA2019	6.15834977750935	9.52036350053221
BA2412	5.60156210630339	8.75995195431454
BA2334	6.11294027816034	9.56420444046175
BA2050	6.10277314052035	9.94905102299885
BA3230	5.95938551876052	9.08494318011795
BA2953	6.33918453468976	9.20696376307392
BA2481	6.10497366667794	9.8155160837716
BA2731	5.40702626397137	8.78108213178214
BA2294	6.30740738637139	9.60929418124753
BA2418	5.82819619911188	9.45909303825332
BA2816	6.34923107690817	9.36916799017741
BA2656	6.26338772089894	9.94905102299885
BA2814	5.40625901568549	9.10713869224013
BA2631	6.02698748997862	9.26745559419095
BA2023	5.64727150122162	9.01306871894599
BA2375	5.97812067314416	9.27156918109996
BA2485	6.4432415747754	9.67842749251503
BA2455	5.55586804682645	8.8589671548512
BA2025	5.79603390583248	9.09600320401444
BA2636	5.80376596025215	9.04860912314158
BA2325	5.62116214065844	8.45209623715645
BA2169	6.58028734101557	9.50601427714714
BA2156	6.28642083726129	9.38675693832204
BA2511	6.6441169206914	9.36916799017741
BA2939	5.77409344818299	9.13342062895717
BA2168	6.0688553647905	9.73079295605488
BA2505	5.99273740349983	9.39118419839355
BA2860	5.01631466171857	8.71271331389775
BA2707	6.18507158781402	9.20696376307392
BA2871	5.04068213537324	8.99211218550823
BA2655	6.19438001519865	9.60422004710875
BA2227	6.06801263248952	9.59916222255831
BA2125	6.18904995277038	9.41800548205558
BA2523	6.02328497818552	9.53000194332933
BA2603	5.92875292821339	9.12586826213153
BA2808	6.24912819394912	9.17948259034573
BA2282	5.83560892628546	9.02364943472175
BA2482	5.69646062028678	8.91090509269608
BA2812	5.8625242189267	9.70356008854553
BA2822	6.36600938491696	9.31672506964559
BA2594	5.79758031043752	9.22287720595147
BA2747	5.99230630864101	9.47769688223901
BA2561	5.87580696816671	9.93012293296997
BA2567	6.66943948787905	10.0007468429699
BA2906	6.03938413348279	9.91143332054624
BA2956	6.16651995068436	9.90525526471174
BA2474	5.99645810395014	9.00955709168753
BA2737	5.72061360951374	9.80971908397822
BA2110	5.60841425670287	8.73025810259064
BA2992	5.94431286144935	9.14481502348153
BA2220	6.19646958807837	9.40901547409309
BA2772	6.08835914671386	8.71853926395486
BA2935	5.83483518369012	9.17171491689544
BA2260	5.55025760092161	9.12964008242639
BA2676	6.1180523945273	9.23089240757758
BA2948	6.09345357181028	8.6697155276332
BA2524	5.75756870973775	8.98864564355709
BA2811	6.20050527440426	9.24704173883127
BA2540	5.75023036618314	9.04501990946176
BA2928	5.54840893277706	9.36916799017741
BA2302	6.56065461359229	9.39562360946183
BA2595	5.70836568128015	8.68106286594684
BA2792	5.77845042719579	9.54457000922792
BA2651	6.32408741401117	8.92748837970555
BA2619	6.30326841219344	8.7332018546727
BA3013	5.88643954120856	9.50601427714714
BA2405	6.4915209071939	8.70980864868103
BA2735	6.25945312566298	8.59798330037588
BA2856	6.23533588980149	8.92415796681604
BA2377	6.01373604526196	7.83840005803793
BA2499	6.07438042977308	8.81487669872437
BA2463	5.75719364511349	9.52684328251404
BA3023	6.13725593051751	9.00605305286098
BA2095	6.3078817611491	9.61438474364243
BA2901	5.83522810280634	8.45209623715645
BA2275	5.83841841477399	8.70401585675217
BA2387	5.75528821055756	9.30065851731011
BA2962	5.62828464133832	9.36480042798147
BA2195	6.03523832777957	8.97142354261209
BA2688	6.83919348466817	9.00264729477778
BA2787	5.24575571846811	8.94424486652991
BA2420	6.19345543409726	9.4000752436972
BA2756	6.27694818574979	8.61423212805534
BA2122	5.6533576160666	8.73025810259064
BA2053	5.98917879350321	8.71562351354988
BA2080	6.24592732813786	9.34313727945847
BA2081	6.02496543297874	9.50601427714714
BA2354	6.08666258593702	9.03608369232641
BA3273	6.01912446509313	9.00443312215534
BA2893	5.97361430412984	9.85077214115986
BA2044	5.8546289142141	9.3735473533766
BA2489	6.37547648198029	9.57411368730524
BA2309	6.28139967131455	9.39562360946183
BA2720	6.57407550686427	8.46249696810185
BA2908	6.27158031478995	8.66493693752935
BA2054	5.64011484889975	9.3217592552912
BA2872	5.78815697396801	9.13720994130471
BA2526	6.24013217204255	9.31328611186612
BA2041	6.47228949068298	9.88079564639631
BA2464	6.26881149847343	8.85577669200061
BA2902	5.96907627794874	10.0680496747685
BA2541	6.01912446509313	9.04860912314158
BA2143	6.04775659278267	9.0307417478067
BA2094	5.56596083132182	9.45909303825332
BA2769	5.86341197424273	8.97485330936457
BA2843	6.6100656847185	9.29229417829056
BA2592	6.40688318423783	9.86871412745455
BA2497	5.81959741153124	8.61423212805534
BA2718	6.20525292176704	9.30906602396076
BA2575	5.47284204510325	8.55813210635661
BA2096	6.21410531502083	10.0958725482412
BA2593	7.15951987646114	10.111511463709
BA2791	6.19874995357892	9.61438474364243
BA2620	5.46114309064973	8.8717935877338
BA2629	6.7472714933791	9.55435683089665
BA2870	6.14026668002857	9.53484314535953
BA2423	5.86536301251181	8.69824500910271
BA2682	5.96386071356046	9.51078302100883
BA2276	5.9361114629243	9.1410080593907
BA2348	5.62233299062586	8.38563253120242
BA2709	5.67583098043324	8.68676863894814
BA2789	6.12180366530222	9.09600320401444
BA2694	6.60421812247539	9.42251934116338
BA2538	6.74612605168156	9.00955709168753
BA2583	6.66119005251722	9.67679810675791
BA2415	5.50018182112328	8.94424486652991
BA2722	6.0582244402994	8.95099667095566
BA2806	6.02371028385454	9.66622107740225
BA2221	6.06552141810206	9.47769688223901
BA3025	6.07906325231323	9.50125973784097
BA2514	6.60209690951209	9.49819442110274
BA2520	6.54875546973009	9.53000194332933
BA2441	6.36467185423724	9.62461563502098
BA2153	6.21802371577529	9.11460476788528
BA2479	7.27636680044251	9.67313133431446
BA2281	6.52170608095191	9.64527993925034
BA2657	5.89918966262517	8.99211218550823
BA2932	6.1527015081476	9.47769688223901
BA2123	6.73527749858946	9.82717700787936
BA2844	6.36227514110898	9.66095938066438
BA2660	5.89400600049609	9.16784487350203
BA2836	6.25179190765508	9.14481502348153
BA3027	6.30464556196735	9.29647098090766
BA2714	5.69757983119209	8.89449191470128
BA2139	5.39929335398575	8.42559982560594
BA2251	6.31251579014812	9.3260124319477
BA2952	5.88406214865442	8.99211218550823
BA2440	6.27158031478995	9.83892848550566
BA2036	6.40025463094879	9.65571538111022
BA2828	5.49725940478877	9.06304565250042
BA2292	6.51154576024005	9.94271473100152
BA2410	6.26033254809805	9.64527993925034
BA2051	5.94836876055586	8.88472441482659
BA2532	6.37031994316104	8.94424486652991
BA2986	6.52020957672534	9.67150060698144
BA2494	6.57247167015578	9.52036350053221
BA2515	6.17598273714894	9.48238177689826
BA2748	6.37975842200095	9.45909303825332
BA2970	6.02937141783307	9.11835064360706
BA2622	6.13597197195766	9.01306871894599
BA2839	6.41651938191685	9.29229417829056
BA2052	7.04775148018528	9.55435683089665
BA3011	6.35627429889414	9.07750677038397
BA2868	6.02819468374248	9.47769688223901
BA2510	5.81726345497192	8.99211218550823
BA2065	6.26517604030033	9.09600320401444
BA2691	5.85381815948029	8.86536741111737
BA2374	6.2877927663973	9.67679810675791
BA2804	6.05361973784087	9.08494318011795
BA2670	5.67924435783264	8.28526081080175
BA2675	5.99436956978052	9.13342062895717
BA2589	6.71837477507922	9.03786515454843
BA2031	5.68872421112857	8.60608533344799
BA2198	5.85182499561048	9.07395764638915
BA2066	5.37928711694374	8.90103696609653
BA2344	5.683055970914	9.43613726309062
BA2459	6.93219471408877	8.31312330931764
BA2229	6.84719227215285	9.38675693832204
BA2559	6.06078122712208	8.86857724833819
BA2093	7.15557221270197	9.22287720595147
BA2000	5.88606180557595	9.58408544068247
BA2425	5.99112678530118	9.50768698561149
BA2905	6.47426873472503	9.16784487350203
BA2304	5.36584838994078	8.61695773628636
BA2976	5.9785222997962	8.97485330936457
BA2386	6.1180523945273	8.79328666582968
BA2035	6.42953951724595	9.22287720595147
BA2760	5.88961440143981	8.49657233882556
BA2201	5.773700485866	9.08494318011795
BA2355	6.6656439229699	9.52517542791568
BA2113	6.18950223686314	9.44407804044761
BA2155	6.82309107200081	9.88687313292775
BA2955	5.96945929693027	9.09600320401444
BA2502	5.70452449404762	9.14863087419242
BA2322	5.61780736228049	9.160132157513
BA2376	5.46990488253098	8.61423212805534
BA2020	6.30050208589508	9.83892848550566
BA2226	5.65258967329686	8.93417001363455
BA2200	6.00841658197255	9.73079295605488
BA2121	6.05448659537988	8.92415796681604
BA2944	6.23533588980149	9.2389471182711
BA2033	5.98917879350321	9.53484314535953
BA2867	6.53145543602281	9.30065851731011
BA2089	5.42234890079115	8.18416035809344
BA2224	5.99849937933433	9.12964008242639
BA2046	6.50002459426286	9.1872873383188
BA2972	5.96023036518701	9.44070228005406
BA2978	5.69449320412197	8.40194775982719
BA2829	5.75606111415072	8.97485330936457
BA2851	5.96505632745959	9.2592593958878
BA2587	5.70872171926613	9.02364943472175
BA2461	5.92917652580144	9.21490111990201
BA2695	5.81839607751016	9.0468018581655
BA2623	6.02245886806957	9.3217592552912
BA2024	5.52061119799639	9.17171491689544
BA2426	5.68872421112857	9.0307417478067
BA2271	5.73401055203652	9.12964008242639
BA3004	6.33046496181519	9.80971908397822
BA2579	6.50152491798344	8.85577669200061
BA3010	5.82392380814807	8.87824586229709
BA2662	5.59174174629251	9.06304565250042
BA2674	6.01784200578308	9.25517667754352
BA2280	5.9207696282738	9.22287720595147
BA2512	5.45674649791294	8.54249270039127
BA2658	5.77182174756257	9.30065851731011
BA2394	6.07695623288107	9.26335235036244
BA2950	5.79603390583248	9.31751716888528
BA2981	5.84787957757678	8.89449191470128
BA2934	5.95891123308455	9.3260124319477
BA2539	5.57116929470375	9.11835064360706
BA2249	6.04898713449574	9.22687989289351
BA2034	6.1058059803294	8.99390471507907
BA2109	5.58836680284654	8.65285322774346
BA2242	6.07305710536308	9.45909303825332
BA2277	5.89124416348565	9.2389471182711
BA2727	6.29137386576201	8.92415796681604
BA2132	6.02077165309049	9.8991027074875
BA2618	5.57784205345213	8.70690950167434
BA2521	5.71669470584693	9.09970659968869
BA2846	5.99605530428902	9.30906602396076
BA2885	5.46663574912202	8.57925061313916
BA2639	5.92274484517742	9.4270458724936
BA2775	5.92513526908082	9.44987135785787
BA2402	6.05529649425473	8.84307877151568
BA2097	6.12261931153674	9.28812805203208
BA2786	5.69683059962592	9.42251934116338
BA2399	5.95848988053113	9.63491369950168
BA2850	5.89400600049609	9.89297540900361
BA2174	5.69295647546023	9.04860912314158
BA2004	6.02412758639857	8.48407580140491
BA3001	6.19521896796153	9.67679810675791
BA2311	5.72290783455204	8.78412431760784
BA2483	5.66740335166233	8.63525880753156
BA3040	6.40264148496757	9.43158515365849
BA2837	5.75987481048265	9.0271917203024
BA2724	5.7171416432858	8.88472441482659
BA2911	6.04856537740908	8.99558616821901
BA2256	5.80732189831465	9.27569316532541
BA2821	5.93038956442244	9.34313727945847
BA2233	6.24100946664766	9.65571538111022
BA2744	6.04154865344481	9.14863087419242
BA2880	5.68986590376939	9.160132157513
BA2621	5.84710176754198	8.9076089453561
BA3002	5.53462725078282	8.69720423583871
BA2501	6.06036727608855	9.40901547409309
BA2993	5.74510782456024	9.35176787188011
BA2301	5.91953516934334	9.0307417478067
BA2852	6.69247942029726	9.3561004357089
BA2133	6.57670086749662	9.2389471182711
BA2866	6.26561634633026	9.8991027074875
BA2212	6.1180523945273	9.33027676031699
BA2685	6.60106588860888	9.26745559419095
BA2273	6.36276922003241	9.98114720830101
BA2477	6.05488922575061	9.26335235036244
BA2659	5.70032456019922	8.52958832512444
BA2124	6.19874995357892	9.87632246618632
BA2363	5.74665789517333	8.26607857536642
BA2369	6.16992972400798	9.25110414260315
BA2534	6.10105446354612	9.34313727945847
BA2400	6.25896920678185	9.43613726309062
BA2762	5.78815697396801	9.34313727945847
BA2312	5.87096179619199	9.53484314535953
BA2813	5.84669771952697	9.78106105276028
BA2211	6.40122033716978	9.85831326849695
BA2171	6.24592732813786	9.64008823387741
BA2746	5.57675252591336	8.98518651350313
BA2798	6.37079667059363	9.27569316532541
BA2809	6.15101372135618	9.39118419839355
BA2288	6.54255345963774	9.98087822775469
BA2801	5.7857780349214	8.83362186336888
BA3030	5.77649310558936	8.61063875058243
BA2588	6.13597197195766	9.60929418124753
BA2296	6.07479305709891	9.36916799017741
BA2300	5.90968137145394	9.88687313292775
BA2903	5.30561743364852	8.3926007250059
BA2473	6.46136172333021	9.93797001113285
BA2545	5.78039940452266	9.17171491689544
BA2840	6.16651995068436	9.22062772367926
BA2528	6.04021038079235	9.30485684547982
BA2646	6.12593955851946	8.95099667095566
BA3407	6.23533588980149	9.38234175781362
BA2240	5.77728199716427	9.28812805203208
BA2926	5.87260128091849	9.26745559419095
BA2272	5.64203067730003	8.97485330936457
BA2306	5.86210066626784	8.7420670822246
BA2765	5.58345571866186	8.55029123602985
BA2904	5.85182499561048	9.13720994130471
BA2883	6.6100656847185	9.01306871894599
BA2726	5.55133978188627	8.54249270039127
BA2234	5.5977589538239	8.97142354261209
BA2022	6.13165710493441	9.75851596885508
BA2228	6.33600766569699	9.25517667754352
BA2037	6.36182238595201	9.23089240757758
BA2184	6.3144421792923	9.45447558148811
BA3009	6.36695225743452	9.76974697360105
BA2842	5.82697757198733	8.61968837224666
BA2442	5.96345262806037	8.9076089453561
BA2882	5.59137657391383	8.5607551950315
BA2758	6.07520173413689	8.76897254396233
BA2705	5.97648507555777	9.20696376307392
BA2663	5.73552904725917	8.62516478231551
BA2570	6.45599883472476	8.79022656584331
BA2764	6.09808877325888	8.18813169577028
BA2209	7.36435791540221	8.67821802831458
BA2989	6.63915578339387	9.10341841676742
BA2855	6.0515207109664	8.81487669872437
BA2261	6.09174069183038	8.53400537696188
BA2721	5.50315192004078	8.97829037472744
BA2930	5.81482124558208	8.43517613550052
BA2728	5.96823920514463	8.5373170330564
BA2715	6.70193954968785	9.56420444046175
BA2469	5.80971219847918	8.35811493599106
BA2269	5.63974092739285	8.18416035809344
BA2098	5.91084110589567	9.14863087419242
BA2778	5.30422441487673	8.52190108216259
BA2951	5.98747577885065	9.14863087419242
BA2163	5.98792432171399	9.36044459889599
BA2379	6.12991458455326	8.65845299235754
BA2817	6.85707363149716	8.68189146093676
BA3153	6.44995385247277	9.47302564786274
BA2820	5.48685812816546	8.86216405394702
BA2723	6.21316864027758	9.09600320401444
BA2704	6.41753927442656	9.58408544068247
BA2088	6.45847746962255	9.4917929010063
BA2116	6.4369045674542	8.77199110438686
BA2584	5.86781157381666	10.0475291689068
BA3079	6.25311199468293	10.0007468429699
BA2417	6.20227272504612	9.65571538111022
BA2361	6.2445717796939	9.1755941413251
BA2450	6.05529649425473	9.24704173883127
BA2492	5.64878460317562	8.19611264417946
BA2552	6.07349886728139	9.00955709168753
BA2472	5.89840678151491	8.68106286594684
BA2994	5.74740223582238	9.23491479941431
BA2047	6.17989946486144	9.58909503454725
BA2101	6.59148541753236	9.48238177689826
BA2082	5.96264354381231	8.77804587995587
BA2879	6.25896920678185	9.17171491689544
BA2577	6.2877927663973	9.54457000922792
BA2456	6.30418081628279	8.80250309714617
BA2175	6.19776851107361	9.59412059033195
BA2824	6.01215704616716	9.19512951707567
BA2507	5.96987848742324	9.88079564639631
BA2563	5.93293802015649	9.68211371581436
BA2244	5.43952524273383	8.84624370479657
BA2470	5.95848988053113	9.76974697360105
BA2984	6.19120375825818	9.6874475749889
BA2414	5.83483518369012	9.64008823387741
BA2697	5.60656322510578	9.44696832329653
BA2079	5.22500574588553	8.68391306436784
BA2999	6.00093229876932	9.03429954865997
BA2644	5.51382815263466	9.3735473533766
BA2011	5.65258967329686	9.09600320401444
BA2217	6.19822146547957	9.69279982690398
BA2454	5.96063563466876	9.86270964606403
BA2776	6.1281715906941	9.80971908397822
BA2218	6.31205444786469	9.59916222255831
BA2135	6.32267289165303	9.94271473100152
BA2914	5.54431492495241	8.83362186336888
BA2500	5.82392380814807	9.0307417478067
BA2830	5.9361114629243	9.44987135785787
BA2406	5.85542200416075	9.4270458724936
BA3108	6.39073862378253	9.43613726309062
BA2924	5.65411500641845	9.09230819306279
BA2303	5.6147813580075	8.83676787171411
BA2160	6.0765385205626	9.55927298456459
BA2038	6.43095537419459	9.0307417478067
BA2602	6.26033254809805	8.56338303703764
BA2964	6.42858727965842	8.8717935877338
BA2898	6.05488922575061	9.44987135785787
BA3003	6.10323904488586	9.48238177689826
BA2111	5.89241706426442	9.58408544068247
BA2827	6.00881830211778	9.58909503454725
BA2912	6.4338606092369	9.55927298456459
BA2437	6.11847233502019	9.55927298456459
BA2283	6.05279557201734	9.58909503454725
BA2057	6.13853683580785	9.54457000922792
BA2633	6.26972531039322	9.58909503454725
BA3034	6.1368245443414	9.55435683089665
BA2607	5.98996157877142	9.3735473533766
BA2761	6.20964310204874	9.4270458724936
BA2795	6.07098245209084	9.54457000922792
BA2182	6.26604717378172	9.54457000922792
BA2152	6.00800870736247	9.49651930986164
BA2381	6.08362235286883	9.80971908397822
BA2931	6.18549348202673	9.53000194332933
BA2040	5.99072677808467	9.34313727945847
BA2590	6.00638246473167	9.60929418124753
BA3195	6.43590316276273	9.3561004357089
BA2516	5.94757169388019	8.94268168369866
BA2353	6.15311168314809	9.2429894144776
BA3036	5.90396043152694	9.11086746340759
BA2971	5.97890641593254	9.02543573403374
BA3410	5.90720734250747	9.47302564786274
BA3118	5.8446879817315	9.22287720595147
BA3206	6.29871693912713	9.57411368730524
BA3202	6.48705929163371	9.48238177689826
BA3217	5.46410131409376	9.4045391740165
BA3405	5.6705066725732	8.22445433533228
BA3306	5.86781157381666	9.00255657247606
BA3371	6.26385719339892	9.10341841676742
BA3413	6.16479221189801	9.58909503454725
BA3411	5.81726345497192	9.07395764638915
BA3133	6.20398896796611	9.3561004357089
BA3164	6.19438001519865	9.13342062895717
BA3451	5.46734103839207	8.52958832512444
BA3286	5.6864679763228	9.36916799017741
BA3212	6.91733301258099	9.56098320131876
BA3103	5.83256616777847	8.91751782379931
BA3271	5.84826511265661	9.1872873383188
BA3152	5.99520828398439	9.3735473533766
BA3095	6.10408615184211	9.79245962144758
BA3192	6.04647904010288	9.11086746340759
BA3251	5.76568700898176	9.40901547409309
BA3362	5.84669771952697	9.00434706477645
BA3400	6.31492475633183	9.65048894475304
BA3135	5.96141985766576	9.4000752436972
BA3408	6.98137959105818	9.63491369950168
BA3187	6.0756397245943	9.27569316532541
BA3098	5.7225158734594	9.12964008242639
BA3435	6.18251802139279	9.19120372633416
BA3261	6.07182186589842	9.54457000922792
BA3203	5.78459303638823	9.76974697360105
BA3174	6.0840496796786	8.89776108628452
BA3317	6.1058059803294	9.33883912107995
BA3299	6.01867856463796	8.75098362594822
BA3221	5.87965665517008	8.78108213178214
BA3347	5.75302384911337	9.43158515365849
BA3235	5.23710808006626	8.20012237793382
BA3126	5.32164044187742	8.26607857536642
BA3380	5.65522675909671	9.04143859741613
BA3089	6.021192542846	9.2389471182711
BA3109	5.94431286144935	8.46185834013681
BA3114	6.17641644366945	9.17171491689544
BA3418	6.51302546929391	8.97829037472744
BA3245	6.22284672145603	9.56915130536806
BA3085	6.12947427780454	9.07761127342397
BA3128	5.89203625853857	9.45909303825332
BA3423	6.44756726036546	9.67679810675791
BA3173	6.20825574796756	9.98114720830101
BA3171	6.14934626765103	8.83048212173684
BA3277	6.55285609284704	9.43158515365849
BA3210	6.81145766315316	9.19120372633416
BA3157	5.96505632745959	9.56420444046175
BA3433	6.25091484872834	9.53969913371194
BA3322	6.46633469347968	9.53484314535953
BA3374	5.44790183156178	8.79328666582968
BA3450	6.41555515164963	9.60422004710875
BA3167	5.84710176754198	8.47663077360064
BA3269	6.10538403903875	9.60929418124753
BA3110	6.57095981156775	9.66259277874038
BA3156	6.56583781452914	9.2592593958878
BA3226	6.11633596300958	9.39118419839355
BA3421	5.99807250561422	8.95777690896205
BA3232	5.93534312096623	9.27569316532541
BA3289	5.9931420196416	8.61423212805534
BA3430	5.95983280142242	8.38747453651413
BA3145	6.3249851051031	9.30906602396076
BA3399	6.02456199069166	8.96117775713075
BA3449	6.21363363803942	9.09230819306279
BA3384	5.81161565339235	9.17948259034573
BA3427	6.16391479568772	9.28812805203208
BA3163	5.68268021308212	8.52958832512444
BA3158	6.19438001519865	9.55927298456459
BA3436	6.436391484782	9.61438474364243
BA3154	6.21013178100069	9.62258533258528
BA3162	5.98343537244457	8.12230223339654
BA3352	6.25896920678185	8.92264013919218
BA3084	5.77331420543403	9.31751716888528
BA3149	6.18507158781402	8.71853926395486
BA3169	5.79282325358751	8.9076089453561
BA3180	6.03363601462633	9.2109276242084
BA3255	5.78933652729381	9.41350421836705
BA3438	5.11638292117158	9.62975620855742
BA3345	6.11294027816034	8.94087956106744
BA3403	5.42893594031004	8.47415784691615
BA3431	5.6098838682387	8.42559982560594
BA3181	5.7664756489083	8.03722226484621
BA3341	6.15101372135618	8.96458579397726
BA3191	5.55999957718043	8.77804587995587
BA3197	6.16141096550525	9.16398396797258
BA3448	6.19345543409726	9.38234175781362
BA3453	6.14547247746584	9.12586826213153
BA3406	6.08028059153902	9.82133532639013
BA3308	6.30050208589508	9.17948259034573
BA3186	6.57720688521491	9.40240975182614
BA3334	6.32314377198831	8.65565049707964
BA3447	6.22157033382946	9.52036350053221
BA3116	5.58682786591739	8.97485330936457
BA3280	6.16609369248211	9.53969913371194
BA3185	6.48952236006017	9.19906475607931
BA3094	5.17950354207122	8.6697155276332
BA3318	5.78115226086829	8.42559982560594
BA3216	5.91874058491338	9.40901547409309
BA3332	6.49799553338119	9.41800548205558
BA3214	6.32126637219132	9.25691151442812
BA3099	6.00599295147661	9.4045391740165
BA3141	6.25265344537738	9.39562360946183
BA3373	6.36326165874901	9.3217592552912
BA3319	5.56112145786682	8.43037965011906
BA3328	5.91554817043997	9.28812805203208
BA3339	6.65737778697747	9.732408696693
BA3240	6.35713479831954	9.08127310626888
BA3142	6.55965463360655	9.44070228005406
BA3333	6.17121351437265	9.46372381175102
BA3381	5.76488394506669	8.74800571415782
BA3290	5.85694980213458	8.8879736022598
BA3207	5.47615849761807	7.93502206043898
BA3296	5.71553086944073	8.8879736022598
BA3305	5.93982972127244	8.82110029202306
BA3434	5.99685177199163	9.27569316532541
BA3189	5.83756838624294	9.08862153045619
BA3264	6.25445222164076	9.55435683089665
BA3329	6.6100656847185	9.48406046211483
BA3417	6.11971599118053	9.23491479941431
BA3367	5.50055254025843	8.60436299215519
BA3225	5.48685812816546	8.11666073243668
BA3183	6.0311101011047	9.04143859741613
BA3222	5.67963455085071	9.08494318011795
BA3139	6.01784200578308	8.88653621315296
BA3397	6.3811905938473	9.64527993925034
BA3311	5.53130217583918	8.07971165578759
BA3422	6.21316864027758	10.0888662099127
BA3228	5.94021025458643	8.68391306436784
BA3213	5.63359431703311	9.26335235036244
BA3270	5.79603390583248	8.8717935877338
BA3415	6.00921196587346	9.34744684153524
BA3324	6.08362235286883	8.8525926437112
BA3194	6.22157033382946	9.68211371581436
BA3335	6.04856537740908	9.96822468421139
BA3199	6.12904074966952	9.4917929010063
BA3326	5.56256719374486	9.27569316532541
BA3285	6.12385981288499	8.72329447406972
BA3297	6.04856537740908	9.09230819306279
BA3227	6.34322095252985	9.11460476788528
BA3394	5.78541513449237	8.65006116973985
BA3412	5.74090562795813	8.93752128537319
BA3293	6.20356343645269	9.44239146973819
BA3250	5.89003355654074	9.21888429779212
BA3177	5.72441309220803	9.47769688223901
BA3315	6.59785150913547	8.96117775713075
BA3182	5.74822587560422	8.91751782379931
BA3260	5.79243605583809	8.43758065182973
BA3369	5.70566190016674	9.24704173883127
BA3078	5.92875292821339	9.20475662343021
BA3386	6.05025616147561	9.71984209806913
BA3445	5.91835525147628	9.4000752436972
BA3452	6.06680993243889	8.57129520837751
BA3176	6.2751197185023	9.29229417829056
BA3258	5.67546263774049	8.64449262965366
