	IDH1	CBL
BA2392	5.74395799798389	5.58345571866186
BA2611	5.75871811902643	5.65372634921578
BA2506	5.75871811902643	5.64803687161425
BA2430	5.80931856446972	5.73284131564851
BA2448	5.79121445090041	5.71062850605643
BA2730	5.8227080060065	5.73699919077019
BA2845	5.67963455085071	5.51537822254039
BA2326	5.67432622931416	5.53387100376444
BA2341	5.64918681238206	5.53462725078282
BA2612	5.59924503664906	5.54319628882121
BA2973	5.63166253168885	5.52613507813266
BA2390	5.6571193282783	5.53130217583918
BA3218	5.60116902965989	5.57484353091513
BA3105	5.68416732949988	5.53022022640692
BA3402	5.71798453197329	5.63166253168885
BA3276	5.7151540674209	5.62154857269561
BA2409	7.52082148621471	6.92693139302054
BA3037	5.44138513248386	6.48412876670839
BA2496	6.59256890621003	6.95344802847081
BA2172	4.82328175599878	6.03067265261494
BA2865	6.97794904447586	6.00760401810435
BA2923	8.2618544484033	7.33890799019329
BA2751	7.15246698865564	6.31675170697475
BA2480	7.35298985161002	6.10148550070927
BA2286	6.15608719552673	6.45505097585003
BA2922	6.60792383481337	6.57560815980456
BA2452	6.40688318423783	5.96465349079709
BA3379	5.94263228316548	6.50804753914762
BA2887	5.85144934754927	6.97450183109637
BA2712	7.45375064871774	6.92833111291049
BA2068	4.80607814010981	5.45489161608543
BA2236	6.90558799283489	6.43095537419459
BA2104	7.73732673360922	7.23215951369131
BA3124	4.22136650202706	6.21887740590051
BA3395	7.16547841878937	7.04851156959908
BA2921	4.79871964465787	5.8258026321264
BA2449	4.22750729569156	5.72290783455204
BA2003	5.20261254311813	5.58682786591739
BA2360	6.61867340597626	6.29962436721057
BA2802	4.3579546600223	6.44227342376241
BA2235	7.1956195388029	6.7903869995291
BA2858	5.32198845078755	5.64461310314999
BA3038	7.20973552997534	6.89644993218602
BA3006	6.49699294257919	5.82392380814807
BA2245	5.4241733124076	6.05025616147561
BA2667	6.49799553338119	6.71895435387141
BA2239	7.14764743423536	6.93558317816731
BA2782	6.64358377452482	6.8911840063889
BA2649	6.23214914518013	6.16992972400798
BA2488	6.35757561884313	6.48013079701668
BA2861	7.03549223810054	6.64966424428309
BA2909	6.34548467937847	7.4827611671997
BA2429	5.11958001435747	6.24227196022735
BA2653	4.90152753707883	5.00447988229452
BA2134	6.53396722315737	6.59999610931592
BA2947	4.83268199793827	6.0228669992747
BA2032	5.82000063861969	6.08923274175156
BA2162	5.33028268437174	6.84335327492742
BA2564	6.85832315809809	6.64518894120786
BA2597	2.84361014461716	3.80075983876638
BA3243	5.4843036495526	6.99175546936536
BA2106	5.19270680337974	5.34794466566604
BA2427	3.18975730461156	5.87965665517008
BA2841	3.95599802451469	4.58048481229599
BA2446	6.55661288461065	7.14921380328589
BA2645	4.05123232495892	5.5977589538239
BA2525	3.65728472785622	5.28648765336968
BA2876	3.20185478187358	5.73014197003587
BA2357	3.69392175101973	6.13375733254388
BA2546	7.33073792117204	6.73222274372854
BA2742	9.09600320401444	6.1188645712048
BA2316	9.05942450247106	6.73745939965324
BA2421	5.60042800463674	6.78865136154736
BA2087	4.8688411127684	7.02698040559294
BA2910	6.13375733254388	6.21316864027758
BA2148	4.42623541625347	6.3674275206391
BA2063	2.864896220199	5.67470446988703
BA2329	6.84399982384708	6.69408720379773
BA3178	6.28908084563445	7.25358458154246
BA2072	6.78074983432615	6.70026474055664
BA3029	5.19342572013905	5.22784345449983
BA2733	4.2236378258506	5.73362651887088
BA2995	4.54341837856977	5.19628685284198
BA2069	6.95150045701844	6.8090279726606
BA2100	5.17381001168529	5.89241706426442
BA2681	5.34829013725005	5.31829221630524
BA2248	5.78304332339911	5.72023465218825
BA2832	5.24140893715519	7.03623900558414
BA2308	5.41063794413204	6.50446999422617
BA2413	5.39458251066191	6.13375733254388
BA2701	5.81524050486287	6.8194770973329
BA2634	4.90500171115938	6.8036454676491
BA2677	6.37500681410956	6.33280116885594
BA2937	6.43542748974206	6.53543485984192
BA2600	5.22500574588553	6.35117266997331
BA2019	5.31326361994662	3.95682310890252
BA2412	6.05611661620259	7.2187812774904
BA2334	5.71913182250031	6.49650890866452
BA2050	6.1842076331656	6.18507158781402
BA3230	5.34936654533728	6.62521439483861
BA2953	4.87201227243281	5.16463165990358
BA2481	4.1174274886939	5.91554817043997
BA2731	6.19120375825818	6.75831323775631
BA2294	5.51205399141146	6.63058753997147
BA2418	5.86536301251181	5.65788997880482
BA2816	4.97525881373139	5.85615861273504
BA2656	4.6932849776624	6.08278210679629
BA2814	7.64895583047878	7.20635659773546
BA2631	6.47620808782314	6.39926285688665
BA2023	7.42928783450574	6.81394894542996
BA2375	5.84864920436747	6.65187762334033
BA2485	6.60051001058414	6.11503718341623
BA2455	6.61484329859941	7.16953610700443
BA2025	6.18727628290146	7.16215175411855
BA2636	2.95707573664305	6.27603504625168
BA2325	7.31937809888862	6.77246010495607
BA2169	4.2685172238636	5.58159000678894
BA2156	6.53347844553203	6.31205444786469
BA2511	3.63778681479032	5.30233735609804
BA2939	5.88920214405522	6.10190214742508
BA2168	6.03566200297907	5.72903451515424
BA2505	4.82328175599878	7.04851156959908
BA2860	5.15668163101419	6.33918453468976
BA2707	5.24611528011748	6.43289690445385
BA2871	5.56596083132182	5.79243605583809
BA2655	4.94485331976651	5.28177179122875
BA2227	4.77735183811143	5.12877017474867
BA2125	6.43000064848533	6.62033484572762
BA2523	6.26118056372206	6.2823542083032
BA2603	6.25896920678185	6.58623483162294
BA2808	5.30025672574144	6.45552187143232
BA2282	5.83716487793583	6.42530173541054
BA2482	6.93954050250455	6.75542557918572
BA2812	5.82934773365488	6.6143322001923
BA2822	7.20386734649371	6.71895435387141
BA2594	6.94945791531145	6.5857158816337
BA2747	5.23068767781653	5.65139228908545
BA2561	7.35863482899504	5.57784205345213
BA2567	3.40936163024976	6.15017409130302
BA2906	6.56583781452914	6.34737367069021
BA2956	4.93680420181051	5.82859548893421
BA2474	6.41993290039897	6.29781353915766
BA2737	7.00490622738367	7.01847365520979
BA2110	6.60579006500373	6.64358377452482
BA2992	5.29873886453286	5.90157614057374
BA2220	5.88005273032646	5.37493254523606
BA2772	4.20752353675978	5.95395062623658
BA2935	5.76293182295601	6.12097278529639
BA2260	6.30695343234241	6.85454256896604
BA2676	6.47376016789819	6.56583781452914
BA2948	4.45829690708788	6.83919348466817
BA2524	4.71338041148762	5.85734049093177
BA2811	5.95983280142242	6.27738452973272
BA2540	5.10108468850577	6.56326897910348
BA2928	6.62899851308068	7.21542521128511
BA2302	4.35980493218316	5.17875449236567
BA2595	4.7899749730526	5.3310234675941
BA2792	5.62043017440298	6.28281877541209
BA2651	4.51902825678144	6.10105446354612
BA2619	6.57921927462639	6.86209164981008
BA3013	6.23486418682469	5.89241706426442
BA2405	4.63387310843381	6.40217435211346
BA2735	6.01046707595227	6.40025463094879
BA2856	4.64521147205465	6.17903573796561
BA2377	4.72354417544082	6.50698545533974
BA2499	3.58175052756526	6.23299520957221
BA2463	7.01129464656936	5.69295647546023
BA3023	3.85081185407147	4.98548688523347
BA2095	6.09645228197541	6.49846429425474
BA2901	5.0241682886734	6.69408720379773
BA2275	6.14149524736616	7.3370513303313
BA2387	6.07906325231323	6.34878143548061
BA2962	7.45670028367566	6.52477924694933
BA2195	4.08320598972476	5.6655125977295
BA2688	3.23858596558685	5.40222355803693
BA2787	5.66936167999459	6.64862107605335
BA2420	5.91360220597683	6.62413100331839
BA2756	4.39589281624757	5.42819410723842
BA2122	3.22968112507528	5.87015044982701
BA2053	5.25892746258291	6.28823715765654
BA2080	4.29267969728308	6.06511011474783
BA2081	7.18078818168097	6.60051001058414
BA2354	6.26203648745747	6.54978276410253
BA3273	4.10948809536277	4.79206101179779
BA2893	5.61817308697624	5.93650668840212
BA2044	6.28823715765654	6.73345379130114
BA2489	3.22332800972844	5.5268548517384
BA2309	5.45489161608543	5.59736566113199
BA2720	3.85948948082755	4.70558310668457
BA2908	6.09727224274201	6.2969414166888
BA2054	6.44947039282618	6.66675437475145
BA2872	5.47433300541024	6.5181383405608
BA2526	3.54989691248403	5.72328663310628
BA2041	3.74848704611698	4.58048481229599
BA2464	6.04982213026608	5.98180577093432
BA2902	5.08617132532278	5.03358349696303
BA2541	6.29556241973791	6.61275930528802
BA2143	5.1308809152012	5.7964028219612
BA2094	7.53511002571526	6.94490055523594
BA2769	4.72632902528561	6.84776495812423
BA2843	4.576912820314	5.9527582231115
BA2592	4.04795438154792	4.9207439830005
BA2497	7.27462693268534	7.15951987646114
BA2718	6.75597489483719	6.04401665671066
BA2575	7.35298985161002	6.34783039381028
BA2096	5.90476239808708	4.9819516092596
BA2593	7.86375133258917	4.81514527019492
BA2791	3.89144729146833	5.55664538738979
BA2620	7.07695814218809	6.3208153422885
BA2629	6.1725191860544	6.33963983784712
BA2870	7.69160326863138	6.63008743018599
BA2423	5.07164095305392	6.59679870213256
BA2682	5.90076617867574	6.8072812584581
BA2276	4.91022290966011	6.5679039967091
BA2348	4.81265842584299	6.19077861638542
BA2709	6.54150806703429	6.40549948389557
BA2789	5.91554817043997	6.5145040049866
BA2694	4.4543011664344	5.95848988053113
BA2538	4.37307759807115	6.75771576783705
BA2583	5.2008194787507	6.36840696799515
BA2415	6.07987511764245	7.12422017929786
BA2722	4.94450171912077	7.97894297933459
BA2806	6.08879387607679	5.90555861314736
BA2221	5.57935496877716	6.68477667416407
BA3025	5.87927912302444	6.03566200297907
BA2514	4.5993645555515	5.53314032561817
BA2520	4.59723676314568	6.19822146547957
BA2441	5.83369852515391	6.96975356458038
BA2153	4.98513676810276	5.69333061318898
BA2479	2.61422648503115	5.80651617633479
BA2281	5.98958134739074	6.62578562632488
BA2657	6.58623483162294	5.99395843173589
BA2932	7.48594354331146	6.60051001058414
