	RUNX1	GATA2
BA2392	8.22240857358487	7.41600983782201
BA2611	8.24509615455004	7.34547705030654
BA2506	8.23267071257109	7.41107466475047
BA2430	8.27031665707811	7.37299295258264
BA2448	8.26607857536642	7.42721767032965
BA2730	8.27670009201677	7.37967634115988
BA2845	8.32671267592458	7.31758513982701
BA2326	8.31347995218337	7.3445927403943
BA2341	8.35811493599106	7.3614587281193
BA2612	8.31347995218337	7.32489473499785
BA2973	8.32007964073217	7.31665510949842
BA2390	8.29387857030758	7.3634906067475
BA3218	8.31347995218337	7.31484141146978
BA3105	8.24926512843891	7.26503778677364
BA3402	8.27456876079558	7.27805701193436
BA3276	8.25764420926654	7.29968056370735
BA2409	6.75831323775631	4.08953411027778
BA3037	7.64377441186557	9.22687989289351
BA2496	7.0949820634578	4.22136650202706
BA2172	6.54875546973009	7.72672331348077
BA2865	8.40664550150058	10.0543370402648
BA2923	7.4382687261571	-0.905814060314707
BA2751	9.45155824142257	6.91069984449294
BA2480	9.25110414260315	8.44966638628301
BA2286	7.82833379039141	6.84098754890722
BA2922	8.52958832512444	6.95344802847081
BA2452	8.84624370479657	7.2808607611199
BA3379	7.11145591609312	6.11039522609915
BA2887	7.53303259081949	5.05929023106165
BA2712	7.50436087643108	2.26275670492429
BA2068	8.0179995830141	8.95777690896205
BA2236	8.79022656584331	8.58457840504288
BA2104	7.2245944685398	0.732935262992316
BA3124	7.10925539195399	5.77221027466017
BA3395	8.68106286594684	7.45571345371651
BA2921	8.14513423086413	7.41497012248878
BA2449	7.18474506245045	5.21327609576147
BA2003	8.13747585819058	7.37771038448057
BA2360	6.17338143773516	8.58992566833602
BA2802	7.51299557490928	7.40900238551148
BA2235	7.56436701911919	6.83214250556656
BA2858	6.5181383405608	4.24617468927424
BA3038	7.39635430321553	6.41227021268222
BA3006	8.75098362594822	7.99915514777274
BA2245	9.09600320401444	7.66369633945432
BA2667	7.40804987020109	6.50152491798344
BA2239	7.09710413510838	4.89696755761679
BA2782	6.67339810625054	5.97890641593254
BA2649	8.91751782379931	7.15798365655759
BA2488	8.48407580140491	8.16840116234166
BA2861	6.18992574647122	7.44839655086442
