ID Sample	Abundance	TotalKmers	NormalizedExpression	isTransformed
BA2636	69.37931034482759	7175056420.0	9.669514256562124	TRUE
BA2035	163.3793103448276	6217670060.0	26.276613066989853	FALSE
BA2054	50.0	8531157040.0	5.860869723246824	FALSE
BA2101	52.06896551724138	8340797920.0	6.242683975400927	FALSE
BA2110	16.03448275862069	6152349560.0	2.6062372760595696	FALSE
BA2239	28.517241379310345	6142994060.0	4.642238149797323	FALSE
BA2312	89.62068965517241	8495131680.0	10.549652793042098	FALSE
BA2355	23.517241379310345	11537650740.0	2.0383041495421748	FALSE
BA2402	46.86206896551724	8054348400.0	5.818232169534315	FALSE
BA2405	27.96551724137931	4867078720.0	5.745852666500391	FALSE
BA2477	126.44827586206895	9272545380.0	13.63684626821087	FALSE
BA2496	28.86206896551724	5463355520.0	5.282846569266874	TRUE
BA2512	51.310344827586206	12271159740.0	4.181376977787285	FALSE
BA2521	93.6206896551724	9825842040.0	9.528006788024083	FALSE
BA2528	63.06896551724138	9666894580.0	6.524221920007881	FALSE
BA2603	51.310344827586206	7420922180.0	6.91428148456695	FALSE
BA2772	61.86206896551724	5068152600.0	12.206039132585952	FALSE
BA2782	52.37931034482759	8864156420.0	5.909113948694014	FALSE
BA2813	46.75862068965517	5990583900.0	7.805352778659049	FALSE
BA2820	102.75862068965516	9500869000.0	10.815707562082496	TRUE
BA2851	141.27586206896552	10313870000.0	13.697657820872816	FALSE
BA2908	110.20689655172414	7211399160.0	15.282318189099401	FALSE
BA2914	119.41379310344828	8485386280.0	14.072876491775727	FALSE
BA3006	50.172413793103445	5458738880.0	9.191209709064422	FALSE
BA3043	32.06896551724138	6529792220.0	4.9111770232164265	FALSE
BA2303	54.51724137931034	8514264360.0	6.40304776481128	FALSE
BA3146	127.0	8414149380.0	15.093623165506482	FALSE
BA3208	71.96551724137932	7852002200.0	9.165244151533646	TRUE
BA3232	132.20689655172413	7421623860.0	17.813742523960805	FALSE
BA3373	335.0	11854531614.0	28.259235447511962	TRUE
BA2139	17.103448275862068	6124993700.0	2.7924025906936145	FALSE
BA2316	23.517241379310345	5633340580.0	4.174652862779752	FALSE
BA2474	76.20689655172414	7145734960.0	10.664668781911292	FALSE
BA2588	113.3103448275862	8178035040.0	13.855448683377885	FALSE
BA2662	62.96551724137931	8914914400.0	7.062941315665276	FALSE
BA2742	37.44827586206897	8138125660.0	4.6015848644525565	FALSE
BA2746	22.517241379310345	8656098080.0	2.6013154161615444	FALSE
BA2901	18.620689655172413	4804985080.0	3.8752856346376863	FALSE
BA2971	110.0	9208329900.0	11.945705811430583	TRUE
BA3124	27.79310344827586	8443221500.0	3.2917652874884142	FALSE
BA3195	137.51724137931035	8965945660.0	15.337728622739652	TRUE
BA3240	384.7931034482759	10888276568.0	35.34012945438583	TRUE
BA3266	161.48275862068965	11950065948.0	13.513126983848645	FALSE
BA3270	78.96551724137932	12960972326.0	6.09256121031697	FALSE
BA3421	16.20689655172414	7402556140.0	2.1893648957485836	FALSE
BA3453	29.06896551724138	7489153980.0	3.881475209999806	FALSE
BA3454	126.20689655172414	12594145714.0	10.021076412624723	FALSE
BA2724	28.86206896551724	6077615180.0	4.748913531165235	FALSE
BA3176	127.03448275862068	10280940722.0	12.356309232168014	FALSE
BA2011	27.03448275862069	8141679840.0	3.320504280431235	FALSE
BA2644	54.06896551724138	8405220600.0	6.432783634166768	FALSE
BA3299	11.758620689655173	9476463220.0	1.24082375636078	FALSE
BA3004	54.58620689655172	8850037420.0	6.16790690321756	FALSE
BA3341	13.89655172413793	8305332000.0	1.6732084550187674	FALSE
BA2376	24.58620689655172	7726760440.0	3.18195537282009	FALSE
BA3385	44.89655172413793	8005593960.0	5.608147496421107	FALSE
BA3289	13.89655172413793	6844100060.0	2.0304425128667583	FALSE
BA3386	97.6206896551724	12310391800.0	7.929941730625697	FALSE
BA2097	57.10344827586207	14589031940.0	3.914135530767922	TRUE
BA3335	67.84615384615384	11066648164.0	6.13068680242845	FALSE
BA2926	44.27586206896552	8694402360.0	5.092456069512467	FALSE
