	RUNX1	DNMT3A
BA2000	0.3158646553683877	0.3903477782106476
BA2003	0.4013244329079319	0.2200672016907105
BA2004	0.3087657605500394	1.7421872222743082
BA2006	0.0434516639435853	0.3787236170572983
BA2011	0.1227164865716172	0.5217608164496809
BA2019	0.2985802352609417	0.4474708417173635
BA2020	0.4234286826082905	0.6765599205677996
BA2022	0.5851342050113773	1.035164212553083
BA2023	0.2340222673641931	0.1201300703143848
BA2024	0.355324854052362	0.4794653993658658
BA2025	0.0980119356459087	0.2548711482159886
BA2031	0.2926282036740446	0.2223031448406812
BA2032	0.3819240898337823	0.2822289193149458
BA2033	0.2493802875679197	0.1425292972381716
BA2034	0.4487978343101674	0.5984234647814147
BA2035	0.5157778625167798	0.8654681646619956
BA2036	0.8388414173535819	0.4402468738806289
BA2037	0.4592527844731488	0.783361127172473
BA2041	0.2588665449447568	0.1026100021630555
BA2044	0.4545446668656925	0.3145954640236001
BA2046	0.5157814038241734	0.1527200400277926
BA2047	0.3310338573537499	1.1000234462904164
BA2050	0.3165709499854057	0.2208361160071591
BA2051	0.3938825853566675	0.1202876109750209
BA2052	0.3736513203619646	0.4628891424904828
BA2053	0.3085386934826425	0.2357331583528511
BA2054	0.2938030708808976	0.1897970889603141
BA2055	0.0589301162250986	0.1016623185336721
BA2063	0.0920561794793435	0.2337397032375142
BA2065	0.5219851276879832	0.4009166650099477
BA2066	0.4636862910150136	0.3777119351024847
BA2068	0.4141447851298147	0.2375133220008568
BA2069	0.1889841436797342	0.1693877031808799
BA2072	0.3501484859597172	0.2069594922820808
BA2079	0.1133866749489385	0.2431485328158669
BA2080	0.1281109492294557	0.2891593639359263
BA2081	0.5058095747966009	0.2574487849552282
BA2082	0.1837415500653363	0.3355754225575059
BA2087	0.1262338198212069	0.1543080697173639
BA2088	0.1123074663292034	0.0833651298577288
BA2089	0.3022986007009235	0.2758816049602879
BA2093	0.7187506601942814	0.4683773986052874
BA2094	0.6344199058410083	0.4592247829364606
BA2095	0.5760620116676848	0.3875435221016316
BA2096	0.1373108299661647	0.1225796696216249
BA2097	0.5803880630099275	0.6727738141640198
BA2098	0.190269033493088	0.4725877035538304
BA2100	0.2614480767212281	0.1089824664887933
BA2101	0.2374995044039177	0.6971560439731584
BA2104	0.1869198487063524	0.053740668846797
BA2106	0.3996681074992766	0.2311583327849795
BA2109	0.1611528749668292	0.1313450186921277
BA2110	0.1412447000291279	0.0840286651574152
BA2113	0.4636009687036643	0.6525721360605183
BA2116	0.247156774264995	0.2417840970771943
BA2121	0.4045254318806516	0.6760584898167601
BA2122	0.2333023284722314	0.0656029871370471
BA2123	0.3247570771477333	0.0959275918604528
BA2124	0.547448699385894	0.6896924988931303
BA2125	0.3106537800341222	0.4016538372629313
BA2132	0.4028966828390375	0.5098245010712235
BA2133	0.0821775067247399	0.2320013726547507
BA2134	0.1773124117797484	0.0978162703224511
BA2135	0.3643324954167157	0.5230946747168397
BA2139	0.1190683935976216	0.094658854443762
BA2143	0.2887462269645254	0.1901286905887505
BA2148	0.2213584146383362	0.1653780428761621
BA2153	0.3382966437468907	0.5962602133140623
BA2155	0.1000285399730431	0.325684159573431
BA2156	0.1665121141157881	0.6192501045771407
BA2162	0.2075276098890612	0.5336746564791711
BA2163	0.3639867216910707	2.3304985680705173
BA2168	0.3370682973422069	0.4042478250562519
BA2169	0.2424274050615774	0.8900870917871619
BA2171	0.6888123828281181	0.5006416354314442
BA2172	0.1712153320146594	0.3534923133742886
BA2174	0.3644123896008013	0.4419089652347314
BA2175	0.3571108076129757	0.177572143431386
BA2184	0.3727416907983689	2.4937520176121484
BA2195	0.3198556517342838	0.2030012891780013
BA2198	0.6672047141790376	0.8296965103200213
BA2200	0.9493042047686716	0.879303672917371
