	RAD21	PTPN11
BA2889	0.0526682049279554	0.0893690876800253
BA3008	0.2984697073842119	0.3007671567538219
BA2593	0.5499673904738163	0.8090165245861867
BA2055	0.8900090654720321	1.0119939151741806
BA2006	2.270388898058533	1.599279212987121
BA2915	2.432698412466443	2.41314672352659
BA2695	3.385600384087774	11.2404092343823
BA2744	3.4684355266186118	3.972428680531728
BA2731	3.825267336455325	10.348587303927951
BA2507	3.825761168013304	13.273383072831717
BA2363	3.870061482063049	7.3033212222808
BA3447	3.879630029418274	3.2625258891737285
BA2697	3.914813236169825	6.301040978737351
BA3023	4.0703173877139145	16.109292041670233
BA2597	4.217510422821092	19.51682683095491
BA2348	4.327835996869017	6.14653811673649
BA2923	4.43442129730587	9.394341271819846
BA2778	4.436186959369814	11.051841624231852
BA2218	4.492958654425742	6.878393864241168
BA2011	4.533384234237969	9.225160864995647
BA2217	4.573645652451456	17.405562540348775
BA2350	4.588882690076493	9.248559385393913
BA2540	4.592253604891722	12.01969277063214
BA2081	4.620438733254882	15.613771421052876
BA2984	4.623263901162467	14.452361922559325
BA2955	4.626903249324755	11.13542937935626
BA2658	4.654695657476833	20.77431422918143
BA2824	4.683691483393542	15.698469004065108
BA2921	4.687694470296719	17.458656163590284
BA2406	4.789139318834035	17.82816007822995
BA2939	4.814820204236246	9.710666289915626
BA3025	4.821452582837324	21.606626020315527
BA2972	4.875855602823917	17.627225547010358
BA2110	4.875980173627301	9.173325205003731
BA3421	4.9927405123982815	7.884860177730484
BA2325	5.008815555223583	13.13339354976582
BA3075	5.0177523164792746	9.78077433217044
BA2651	5.018140227249536	15.009905620802682
BA2079	5.054760892054986	8.072035025066661
BA2426	5.078771875409028	14.6887218048444
BA2850	5.097039701059529	13.43052749037221
BA2104	5.107654904717963	9.678008579946416
BA2121	5.12776073278341	24.484211565819702
BA2481	5.147954855206522	7.960993949896547
BA2418	5.170131502585171	10.111819360859618
BA2951	5.174473590117093	18.133444760407368
BA2322	5.18753456585531	19.00203463588738
BA2148	5.204481045400393	15.675843108585529
BA2155	5.233148408171361	13.399294045807633
BA2644	5.2597819078544354	13.954630838917565
BA2656	5.318476119902994	12.23115155921837
BA2244	5.341309648977824	16.925820528737685
BA2329	5.409638321457206	14.170386468930648
BA3010	5.412972758144391	13.643755520925405
BA2201	5.432057146746553	10.05949923649511
BA2248	5.445572536474128	18.155268511562515
BA2724	5.450778898354078	12.29033845001848
BA2830	5.473336416357746	10.54731633196385
BA3289	5.473680908679123	8.671812401369937
BA2575	5.477289467005744	10.361376185477951
BA2269	5.517119433614601	7.328556613973234
BA3430	5.528116711370857	9.925872127763904
BA2956	5.528563793050033	8.523238456781499
BA2999	5.533919986013618	20.07089751224206
BA2674	5.586960032133701	17.279843318133707
BA3175	5.595467776707004	16.98894756673063
BA2953	5.61233345548178	7.163653271429381
BA2563	5.624974228062305	17.33397336920926
BA2106	5.7185547695433705	11.404555741858657
BA2072	5.724137968839168	12.509935270285276
BA2861	5.739678316914184	17.408068930780058
BA2470	5.793494776867308	18.268118383788824
BA3242	5.801530323141875	18.60678946129853
BA2304	5.843656849489537	12.000004837689753
BA2662	5.873299561545402	12.045959777225177
BA2511	5.903836931663234	7.663551368635486
BA2520	5.918793888432724	10.18459988094212
BA2634	5.922645896258479	18.21284933426878
BA2733	5.937480129183587	8.96480318961342
BA2409	5.9648479891895	16.29375622363415
BA2772	5.990000228879067	9.214550366533244
BA3029	5.9919030611137964	11.205176238759671
BA2914	6.029033683775086	15.0156201416248
BA3149	6.029497936530812	21.63447056331703
BA2087	6.064210598186296	14.418054675323518
BA2417	6.087635035150938	12.270477073849374
BA2100	6.090356050041996	12.578431475402214
BA3208	6.102771587580501	18.69157945657816
BA2046	6.153405994615816	17.74777341783675
BA3064	6.173738741923538	20.81512093293928
BA2935	6.18957415651764	9.880445356341776
BA3347	6.208006682575883	12.895248893688454
BA2701	6.208919627119961	10.946437653909962
BA2098	6.2107357582394345	4.89760845693884
BA2694	6.213926440467708	9.024019039461352
BA2808	6.253328628485094	24.08299046294555
BA2496	6.263368166361607	11.399676017741184
BA2472	6.274127828022683	12.66426899861456
BA3036	6.274789637985522	21.532179511729048
BA2891	6.276369361840032	10.22953782959444
BA2981	6.277416724940326	18.564359098703868
BA2427	6.27947651756106	13.203350202140005
BA2776	6.300427536036851	21.07864268018424
BA2233	6.323547682627363	11.761458404505191
BA2032	6.366887987848954	15.901849480276256
BA2034	6.3724050702506645	16.75767370192132
BA2993	6.377924762484255	13.846655480060836
BA3123	6.382645609230425	19.325795422691492
BA2836	6.428689543614687	12.468306580047503
BA2469	6.430379507824933	16.132452295663036
BA3076	6.436084135633871	6.585836267450562
BA2450	6.47225667494796	17.891294519534323
BA2947	6.492174850950838	12.357448642886093
BA3388	6.49690010795364	14.160480378577368
BA2584	6.499434090328587	21.881435806884262
BA2978	6.517289850731646	14.603788957143514
BA2595	6.547667946907218	13.4174683952318
BA2239	6.552249451867215	12.77104820432132
BA2867	6.5776794410019725	17.232068759781303
BA2334	6.602282118293289	12.738862324221753
BA3116	6.607313984515323	13.54410492909614
BA2751	6.631137259735903	13.92309366783434
BA2101	6.636690901812592	12.241955188427031
BA2168	6.647345389277667	13.863873737481438
BA2976	6.668422614850322	17.773117510802155
BA2134	6.682310630032674	11.564212451003634
BA3249	6.683662417446377	27.04526177937093
BA2901	6.693510757997804	8.975530107617864
BA2249	6.731132320283495	19.97463299408348
BA2561	6.750879843314633	8.225056123389484
BA2405	6.783514065467473	9.100792336674967
