	NPM1	SF3B1
BA2000	529.0740751552895	5.868488939678021
BA2003	718.8454548403314	2.198908352987511
BA2004	320.416765868189	4.138880806726062
BA2006	9.731263616557731	2.325123064804804
BA2011	349.1494593922488	0.1380198320917367
BA2019	584.7298493866805	2.591253168618399
BA2020	1238.4508547008545	3.566717303735739
BA2022	917.8624004605978	1.6333312272570373
BA2023	432.430363504652	0.695618182813505
BA2024	373.1442557723393	2.2570122608614995
BA2025	723.6161514674798	1.0662814523867092
BA2031	804.2156041021317	4.244904914836965
BA2032	797.0029006308893	0.544077751470832
BA2033	258.23198424669016	0.5207126749297848
BA2034	811.2764224741454	3.739892901838597
BA2035	900.7865531930996	6.2327003775731
BA2036	779.9021105326607	9.325854998547795
BA2037	1905.212257740152	5.232376171077262
BA2041	846.7808362661304	0.8686250591145965
BA2044	586.7526892532584	2.7103441419906
BA2046	1116.3443179422306	0.0966780257929719
BA2047	678.6308819474854	2.5434799755482262
BA2050	743.1948731463913	1.5773960837625316
BA2051	485.30915140801295	1.9603346228298677
BA2052	1123.444664742103	2.2125302187734275
BA2053	858.0353314195818	0.5596398153343644
BA2054	798.0997645653246	2.902457441292173
BA2055	43.69121161009207	1.3580618091575545
BA2063	584.475008784876	1.0228629180029227
BA2065	1203.8952158917054	3.3052441831997457
BA2066	820.948611719295	1.1212745563173925
BA2068	591.6639941722485	1.42080896899582
BA2069	669.1056490806965	1.6861525559554815
BA2072	444.2673762143402	0.7505739552112843
BA2079	148.75517388648316	0.6569010874044472
BA2080	829.9345694329564	0.7577356790613439
BA2081	597.5572717148619	1.987437057210764
BA2082	1006.1029619898692	0.0575538570088242
BA2087	646.277790211756	1.0741895787999471
BA2088	648.9600212458845	1.1964608794427185
BA2089	804.2096484968401	2.2429851844755566
BA2093	718.9785651729675	2.504220728960906
BA2094	774.4474723884591	4.874152863123288
BA2095	743.3756410256409	2.000770656654821
BA2096	844.926645204539	1.4035218689792446
BA2097	1871.544588786714	5.529201492957189
BA2098	447.058323196938	3.7885589952267344
BA2100	460.46480967904114	0.3885650929638804
BA2101	481.9798980413782	1.4843159585840475
BA2104	158.77373403179857	1.4249106856380802
BA2106	1087.2221949215304	2.635120076761539
BA2109	353.25556042102534	0.1013629278870352
BA2110	228.4360225865918	1.195629336654395
BA2113	619.5860880001297	1.3489537058579335
BA2116	204.49241959811215	0.7321046849173004
BA2121	830.565918465539	0.9023855229683968
BA2122	309.8565362180163	0.6417203906201293
BA2123	1944.6786659963132	3.840240130713588
BA2124	1306.525201781843	5.547385135207057
BA2125	407.5005611508458	3.133815191424848
BA2132	579.7304751401525	2.629895091549692
BA2133	285.45101823469946	1.889343444020188
BA2134	394.3391348654157	1.3858377241602684
BA2135	1086.0343934651337	1.0282469461893704
BA2139	173.99071803521517	2.3384103077608533
BA2143	307.85163506814365	0.7740416288409281
BA2148	255.70209620655535	0.0754874236072144
BA2153	1332.816741811144	5.116721417047205
BA2155	622.2423014753186	0.0402624383953675
BA2156	1074.5038515599235	2.5846917601475625
BA2162	778.2497983533087	5.054337551568456
BA2163	223.2537483038432	4.424902398189839
BA2168	601.0720984230471	2.459866336385243
BA2169	516.0195797315341	2.2605231584757783
BA2171	1061.4786451829148	3.878938050944237
BA2172	1287.0055436621851	0.1033096950979363
BA2174	696.0172286284242	4.125021798269824
BA2175	260.5439360028544	1.6714606133319954
BA2184	2463.2686174497367	10.628341810860665
BA2195	670.5622004357298	0.8517477544056531
BA2198	1049.075510739173	9.032062076788913
BA2200	1261.8336568870727	5.909373552547744
BA2201	528.392967233764	0.7405867057165145
BA2209	570.0690307443629	1.939924439760896
BA2211	923.4013369229688	3.478055240024269
BA2212	1007.770093849506	1.9117243822809795
BA2217	796.1217281067376	1.8505187182282803
BA2218	980.2861304378382	0.084710669215247
BA2220	1088.5479229850198	1.6409310910083468
BA2221	462.6346118706649	2.243354454921604
BA2224	450.7727293122928	2.0797450735301943
BA2226	1561.7267752207028	3.1108793742900542
BA2227	1484.8600612508585	4.466729377559415
BA2228	1002.7951329084158	1.4107074971754248
BA2229	739.9451921049645	2.299403410170904
BA2233	705.738534250204	3.843300609317525
BA2234	490.6901268806392	4.0845688398028654
BA2235	814.7086737810646	3.773219992974677
BA2236	605.2559180330528	3.873751378073389
BA2239	412.5526305973175	1.4644137048543158
BA2240	745.4724319780298	5.302351818144493
BA2242	509.9414329889662	5.217936721911253
BA2244	629.1368278218373	2.109603304943121
BA2245	758.2510606724079	3.715063303939503
BA2248	679.4893308357255	0.5876281095038024
BA2249	658.7512101504512	3.458310637890213
BA2251	755.9943601096353	12.00484402870346
BA2256	1283.454827897522	2.33433740710835
BA2260	602.2486722673628	1.5779240094218403
BA2261	260.3798915540851	0.0481531079451538
BA2269	156.37701984571055	0.0224406991260923
BA2271	614.6193313222725	3.761306094239691
BA2272	591.9207587970398	2.964975913177955
BA2273	644.2525895111285	3.045841981931842
BA2275	364.4297515366776	2.7853284034421044
BA2276	697.587447898928	3.42152463196887
BA2277	943.3400328148904	6.531068769093444
BA2280	1004.94611384118	4.484736603606028
BA2281	863.6605245517009	5.114091505593648
BA2282	324.393978170259	2.121523772811391
BA2286	1328.999781594469	2.854157120894861
BA2288	455.5463179206064	1.2115094864671292
BA2292	1298.6812646977733	3.7299817448043786
BA2294	848.8785684166138	3.163226501282653
BA2296	1325.403998605232	4.481140748242528
BA2300	939.0940160128016	2.823341050544311
BA2301	488.0176138114469	1.4422802647725668
BA2302	946.291846283592	2.4450587800572063
BA2304	211.8367791671397	0.5735414547284834
BA2306	903.1965430837348	1.4378042824058233
BA2308	864.6272963665753	2.7371780782548
BA2309	701.0796877449628	5.374018728112393
BA2311	410.7591668153338	3.3142836831548874
BA2312	595.3337787941205	1.9396833890645215
BA2316	413.38349335322766	0.4984972271262627
BA2322	859.3419127783453	0.7196782721354701
BA2325	220.1254937100288	0.6144736710050318
BA2329	512.6317147537262	1.1931826614417729
BA2334	464.9170461733081	1.993478439709194
BA2339	243.77804321618365	0.4699942900241933
BA2344	1340.8550906328896	2.2900026002819254
BA2347	364.3800229217686	0.8088991835723007
BA2348	163.93391881152792	0.883377560935554
